,"Cinema, Spectators per inhabitant, No., 2022","Cinema, Occupancy rate, %, 2022","Art facilities, Rooms average capacity  , No., 2021","Live shows, Spectators per inhabitant, No., 2022","Live shows, Mean value of tickets sold, €, 2022","Periodical publications Ʇ , Proportion of copies offered , %, 2022"
Valongo,x,x,302,0.9,5.9,…
Vila do Conde,x,x,217.5,0.3,9.6,40.9
Vila Nova de Gaia,x,x,330.5,0.6,37.9,53.3
Alto Tâmega,ә,12.3,578.7,2.4,19,11.1
Boticas,x,x,130,7.1,//,…
Chaves,x,x,772.2,4.2,13.5,//
Montalegre,x,x,//,…,…,…
Ribeira de Pena,x,x,195,0,//,//
Valpaços,x,x,250,…,…,//
Vila Pouca de Aguiar,x,x,//,0.9,//,//
Tâmega e Sousa,0.4,13.7,188.6,0.9,6.7,91.3
Amarante,x,x,88,0.2,4.8,…
Baião,x,x,//,0.3,//,…
Castelo de Paiva,x,x,//,0.4,5,//
Celorico de Basto,x,x,//,0,//,//
Cinfães,x,x,//,…,…,…
Felgueiras,x,x,283.5,4.3,6.6,98.6
Lousada,x,x,200,…,…,…
Marco de Canaveses,x,x,//,1.6,5.7,41.3
Paços de Ferreira,x,x,//,ә,3.1,52.3
Penafiel,x,x,//,ә,12.3,…
Resende,x,x,//,2,//,//
Douro,0.7,8,333.7,1,5.2,5.8
Alijó,x,x,249,…,…,//
Armamar,x,x,//,1.5,//,//
Carrazeda de Ansiães,x,x,196,…,…,…
Freixo de Espada à Cinta,x,x,176,0,//,//
Lamego,x,x,807.5,0.5,3.6,6.6
Mesão Frio,x,x,103,ә,//,//
Moimenta da Beira,x,x,//,…,…,…
Murça,x,x,193,0,//,//
Penedono,x,x,283.3,…,…,//
Peso da Régua,x,x,//,0.1,9.6,…
Sabrosa,x,x,215,…,…,//
Santa Marta de Penaguião,x,x,212,0,//,//
São João da Pesqueira,x,x,400,1.5,//,//
Sernancelhe,x,x,137,0,//,//
Tabuaço,x,x,//,0,//,//
Tarouca,x,x,196,ә,//,…
Torre de Moncorvo,x,x,200,0.7,//,//
Vila Nova de Foz Côa,x,x,//,…,…,…
