,"Pre-primary education, Total (N.º)","Pre-primary education, Public (N.º)","Pre-primary education, Private (N.º)","Primary education, 1st cycle, Total (N.º)","Primary education, 1st cycle, Public (N.º)","Primary education, 1st cycle, Private (N.º)","Primary education, 2nd cycle, Total (N.º)","Primary education, 2nd cycle, Public (N.º)","Primary education, 2nd cycle, Private (N.º)","Lower secondary education, 2nd cycle, Total (N.º)","Lower secondary education, 2nd cycle, Public (N.º)","Lower secondary education, 2nd cycle, Private (N.º)"
Covilhã,899,415,484,1418,1340,78,818,805,13,1286,1250,36
Figueira de Castelo Rodrigo,109,35,74,152,152,0,78,78,0,120,120,0
Fornos de Algodres,72,72,0,120,120,0,66,66,0,131,131,0
Fundão,479,240,239,776,776,0,441,400,41,717,625,92
Gouveia,223,112,111,350,350,0,189,189,0,322,298,24
Guarda,819,318,501,1325,1160,165,726,664,62,1212,1138,74
Manteigas,35,18,17,57,57,0,34,34,0,66,66,0
Mêda,78,35,43,114,114,0,55,55,0,117,117,0
Pinhel,133,63,70,176,176,0,111,111,0,186,186,0
Sabugal,150,89,61,252,252,0,103,69,34,210,147,63
Seia,416,213,203,584,584,0,346,328,18,540,529,11
Trancoso,137,83,54,197,197,0,140,140,0,250,250,0
A. M. Lisboa,74641,32006,42635,122495,95207,27288,65982,53917,12065,99889,83574,16315
Alcochete,567,276,291,910,815,95,507,475,32,738,738,0
Almada,4716,2215,2501,7620,6617,1003,4170,3758,412,6220,5635,585
Amadora,3890,1791,2099,6532,5799,733,3558,3207,351,4945,4500,445
Barreiro,2072,1153,919,3438,3021,417,1858,1739,119,2916,2738,178
Cascais,5864,1628,4236,9682,5218,4464,5448,2955,2493,8167,4667,3500
Lisboa,17852,5548,12304,26471,14546,11925,14463,8981,5482,21450,14245,7205
Loures,4936,2569,2367,8407,7267,1140,4324,3868,456,6261,5642,619
Mafra,2370,1666,704,3794,3613,181,2012,1508,504,3101,2304,797
Moita,1433,969,464,2638,2547,91,1379,1379,0,2162,2162,0
Montijo,1457,804,653,2387,2141,246,1277,1199,78,1819,1780,39
Odivelas,3401,1934,1467,6015,5450,565,3195,3025,170,4969,4687,282
Oeiras,4648,1368,3280,6686,5182,1504,3545,3242,303,5622,5174,448
Palmela,1404,815,589,2867,2392,475,1664,1358,306,2578,2173,405
Seixal,3469,1580,1889,6581,5662,919,3452,3042,410,5205,4695,510
Sesimbra,1242,806,436,2208,2135,73,1172,1172,0,1994,1994,0
Setúbal,3012,940,2072,5186,4550,636,3034,2912,122,4376,4350,26
Sintra,8499,4578,3921,15428,13273,2155,7947,7308,639,12697,11672,1025
Vila Franca de Xira,3809,1366,2443,5645,4979,666,2977,2789,188,4669,4418,251
Alentejo,16592,10140,6452,25761,25006,755,14107,13558,549,22150,21100,1050
Alentejo Litoral,2259,1590,669,3389,3389,0,1758,1607,151,2843,2592,251
Alcácer do Sal,242,178,64,377,377,0,193,193,0,377,377,0
Grândola,353,270,83,484,484,0,280,280,0,446,446,0
Odemira,574,389,185,860,860,0,471,320,151,746,495,251
Santiago do Cacém,663,461,202,1027,1027,0,515,515,0,815,815,0
Sines,427,292,135,641,641,0,299,299,0,459,459,0
Baixo Alentejo,2912,1899,1013,4472,4393,79,2345,2240,105,3648,3379,269
Aljustrel,208,133,75,316,316,0,164,164,0,233,233,0
Almodôvar,121,93,28,225,225,0,98,98,0,189,189,0
Alvito,62,62,0,69,69,0,32,32,0,100,64,36
Barrancos,36,36,0,47,47,0,21,21,0,56,56,0
Beja,987,420,567,1527,1448,79,856,751,105,1241,1077,164
Castro Verde,175,128,47,239,239,0,139,139,0,253,253,0
Cuba,108,108,0,169,169,0,86,86,0,152,112,40
Ferreira do Alentejo,164,115,49,279,279,0,128,128,0,162,162,0
Mértola,109,88,21,148,148,0,91,91,0,136,136,0
Moura,377,287,90,629,629,0,318,318,0,467,438,29
Ourique,106,71,35,151,151,0,64,64,0,141,141,0
Serpa,323,264,59,449,449,0,257,257,0,389,389,0
Vidigueira,136,94,42,224,224,0,91,91,0,129,129,0
Lezíria do Tejo,5537,3285,2252,8728,8469,259,5016,4929,87,7630,7391,239
Almeirim,566,300,266,931,898,33,529,529,0,760,760,0
Alpiarça,128,64,64,196,196,0,125,125,0,188,188,0
Azambuja,600,236,364,818,818,0,464,464,0,679,679,0
Benavente,761,501,260,1241,1241,0,725,725,0,1036,1036,0
Cartaxo,443,201,242,817,817,0,476,476,0,748,748,0
Chamusca,181,158,23,278,278,0,164,164,0,210,210,0
Coruche,312,179,133,552,552,0,305,305,0,529,500,29
Golegã,112,67,45,157,157,0,98,98,0,162,162,0
Rio Maior,556,361,195,781,681,100,450,450,0,649,649,0
Salvaterra de Magos,470,291,179,730,730,0,442,442,0,686,663,23
Santarém,1408,927,481,2227,2101,126,1238,1151,87,1983,1796,187
Alto Alentejo,2399,1469,930,3689,3556,133,2023,1965,58,3247,3172,75
Alter do Chão,69,69,0,94,94,0,44,44,0,135,135,0
Arronches,55,30,25,85,85,0,44,44,0,76,76,0
Avis,77,77,0,108,108,0,78,78,0,84,84,0
Campo Maior,260,150,110,374,374,0,212,212,0,291,291,0
Castelo de Vide,64,40,24,92,92,0,35,35,0,77,77,0
Crato,67,39,28,87,87,0,44,44,0,75,75,0
Elvas,549,270,279,967,861,106,503,445,58,724,649,75
Fronteira,60,40,20,83,83,0,59,59,0,86,86,0
Gavião,48,36,12,84,84,0,59,59,0,106,106,0
Marvão,33,33,0,67,67,0,33,33,0,70,70,0
Monforte,66,66,0,131,131,0,51,51,0,105,105,0
Nisa,88,88,0,122,122,0,75,75,0,118,118,0
Ponte de Sor,306,194,112,505,478,27,272,272,0,428,428,0
Portalegre,569,279,290,751,751,0,439,439,0,725,725,0
Sousel,88,58,30,139,139,0,75,75,0,147,147,0
Alentejo Central,3485,1897,1588,5483,5199,284,2965,2817,148,4782,4566,216
Alandroal,75,75,0,149,149,0,70,70,0,103,103,0
Arraiolos,109,52,57,170,170,0,112,112,0,161,161,0
Borba,158,121,37,209,209,0,120,120,0,154,154,0
Estremoz,253,179,74,427,427,0,182,182,0,383,383,0
Évora,1364,409,955,2197,1980,217,1166,1057,109,1908,1732,176
Montemor-o-Novo,319,222,97,497,497,0,265,265,0,457,457,0
Mora,77,58,19,104,104,0,68,68,0,103,103,0
Mourão,55,55,0,95,95,0,60,60,0,60,60,0
Portel,114,61,53,182,182,0,105,105,0,123,123,0
Redondo,143,122,21,218,218,0,106,106,0,158,158,0
Reguengos de Monsaraz,250,194,56,380,380,0,241,241,0,399,399,0
Vendas Novas,274,161,113,417,350,67,227,188,39,388,348,40
Viana do Alentejo,117,87,30,188,188,0,105,105,0,176,176,0
Vila Viçosa,177,101,76,250,250,0,138,138,0,209,209,0
Algarve,11708,6615,5093,19252,17607,1645,10340,9986,354,16016,15379,637
Albufeira,1304,970,334,1993,1993,0,1004,1004,0,1770,1770,0
Alcoutim,28,0,28,59,59,0,24,24,0,52,52,0
Aljezur,144,144,0,219,219,0,118,118,0,147,147,0
Castro Marim,186,113,73,272,272,0,120,120,0,145,145,0
Faro,1591,441,1150,2836,2416,420,1536,1476,60,2374,2285,89
Lagoa,687,353,334,1019,893,126,581,503,78,868,743,125
Lagos,843,262,581,1288,1041,247,779,742,37,1177,1119,58
Loulé,1896,1367,529,3247,3054,193,1696,1601,95,2560,2360,200
Monchique,107,107,0,138,138,0,88,88,0,126,126,0
Olhão,1083,610,473,1895,1795,100,1035,979,56,1588,1508,80
Portimão,1532,941,591,2514,2193,321,1359,1359,0,2157,2104,53
São Brás de Alportel,303,229,74,436,436,0,256,256,0,346,346,0
Silves,895,473,422,1399,1291,108,692,682,10,1101,1069,32
Tavira,568,231,337,948,872,76,520,520,0,752,752,0
Vila do Bispo,125,125,0,230,176,54,93,75,18,114,114,0
Vila Real de Santo António,416,249,167,759,759,0,439,439,0,739,739,0
R. A. Açores,6706,4194,2512,10914,10016,898,5619,5467,152,9032,8954,78
Santa Maria,149,139,10,222,222,0,116,116,0,170,170,0
Vila do Porto,149,139,10,222,222,0,116,116,0,170,170,0
São Miguel,3910,2648,1262,6821,6133,688,3430,3321,109,5688,5610,78
Lagoa (R.A.A.),391,335,56,666,666,0,380,380,0,661,661,0
Nordeste,95,95,0,185,185,0,102,102,0,172,172,0
Ponta Delgada,2055,1170,885,3335,2647,688,1729,1620,109,2926,2848,78
Povoação,164,138,26,240,240,0,153,153,0,251,251,0
Ribeira Grande,929,711,218,1913,1913,0,815,815,0,1268,1268,0
Vila Franca do Campo,276,199,77,482,482,0,251,251,0,410,410,0
Terceira,1403,665,738,2151,2009,142,1195,1152,43,1731,1731,0
Angra do Heroísmo,909,301,608,1383,1241,142,750,707,43,1074,1074,0
Vila da Praia da Vitória,494,364,130,768,768,0,445,445,0,657,657,0
Graciosa,141,72,69,185,185,0,77,77,0,115,115,0
Santa Cruz da Graciosa,141,72,69,185,185,0,77,77,0,115,115,0
São Jorge,237,67,170,299,299,0,179,179,0,252,252,0
Calheta (R.A.A.),102,21,81,121,121,0,84,84,0,109,109,0
Velas,135,46,89,178,178,0,95,95,0,143,143,0
Pico,372,312,60,523,523,0,256,256,0,406,406,0
Lajes do Pico,85,80,5,159,159,0,91,91,0,128,128,0
Madalena,189,161,28,243,243,0,117,117,0,185,185,0
São Roque do Pico,98,71,27,121,121,0,48,48,0,93,93,0
Faial,402,231,171,571,503,68,291,291,0,552,552,0
Horta,402,231,171,571,503,68,291,291,0,552,552,0
Flores,82,60,22,123,123,0,73,73,0,110,110,0
Lajes das Flores,17,17,0,44,44,0,30,30,0,0,0,0
Santa Cruz das Flores,65,43,22,79,79,0,43,43,0,110,110,0
Corvo,10,0,10,19,19,0,2,2,0,8,8,0
Corvo,10,0,10,19,19,0,2,2,0,8,8,0
R. A. Madeira,5686,3038,2648,9599,7178,2421,5660,4866,794,9106,7962,1144
Calheta (R.A.M.),223,159,64,384,340,44,241,241,0,380,380,0
Câmara de Lobos,610,384,226,1085,1085,0,678,678,0,1013,1013,0
Funchal,2938,1095,1843,4872,2934,1938,2714,1920,794,4405,3261,1144
Machico,368,283,85,678,581,97,428,428,0,683,683,0
Ponta do Sol,160,150,10,345,345,0,172,172,0,348,348,0
Porto Moniz,43,43,0,66,66,0,45,45,0,79,79,0
Ribeira Brava,275,275,0,493,493,0,304,304,0,561,561,0
Santa Cruz,760,388,372,1172,955,217,782,782,0,1137,1137,0
Santana,119,98,21,170,140,30,89,89,0,172,172,0
São Vicente,83,80,3,153,153,0,97,97,0,149,149,0
Porto Santo,107,83,24,181,86,95,110,110,0,179,179,0
