,"%, Gini coefficient, Gross reported income, Tax Households","No., Inequality of income distribution (P80/P20), Gross reported income, Tax Households","No., Inequality of income distribution (P90/P10), Gross reported income, Tax Households","%, Gini coefficient, Gross reported income less personal income paid tax, Tax Households","No., Inequality of income distribution (P80/P20), Gross reported income less personal income paid tax, Tax Households","No., Inequality of income distribution (P90/P10), Gross reported income less personal income paid tax, Tax Households"
Lamego,44.8,3.6,8.5,40.9,3.3,7.3
Mesão Frio,40.2,3,6.1,36.9,2.9,5.6
Moimenta da Beira,41.7,3.2,7.6,38.4,3.1,6.8
Murça,41.6,3.4,7.7,38.4,3.2,6.8
Penedono,//,//,//,//,//,//
Peso da Régua,42.6,3.3,7.3,38.9,3.1,6.3
Sabrosa,38.8,2.9,5.9,35.9,2.8,5.4
Santa Marta de Penaguião,42.3,3.3,8,39.4,3.2,7.4
São João da Pesqueira,42.1,3.2,7,38.8,3,6.4
Sernancelhe,37.7,2.6,5.5,34.7,2.6,5.1
Tabuaço,40.4,3,6.4,37.2,2.9,5.9
Tarouca,39.9,3.1,6.7,36.9,2.9,6.1
Torre de Moncorvo,41,3.2,7,37.6,3,6.2
Vila Nova de Foz Côa,42.7,3.5,8.3,39.2,3.2,7.5
Vila Real,45.5,3.8,8.9,41.4,3.4,7.5
Terras de Trás-os-Montes,44.2,3.7,8.2,40.4,3.4,7.2
Alfândega da Fé,41.8,3.2,7.6,38.4,3.1,6.6
Bragança,45.2,4,9.3,41.2,3.6,7.9
Macedo de Cavaleiros,44.4,3.6,8.2,40.8,3.3,7.2
Miranda do Douro,41.3,3.4,7.3,37.9,3.1,6.4
Mirandela,44,3.6,8.2,40.3,3.3,7.3
Mogadouro,42.7,3.3,7.2,39.2,3.1,6.4
Vila Flor,41.6,3.2,7.6,38.4,3,6.8
Vimioso,41.1,3.2,6.9,38,3,6.3
Vinhais,39.7,3.2,5.9,36.8,3,5.5
Centro,42.7,3.3,7,38.7,3,6
Oeste,42.8,3.3,7.2,38.9,3,6.3
Alcobaça,40,3,6,36.5,2.8,5.4
Alenquer,41.2,3.2,6.7,37.6,3,5.8
Arruda dos Vinhos,45,3.6,7.9,40.7,3.2,6.6
Bombarral,42.2,3.2,7.3,38.4,3,6.3
Cadaval,41.5,3.2,6.9,38,3,6.1
Caldas da Rainha,44.4,3.4,8.2,40.3,3.2,7
Lourinhã,42.9,3.4,7.3,39.1,3.1,6.5
Nazaré,41.7,3.3,7.3,38.2,3,6.4
Óbidos,43.7,3.4,7.5,39.9,3.1,6.6
Peniche,41.7,3.2,7,38.1,2.9,6.1
Sobral de Monte Agraço,43.2,3.3,7.3,39.2,3,6.2
Torres Vedras,44,3.3,7.4,39.8,3,6.4
Região de Aveiro,43.1,3.3,7.1,39,3,6.2
Águeda,41.4,3,6,37.6,2.8,5.3
Albergaria-a-Velha,39.6,3,5.9,36.2,2.8,5.3
Anadia,42.9,3.1,6.5,38.7,2.9,5.8
Aveiro,45.4,3.7,8.5,40.9,3.3,7
Estarreja,40.6,3.2,6.7,37.3,2.9,5.9
Ílhavo,44.1,3.5,7.9,40,3.1,6.7
Murtosa,42.8,3.6,8.4,39.4,3.3,7.5
Oliveira do Bairro,40.2,3.1,6.4,37,2.9,5.6
Ovar,42.5,3.2,7,38.5,2.9,6
Sever do Vouga,39.1,3,5.9,35.9,2.8,5.3
Vagos,41.6,3.1,6.9,37.9,2.9,6.1
Região de Coimbra,44.2,3.4,7.5,39.8,3.1,6.3
Arganil,38.5,2.7,5.8,35.6,2.6,5.3
Cantanhede,41.9,3.4,7.3,38.4,3.1,6.4
Coimbra,47.1,4.1,9.2,42.1,3.5,7.3
Condeixa-a-Nova,41.7,3.4,7.3,38,3.1,6.2
Figueira da Foz,43.1,3.5,7.5,39,3.1,6.4
Góis,36.6,2.6,4.9,33.8,2.5,4.4
Lousã,40.2,3.2,6.7,36.8,2.9,5.8
Mealhada,40.7,3.2,6.6,37.3,3,5.8
Mira,43,3.3,7.3,39.2,3.1,6.4
Miranda do Corvo,39.2,3,6,35.9,2.8,5.4
Montemor-o-Velho,39.1,3.1,5.9,35.8,2.8,5.2
Mortágua,39.2,2.9,6,36.1,2.7,5.3
Oliveira do Hospital,37.9,2.7,5.4,34.9,2.6,5
Pampilhosa da Serra,35.4,2.6,4.7,32.6,2.5,4.3
Penacova,37.1,2.9,5.8,34.5,2.8,5.2
Penela,41.3,3.1,5.8,36.9,2.9,5.3
Soure,37.9,3,5.8,34.8,2.8,5.1
Tábua,39.5,2.7,5.6,36,2.6,5.1
Vila Nova de Poiares,38.8,3,6.1,35.9,2.9,5.6
Região de Leiria,41.3,3.2,6.6,37.5,2.9,5.7
Alvaiázere,38.5,2.8,5.8,35.4,2.7,5.2
Ansião,38.7,2.9,5.7,35.6,2.7,5.1
Batalha,39.8,3.1,6.2,36.5,2.9,5.5
Castanheira de Pêra,36.5,2.5,4.9,33.4,2.4,4.4
Figueiró dos Vinhos,39.3,2.9,6,36,2.7,5.5
Leiria,42.6,3.3,7,38.6,3,6
Marinha Grande,40.2,3.1,6.5,36.6,2.8,5.6
Pedrógão Grande,38.8,2.8,5.6,35.6,2.6,5.1
Pombal,39.1,3,6.2,36,2.8,5.6
Porto de Mós,39.2,2.9,5.7,35.9,2.7,5.1
Viseu Dão Lafões,42.5,3.2,7,38.6,2.9,6.1
