,"Quintiles of gross reported income by tax household, 1st quintile, €","Quintiles of gross reported income by tax household, 2nd quintile, €","Quintiles of gross reported income by tax household, 3rd quintile, €","Quintiles of gross reported income by tax household, 4th quintile, €","Distribution of the number of tax households by gross reported income class, Less than  5 000 €, No.","Distribution of the number of tax households by gross reported income class, From 5 000 to less than 10 000 €, No.","Distribution of the number of tax households by gross reported income class, From 10 000 to less than 13 500 €, No.","Distribution of the number of tax households by gross reported income class, From  13 500 to less than 19 000 €, No.","Distribution of the number of tax households by gross reported income class, From  19 000 to less than 32 500 €, No.","Distribution of the number of tax households by gross reported income class, 32 500 € or more, No."
Valongo,8063,11080,16113,26302,4872,11558,8580,7646,9683,6342
Vila do Conde,7980,10834,15984,26570,3843,10809,6936,6556,7747,5745
Vila Nova de Gaia,8087,11227,16520,27837,15216,36327,26614,24134,29184,23924
Alto Tâmega,6175,9310,12639,21274,5724,12779,6663,5252,5950,3625
Boticas,5817,9179,11373,18480,363,827,418,285,299,143
Chaves,6552,9741,14152,24316,2385,5186,2941,2410,3028,2176
Montalegre,5770,9069,11664,19476,740,1509,743,536,619,307
Ribeira de Pena,6172,9310,12001,18691,392,933,501,419,355,177
Valpaços,5722,8823,11244,18352,1094,2398,1150,805,873,392
Vila Pouca de Aguiar,6415,9310,12325,19706,750,1926,910,797,776,430
Tâmega e Sousa,6832,9431,12427,19673,25069,67295,36410,29060,28834,14206
Amarante,6404,9361,12350,20508,3518,8386,4507,3336,3569,2185
Baião,6764,9410,12213,19078,975,2748,1393,1162,1139,445
Castelo de Paiva,7120,9653,12519,19690,858,2499,1555,1127,1184,473
Celorico de Basto,6402,9310,11657,18484,1102,2804,1427,1084,1007,474
Cinfães,5853,8947,11178,17531,1245,2935,1381,1039,953,416
Felgueiras,7446,9611,12598,19779,3026,9766,5663,4288,4333,1990
Lousada,7128,9448,12637,19669,2872,8181,4262,3715,3658,1570
Marco de Canaveses,6232,9310,12070,19197,3452,7908,4099,3280,3187,1622
Paços de Ferreira,7273,9442,12483,19098,3031,9795,5214,4433,3818,1886
Penafiel,7006,9663,13225,21117,4192,10624,6197,5102,5501,2846
Resende,5543,8687,10776,17716,798,1649,712,494,485,299
Douro,6772,9710,13784,23430,10586,26257,14706,11844,13927,9876
Alijó,6028,9120,11832,19294,739,1817,893,667,699,352
Armamar,6475,9310,12269,19985,311,845,431,334,338,188
Carrazeda de Ansiães,6472,9302,12488,20841,329,831,420,324,356,213
Freixo de Espada à Cinta,6833,9629,12994,20591,//,//,//,//,//,//
Lamego,6916,9799,13955,24913,1407,3468,1932,1467,1875,1487
Mesão Frio,6143,9288,11718,18521,218,635,329,236,222,110
Moimenta da Beira,6744,9842,13633,21864,513,1156,735,589,664,374
Murça,6025,9310,12155,20296,380,773,474,328,335,212
Penedono,//,//,//,//,//,//,//,//,//,//
Peso da Régua,6828,9602,13480,22392,819,2226,1206,1018,1080,729
Sabrosa,6774,9590,12585,19812,312,884,529,398,417,184
Santa Marta de Penaguião,5683,8691,11301,18774,530,1117,521,398,418,203
São João da Pesqueira,6028,9041,11956,19312,466,1104,504,432,432,210
Sernancelhe,7130,9386,12414,18847,248,793,404,367,309,134
Tabuaço,6460,9310,12036,19623,271,723,359,269,288,149
Tarouca,6856,9525,13075,21262,398,975,520,419,512,241
Torre de Moncorvo,6515,9512,13200,21093,423,1056,586,497,527,278
Vila Nova de Foz Côa,6171,9310,12987,21320,441,930,510,450,423,276
Vila Real,7887,11073,17392,30323,2413,5957,3827,3229,4614,4346
Terras de Trás-os-Montes,6772,9892,14462,24851,6250,14891,8433,6888,8999,6445
Alfândega da Fé,6404,9342,12820,20757,270,688,361,310,276,201
Bragança,7461,11154,17549,29668,1927,3978,2581,2261,3449,2929
Macedo de Cavaleiros,6201,9310,12557,22245,922,2204,1107,800,978,675
Miranda do Douro,7093,10190,15198,23881,367,889,523,471,632,351
Mirandela,6892,9935,14461,24911,1177,2952,1659,1382,1744,1261
Mogadouro,6646,9443,12972,22179,494,1311,709,496,648,399
Vila Flor,6417,9544,12922,20673,364,820,503,401,388,230
Vimioso,6404,9310,12522,20777,260,692,316,290,314,154
Vinhais,6271,9310,11976,19919,469,1357,674,477,570,245
Centro,8106,11025,16047,26389,101799,283027,202755,177977,218647,153880
Oeste,7831,10683,15447,25548,18653,49525,33626,29253,35083,24128
Alcobaça,8106,10774,15086,24160,2525,7502,5534,4774,5422,2997
Alenquer,8334,11405,16585,26875,1963,5315,4059,3768,4611,3107
Arruda dos Vinhos,8859,12396,19136,31722,505,1532,1150,1105,1513,1384
Bombarral,7368,10141,14401,23557,708,1798,1178,946,1112,701
Cadaval,7421,10252,14755,24000,701,1820,1144,1023,1224,690
Caldas da Rainha,7359,10453,15180,25387,3134,7113,4661,4070,4821,3563
Lourinhã,7389,10260,14803,24844,1436,3790,2380,2019,2378,1661
Nazaré,7103,10298,14494,23314,938,2120,1476,1306,1390,810
Óbidos,7455,10452,14941,25074,635,1677,1032,910,1108,766
Peniche,7740,10470,15031,24753,1402,3758,2433,2110,2584,1598
Sobral de Monte Agraço,8162,11004,16412,27044,488,1310,921,835,1007,771
Torres Vedras,7914,10598,15485,26342,4218,11790,7658,6387,7913,6080
Região de Aveiro,8223,11274,16366,26984,17041,44896,34581,30262,37453,26897
Águeda,8391,10933,15336,24930,1944,6342,4837,3872,4732,2850
Albergaria-a-Velha,8509,11338,16023,25233,1010,3015,2492,2180,2653,1454
Anadia,7834,10624,14972,24457,1345,3843,2753,2268,2643,1647
Aveiro,8685,12373,19113,32477,3642,8673,6861,6548,8714,8597
Estarreja,8001,11272,15861,25475,1256,3194,2534,2250,2708,1639
Ílhavo,8159,11592,17104,28274,1935,4494,3464,3284,4059,3213
Murtosa,6854,10182,14875,24345,632,1195,809,699,891,511
Oliveira do Bairro,8092,10862,15730,25111,1005,2950,2157,1730,2388,1352
Ovar,8273,11302,16157,26506,2581,6778,5326,4808,5578,3928
Sever do Vouga,7987,10741,14635,23995,480,1538,1150,902,1074,573
Vagos,7564,10485,14571,23507,1211,2874,2198,1721,2013,1133
Região de Coimbra,8367,11464,17278,28793,19052,52340,37894,34216,44424,36232
Arganil,7672,9926,13514,21077,547,1637,1043,857,896,408
Cantanhede,7382,10445,14951,25015,1833,4503,3139,2455,3124,2042
Coimbra,9044,13000,21122,36785,5718,14351,11078,10670,15107,17824
Condeixa-a-Nova,8974,12490,18905,30949,583,1699,1331,1344,1771,1506
Figueira da Foz,8528,11949,18173,29918,2708,6561,5104,4703,6463,5280
Góis,7769,9951,13632,20528,167,615,371,332,323,128
Lousã,8247,11296,16837,26013,753,2002,1422,1362,1828,1060
Mealhada,8398,11530,16772,27094,849,2310,1800,1664,2074,1366
Mira,7226,10322,14802,24058,654,1618,1031,945,1027,699
Miranda do Corvo,8004,10737,14944,23839,526,1540,1154,944,1175,562
Montemor-o-Velho,8668,11712,17008,26784,843,2865,2193,1995,2719,1582
Mortágua,7874,10437,14263,22780,432,1264,925,692,871,412
Oliveira do Hospital,7811,9986,13632,21366,849,2965,1830,1470,1622,765
Pampilhosa da Serra,7769,10141,13820,20565,128,568,349,316,299,114
Penacova,7476,10251,14000,21942,650,1948,1317,1111,1242,503
Penela,7376,9924,13972,22582,246,863,484,413,484,242
Soure,8589,11592,16562,26023,620,2070,1632,1522,1925,1052
Tábua,7226,9595,12712,19778,568,1921,1018,868,831,390
Vila Nova de Poiares,7381,10054,13885,22242,378,1040,673,553,643,297
Região de Leiria,8483,11512,16590,26795,12282,34568,26611,24863,30251,20051
Alvaiázere,7237,9694,13075,20402,293,999,575,486,436,241
Ansião,7776,10205,14040,22222,499,1702,1126,959,966,511
Batalha,8585,11606,16846,26709,647,1863,1414,1362,1725,1047
