,"Quintiles of gross reported income less personal income paid tax by tax household, 1st quintile, €","Quintiles of gross reported income less personal income paid tax by tax household, 2nd quintile, €","Quintiles of gross reported income less personal income paid tax by tax household, 3rd quintile, €","Quintiles of gross reported income less personal income paid tax by tax household, 4th quintile, €","Distribution of the number of tax households by gross reported income less personal income paid tax class, Less than  5 000 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From 5 000 to less than 10 000 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From 10 000 to less than 13 500 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From  13 500 to less than  19 000 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From  19 000 to less than  32 500 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, 32 500 € or more, No."
Entroncamento,8792,12114,18272,27796,864,2127,1671,1659,2445,1471
Ferreira do Zêzere,7005,9435,12711,19315,398,1297,731,616,646,152
Mação,7746,9583,12905,19737,267,1114,622,520,512,186
Ourém,7488,9748,13445,21248,2343,6862,4059,3419,3930,1418
Sardoal,7593,9482,12874,19891,175,643,371,292,292,123
Sertã,6626,9198,11970,18484,803,2615,1219,1057,967,348
Tomar,7401,9938,13922,22393,2021,5594,3385,2935,3257,1676
Torres Novas,8206,10682,15100,23951,1423,4856,3221,2900,3510,1719
Vila de Rei,7573,9478,13067,19835,132,550,271,260,266,68
Vila Nova da Barquinha,8881,11353,16829,25962,255,893,609,619,815,401
Beiras e Serra da Estrela,7476,9699,13513,21196,10241,33463,18368,16302,17427,7728
Almeida,7150,9900,14183,20797,319,914,534,529,579,165
Belmonte,7445,9327,12988,19153,291,1037,507,509,446,150
Celorico da Beira,7010,9501,12900,19662,322,1004,545,512,473,163
Covilhã,7897,9812,13562,21370,2073,7855,4408,3828,3842,1983
Figueira de Castelo Rodrigo,6358,9031,11772,18347,336,960,439,364,334,159
Fornos de Algodres,6985,9315,12367,18346,209,676,344,307,272,81
Fundão,7290,9539,13231,20331,1408,4276,2334,2109,2200,793
Gouveia,6838,9315,12359,19198,645,2098,1042,884,873,328
Guarda,8269,10988,16466,25965,1706,5009,3205,3040,4136,2410
Manteigas,7590,9337,11989,18083,141,583,320,232,218,65
Mêda,6678,9221,12227,18868,253,745,378,319,312,103
Pinhel,6656,9218,12232,19043,476,1475,695,634,627,196
Sabugal,6940,9470,12651,19307,586,1620,979,790,787,246
Seia,7478,9460,12799,20034,987,3809,2001,1685,1742,652
Trancoso,6582,9257,12136,19389,489,1402,637,560,586,234
A. M. Lisboa,7780,11054,16759,27386,165703,362702,237351,233487,306697,221379
Alcochete,8644,11745,18344,30873,816,2072,1370,1408,1863,1697
Almada,7727,10950,16329,26414,10294,22520,14880,14693,18773,12435
Amadora,7367,10234,14761,23760,10951,24918,15669,14370,17104,9671
Barreiro,8255,11136,15923,24342,3990,10032,7424,7330,8736,4381
Cascais,7640,11288,17931,30378,12478,25411,15550,15856,22001,19866
Lisboa,7597,11500,18595,32549,37640,69073,41861,44064,60572,63502
Loures,7846,10726,15634,25225,11023,26843,17839,16729,20718,12552
Mafra,7988,11018,17070,28014,4210,10294,6322,6162,8573,6260
Moita,7670,10338,14417,22178,3630,8999,6288,5537,6383,2531
Montijo,7546,10472,15697,25245,3117,7283,4399,4144,5508,3359
Odivelas,7620,10618,15892,25639,8979,20469,12559,12266,16116,9688
Oeiras,8890,13311,21178,34416,7990,17001,12329,13534,20856,20260
Palmela,7783,10923,16339,26114,3410,8268,5299,5290,6808,4231
Seixal,8075,11220,16562,25837,8669,19936,14078,13961,18414,10252
Sesimbra,8096,11302,16893,26254,2681,6146,4266,4363,5958,3161
Setúbal,7822,11054,16554,26285,6939,15043,10170,10095,13177,8225
Sintra,7620,10484,15065,24163,22564,52324,34990,31553,39077,20899
Vila Franca de Xira,8585,11558,16918,26056,6322,16070,12058,12132,16060,8409
Alentejo,7584,9979,13999,22345,37314,109465,66036,56468,65454,31071
Alentejo Litoral,6579,9316,12820,21604,7231,17281,8961,7155,8261,4723
Alcácer do Sal,7663,9785,13110,20603,560,1908,1164,898,959,378
Grândola,7398,9811,13621,21905,725,2007,1242,988,1166,538
Odemira,4998,8082,9929,15240,3806,7688,2982,1918,1889,741
Santiago do Cacém,7958,10797,16041,26749,1360,3816,2346,2155,2741,2041
Sines,7914,10962,16333,26639,780,1862,1227,1196,1506,1025
Baixo Alentejo,7583,9894,13900,22237,5887,17155,10163,8628,9928,4904
Aljustrel,8246,10593,15102,24201,331,1280,810,730,868,440
Almodôvar,6854,9585,13427,22946,374,1161,611,475,588,349
Alvito,//,//,//,//,//,//,//,//,//,//
Barrancos,//,//,//,//,//,//,//,//,//,//
Beja,8211,10789,15890,25453,1573,4441,2910,2561,3465,2017
Castro Verde,8805,11297,17095,27626,225,851,515,538,666,473
Cuba,6720,9424,13191,20727,319,681,372,359,326,187
Ferreira do Alentejo,6452,9219,12257,18871,544,1311,701,572,560,211
Mértola,7321,9357,12354,18709,330,1106,590,485,484,124
Moura,7013,9370,12522,19664,709,1927,1138,837,897,354
Ourique,6820,9426,12767,19660,298,813,457,382,385,148
Serpa,6996,9315,12276,19158,766,2226,1232,963,974,343
Vidigueira,7499,9638,13025,20063,274,838,480,411,400,165
Lezíria do Tejo,7551,10083,14130,22496,12383,35613,21978,19104,22164,10340
Almeirim,6681,9445,12996,21086,1440,3539,2080,1647,1901,791
Alpiarça,6858,9520,13004,20688,406,1175,672,548,571,262
Azambuja,7810,10392,14459,22713,1023,3009,2057,1752,2076,881
Benavente,7744,10275,14765,23518,1558,4224,2613,2368,2930,1403
