,"Total, Total (milhares de euros)","Total, Pensões em 31 dez. (milhares de euros)","Invalidez, Total (milhares de euros)","Invalidez, Pensões em 31 dez. (milhares de euros)","Velhice, Total (milhares de euros)","Velhice, Pensões em 31 dez. (milhares de euros)","Sobrevivência, Total (milhares de euros)","Sobrevivência, Pensões em 31 dez. (milhares de euros)"
Ourique,9053,8871,403,403,7070,6932,1580,1537
Serpa,22900,22367,1769,1744,17091,16707,4039,3916
Vidigueira,9010,8744,683,680,6840,6629,1487,1436
Lezíria do Tejo,440728,432668,39123,38772,336366,330348,65238,63547
Almeirim,38290,37538,3617,3593,29154,28599,5519,5347
Alpiarça,13466,13172,1270,1260,10134,9892,2062,2019
Azambuja,38393,37787,2163,2140,30478,30024,5752,5623
Benavente,46877,46056,4039,3996,35917,35303,6921,6757
Cartaxo,46814,46066,3867,3811,36294,35776,6653,6479
Chamusca,18606,18106,1841,1822,13866,13483,2900,2800
Coruche,40843,39966,2573,2515,31775,31157,6496,6294
Golegã,11365,11137,1320,1318,8368,8199,1677,1619
Rio Maior,36800,36128,3662,3634,27871,27361,5268,5132
Salvaterra de Magos,43748,42987,5190,5166,32432,31856,6127,5966
Santarém,105524,103724,9582,9516,80078,78698,15864,15510
Alto Alentejo,202861,198274,14256,14112,155655,152224,32950,31937
Alter do Chão,6632,6501,525,522,4998,4900,1109,1079
Arronches,4965,4818,342,342,3662,3549,961,927
Avis,8026,7807,381,372,6467,6313,1179,1122
Campo Maior,13525,13201,1166,1154,10281,10054,2078,1993
Castelo de Vide,6320,6180,288,288,5050,4934,982,959
Crato,8257,8051,444,444,6345,6180,1468,1428
Elvas,30796,30041,2316,2298,23218,22643,5262,5100
Fronteira,6509,6374,475,472,5146,5046,888,856
Gavião,9448,9231,743,735,7050,6892,1655,1604
Marvão,6333,6162,298,285,5000,4883,1036,994
Monforte,5439,5317,308,305,4261,4168,870,844
Nisa,14890,14548,746,729,11487,11249,2657,2571
Ponte de Sor,31911,31346,3163,3145,23812,23382,4936,4819
Portalegre,40586,39725,2585,2549,31724,31077,6277,6100
Sousel,9224,8971,476,472,7155,6958,1593,1541
Alentejo Central,296034,289480,26853,26544,225207,220275,43974,42661
Alandroal,11481,11138,1223,1218,8440,8174,1817,1746
Arraiolos,13338,13007,924,910,10366,10126,2048,1971
Borba,16433,16153,1894,1881,12346,12136,2194,2136
Estremoz,26826,26168,1991,1947,20696,20219,4139,4003
Évora,88583,86859,8125,8037,67915,66642,12543,12179
Montemor-o-Novo,33743,32952,2656,2629,26008,25397,5079,4926
Mora,11704,11439,1020,1017,8967,8753,1717,1669
Mourão,3864,3771,377,377,2863,2787,624,607
Portel,10571,10311,1129,1121,7744,7544,1699,1646
Redondo,11502,11212,1050,1043,8631,8397,1821,1772
Reguengos de Monsaraz,18862,18436,1915,1910,13978,13658,2969,2868
Vendas Novas,23219,22749,1822,1770,17954,17617,3443,3363
Viana do Alentejo,9164,8938,782,774,6825,6659,1557,1505
Vila Viçosa,16743,16349,1946,1911,12474,12167,2324,2271
Algarve,617447,606536,37081,36545,488098,479972,92268,90020
Albufeira,46596,45931,3112,3030,36720,36253,6764,6648
Alcoutim,5451,5277,263,263,4292,4157,896,857
Aljezur,7387,7179,461,461,5777,5604,1150,1115
Castro Marim,10278,10037,344,334,8350,8170,1584,1533
Faro,94283,92740,4956,4916,76173,75037,13154,12787
Lagoa,31746,31214,2383,2354,24672,24264,4690,4596
Lagos,40686,39935,2371,2320,32245,31675,6071,5941
Loulé,88832,87360,4949,4891,70915,69782,12969,12687
Monchique,9385,9210,545,536,7398,7265,1442,1409
Olhão,58068,56960,3594,3548,45102,44282,9372,9130
Portimão,87866,86640,6077,6018,69456,68530,12333,12092
São Brás de Alportel,13319,13003,834,808,10391,10179,2094,2016
Silves,53231,52167,3802,3770,41159,40340,8271,8057
Tavira,35033,34268,1499,1484,27632,27074,5903,5709
Vila do Bispo,7642,7480,403,396,6069,5941,1171,1143
Vila Real de Santo António,27644,27135,1488,1417,21749,21419,4407,4299
R. A. Açores,267392,262413,44949,44546,173853,170482,48591,47385
Santa Maria,5833,5777,1229,1220,3483,3455,1122,1101
Vila do Porto,5833,5777,1229,1220,3483,3455,1122,1101
São Miguel,131071,128571,25217,24953,80437,78826,25417,24792
Lagoa (R.A.A.),13173,12895,2356,2318,8160,8003,2656,2574
Nordeste,3851,3742,456,455,2475,2398,921,889
Ponta Delgada,78753,77382,15347,15193,49219,48309,14187,13880
Povoação,4809,4696,717,706,2854,2783,1239,1207
Ribeira Grande,22976,22526,5017,4976,13310,13015,4650,4535
Vila Franca do Campo,7508,7329,1325,1304,4420,4319,1763,1707
Terceira,76130,74708,9786,9709,53720,52691,12625,12309
Angra do Heroísmo,44242,43407,6309,6251,30434,29850,7499,7307
Vila da Praia da Vitória,31888,31301,3476,3458,23286,22841,5127,5002
Graciosa,4516,4416,642,636,2884,2824,990,955
Santa Cruz da Graciosa,4516,4416,642,636,2884,2824,990,955
São Jorge,9207,9042,1358,1347,5833,5724,2016,1971
Calheta (R.A.A.),3738,3659,398,394,2521,2462,819,802
Velas,5469,5383,959,953,3313,3261,1197,1169
Pico,20009,19640,3625,3603,13145,12877,3239,3160
