,Total (€),"Profissão principal, Representantes do poder legislativo e de órgãos executivos, dirigentes, diretores/as e gestores/as executivos/as (€)","Profissão principal, Especialistas das atividades intelectuais e científicas (€)","Profissão principal, Técnicos/as e profissionais de nível intermédio (€)","Profissão principal, Pessoal administrativo  (€)","Profissão principal, Trabalhadores/as dos serviços pessoais, de proteção e segurança e vendedores/as (€)","Profissão principal, Agricultores/as e trabalhadores/as qualificados/as da agricultura, da pesca e da floresta (€)","Profissão principal, Trabalhadores/as qualificados/as da indústria, construção e artífices (€)","Profissão principal, Operadores/as de instalações e máquinas e trabalhadores/as da montagem (€)","Profissão principal, Trabalhadores/as não qualificados  (€)"
Arronches,842.43,1226.04,1173.63,1052.71,1000.52,775.16,825.62,638.67,797.88,767.53
Avis,914.36,1624.03,1641.76,1322.57,991.96,707.98,805.71,864.67,928.85,809.31
Campo Maior,1235.31,3803.78,1860.96,1496.79,1088.94,821.49,866.26,1095.72,1100.29,832.63
Castelo de Vide,854.76,1127.18,1254.38,911.13,972.28,748.24,753.36,770.71,886.11,733.41
Crato,801.13,1131.9,1474.72,944.66,830.86,723.78,789.4,757.51,739.81,682.93
Elvas,885.19,1454.49,1287.98,1110.07,930.94,744.45,933.67,780.55,930.39,735.77
Fronteira,911.33,1445.87,1388.71,1093.43,1188.2,713.36,1023.96,804.99,942.24,733.99
Gavião,821.56,1964.43,1193.43,1176.48,1052.16,661.87,989.52,820.79,972.1,671.32
Marvão,786.53,855.33,1252.87,1051.39,788.13,680.4,827.97,745.46,719.6,715.88
Monforte,979.9,1877.45,1421,1385.09,1034.17,775.4,973.48,789.32,928.78,811.45
Nisa,821.85,1121.93,976.98,997.07,936.81,730.31,729.25,893.8,967.9,730.65
Ponte de Sor,990.94,2020,1388.83,1573.8,1062.06,745.53,813.48,951.28,933.54,734.77
Portalegre,1003.03,1703.98,1490.07,1255.38,1050.28,766.51,765.3,871.35,988.75,771.3
Sousel,854.94,1335.21,1175.78,1016.25,1126.38,708.52,908.74,796.35,872.4,821.94
Alentejo Central,1020.7,1849.89,1613.39,1334.7,1053.23,802.09,894.44,988.91,955.61,765.56
Alandroal,837.73,1389.98,1172.52,909.16,1128.19,743.95,882.2,852.96,823.12,695.62
Arraiolos,954.98,2100.8,1519.92,1225.55,953.18,749.91,1050.1,815.87,902.94,806.22
Borba,931.7,1454.2,1343.4,1229.47,1104.46,797.37,771.59,811.77,938.71,759.09
Estremoz,970.69,1719.33,1486.91,1210.89,1001.57,773.14,839.98,904.74,1091.88,763.78
Évora,1098.82,2140.65,1747.23,1435.32,1058.5,821.6,928.76,1047.33,939.84,777.93
Montemor-o-Novo,956.66,1361.96,1366.33,1178.42,1005.94,814.73,844.99,970,994.67,752.43
Mora,916.68,1790.48,1341.97,1148.77,1154.32,770.86,782.93,1007.54,940.36,773.65
Mourão,853.48,1466.09,1414,993.36,1000.76,699.63,722.46,714.9,748.1,810.05
Portel,943.24,1671.16,1413.24,1022.09,1094.86,746.7,1070.57,734.98,1216.01,802.37
Redondo,895.79,1804.58,1340.77,1145.69,1054.75,759.44,831.87,727.53,930.08,766.39
Reguengos de Monsaraz,934.67,1799.42,1411.93,1211.9,1105.97,786.95,782.1,834.3,895.8,742.26
Vendas Novas,1014.6,2142.14,1614.67,1297.9,1066.78,815.95,902.13,1072.25,855.29,719.69
Viana do Alentejo,891.02,1068.6,1209.45,1099.98,1104.67,753.46,919.42,802.22,1016.15,766.62
Vila Viçosa,1041.16,1693.49,1373.07,1308.22,1057.69,820.07,896.91,1042.35,1010.07,787.84
Algarve,999.05,1837.11,1548.96,1337.89,1034.17,855.8,863.6,899.47,932.75,779.18
Albufeira,975.69,2003.37,1401.51,1337.8,1029.38,902.68,838.43,956.75,841.65,779.83
Alcoutim,819.25,1455.72,1008.7,932.45,844.85,663.63,779.78,681.33,819.52,725.68
Aljezur,836.81,1147.16,1222.5,945.87,948.3,752.36,1246.69,810.45,885.42,726.23
Castro Marim,850.29,1321.16,1282.65,1043.8,896.2,772.81,747.97,779.71,877.3,730.04
Faro,1138.08,2113.47,1722.01,1475.63,1129.09,842.37,721.32,992.77,964.42,827.3
Lagoa,987.02,1941.92,1461.06,1361.51,999.43,882.88,940.08,899.73,878.79,761.44
Lagos,944.17,1631.79,1329.14,1208,978.98,840.05,902.35,851.14,937.58,759.28
Loulé,1029.22,2087.37,1499.22,1348.25,1076.08,903.3,909.13,933.12,1013.17,816.71
Monchique,868.8,1716.02,1264.59,1257.6,1014.75,764.49,716.28,781.03,932.85,700.25
Olhão,913.42,1517.52,1302.54,1173.08,978.77,771.01,963.75,815.69,862.67,734.78
Portimão,1013.31,1892.59,1610.49,1437.57,981.44,831.43,847.04,905.62,966.82,771.79
São Brás de Alportel,933.87,1379.15,1486.3,1025.65,948.89,753.39,717.54,813.84,892.1,718.9
Silves,935.73,1600.16,1577.57,1181.81,992.83,794.76,807.75,793.93,872.67,752.46
Tavira,885.84,1409.85,1381.46,1188.03,960.84,782.78,775,816.18,887.86,727.24
Vila do Bispo,960.22,1658.81,1350.94,1171.85,1004.15,908.42,912.32,920.53,852.83,781.71
Vila Real de Santo António,912.2,1443.34,1505.76,1158.7,957.15,785.23,1003.24,872.36,901.94,743.83
R. A. Açores,1065.39,2035.65,1687.72,1760.25,1083.77,815.31,916.69,870.76,941.84,801.11
Santa Maria,1916.96,1681.51,1853.78,5975.15,1339.45,815.8,713.53,978.03,1037.34,806.02
Vila do Porto,1916.96,1681.51,1853.78,5975.15,1339.45,815.8,713.53,978.03,1037.34,806.02
São Miguel,1071.78,2374.97,1684.09,1699.72,1094.03,826.94,950.28,869.24,925.78,788.1
Lagoa (R.A.A.),937.3,1917.91,1489.65,1275.1,971.85,774.59,1057.04,773.55,865.83,755.75
Nordeste,842.97,1084.27,1280.51,954.09,1036.28,780.74,750.98,676.93,745.72,709.67
Ponta Delgada,1147.35,2542.82,1719.97,1881.26,1138.73,844.74,947,928.41,968.8,811.11
Povoação,895.12,2081.31,1445.86,1110.74,977.38,768.26,1549.04,792.76,796.97,695.98
Ribeira Grande,975.19,2126.9,1711.85,1324.47,1019.16,816.1,780.79,846.1,903.04,763.07
Vila Franca do Campo,826.43,1967.97,1386.76,1149.18,834.5,770.54,663.15,719.44,758.41,711.46
Terceira,1018.14,1682.41,1775.03,1283.48,1054.3,792.21,727.67,877.36,940.9,814.51
Angra do Heroísmo,1006.02,1610.62,1813.55,1231.91,985.84,791.19,669.93,872.94,853.21,766.36
Vila da Praia da Vitória,1047.07,1902.84,1605.26,1404.88,1186.24,794.89,853.75,887.35,1137.57,907.09
Graciosa,934.22,2169.19,1419.72,1478.03,1134.47,789.13,…,817.24,917.17,792.28
Santa Cruz da Graciosa,934.22,2169.19,1419.72,1478.03,1134.47,789.13,…,817.24,917.17,792.28
São Jorge,926.18,1209.91,1370.25,1326.2,1059.31,824.64,698.29,790.65,889.16,777.86
Calheta (R.A.A.),864.56,1777.47,1333.1,1027.22,977.1,775.29,740.05,725.09,803.39,722.6
Velas,960.8,1024.58,1405,1431.99,1098.49,849.51,664.88,856.2,924.89,807.44
Pico,929.93,1247.29,1175.92,1351.63,1031.64,786.43,976.7,848.52,983.44,805.16
Lajes do Pico,851.32,1085.61,976.14,1210.36,992.44,753.89,920.69,818.86,737.76,740.58
Madalena,917.45,1254.05,1208.11,1124.62,1031.21,798.21,1057,814.7,978.52,795.06
São Roque do Pico,1022,1523.38,1293.21,1758.25,1061.08,793.29,642.85,928.08,1033.07,883.12
Faial,1090.11,1672.46,1731.56,1776.67,1021.17,817.27,1347.66,887.92,1096.4,888.52
Horta,1090.11,1672.46,1731.56,1776.67,1021.17,817.27,1347.66,887.92,1096.4,888.52
Flores,1051.59,1159.78,1671.41,1911.13,1124.26,791.65,636.73,940.2,1001.69,833.22
Lajes das Flores,963.11,1229.82,1236.3,1501.91,862.99,886.54,//,679.05,1094.65,890.58
Santa Cruz das Flores,1082.28,1130.59,2044.36,1994.83,1227.06,754.86,636.73,966.98,978.46,805.99
Corvo,1444.71,…,1608.57,2154.97,1558,764.86,…,1335.41,1408.33,786.09
Corvo,1444.71,…,1608.57,2154.97,1558,764.86,…,1335.41,1408.33,786.09
R. A. Madeira,1096.41,2498.52,1758.89,1449.67,1093.44,824.32,822.28,1008.16,1041.52,843.45
Calheta (R.A.M.),1141.91,2368.73,2441.82,1588.23,1100.8,812.66,869.95,1079.33,1284.1,901.25
Câmara de Lobos,950.94,2034.37,1470.08,1362.32,993.67,750.99,699.27,870.67,947.52,787.16
Funchal,1136.03,2677.77,1788.47,1408.78,1078.66,836.24,868.42,1081.81,1062.13,826.62
Machico,1039.98,2204.64,1630.43,1307.34,1126.25,762.4,1181.69,900.1,967.09,912.41
Ponta do Sol,834.46,1692.8,1039.75,1083.89,869.47,705.04,688.26,801.98,951.02,755.28
Porto Moniz,788.81,2096.22,1282.18,1029.28,949.87,700.04,…,890.25,…,732.37
Ribeira Brava,895.25,1865.93,1358.22,1114.67,955.9,747.85,740.71,816.95,818.32,893.53
Santa Cruz,1084.29,2074.01,1637.09,1768.87,1242.1,888.08,760.99,930.2,971.54,876.05
Santana,862.43,2222.42,1480.47,1013.11,1066.39,741.04,692.55,835.42,778.35,745.21
São Vicente,854.09,1842.34,1069.76,1073.27,1020.68,757.12,721.7,792.22,770.1,756.99
Porto Santo,1142.94,2037.2,1798.78,2209.08,1276.5,823.64,765.72,1413.6,1037.06,982.17
