,Total de despesas em atividades culturais e criativas (Euros),"Despesas correntes, Total (Euros)","Despesas correntes, das quais, Património, Total  (Euros)","Despesas correntes, das quais, Património, Museus (Euros)","Despesas correntes, das quais, Bibliotecas e arquivos, Total (Euros)","Despesas correntes, das quais, Bibliotecas e arquivos, Bibliotecas (Euros)","Despesas correntes, das quais, Artes do espetáculo, Total (Euros)","Despesas correntes, das quais, Artes do espetáculo, Música (Euros)","Despesas correntes, das quais, Artes do espetáculo, Multidisciplinares (Euros)","Despesas correntes, das quais, Artes do espetáculo, Construção e manutenção de recintos de espetáculos (Euros)","Despesas correntes, das quais, Atividades interdisciplinares, Total (Euros)","Despesas correntes, das quais, Atividades interdisciplinares, Apoio a entidades culturais e criativas (Euros)"
Ponte de Sor,1187126,1157663,0,0,113936,113936,352408,283475,0,0,535633,96404
Portalegre,1448299,1202869,758209,409191,143036,143036,208452,133334,28169,0,17987,6350
Sousel,233222,233222,54827,54827,52928,52928,54038,0,54038,0,69501,69501
Alentejo Central,16876421,13445041,1442531,711048,1437092,1191295,3720299.999999999,2045974,724673,324995,5142861,1398419.0000000002
Alandroal,579206,579206,22955,0,65974,65974,146340,146340,0,0,0,0
Arraiolos,796425,722535,124211,122642,81994,81994,382228,334693,0,0,42857,42857
Borba,491273,461557,0,0,22324,22324,290992,0,290992,0,142639,35842
Estremoz,1556128,861143,208458,114130,101954,51698,353711,189612,30407,99264,63746,63746
Évora,2864116,1722698,179230,85408,28458,14229,145616,28457,28458,14229,1011658,612076
Montemor-o-Novo,2694230,2179763,201975,0,212365,144048,1155290,429611,308360,67552,509629,115546
Mora,538275,525257,118423,116433,18102,18102,228832,214182,0,0,101618,73938
Mourão,430349,208198,18474,0,36890,36890,40232,28763,0,369,88021,0
Portel,1138194,856861,95611,84952,148077,125737,344968,163081,49761,87333,58095,38169
Redondo,1027840,870076,311676,85114,282093,248034,125823,106145,0,0,85259,85259
Reguengos de Monsaraz,735113,735113,22050,22050,208492,152264,77855,77855,0,0,284212,284212
Vendas Novas,228669,228669,0,0,91231,90863,92754,87632,0,0,19097,19097
Viana do Alentejo,3293721,3042341,47604,0,139138,139138,298003,205006,16695,56248,2435706,0
Vila Viçosa,502882,451624,91864,80319,0,0,37656,34597,0,0,300324,27677
Algarve,36880872,33450185,6269878.999999999,3172479.0000000005,5433349.999999999,4024073.0000000005,10896866.999999998,4195697,1011509.0000000001,2474534.9999999995,8048497,4937854.000000001
Albufeira,2975775,2850930,309364,309364,328121,216000,1397730,611211,772916,0,784749,617448
Alcoutim,795293,774998,233477,85748,28401,14597,432298,0,0,0,35032,33101
Aljezur,532643,527064,84251,73407,1500,0,294268,152185,0,44242,89639,46139
Castro Marim,903349,903349,301090,1623,60568,60568,166854,116179,0,0,126510,26045
Faro,2579017,2544212,679863,678916,628562,566969,311308,99534,104915,0,703077,527997
Lagoa,2805906,2762861,0,0,444430,250919,1855453,1538447,96000,158130,362130,362130
Lagos,3976944,3545686,1258935,396696,492809,308501,917491,323039,190,271592,394240,394240
Loulé,9243367,7552071,869914,231758,914889,539192,3040226,434892,0,637695,2239987,1334987
Monchique,349897,347997,15052,0,44246,44246,199216,129226,0,0,0,0
Olhão,1781207,1723792,258793,198320,527117,402799,75742,0,0,75742,719571,76071
Portimão,1671869,1528212,618098,618098,365296,365296,0,0,0,0,117259,117259
São Brás de Alportel,1180088,1088930,135537,19075,168280,167066,80861,65526,10484,0,484167,49900
