,Total (N.º),"Nível de habilitações, Inferior ao 1º ciclo do ensino básico (N.º)","Nível de habilitações, 1º ciclo do ensino básico (N.º)","Nível de habilitações, 2º ciclo do ensino básico (N.º)","Nível de habilitações, 3º ciclo do ensino básico (N.º)","Nível de habilitações, Ensino secundário (N.º)","Nível de habilitações, Curso técnico superior profissional (N.º)","Nível de habilitações, Bacharelato (N.º)","Nível de habilitações, Licenciatura (N.º)","Nível de habilitações, Mestrado (N.º)","Nível de habilitações, Doutoramento (N.º)"
Alvaiázere,1057,…,168,209,334,228,…,10,92,…,…
Ansião,2223,…,329,350,659,591,0,31,222,27,…
Batalha,4611,…,582,734,1372,1246,…,63,528,49,…
Castanheira de Pêra,341,…,77,41,97,82,0,0,36,…,0
Figueiró dos Vinhos,586,0,77,85,164,165,0,11,75,9,0
Leiria,35910,114,3067,4706,9842,10803,34,558,5998,714,20
Marinha Grande,10921,24,571,1092,2984,3998,…,197,1801,231,…
Pedrógão Grande,462,…,70,71,94,141,0,5,71,…,0
Pombal,11838,58,1409,1892,3299,3611,3,125,1270,154,4
Porto de Mós,4692,18,613,800,1363,1251,…,60,517,59,…
Viseu Dão Lafões,50041,…,4911,7701,14094,14550,…,759,6932,824,65
Aguiar da Beira,886,3,166,165,244,197,…,…,94,9,0
Carregal do Sal,1725,…,174,258,552,443,…,…,227,37,…
Castro Daire,1709,4,236,313,514,460,0,8,153,19,0
Mangualde,5013,…,463,1013,1546,1417,0,96,428,34,…
Nelas,2915,…,240,378,1002,845,0,52,338,49,…
Oliveira de Frades,3106,8,319,544,850,795,0,19,388,180,3
Penalva do Castelo,940,5,203,211,232,185,0,9,84,8,3
Santa Comba Dão,1287,…,216,234,340,311,0,19,146,11,…
São Pedro do Sul,2046,8,241,370,616,588,0,18,190,11,0
Sátão,1344,…,199,286,367,363,…,7,102,12,0
Tondela,5585,14,578,772,1405,1833,…,86,782,99,…
Vila Nova de Paiva,473,6,38,91,159,133,0,3,39,4,0
Viseu,21339,74,1667,2730,5791,6489,…,394,3796,330,…
Vouzela,1673,…,171,336,476,491,0,…,165,21,0
Beira Baixa,13712,…,1487,1738,4023,3924,…,275,2014,176,9
Castelo Branco,9975,…,946,1227,2967,2946,…,211,1488,144,6
Idanha-a-Nova,935,10,167,116,252,226,0,21,133,7,3
Oleiros,586,…,91,111,168,148,…,8,52,…,0
Penamacor,423,…,82,45,131,95,…,6,56,3,0
Proença-a-Nova,1008,…,140,158,294,238,…,10,160,…,0
Vila Velha de Ródão,785,…,61,81,211,271,0,19,125,…,0
Médio Tejo,43164,163,4128,5575,12382,13639,12,688,5895,603,24
Abrantes,5614,14,517,593,1569,1835,0,95,891,94,3
Alcanena,3703,8,351,537,1112,1114,0,53,479,43,0
Constância,865,…,75,114,245,276,0,21,119,…,0
Entroncamento,2816,…,118,223,844,1106,0,64,415,…,0
Ferreira do Zêzere,1556,33,188,295,390,480,…,20,131,…,…
Mação,971,5,151,169,349,222,0,10,61,4,0
Ourém,11743,55,1422,1662,3215,3384,5,173,1615,183,5
Sardoal,316,…,53,40,89,107,0,…,…,…,0
Sertã,2334,…,265,242,662,897,0,26,219,15,…
Tomar,5407,12,386,705,1542,1729,…,98,826,97,…
Torres Novas,6778,26,482,875,2049,2125,…,117,1001,84,…
Vila de Rei,557,…,62,62,148,194,0,…,76,7,0
Vila Nova da Barquinha,504,…,58,58,168,170,0,…,…,4,0
Beiras e Serra da Estrela,35952,134,4405,4947,10133,9694,14,721,5248,588,30
Almeida,796,…,94,125,300,186,0,…,77,…,0
Belmonte,1248,15,219,247,265,327,0,…,137,22,…
Celorico da Beira,968,…,211,172,313,182,0,…,75,4,0
Covilhã,8348,17,837,1165,2084,2510,3,194,1338,169,10
Figueira de Castelo Rodrigo,617,…,89,99,210,118,0,12,80,…,0
Fornos de Algodres,596,…,162,79,166,117,0,…,61,…,0
Fundão,4850,26,535,635,1384,1330,4,87,736,106,6
Gouveia,1552,14,269,243,406,390,…,23,180,19,…
Guarda,8786,28,709,960,2544,2556,…,251,1560,162,…
Manteigas,447,…,63,88,125,97,0,…,65,…,0
Mêda,537,…,101,119,136,105,0,6,64,…,0
Pinhel,1100,0,233,155,316,239,0,17,122,…,…
Sabugal,1533,5,211,146,599,332,0,16,203,20,0
Seia,3203,17,504,526,848,831,…,38,399,35,…
Trancoso,1371,…,168,188,437,374,0,39,151,…,0
A. M. Lisboa,700524,1823,40524,50962,154176,229902,330,16778,174404,27289,2394
Alcochete,3757,…,312,397,965,1438,…,60,515,39,…
Almada,19470,66,1247,1887,5346,6342,7,352,3596,449,109
Amadora,31789,106,2484,2414,7296,9423,7,727,7312,1389,534
Barreiro,8021,30,560,777,2483,2557,4,113,1325,149,10
Cascais,34998,106,2188,2912,8917,12028,16,918,7025,741,41
Lisboa,308717,699,12747,14309,48963,102552,168,8437,101229,17371,1259
Loures,42855,116,3819,5161,12533,13305,16,745,6317,740,32
Mafra,16274,47,1588,2707,5187,4879,10,164,1491,152,12
Moita,4028,…,284,572,1305,1295,…,53,437,53,…
Montijo,8423,79,827,1096,2444,2695,6,109,1002,118,3
Odivelas,14906,47,1456,1713,4434,4926,7,169,1840,236,15
Oeiras,71350,110,3172,3314,11826,22034,27,2551,24571,3395,229
Palmela,20933,32,1105,1811,7950,7202,5,351,2169,262,7
Seixal,16161,44,1187,1701,5133,5709,6,244,1819,234,55
Sesimbra,4570,19,657,638,1478,1259,…,44,414,50,…
Setúbal,19113,56,1325,1942,5930,6428,4,416,2721,242,16
Sintra,51623,174,3881,5207,15095,17600,31,927,7307,1173,53
Vila Franca de Xira,23536,55,1685,2404,6891,8230,8,398,3314,496,14
Alentejo,131398,803,14878,17428,37968,40016,54,1708,16256,1710,93
Alentejo Litoral,20733,123,2309,2483,5846,6726,7,230,2453,246,14
Alcácer do Sal,1795,27,343,277,468,469,0,16,169,20,4
Grândola,1981,…,201,256,565,712,0,16,196,20,…
Odemira,6605,…,927,861,1985,1888,0,58,528,51,…
Santiago do Cacém,4404,27,461,547,1153,1389,…,40,728,50,…
Sines,5948,14,377,542,1675,2268,…,100,832,105,…
Baixo Alentejo,20106,158,2438,2707,5911,5768,7,262,2507,267,19
Aljustrel,1710,16,199,206,571,467,0,20,198,25,0
Almodôvar,825,13,126,78,258,261,0,3,81,4,0
Alvito,202,…,…,34,54,63,0,…,34,0,0
Barrancos,221,0,…,43,69,73,…,…,19,…,0
Beja,6688,51,635,770,1901,1959,…,98,1140,113,…
Castro Verde,2877,10,319,380,873,873,0,51,335,29,3
Cuba,397,3,64,53,106,101,0,7,50,13,0
Ferreira do Alentejo,1380,10,258,260,370,294,0,15,117,15,3
Mértola,803,…,152,118,201,256,0,6,58,7,…
Moura,1815,27,200,232,514,600,0,30,195,…,…
Ourique,814,4,139,161,248,184,0,6,61,9,0
Serpa,1724,10,219,261,568,478,…,…,149,20,0
Vidigueira,650,9,100,111,178,159,0,6,70,17,0
Lezíria do Tejo,45104,259,4554,6061,13405,13836,19,665,5646,541,26
Almeirim,3064,…,423,361,921,900,…,34,382,20,0
Alpiarça,1138,4,129,103,533,252,0,6,107,4,0
Azambuja,8076,15,456,797,2132,3615,0,127,820,94,11
Benavente,6106,39,628,996,1935,1623,…,91,657,98,…
Cartaxo,2778,…,243,422,870,804,…,47,330,42,0
Chamusca,1487,…,214,255,498,294,…,16,185,19,0
Coruche,2635,…,441,460,745,639,…,30,270,32,…
Golegã,807,5,89,101,255,222,4,14,102,15,0
Rio Maior,4518,45,519,666,1351,1297,…,52,523,51,…
Salvaterra de Magos,2783,…,408,479,810,754,0,29,269,15,…
Santarém,11712,94,1004,1421,3355,3436,…,219,2001,151,…
Alto Alentejo,16360,95,2274,2436,4803,4310,…,280,1929,201,…
Alter do Chão,402,14,91,68,99,80,…,…,39,3,0
Arronches,403,0,62,86,113,69,0,…,67,…,…
Avis,787,…,122,124,257,199,0,12,67,…,…
Campo Maior,2243,…,235,299,600,672,…,70,326,28,0
Castelo de Vide,487,0,71,74,166,117,0,6,48,…,…
Crato,399,5,65,81,128,81,…,…,32,3,0
Elvas,2822,…,365,373,929,783,…,30,293,30,…
Fronteira,421,7,71,73,146,73,0,3,44,3,0
Gavião,292,7,66,42,97,57,0,3,20,0,0
Marvão,309,0,39,50,104,73,0,0,39,3,0
Monforte,487,…,88,74,130,109,…,7,69,5,…
Nisa,657,5,119,144,201,123,0,12,49,3,0
Ponte de Sor,2271,10,341,352,617,635,…,40,244,…,…
Portalegre,3767,…,428,491,1018,1093,…,83,551,84,0
Sousel,613,…,111,105,198,146,…,…,41,3,0
Alentejo Central,29095,168,3303,3741,8003,9376,…,271,3721,455,…
Alandroal,600,…,139,135,158,104,…,4,44,3,…
Arraiolos,1081,…,187,180,294,270,…,8,102,25,…
Borba,942,4,98,156,299,289,0,6,86,4,0
Estremoz,2399,10,248,335,686,826,…,32,230,24,…
Évora,13174,50,958,1258,3344,4987,…,123,2121,311,…
Montemor-o-Novo,2775,25,451,432,758,748,0,30,309,…,…
Mora,687,5,188,104,166,148,0,3,68,5,0
Mourão,198,…,57,…,48,45,0,0,18,…,0
Portel,615,3,95,93,203,151,0,4,61,4,0
Redondo,844,…,125,143,258,217,…,9,78,7,…
Reguengos de Monsaraz,1686,8,292,241,494,439,0,14,181,17,0
Vendas Novas,1990,15,175,287,682,575,0,22,210,18,4
Viana do Alentejo,634,7,82,…,221,165,…,…,62,5,0
Vila Viçosa,1470,15,208,262,392,412,…,…,151,11,…
Algarve,111242,599,10095,11884,35227,36489,35,1671,13214,1235,83
