,"Quintiles of gross reported income less personal income paid tax by taxable person, 1st quintile, €","Quintiles of gross reported income less personal income paid tax by taxable person, 2nd quintile, €","Quintiles of gross reported income less personal income paid tax by taxable person, 3rd quintile, €","Quintiles of gross reported income less personal income paid tax by taxable person, 4th quintile, €","Distribution of the number of taxable persons by gross reported income less personal income paid tax class, Less than  5 000 €, No.","Distribution of the number of taxable persons by gross reported income less personal income paid tax class, From 5 000 to less than 10 000 €, No.","Distribution of the number of taxable persons by gross reported income less personal income paid tax class, From 10 000 to less than 13 500 €, No.","Distribution of the number of taxable persons by gross reported income less personal income paid tax class, From  13 500 to less than  19 000 €, No.","Distribution of the number of taxable persons by gross reported income less personal income paid tax class, From  19 000 to less than  32 500 €, No.","Distribution of the number of taxable persons by gross reported income less personal income paid tax class, 32 500 € or more, No."
Gondomar,5527,8246,10512,14648,19358,47379,23314,15766,10726,1977
Maia,6459,9188,12522,18431,11852,32079,18748,16123,14468,3687
Matosinhos,6323,9061,12087,18162,15712,43989,23521,19369,17219,5780
Oliveira de Azeméis,5902,8350,10435,13946,6936,21752,10813,6638,3677,720
Paredes,4372,6688,8700,11728,15702,26708,9006,4894,3126,501
Porto,6338,9302,13684,22684,21357,50614,25321,23052,29353,14220
Póvoa de Varzim,4991,7628,9843,14414,9127,18606,7345,5124,4289,1004
Santa Maria da Feira,5459,7942,9998,13572,16442,43432,19675,11295,7401,1515
Santo Tirso,5748,7910,9569,13070,7257,25368,9382,5344,3498,724
São João da Madeira,5993,8462,10610,14990,2227,6993,3339,2095,1655,409
Trofa,5761,8299,10207,13591,4171,12464,6030,3471,1976,383
Vale de Cambra,5693,8174,10446,14095,2318,6869,3363,2115,1241,247
Valongo,5748,8400,10769,14952,10360,26701,13591,9736,6585,968
Vila do Conde,5551,8153,10370,14767,9356,24179,10507,7194,5443,1427
Vila Nova de Gaia,5807,8529,11139,16198,31777,81206,40511,30307,24479,6445
Alto Tâmega,4200,6202,8754,12462,16398,22837,7666,5144,3882,640
Boticas,3966,5920,8347,10739,1030,1487,381,241,136,29
Chaves,4498,6991,9540,14183,6284,9714,3806,2801,2381,432
Montalegre,3761,5748,8400,11483,2042,2542,802,503,342,42
Ribeira de Pena,4079,5877,8400,11236,1260,1700,529,320,179,25
Valpaços,3612,5406,7637,10677,3409,4057,1138,613,392,56
Vila Pouca de Aguiar,4179,6135,8427,11616,2373,3337,1010,666,452,56
Tâmega e Sousa,4479,6644,8580,11306,72137,136896,38627,21897,13476,1983
Amarante,4289,6309,8575,11844,10128,15875,4578,3050,2210,352
Baião,4327,6084,8384,11050,3268,5439,1531,914,406,56
Castelo de Paiva,4586,6699,8737,11044,2680,5419,1623,815,404,43
Celorico de Basto,4218,6180,8376,10662,3226,5354,1278,780,460,59
Cinfães,3837,5433,7658,10302,4054,5132,1302,695,457,49
Felgueiras,4990,7290,8816,11291,8214,21576,5979,3094,1804,312
Lousada,4682,7032,8624,11206,7833,17253,4867,2584,1452,180
Marco de Canaveses,4236,6129,8400,11124,9481,15233,4270,2563,1443,219
Paços de Ferreira,4649,6964,8533,11048,9227,20213,5168,2853,1738,238
Penafiel,4647,6952,8866,11912,11603,22826,7360,4127,2807,431
Resende,3502,5215,7583,10553,2423,2576,671,422,295,44
Douro,4502,6806,9165,13521,30902,50384,18507,12689,10407,1951
Alijó,4200,6033,8400,11328,2148,3377,976,606,348,45
Armamar,4227,6068,8400,11424,997,1583,430,277,186,29
Carrazeda de Ansiães,4200,6087,8413,11944,1042,1521,456,319,205,30
Freixo de Espada à Cinta,4705,6659,8854,11756,//,//,//,//,//,//
Lamego,4525,6923,9426,14117,4138,6498,2432,1774,1599,280
Mesão Frio,4171,5771,8372,11017,810,1090,353,187,97,19
Moimenta da Beira,4383,6720,8919,12403,1476,2475,878,520,396,50
Murça,3986,5828,8218,11493,1144,1512,502,260,204,19
Penedono,//,//,//,//,//,//,//,//,//,//
Peso da Régua,4547,6766,9151,13332,2502,4256,1489,1091,785,115
Sabrosa,4546,6529,8731,11610,932,1822,570,352,165,35
Santa Marta de Penaguião,3550,5592,7827,10674,1559,2069,531,329,196,30
São João da Pesqueira,3944,5839,8234,11246,1395,1937,613,328,218,39
Sernancelhe,4304,6293,8475,10832,962,1481,439,208,146,23
Tabuaço,4174,5945,8222,11150,948,1334,359,219,166,22
Tarouca,4426,6600,8878,12046,1119,1887,600,407,249,21
Torre de Moncorvo,4445,6507,8892,12407,1252,2024,735,398,336,34
Vila Nova de Foz Côa,4242,6526,8792,12359,1219,1863,659,400,286,36
Vila Real,5294,8400,11265,17320,6180,11807,5847,4706,4619,1099
Terras de Trás-os-Montes,4682,7162,9651,14257,17187,29205,11595,8499,6867,1139
Alfândega da Fé,4282,5997,8400,11978,918,1303,380,277,186,25
Bragança,5538,8651,11362,16948,3959,8177,4519,3450,3186,575
Macedo de Cavaleiros,4167,6180,8677,12703,2844,3840,1215,883,718,128
Miranda do Douro,4950,7354,9556,13691,979,2109,752,570,376,41
Mirandela,4650,7113,9623,14279,3390,5739,2241,1730,1316,205
Mogadouro,4475,6566,8878,12531,1531,2536,835,532,433,70
Vila Flor,4210,6034,8400,11845,1207,1740,483,350,216,52
Vimioso,4216,6273,8616,11952,845,1288,432,260,165,16
Vinhais,4374,6089,8400,11354,1514,2473,738,447,271,27
Centro,5679,8400,10703,15060,242004,630290,306910,214237,153501,33619
Oeste,5605,8320,10554,14812,40392,103913,49764,34339,23949,4842
Alcobaça,5907,8399,10365,13903,5362,16901,8334,4874,2979,500
Alenquer,6135,8820,11206,15124,4040,11978,6948,4877,3028,501
Arruda dos Vinhos,6540,9243,12585,18398,1133,3377,1828,1693,1430,392
Bombarral,5163,7634,9888,13618,1605,3650,1622,971,673,126
Cadaval,5147,7578,9847,13771,1690,3824,1639,1156,608,124
Caldas da Rainha,5522,8301,10600,15336,5917,14421,6707,4634,3779,896
Lourinhã,5087,7671,9967,14283,3526,7490,3131,2303,1563,301
Nazaré,5244,7856,10009,13593,2027,4602,2189,1319,797,126
Óbidos,5265,7916,10166,14406,1481,3424,1488,1009,735,161
Peniche,5529,8050,10083,14190,3052,8225,3460,2369,1651,235
Sobral de Monte Agraço,5901,8636,10991,15761,1021,2809,1434,1058,779,169
Torres Vedras,5548,8350,10665,15338,9538,23212,10984,8076,5927,1311
Região de Aveiro,5761,8527,10987,15364,39615,100691,53842,37130,26622,6260
Águeda,5875,8400,10460,14140,4708,14608,7221,4420,2655,622
Albergaria-a-Velha,5802,8401,10660,14160,2675,7363,3965,2511,1343,255
Anadia,5353,7905,10106,14046,3517,8528,3808,2547,1593,327
Aveiro,6624,9495,12779,18968,6899,18242,11588,9712,8881,2660
Estarreja,5511,8379,10671,14372,3140,7305,4136,2675,1557,257
Ílhavo,6013,8820,11454,16393,3992,9963,5707,4122,3365,738
Murtosa,4414,7333,9927,14225,1669,2453,1206,790,591,113
Oliveira do Bairro,5543,8262,10416,13975,2590,6514,3354,2090,1231,197
Ovar,5859,8492,10877,15088,5780,15795,8232,5526,3933,816
Sever do Vouga,5276,7684,9951,13290,1463,3513,1674,991,530,69
Vagos,4906,7592,9735,13181,3182,6407,2951,1746,943,206
Região de Coimbra,5914,8657,11211,16285,43836,119804,60240,44583,35744,10218
Arganil,5095,7293,9106,12063,1481,3837,1251,681,413,61
Cantanhede,5041,7623,10027,14020,4775,9739,4413,3144,1870,322
Coimbra,6988,9831,13612,21191,10013,32193,18879,16492,17823,7187
