,"Quintiles of gross reported income less personal income paid tax by tax household, 1st quintile, €","Quintiles of gross reported income less personal income paid tax by tax household, 2nd quintile, €","Quintiles of gross reported income less personal income paid tax by tax household, 3rd quintile, €","Quintiles of gross reported income less personal income paid tax by tax household, 4th quintile, €","Distribution of the number of tax households by gross reported income less personal income paid tax class, Less than  5 000 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From 5 000 to less than 10 000 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From 10 000 to less than 13 500 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From  13 500 to less than  19 000 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From  19 000 to less than  32 500 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, 32 500 € or more, No."
Castelo de Vide,7354,9718,14102,21744,163,539,274,266,325,112
Crato,7578,9709,13090,19744,156,548,327,279,275,84
Elvas,7359,9724,13438,21444,1073,3356,1966,1552,1884,775
Fronteira,7652,9652,13358,20907,122,528,276,239,255,99
Gavião,7736,9564,12617,19278,161,621,357,292,290,83
Marvão,6999,9247,12577,19294,169,589,255,260,263,69
Monforte,//,//,//,//,//,//,//,//,//,//
Nisa,7201,9578,12960,20361,311,1118,617,509,540,199
Ponte de Sor,6253,9092,11815,18432,1122,2855,1490,1133,1137,415
Portalegre,8093,10646,15546,24515,955,3380,2070,1911,2390,1313
Sousel,6886,9151,12068,18905,219,841,389,342,329,110
Alentejo Central,8070,10437,14742,22887,6316,22661,14330,12743,15309,6730
Alandroal,7418,9205,12063,18100,270,989,560,395,407,81
Arraiolos,8065,10085,13616,21154,248,1114,703,558,642,204
Borba,7915,10187,14040,21017,266,979,612,589,595,178
Estremoz,8222,10313,14385,22172,471,1965,1246,1077,1242,479
Évora,8449,11438,17254,26638,2065,6980,4624,4381,6474,3578
Montemor-o-Novo,8012,10225,14244,21821,585,2366,1454,1317,1412,569
Mora,7671,9737,13052,18970,//,//,//,//,//,//
Mourão,//,//,//,//,//,//,//,//,//,//
Portel,7239,9224,12198,18109,270,984,562,433,405,104
Redondo,7366,9328,12298,18606,307,1136,629,496,433,179
Reguengos de Monsaraz,7652,10012,13515,20824,474,1523,1002,809,878,319
Vendas Novas,8079,10627,15067,23194,531,1468,1005,979,1113,478
Viana do Alentejo,7656,9761,13465,20763,236,842,473,416,464,152
Vila Viçosa,8235,10387,14146,21393,283,1158,778,719,704,251
Algarve,6497,9215,13007,21125,33040,79589,41607,35824,40442,19268
Albufeira,5909,8854,12058,19446,3984,9120,4325,3586,3846,1680
Alcoutim,//,//,//,//,//,//,//,//,//,//
Aljezur,5723,8767,11339,18857,465,987,426,331,393,152
Castro Marim,6367,9155,12661,20410,458,1131,529,469,562,207
Faro,7178,10232,15086,24838,4411,9910,6022,5459,6942,4303
Lagoa,6491,9198,12784,20700,1658,3973,2079,1772,1968,908
Lagos,6389,9153,12594,20447,2328,5628,2882,2406,2693,1214
Loulé,6338,9173,12846,20652,5650,12744,6779,5888,6168,3099
Monchique,6731,9152,11891,17566,//,//,//,//,//,//
Olhão,6774,9318,12903,21099,2746,7015,3825,3080,3655,1560
Portimão,6512,9290,13135,21361,4162,10444,5456,4646,5394,2591
São Brás de Alportel,6812,9564,13737,22271,696,1675,884,802,956,501
Silves,6637,9157,12696,19930,2435,6545,3396,2986,3142,1140
Tavira,6232,9112,12454,20457,1932,4726,2247,1900,2160,1001
Vila do Bispo,6179,9078,11979,18949,429,1015,500,422,439,149
Vila Real de Santo António,6674,9151,12698,20071,1281,3320,1597,1489,1612,600
R. A. Açores,6966,9853,14491,23654,13376,33494,18058,16108,20374,12704
Santa Maria,6586,9957,15298,25214,347,734,396,364,493,348
Vila do Porto,6586,9957,15298,25214,347,734,396,364,493,348
São Miguel,6732,9767,14348,23802,7586,18362,9689,8340,10938,7136
Lagoa (R.A.A.),6164,9101,12357,21394,973,2069,1027,757,959,597
Nordeste,6004,8820,10925,17618,285,754,370,246,249,90
Ponta Delgada,7709,10684,16645,27076,3273,8864,5126,4865,6745,4993
Povoação,5090,8441,10922,18158,506,920,394,311,348,141
Ribeira Grande,6221,9153,12669,21195,1798,4172,2043,1674,2092,1033
Vila Franca do Campo,5440,8783,10922,18383,751,1583,729,487,545,282
Terceira,7556,10201,15170,24363,2881,7522,4310,4026,5058,3102
Angra do Heroísmo,7510,10164,15256,24946,1843,4921,2757,2512,3225,2148
Vila da Praia da Vitória,7647,10263,15059,23361,1038,2601,1553,1514,1833,954
Graciosa,6647,9550,13341,21294,250,601,336,284,329,168
Santa Cruz da Graciosa,6647,9550,13341,21294,250,601,336,284,329,168
São Jorge,6548,9373,12975,20258,545,1379,703,649,672,293
Calheta (R.A.A.),6141,9124,12001,19076,272,601,300,254,263,95
Velas,7004,9688,13716,21246,273,778,403,395,409,198
Pico,7142,9612,13636,21338,730,2225,1114,1057,1093,598
Lajes do Pico,7204,9643,13636,20916,196,696,325,338,320,167
Madalena,7330,9714,13947,21657,323,992,527,487,538,270
São Roque do Pico,6938,9371,13061,21597,211,537,262,232,235,161
Faial,7697,10381,15625,25146,737,2047,1158,1094,1450,888
Horta,7697,10381,15625,25146,737,2047,1158,1094,1450,888
Flores,6252,9462,13106,21062,//,//,//,//,//,//
Lajes das Flores,//,//,//,//,//,//,//,//,//,//
Santa Cruz das Flores,//,//,//,//,//,//,//,//,//,//
Corvo,//,//,//,//,//,//,//,//,//,//
Corvo,//,//,//,//,//,//,//,//,//,//
R. A. Madeira,7201,9930,14243,23162,13519,33380,19980,16273,21080,11812
Calheta (R.A.M.),5713,8891,11756,19576,685,1334,659,523,567,292
Câmara de Lobos,6491,9017,11442,17639,1720,4793,2598,1778,1666,573
Funchal,7589,10523,15719,25669,5801,14146,8875,7678,10510,7021
Machico,7211,9671,13143,20798,1029,2721,1669,1320,1480,613
Ponta do Sol,5537,8668,11487,19222,530,1083,511,365,442,197
Porto Moniz,//,//,//,//,//,//,//,//,//,//
Ribeira Brava,6780,9151,12317,19831,606,1673,869,708,773,288
Santa Cruz,7652,10643,16061,25025,2079,4866,3214,2731,4232,2139
Santana,6180,8965,11225,18149,399,1038,513,354,388,137
São Vicente,6180,9015,11863,18999,//,//,//,//,//,//
Porto Santo,7995,11030,16206,26053,261,711,561,427,614,383
