,"Gross reported income per inhabitant, €","Personal income paid tax per inhabitant, €","Gross reported income less personal income paid tax per inhabitant, €","Gross reported income per tax household, €","Median value of gross reported income per tax household, €","Personal income paid tax per tax household, €","Gross reported income less personal income paid tax per tax household, €"
Santarém,9850,1156,8694,18993,12784,2229,16764
Alto Alentejo,8646,818,7827,16474,11691,1559,14915
Alter do Chão,8136,732,7404,16021,11806,1442,14579
Arronches,8021,648,7372,15298,11089,1237,14061
Avis,7009,541,6468,14433,10964,1114,13319
Campo Maior,9404,1069,8335,18638,12756,2118,16520
Castelo de Vide,9575,912,8663,16738,11733,1595,15143
Crato,7971,605,7366,15078,11529,1144,13934
Elvas,8609,861,7748,16736,11716,1674,15062
Fronteira,8330,745,7584,16341,11575,1462,14879
Gavião,8070,571,7499,14785,11248,1046,13739
Marvão,7719,593,7127,14570,10820,1119,13452
Monforte,6873,565,6308,14808,//,1216,13592
Nisa,8355,699,7655,15484,11335,1296,14188
Ponte de Sor,7767,643,7124,14333,10457,1187,13146
Portalegre,10283,1112,9171,19050,13284,2061,16989
Sousel,7285,535,6751,14483,10702,1063,13420
Alentejo Central,9232,975,8256,18038,12798,1906,16132
Alandroal,7470,511,6958,13900,10826,951,12949
Arraiolos,8016,645,7371,16028,12041,1290,14738
Borba,7607,615,6992,15982,12298,1293,14689
Estremoz,8698,825,7873,17143,12468,1626,15518
Évora,11384,1489,9895,21243,14798,2778,18465
Montemor-o-Novo,8501,844,7657,17320,12310,1719,15600
Mora,8574,709,7865,15486,11533,1281,14205
Mourão,6660,496,6164,14639,//,1090,13549
Portel,6645,455,6190,14092,10875,965,13127
Redondo,7383,584,6799,14788,11000,1169,13620
Reguengos de Monsaraz,8040,693,7348,16105,11902,1387,14718
Vendas Novas,8819,858,7961,17810,13210,1733,16077
Viana do Alentejo,7823,608,7215,15579,11765,1211,14368
Vila Viçosa,8387,716,7671,16562,12703,1414,15147
Algarve,9439,1049,8390,16576,11311,1843,14733
Albufeira,9842,1027,8815,15325,10530,1600,13725
Alcoutim,8604,651,7952,14752,//,1116,13635
Aljezur,7219,716,6504,14671,9975,1455,13216
Castro Marim,8244,734,7510,15367,10739,1368,13999
Faro,11937,1632,10305,19654,12934,2687,16967
Lagoa,8797,926,7871,16198,11182,1705,14493
Lagos,9109,1021,8088,16150,11070,1811,14339
Loulé,9725,1112,8614,16588,11227,1896,14692
Monchique,6535,506,6029,13968,10441,1082,12886
Olhão,7893,782,7111,16053,11330,1590,14464
Portimão,9873,1103,8770,16745,11395,1871,14874
São Brás de Alportel,9336,1073,8264,17636,11799,2026,15610
Silves,8292,755,7537,15281,11163,1392,13890
Tavira,8998,961,8036,15874,10770,1696,14179
Vila do Bispo,8531,857,7675,14885,10635,1495,13390
Vila Real de Santo António,8127,767,7360,15450,11023,1459,13991
R. A. Açores,8590,734,7856,18278,11890,1562,16716
Santa Maria,10565,1279,9286,22136,12266,2680,19456
Vila do Porto,10565,1279,9286,22136,12266,2680,19456
São Miguel,8338,743,7596,18441,11682,1643,16798
Lagoa (R.A.A.),7293,638,6655,16800,10484,1471,15330
Nordeste,5394,270,5124,13170,9904,660,12510
Ponta Delgada,10490,1061,9430,21033,13607,2127,18906
Povoação,5830,306,5524,13218,9541,693,12526
Ribeira Grande,6174,402,5772,15784,10738,1028,14756
Vila Franca do Campo,5569,381,5188,14078,9778,963,13115
Terceira,9035,742,8294,18535,12538,1522,17013
Angra do Heroísmo,9796,858,8938,19054,12523,1669,17385
Vila da Praia da Vitória,7828,557,7270,17583,12555,1252,16331
Graciosa,7653,541,7112,16397,11216,1160,15237
Santa Cruz da Graciosa,7653,541,7112,16397,11216,1160,15237
São Jorge,7713,463,7251,15113,10969,907,14206
Calheta (R.A.A.),7792,427,7365,13945,10355,765,13180
Velas,7664,485,7179,15962,11464,1010,14952
Pico,8130,537,7593,16273,11341,1076,15197
Lajes do Pico,7240,434,6806,15934,11410,955,14980
Madalena,8752,572,8180,16418,11555,1073,15345
São Roque do Pico,8235,617,7618,16416,10880,1230,15185
Faial,9781,838,8943,19275,12930,1651,17624
Horta,9781,838,8943,19275,12930,1651,17624
Flores,8233,608,7625,16128,11084,1191,14937
Lajes das Flores,7843,613,7230,15964,//,1247,14717
Santa Cruz das Flores,8497,605,7892,16233,//,1156,15077
Corvo,9267,851,8416,18715,//,1719,16996
Corvo,9267,851,8416,18715,//,1719,16996
R. A. Madeira,8245,855,7389,18053,12000,1873,16180
Calheta (R.A.M.),5489,446,5043,14691,10260,1194,13498
Câmara de Lobos,5227,294,4933,13418,10286,754,12664
Funchal,10614,1332,9281,20444,13132,2567,17878
Machico,6833,478,6355,15502,11359,1084,14419
Ponta do Sol,5156,364,4791,14123,9958,998,13125
Porto Moniz,6534,483,6051,14669,//,1083,13585
Ribeira Brava,5823,393,5429,14711,10830,993,13718
Santa Cruz,8004,753,7251,18706,13194,1760,16946
Santana,5697,338,5359,13553,10056,804,12750
São Vicente,5190,388,4802,14392,10430,1076,13316
Porto Santo,11639,1348,10291,20424,13617,2365,18059
