,Total de despesas em atividades e equipamentos desportivos (Euros),"Despesas correntes , Total (Euros)","Despesas correntes , das quais, Atividades desportivas  (Euros)","Despesas correntes , das quais, Associações desportivas (Euros)","Despesas correntes , das quais, Construção e manutenção de infraestruturas desportivas (Euros)","Despesas de capital, Total, Construção e manutenção de infraestruturas desportivas (Euros)","Despesas de capital, das quais, Atividades desportivas  (Euros)","Despesas de capital, das quais, Associações desportivas (Euros)","Despesas de capital, das quais, Construção e manutenção de infraestruturas desportivas (Euros)"
Vila Real,1572484,715744,30311,95638,530232,856740,0,243482,612761
Terras de Trás-os-Montes,4149577,2614382,918132,1159501,183392,1535195,0,5000,264778
Alfândega da Fé,348499,348499,172623,151110,0,0,0,0,0
Bragança,510464,468464,285987,138518,14533,42000,0,0,0
Macedo de Cavaleiros,189108,189108,0,189108,0,0,0,0,0
Miranda do Douro,629716,63404,0,63404,0,566312,0,0,0
Mirandela,650092,622228,243499,343700,16482,27864,0,5000,7267
Mogadouro,644845,418860,98221,45000,131986,225985,0,0,225365
Vila Flor,768622,133203,929,56720,20391,635419,0,0,644
Vimioso,99608,99608,10088,87274,0,0,0,0,0
Vinhais,308623,271008,106785,84667,0,37615,0,0,31502
Centro,79584167,62518234,15713812,17845312,20784188,17065933,179854,2469113,7390917
Oeste,7746754,6209974,1539438,2473726,1954071,1536780,38503,144496,1035542
Alcobaça,739538,582000,24010,396291,154911,157538,0,0,157538
Alenquer,289954,289954,4925,195169,89860,0,0,0,0
Arruda dos Vinhos,334335,205586,29327,53788,120919,128749,0,0,101667
Bombarral,244421,244421,0,0,230199,0,0,0,0
Cadaval,41876,41876,0,41876,0,0,0,0,0
Caldas da Rainha,1652940,1570731,28611,956429,486822,82209,0,0,50079
Lourinhã,581711,341662,65895,201194,28595,240049,0,91000,56094
Nazaré,1152151,1124855,557356,90685,401484,27296,0,20246,7050
Óbidos,431022,431022,397872,33150,0,0,0,0,0
Peniche,924006,486673,160600,0,326073,437333,38503,0,397958
Sobral de Monte Agraço,383980,326407,211199,0,115208,57573,0,33250,24323
Torres Vedras,970820,564787,59643,505144,0,406033,0,0,240833
Região de Aveiro,11686135,8021365,1399028,2734728,3109395,3664770,67154,1156910,762310
Águeda,1140295,1134416,159020,689793,264328,5879,0,0,5879
Albergaria-a-Velha,1459916,1113977,30647,170619,577294,345939,0,10447,0
Anadia,567326,567326,567326,0,0,0,0,0,0
Aveiro,2834161,939753,139592,393012,406601,1894408,0,601831,79215
Estarreja,1055146,885192,272277,270175,171165,169954,0,0,44909
Ílhavo,1087901,637288,0,0,624162,450613,0,389637,60976
Murtosa,408017,334048,169452,45250,0,73969,67154,6815,0
Oliveira do Bairro,1105593,649731,0,89727,512936,455862,0,69350,386512
Ovar,1124897,1049785,0,627748,422037,75112,0,6330,68782
Sever do Vouga,428870,345538,4245,165190,130872,83332,0,72500,6335
Vagos,474013,364311,56469,283214,0,109702,0,0,109702
Região de Coimbra,20088028,17126247,4666796,3068694,7907663,2961781,62171,200157,1032061
Arganil,382681,382681,173521,64800,144360,0,0,0,0
Cantanhede,824918,824918,13145,213570,586493,0,0,0,0
Coimbra,10377211,9106454,2473238,527804,6056834,1270757,0,0,302946
Condeixa-a-Nova,1259994,857284,108170,341115,361045,402710,0,0,380081
Figueira da Foz,1335955,876096,30582,282019,244843,459859,7171,55000,241720
Góis,148590,121590,4132,6030,91484,27000,0,27000,0
Lousã,474900,453958,98516,355442,0,20942,0,3500,4399
Mealhada,488766,488766,342369,146397,0,0,0,0,0
Mira,388313,287416,177382,110034,0,100897,0,22700,52850
Miranda do Corvo,414623,380038,41542,88600,0,34585,0,34585,0
Montemor-o-Velho,951879,668916,175704,79172,0,282963,0,6660,0
Mortágua,589223,492123,222802,8650,205422,97100,55000,42100,0
Oliveira do Hospital,540737,528326,2000,289080,110236,12411,0,2837,4985
Pampilhosa da Serra,214055,141092,90319,18400,0,72963,0,0,0
Penacova,713633,700122,306279,260006,15525,13511,0,0,8232
