,"Taxa quinquenal de mortalidade 
infantil (2015/2019),  ‰, 2019 (‰)","Taxa quinquenal de mortalidade 
neonatal (2015/2019),  ‰, 2019 (‰)","Taxa de mortalidade por doenças do aparelho circulatório,  ‰, 2019 (‰)","Taxa de mortalidade por tumores malignos,  ‰, 2019 (‰)"
Santa Maria,0,0,3.7,3.4
Vila do Porto,0,0,3.7,3.4
São Miguel,2.7,1.6,2.5,2.3
Lagoa (R.A.A.),0,0,2.2,1.9
Nordeste,5.6,5.6,4.7,2.5
Ponta Delgada,2.8,1.2,2.3,2.7
Povoação,0,0,2.5,2.7
Ribeira Grande,3.1,2.6,2.5,1.6
Vila Franca do Campo,4.2,2.1,2.7,2.4
Terceira,3.9,2.2,3.4,3.2
Angra do Heroísmo,4.2,2.8,3.5,3.3
Vila da Praia da Vitória,3.4,1.1,3.2,3
Graciosa,0,0,4.5,3.8
Santa Cruz da Graciosa,0,0,4.5,3.8
São Jorge,3.3,3.3,5.5,3.7
Calheta (R.A.A.),0,0,6.6,4.1
Velas,5.3,5.3,5.5,3.7
Pico,1.7,1.7,2.7,2.3
Lajes do Pico,6.6,6.6,2.2,2.4
Madalena,0,0,2.5,1.7
São Roque do Pico,0,0,3.7,3.1
Faial,3.4,3.4,2.6,3
Horta,3.4,3.4,2.6,3
Flores,14.4,7.2,2.8,1.4
Lajes das Flores,19.6,0,5.5,6.1
Santa Cruz das Flores,11.4,11.4,2.8,1.4
Corvo,0,0,4.3,6.5
Corvo,0,0,4.3,6.5
R. A. Madeira,2.9,2.3,3.1,2.4
Calheta (R.A.M.),0,0,4.8,3.2
Câmara de Lobos,0.7,0,2,2
Funchal,3.6,3.4,3.8,2.7
Machico,3.1,3.1,2.2,3.2
Ponta do Sol,3.5,3.5,3,2.2
Porto Moniz,0,0,7.7,5.1
Ribeira Brava,0,0,3.9,2.4
Santa Cruz,5.3,3.2,1.9,1.6
Santana,0,0,3,2.7
São Vicente,0,0,5.1,2.7
Porto Santo,0,0,2.1,2.1
