,"Abono de família para crianças e jovens, Beneficiárias/os, N.º","Abono de família para crianças e jovens, Descendentes ou equiparadas/os, N.º","Abono de família para crianças e jovens, Valor processado, milhares de euros","Subsídio por assistência de 3ª pessoa, Beneficiárias/os, N.º","Subsídio por assistência de 3ª pessoa, Descendentes ou equiparadas/os, N.º","Subsídio por assistência de 3ª pessoa, Valor processado, milhares de euros"," Subsídio de funeral , Beneficiárias/os, N.º"," Subsídio de funeral , Valor processado, milhares de euros"
Celorico de Basto,1571,2404,1472,18,19,23,12,3
Cinfães,1787,2547,1669,18,18,23,15,3
Felgueiras,5157,7584,4604,77,78,100,34,8
Lousada,4987,7255,4479,95,96,123,42,9
Marco de Canaveses,5155,7405,4461,104,106,138,36,8
Paços de Ferreira,6018,8735,5323,77,78,97,31,7
Penafiel,7044,10179,6308,141,145,188,53,12
Resende,1022,1433,923,13,13,16,11,2
Douro,13504,19739,12357,197,203,259,188,42
Alijó,782,1179,729,9,9,12,10,2
Armamar,445,623,392,10,10,13,10,2
Carrazeda de Ansiães,395,586,374,…,…,…,13,3
Freixo de Espada à Cinta,246,352,225,…,…,…,8,2
Lamego,1984,2749,1730,42,44,55,29,6
Mesão Frio,299,418,235,…,…,…,…,…
Moimenta da Beira,764,1158,722,10,10,13,0,0
Murça,407,585,363,5,5,7,6,1
Penedono,183,273,158,…,…,…,…,…
Peso da Régua,1215,1776,1133,19,19,24,16,4
Sabrosa,404,616,371,...,...,...,...,...
Santa Marta de Penaguião,478,705,426,8,9,10,8,2
São João da Pesqueira,594,869,523,8,9,11,5,1
Sernancelhe,343,549,357,…,…,…,3,1
Tabuaço,357,524,339,9,9,11,8,2
Tarouca,604,882,548,12,13,17,8,2
Torre de Moncorvo,432,633,412,5,5,6,21,5
Vila Nova de Foz Côa,379,577,340,3,3,4,6,1
Vila Real,3193,4685,2979,47,47,60,31,7
Terras de Trás-os-Montes,8133,11469,7231,104,106,135,232,51
Alfândega da Fé,316,474,309,5,6,7,9,2
Bragança,2979,3987,2395,35,35,45,78,17
Macedo de Cavaleiros,1014,1537,998,14,15,18,32,7
Miranda do Douro,375,553,366,9,9,12,14,3
Mirandela,1707,2399,1581,26,26,33,29,6
Mogadouro,551,806,489,5,5,7,9,2
Vila Flor,496,710,470,…,…,…,14,3
Vimioso,270,389,245,5,5,7,16,4
Vinhais,425,614,378,…,…,…,31,7
Centro,145300,220003,139802,2183,2231,2820,1954,431
Oeste,27221,41229,26994,483,493,622,271,60
Alcobaça,3878,5979,3678,55,55,69,26,6
Alenquer,3594,5458,3773,83,86,111,33,7
Arruda dos Vinhos,934,1453,950,21,21,26,11,2
Bombarral,945,1415,924,10,10,13,10,2
Cadaval,959,1444,910,14,15,18,13,3
Caldas da Rainha,3706,5507,3518,41,41,52,32,7
Lourinhã,2181,3261,2165,63,66,83,19,4
Nazaré,1146,1700,1146,11,11,11,14,3
Óbidos,886,1346,865,15,15,18,7,2
Peniche,2215,3429,2249,29,29,40,22,5
Sobral de Monte Agraço,807,1230,841,12,12,15,6,1
Torres Vedras,5970,9007,5974,129,132,166,78,17
Região de Aveiro,24232,36973,24225,240,242,294,433,96
Águeda,3034,4625,3017,27,27,32,36,8
Albergaria-a-Velha,1687,2629,1663,18,18,22,42,9
Anadia,1696,2548,1613,7,7,9,50,11
Aveiro,4759,7130,4861,36,36,43,101,22
Estarreja,1842,2876,1881,9,9,11,34,7
Ílhavo,2615,3960,2647,32,33,40,34,8
Murtosa,843,1338,839,13,13,15,15,3
Oliveira do Bairro,1702,2617,1709,13,14,18,34,7
Ovar,3742,5613,3666,61,61,74,39,9
Sever do Vouga,645,1011,610,7,7,9,12,3
Vagos,1667,2626,1718,17,17,20,36,8
Região de Coimbra,25242,36724,22800,380,392,502,354,78
Arganil,771,1125,671,11,11,13,5,1
Cantanhede,2020,2975,1800,31,32,40,35,8
Coimbra,6712,9700,6242,106,112,144,84,18
Condeixa-a-Nova,922,1330,843,16,16,20,11,2
Figueira da Foz,3547,5151,3381,54,56,72,71,16
Góis,241,367,214,…,…,…,…,…
Lousã,1274,1920,1207,23,23,31,11,2
Mealhada,1151,1655,1052,15,15,19,20,4
Mira,726,1061,655,5,5,7,11,2
Miranda do Corvo,778,1114,679,18,17,22,9,2
Montemor-o-Velho,1386,1980,1215,16,17,22,20,4
Mortágua,500,740,456,8,8,11,8,2
Oliveira do Hospital,1511,2226,1287,16,16,21,12,3
Pampilhosa da Serra,176,254,149,…,…,…,4,1
Penacova,888,1250,651,11,12,15,8,2
Penela,329,481,273,4,4,5,…,…
Soure,881,1284,762,15,17,22,20,4
Tábua,875,1305,759,19,19,24,12,3
Vila Nova de Poiares,554,806,504,8,8,10,8,2
Região de Leiria,17932,27749,17583,329,340,432,193,42
Alvaiázere,399,605,351,4,4,5,…,…
Ansião,751,1174,681,17,18,23,12,3
Batalha,1023,1623,989,17,17,23,18,4
Castanheira de Pêra,165,223,126,6,7,9,…,…
Figueiró dos Vinhos,370,529,346,4,4,5,…,…
Leiria,7670,11872,7617,146,150,190,80,18
Marinha Grande,2428,3606,2587,65,66,83,17,4
Pedrógão Grande,247,344,214,3,3,4,0,0
Pombal,3237,5116,3046,45,48,62,41,9
Porto de Mós,1642,2657,1626,22,23,28,18,4
Viseu Dão Lafões,17258,25871,16101,183,185,242,228,51
Aguiar da Beira,274,429,235,5,5,6,4,1
Carregal do Sal,653,980,596,4,4,5,…,…
Castro Daire,1026,1548,904,11,11,15,12,3
Mangualde,1281,1918,1171,5,5,7,26,6
Nelas,876,1349,825,5,5,7,12,3
Oliveira de Frades,715,1100,692,5,5,6,6,1
Penalva do Castelo,515,785,456,7,7,9,6,1
Santa Comba Dão,683,1030,627,15,15,20,10,2
São Pedro do Sul,1101,1663,1032,14,14,18,10,2
Sátão,819,1249,747,7,7,9,5,1
Tondela,1582,2332,1407,18,19,25,27,6
Vila Nova de Paiva,285,451,287,7,7,8,…,…
Viseu,6808,10092,6571,76,77,104,95,21
Vouzela,640,945,552,4,4,5,10,2
Beira Baixa,4845,7445,4838,68,69,89,81,18
Castelo Branco,3389,5171,3398,49,50,65,53,12
Idanha-a-Nova,514,810,523,7,7,9,9,2
Oleiros,198,296,160,4,4,5,4,1
Penamacor,230,333,214,4,4,5,7,2
Proença-a-Nova,368,603,371,…,…,…,3,1
Vila Velha de Ródão,146,232,173,…,…,…,5,1
Médio Tejo,14913,23529,14809,279,285,360,258,57
Abrantes,2235,3372,2170,44,45,59,41,9
Alcanena,932,1503,926,8,8,10,13,3
Constância,236,358,239,3,3,4,3,1
Entroncamento,1374,2153,1502,30,30,38,25,5
Ferreira do Zêzere,556,888,526,6,6,8,7,2
Mação,322,507,298,10,10,13,4,1
Ourém,2873,4754,2864,49,50,62,58,13
Sardoal,208,330,206,6,6,7,3,1
Sertã,1084,1711,1021,16,16,21,12,3
Tomar,2381,3683,2344,59,62,75,44,10
Torres Novas,2118,3301,2096,37,38,49,36,8
Vila de Rei,186,323,186,6,6,7,3,1
Vila Nova da Barquinha,408,646,431,5,5,6,9,2
Beiras e Serra da Estrela,13657,20483,12452,221,225,278,136,30
Almeida,282,423,236,5,5,7,3,1
Belmonte,454,691,437,10,10,12,8,2
Celorico da Beira,428,673,390,8,8,10,11,2
Covilhã,3157,4646,2912,48,49,62,24,5
