,"Public primary education, 1st cycle, Total (N.º)","Public primary education, 1st cycle, of which, Regular education (N.º)","Public primary education, 1st cycle, of which, Artistic education (N.º)","Public primary education, 2nd cycle, Total, Artistic education (N.º)","Public primary education, 2nd cycle, of which, Regular education (N.º)","Public primary education, 2nd cycle, of which, Artistic education (N.º)","Public primary education, 2nd cycle, of which, Education and training courses (N.º)","Public lower secondary education, 2nd cycle, Total, Education and training courses (N.º)","Public lower secondary education, 2nd cycle, of which, Regular education (N.º)","Public lower secondary education, 2nd cycle, of which, Artistic education (N.º)","Public lower secondary education, 2nd cycle, of which, Vocational courses (N.º)","Public lower secondary education, 2nd cycle, of which, Education and training courses (N.º)"
Marinha Grande,1295,1295,0,778,778,0,0,1227,1227,0,0,0
Pedrógão Grande,84,84,0,43,43,0,0,72,72,0,0,0
Pombal,1647,1647,0,709,709,0,0,1149,1149,0,0,0
Porto de Mós,772,772,0,286,286,0,0,500,500,0,0,0
Viseu Dão Lafões,7645,7645,0,4334,4334,0,0,6622,6580,0,0,36
Aguiar da Beira,128,128,0,70,70,0,0,102,102,0,0,0
Carregal do Sal,266,266,0,143,143,0,0,242,242,0,0,0
Castro Daire,371,371,0,206,206,0,0,354,354,0,0,0
Mangualde,605,605,0,315,315,0,0,472,443,0,0,23
Nelas,412,412,0,219,219,0,0,393,393,0,0,0
Oliveira de Frades,325,325,0,180,180,0,0,255,255,0,0,0
Penalva do Castelo,207,207,0,119,119,0,0,179,179,0,0,0
Santa Comba Dão,272,272,0,168,168,0,0,295,295,0,0,0
São Pedro do Sul,401,401,0,263,263,0,0,336,336,0,0,0
Sátão,352,352,0,191,191,0,0,288,288,0,0,0
Tondela,716,716,0,382,382,0,0,623,623,0,0,0
Vila Nova de Paiva,131,131,0,93,93,0,0,116,116,0,0,0
Viseu,3194,3194,0,1819,1819,0,0,2767,2754,0,0,13
Vouzela,265,265,0,166,166,0,0,200,200,0,0,0
Beira Baixa,2249,2249,0,1367,1364,0,0,1999,1980,0,0,10
Castelo Branco,1588,1588,0,1016,1013,0,0,1476,1457,0,0,10
Idanha-a-Nova,220,220,0,120,120,0,0,168,168,0,0,0
Oleiros,78,78,0,41,41,0,0,65,65,0,0,0
Penamacor,100,100,0,50,50,0,0,81,81,0,0,0
Proença-a-Nova,173,173,0,93,93,0,0,151,151,0,0,0
Vila Velha de Ródão,90,90,0,47,47,0,0,58,58,0,0,0
Médio Tejo,6884,6884,0,3606,3540,62,0,5887,5741,87,0,11
Abrantes,876,876,0,521,455,62,0,884,775,87,0,11
Alcanena,418,418,0,248,248,0,0,389,389,0,0,0
Constância,165,165,0,70,70,0,0,136,136,0,0,0
Entroncamento,672,672,0,424,424,0,0,706,706,0,0,0
Ferreira do Zêzere,229,229,0,119,119,0,0,213,213,0,0,0
Mação,126,126,0,88,88,0,0,128,128,0,0,0
Ourém,1560,1560,0,478,478,0,0,777,777,0,0,0
Sardoal,109,109,0,75,75,0,0,116,116,0,0,0
Sertã,418,418,0,170,170,0,0,279,279,0,0,0
Tomar,904,904,0,557,557,0,0,964,939,0,0,0
Torres Novas,1036,1036,0,644,644,0,0,977,965,0,0,0
Vila de Rei,84,84,0,42,42,0,0,69,69,0,0,0
Vila Nova da Barquinha,287,287,0,170,170,0,0,249,249,0,0,0
Beiras e Serra da Estrela,5532,5532,0,3069,3069,0,0,4913,4834,0,0,79
Almeida,114,114,0,58,58,0,0,88,88,0,0,0
Belmonte,178,178,0,105,105,0,0,160,160,0,0,0
Celorico da Beira,160,160,0,96,96,0,0,171,161,0,0,10
Covilhã,1267,1267,0,732,732,0,0,1207,1183,0,0,24
Figueira de Castelo Rodrigo,156,156,0,74,74,0,0,104,104,0,0,0
Fornos de Algodres,115,115,0,66,66,0,0,116,116,0,0,0
Fundão,787,787,0,384,384,0,0,581,570,0,0,11
Gouveia,331,331,0,185,185,0,0,277,262,0,0,15
Guarda,1083,1083,0,680,680,0,0,1070,1070,0,0,0
Manteigas,60,60,0,31,31,0,0,57,57,0,0,0
Mêda,114,114,0,64,64,0,0,88,88,0,0,0
Pinhel,173,173,0,104,104,0,0,177,177,0,0,0
Sabugal,228,228,0,90,90,0,0,119,119,0,0,0
Seia,586,586,0,306,306,0,0,508,489,0,0,19
Trancoso,180,180,0,94,94,0,0,190,190,0,0,0
A. M. Lisboa,92292,92286,0,53042,52518,364,0,83027,80797,392,0,1311
Alcochete,769,769,0,463,463,0,0,775,775,0,0,0
Almada,6449,6449,0,3680,3677,0,0,5757,5661,0,0,83
Amadora,5605,5605,0,3022,2969,0,0,4476,4174,0,0,209
Barreiro,2862,2862,0,1726,1726,0,0,2659,2581,0,0,78
Cascais,4988,4988,0,2879,2876,0,0,4602,4565,0,0,23
Lisboa,13818,13812,0,8474,8123,302,0,13831,13078,309,0,365
Loures,7107,7107,0,3843,3843,0,0,5547,5371,0,0,126
Mafra,3524,3524,0,1669,1669,0,0,2526,2504,0,0,22
Moita,2548,2548,0,1390,1390,0,0,2166,2092,0,0,74
Montijo,2083,2083,0,1205,1202,0,0,1863,1799,0,0,0
Odivelas,5367,5367,0,3136,3117,0,0,4794,4624,0,0,131
Oeiras,5014,5014,0,3069,3069,0,0,5154,5116,0,0,10
Palmela,2375,2375,0,1333,1321,0,0,2167,2146,0,0,0
Seixal,5731,5731,0,3130,3130,0,0,4660,4624,0,0,36
Sesimbra,2155,2155,0,1249,1249,0,0,1890,1890,0,0,0
Setúbal,4342,4342,0,2777,2777,0,0,4491,4461,0,0,30
Sintra,12699,12699,0,7238,7225,0,0,11421,11262,0,0,79
Vila Franca de Xira,4856,4856,0,2759,2692,62,0,4248,4074,83,0,45
Alentejo,24269,24262,0,13325,13118,0,0,20439,19503,0,0,521
Alentejo Litoral,3328,3328,0,1687,1687,0,0,2553,2471,0,0,71
Alcácer do Sal,341,341,0,209,209,0,0,316,305,0,0,0
Grândola,521,521,0,263,263,0,0,452,436,0,0,16
Odemira,869,869,0,349,349,0,0,476,476,0,0,0
Santiago do Cacém,1001,1001,0,530,530,0,0,840,812,0,0,28
Sines,596,596,0,336,336,0,0,469,442,0,0,27
Baixo Alentejo,4209,4206,0,2218,2128,0,0,3291,3024,0,0,128
Aljustrel,305,305,0,152,148,0,0,244,214,0,0,12
Almodôvar,164,164,0,115,115,0,0,167,167,0,0,0
Alvito,81,81,0,39,39,0,0,46,46,0,0,0
Barrancos,42,42,0,25,25,0,0,34,34,0,0,0
Beja,1385,1385,0,735,695,0,0,1081,993,0,0,73
Castro Verde,238,238,0,134,119,0,0,229,180,0,0,0
Cuba,164,164,0,81,81,0,0,121,121,0,0,0
Ferreira do Alentejo,242,242,0,135,135,0,0,179,179,0,0,0
Mértola,166,166,0,77,77,0,0,127,114,0,0,13
Moura,592,592,0,310,295,0,0,457,420,0,0,0
Ourique,142,142,0,73,73,0,0,118,109,0,0,9
Serpa,470,468,0,239,232,0,0,363,329,0,0,21
Vidigueira,218,217,0,103,94,0,0,125,118,0,0,0
Lezíria do Tejo,8345,8344,0,4767,4726,0,0,7449,7207,0,0,135
Almeirim,847,847,0,550,522,0,0,733,709,0,0,0
Alpiarça,211,211,0,100,100,0,0,177,177,0,0,0
Azambuja,810,810,0,428,428,0,0,677,677,0,0,0
Benavente,1191,1191,0,683,683,0,0,1058,1000,0,0,34
Cartaxo,821,821,0,447,443,0,0,752,705,0,0,32
Chamusca,254,254,0,133,133,0,0,233,221,0,0,0
Coruche,521,520,0,281,272,0,0,419,402,0,0,0
Golegã,173,173,0,81,81,0,0,141,141,0,0,0
Rio Maior,718,718,0,426,426,0,0,739,724,0,0,0
Salvaterra de Magos,750,750,0,431,431,0,0,667,630,0,0,37
Santarém,2049,2049,0,1207,1207,0,0,1853,1821,0,0,32
Alto Alentejo,3470,3469,0,1898,1877,0,0,2953,2783,0,0,96
Alter do Chão,105,105,0,52,52,0,0,77,66,0,0,11
Arronches,81,81,0,51,47,0,0,72,69,0,0,0
Avis,129,129,0,68,64,0,0,80,72,0,0,0
Campo Maior,380,380,0,194,185,0,0,307,280,0,0,0
Castelo de Vide,84,84,0,44,44,0,0,65,65,0,0,0
Crato,90,90,0,42,42,0,0,71,71,0,0,0
Elvas,786,786,0,420,420,0,0,655,592,0,0,50
Fronteira,75,75,0,51,51,0,0,89,89,0,0,0
Gavião,82,82,0,54,54,0,0,91,80,0,0,11
Marvão,64,64,0,33,33,0,0,47,47,0,0,0
Monforte,103,102,0,66,64,0,0,85,75,0,0,0
Nisa,119,119,0,75,75,0,0,94,94,0,0,0
Ponte de Sor,478,478,0,249,247,0,0,429,402,0,0,24
Portalegre,762,762,0,423,423,0,0,669,659,0,0,0
Sousel,132,132,0,76,76,0,0,122,122,0,0,0
Alentejo Central,4917,4915,0,2755,2700,0,0,4193,4018,0,0,91
Alandroal,124,124,0,63,63,0,0,101,101,0,0,0
Arraiolos,175,175,0,99,99,0,0,172,153,0,0,19
Borba,216,216,0,106,99,0,0,164,156,0,0,0
Estremoz,386,385,0,232,214,0,0,302,282,0,0,0
Évora,1827,1826,0,1059,1042,0,0,1603,1550,0,0,29
Montemor-o-Novo,503,503,0,244,244,0,0,395,375,0,0,15
Mora,94,94,0,54,54,0,0,93,93,0,0,0
Mourão,89,89,0,60,52,0,0,76,59,0,0,0
Portel,159,159,0,98,98,0,0,147,140,0,0,7
Redondo,199,199,0,114,114,0,0,157,157,0,0,0
Reguengos de Monsaraz,393,393,0,213,208,0,0,317,286,0,0,21
Vendas Novas,368,368,0,184,184,0,0,303,303,0,0,0
Viana do Alentejo,159,159,0,106,106,0,0,152,152,0,0,0
Vila Viçosa,225,225,0,123,123,0,0,211,211,0,0,0
Algarve,17707,17703,0,9926,9806,54,0,15489,14658,72,0,536
Albufeira,2083,2083,0,1090,1085,0,0,1594,1534,0,0,47
Alcoutim,45,45,0,33,33,0,0,46,46,0,0,0
Aljezur,261,261,0,121,121,0,0,178,178,0,0,0
Castro Marim,253,253,0,134,132,0,0,172,158,0,0,0
Faro,2383,2380,0,1385,1366,0,0,2250,2127,0,0,73
Lagoa,935,935,0,486,480,0,0,721,663,0,0,55
Lagos,1068,1068,0,653,653,0,0,1148,1111,0,0,10
Loulé,3101,3100,0,1634,1621,0,0,2555,2402,0,0,123
Monchique,150,150,0,77,77,0,0,134,134,0,0,0
Olhão,1624,1624,0,981,973,0,0,1476,1353,0,0,96
Portimão,2291,2291,0,1409,1353,54,0,2133,2006,72,0,32
São Brás de Alportel,437,437,0,240,240,0,0,392,378,0,0,14
Silves,1393,1393,0,720,715,0,0,1082,1043,0,0,30
Tavira,831,831,0,488,488,0,0,824,779,0,0,27
Vila do Bispo,187,187,0,85,85,0,0,95,95,0,0,0
Vila Real de Santo António,665,665,0,390,384,0,0,689,651,0,0,29
R. A. Açores,9226,8373,0,5481,4892,0,0,8414,7363,0,0,345
Santa Maria,194,179,0,109,105,0,0,188,172,0,0,6
Vila do Porto,194,179,0,109,105,0,0,188,172,0,0,6
São Miguel,5433,4838,0,3378,2987,0,0,5194,4561,0,0,212
Lagoa (R.A.A.),555,494,0,342,303,0,0,629,559,0,0,0
Nordeste,144,132,0,106,87,0,0,170,150,0,0,0
Ponta Delgada,2376,2148,0,1661,1500,0,0,2587,2272,0,0,149
Povoação,246,214,0,110,100,0,0,237,203,0,0,20
Ribeira Grande,1647,1446,0,918,790,0,0,1204,1057,0,0,43
Vila Franca do Campo,465,404,0,241,207,0,0,367,320,0,0,0
Terceira,1977,1833,0,1101,954,0,0,1669,1420,0,0,49
Angra do Heroísmo,1250,1144,0,690,578,0,0,1066,917,0,0,29
Vila da Praia da Vitória,727,689,0,411,376,0,0,603,503,0,0,20
Graciosa,171,151,0,81,81,0,0,134,105,0,0,11
Santa Cruz da Graciosa,171,151,0,81,81,0,0,134,105,0,0,11
São Jorge,281,260,0,155,154,0,0,259,221,0,0,32
Calheta (R.A.A.),121,118,0,64,64,0,0,120,100,0,0,14
Velas,160,142,0,91,90,0,0,139,121,0,0,18
Pico,562,536,0,254,240,0,0,393,363,0,0,23
