,"Primary education, 1st cycle, Total (N.º)","Primary education, 1st cycle, of which, Regular education (N.º)","Primary education, 1st cycle, of which, Artistic education (N.º)","Primary education, 2nd cycle, Total, Artistic education (N.º)","Primary education, 2nd cycle, of which, Regular education (N.º)","Primary education, 2nd cycle, of which, Artistic education (N.º)","Primary education, 2nd cycle, of which, Education and training courses (N.º)","Lower secondary education, 2nd cycle, Total, Education and training courses (N.º)","Lower secondary education, 2nd cycle, of which, Regular education (N.º)","Lower secondary education, 2nd cycle, of which, Artistic education (N.º)","Lower secondary education, 2nd cycle, of which, Vocational courses  (N.º)","Lower secondary education, 2nd cycle, of which, Education and training courses (N.º)"
Pombal,1657,1657,0,920,920,0,0,1540,1513,0,0,27
Porto de Mós,815,815,0,452,452,0,0,734,734,0,0,0
Viseu Dão Lafões,8195,8195,0,4538,4538,0,0,7005,6888,0,0,111
Aguiar da Beira,128,128,0,70,70,0,0,102,102,0,0,0
Carregal do Sal,266,266,0,143,143,0,0,242,242,0,0,0
Castro Daire,371,371,0,206,206,0,0,381,354,0,0,27
Mangualde,605,605,0,315,315,0,0,472,443,0,0,23
Nelas,436,436,0,219,219,0,0,393,393,0,0,0
Oliveira de Frades,325,325,0,180,180,0,0,255,255,0,0,0
Penalva do Castelo,207,207,0,119,119,0,0,179,179,0,0,0
Santa Comba Dão,272,272,0,168,168,0,0,295,295,0,0,0
São Pedro do Sul,401,401,0,263,263,0,0,336,336,0,0,0
Sátão,352,352,0,191,191,0,0,288,288,0,0,0
Tondela,716,716,0,382,382,0,0,623,623,0,0,0
Vila Nova de Paiva,131,131,0,93,93,0,0,116,116,0,0,0
Viseu,3720,3720,0,2023,2023,0,0,3103,3062,0,0,41
Vouzela,265,265,0,166,166,0,0,220,200,0,0,20
Beira Baixa,2416,2416,0,1367,1364,0,0,2024,1980,0,0,35
Castelo Branco,1755,1755,0,1016,1013,0,0,1501,1457,0,0,35
Idanha-a-Nova,220,220,0,120,120,0,0,168,168,0,0,0
Oleiros,78,78,0,41,41,0,0,65,65,0,0,0
Penamacor,100,100,0,50,50,0,0,81,81,0,0,0
Proença-a-Nova,173,173,0,93,93,0,0,151,151,0,0,0
Vila Velha de Ródão,90,90,0,47,47,0,0,58,58,0,0,0
Médio Tejo,7310,7310,0,4052,3986,62,0,6673,6499,87,0,39
Abrantes,886,886,0,521,455,62,0,884,775,87,0,11
Alcanena,418,418,0,248,248,0,0,389,389,0,0,0
Constância,165,165,0,70,70,0,0,136,136,0,0,0
Entroncamento,860,860,0,447,447,0,0,734,706,0,0,28
Ferreira do Zêzere,229,229,0,119,119,0,0,213,213,0,0,0
Mação,126,126,0,88,88,0,0,128,128,0,0,0
Ourém,1615,1615,0,846,846,0,0,1430,1430,0,0,0
Sardoal,109,109,0,75,75,0,0,116,116,0,0,0
Sertã,418,418,0,225,225,0,0,384,384,0,0,0
Tomar,1010,1010,0,557,557,0,0,964,939,0,0,0
Torres Novas,1103,1103,0,644,644,0,0,977,965,0,0,0
Vila de Rei,84,84,0,42,42,0,0,69,69,0,0,0
Vila Nova da Barquinha,287,287,0,170,170,0,0,249,249,0,0,0
Beiras e Serra da Estrela,5700,5700,0,3195,3155,40,0,5125,4952,0,24,149
Almeida,114,114,0,58,58,0,0,88,88,0,0,0
Belmonte,178,178,0,105,105,0,0,160,160,0,0,0
Celorico da Beira,160,160,0,96,96,0,0,171,161,0,0,10
Covilhã,1342,1342,0,772,732,40,0,1231,1183,0,24,24
Figueira de Castelo Rodrigo,156,156,0,74,74,0,0,104,104,0,0,0
Fornos de Algodres,115,115,0,66,66,0,0,116,116,0,0,0
