,"Ensino básico público, 1º Ciclo, Total (N.º)","Ensino básico público, 1º Ciclo, das quais, Ensino regular (N.º)","Ensino básico público, 1º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico público, 2º Ciclo, Total, Ensino artístico (N.º)","Ensino básico público, 2º Ciclo, das quais, Ensino regular (N.º)","Ensino básico público, 2º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico público, 2º Ciclo, das quais, Cursos de educação e formação (N.º)","Ensino básico público, 3º Ciclo, Total, Cursos de educação e formação (N.º)","Ensino básico público, 3º Ciclo, das quais, Ensino regular (N.º)","Ensino básico público, 3º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico público, 3º Ciclo, das quais, Cursos profissionais (N.º)","Ensino básico público, 3º Ciclo, das quais, Cursos de educação e formação (N.º)"
Vila Nova da Barquinha,257,257,0,158,158,0,0,210,210,0,0,0
Beiras e Serra da Estrela,5600,5600,0,3213,3210,0,0,5176,4982,0,0,159
Almeida,116,116,0,66,66,0,0,103,103,0,0,0
Belmonte,203,203,0,101,101,0,0,165,152,0,0,0
Celorico da Beira,170,170,0,122,122,0,0,190,153,0,0,37
Covilhã,1308,1308,0,733,733,0,0,1263,1187,0,0,76
Figueira de Castelo Rodrigo,158,158,0,67,67,0,0,121,108,0,0,13
Fornos de Algodres,112,112,0,79,79,0,0,126,111,0,0,15
Fundão,752,752,0,394,394,0,0,603,603,0,0,0
Gouveia,333,333,0,196,196,0,0,296,280,0,0,0
Guarda,1120,1120,0,696,696,0,0,1122,1122,0,0,0
Manteigas,51,51,0,34,34,0,0,66,66,0,0,0
Mêda,117,117,0,62,62,0,0,104,104,0,0,0
Pinhel,178,178,0,104,104,0,0,177,177,0,0,0
Sabugal,234,234,0,89,86,0,0,122,116,0,0,0
Seia,547,547,0,339,339,0,0,511,493,0,0,18
Trancoso,201,201,0,131,131,0,0,207,207,0,0,0
A. M. Lisboa,94933,94922,0,53847,53207,338,0,84625,80784,410,0,2504
Alcochete,810,810,0,451,451,0,0,752,752,0,0,0
Almada,6610,6610,0,3678,3670,0,0,5765,5534,0,0,210
Amadora,5831,5820,0,3140,3030,0,0,4581,4084,0,0,385
Barreiro,2949,2949,0,1749,1749,0,0,2773,2697,0,0,76
Cascais,5213,5213,0,2906,2900,0,0,4752,4644,0,0,62
Lisboa,14326,14326,0,8952,8633,267,0,14196,13111,340,0,628
Loures,7291,7291,0,3815,3796,0,0,5744,5322,0,0,292
Mafra,3612,3612,0,1570,1570,0,0,2395,2349,0,0,46
Moita,2574,2574,0,1458,1458,0,0,2164,2072,0,0,62
Montijo,2126,2126,0,1183,1149,0,0,1829,1782,0,0,0
Odivelas,5557,5557,0,3074,3054,0,0,4731,4564,0,0,114
Oeiras,5139,5139,0,3176,3171,0,0,5246,5202,0,0,18
Palmela,2395,2395,0,1331,1322,0,0,2223,2140,0,0,46
Seixal,5808,5808,0,3050,3050,0,0,4715,4600,0,0,115
Sesimbra,2125,2125,0,1178,1178,0,0,2013,1975,0,0,23
Setúbal,4473,4473,0,2926,2926,0,0,4547,4461,0,0,86
Sintra,13150,13150,0,7425,7395,0,0,11814,11398,0,0,213
Vila Franca de Xira,4944,4944,0,2785,2705,71,0,4385,4097,70,0,128
Alentejo,24678,24670,0,13519,13211,0,0,21027,19773,0,0,750
Alentejo Litoral,3411,3411,0,1667,1665,0,0,2582,2503,0,0,70
Alcácer do Sal,369,369,0,199,197,0,0,366,346,0,0,11
Grândola,498,498,0,289,289,0,0,415,400,0,0,15
Odemira,915,915,0,316,316,0,0,520,520,0,0,0
Santiago do Cacém,1004,1004,0,539,539,0,0,818,789,0,0,29
Sines,625,625,0,324,324,0,0,463,448,0,0,15
Baixo Alentejo,4288,4288,0,2294,2145,0,0,3361,3032,0,0,175
Aljustrel,324,324,0,172,159,0,0,220,188,0,0,19
Almodôvar,201,201,0,117,117,0,0,189,189,0,0,0
Alvito,83,83,0,27,27,0,0,59,59,0,0,0
Barrancos,42,42,0,23,23,0,0,54,54,0,0,0
Beja,1395,1395,0,758,680,0,0,1116,1011,0,0,98
Castro Verde,231,231,0,140,119,0,0,262,185,0,0,0
Cuba,154,154,0,101,101,0,0,97,97,0,0,0
Ferreira do Alentejo,274,274,0,125,125,0,0,167,167,0,0,0
Mértola,158,158,0,76,76,0,0,146,130,0,0,16
Moura,616,616,0,330,308,0,0,436,394,0,0,0
Ourique,144,144,0,85,85,0,0,130,112,0,0,18
Serpa,451,451,0,239,229,0,0,378,357,0,0,10
Vidigueira,215,215,0,101,96,0,0,107,89,0,0,14
Lezíria do Tejo,8370,8368,0,4820,4760,0,0,7510,7184,0,0,180
Almeirim,890,890,0,515,499,0,0,755,729,0,0,0
Alpiarça,212,212,0,110,110,0,0,194,194,0,0,0
Azambuja,829,829,0,439,426,0,0,691,656,0,0,35
Benavente,1217,1217,0,723,703,0,0,1021,965,0,0,36
Cartaxo,782,782,0,469,466,0,0,769,713,0,0,29
Chamusca,260,260,0,144,144,0,0,218,204,0,0,0
Coruche,529,527,0,289,281,0,0,472,455,0,0,0
Golegã,158,158,0,74,74,0,0,168,168,0,0,0
Rio Maior,666,666,0,472,472,0,0,666,624,0,0,0
Salvaterra de Magos,742,742,0,405,405,0,0,665,624,0,0,41
Santarém,2085,2085,0,1180,1180,0,0,1891,1852,0,0,39
Alto Alentejo,3540,3537,0,1936,1897,0,0,3079,2862,0,0,140
Alter do Chão,96,96,0,43,43,0,0,110,76,0,0,34
Arronches,86,86,0,47,45,0,0,79,72,0,0,0
Avis,109,109,0,65,65,0,0,85,85,0,0,0
Campo Maior,396,396,0,219,208,0,0,288,278,0,0,0
Castelo de Vide,80,80,0,38,38,0,0,82,82,0,0,0
Crato,84,84,0,40,40,0,0,66,66,0,0,0
Elvas,848,848,0,435,420,0,0,632,560,0,0,55
Fronteira,72,72,0,58,58,0,0,81,81,0,0,0
Gavião,85,85,0,52,52,0,0,90,90,0,0,0
Marvão,67,67,0,26,26,0,0,68,68,0,0,0
Monforte,127,125,0,54,49,0,0,97,91,0,0,0
Nisa,122,122,0,70,67,0,0,116,93,0,0,13
Ponte de Sor,463,462,0,283,280,0,0,410,386,0,0,17
Portalegre,778,778,0,409,409,0,0,758,717,0,0,21
Sousel,127,127,0,97,97,0,0,117,117,0,0,0
Alentejo Central,5069,5066,0,2802,2744,0,0,4495,4192,0,0,185
Alandroal,133,133,0,82,82,0,0,102,102,0,0,0
Arraiolos,172,172,0,107,107,0,0,166,148,0,0,18
Borba,201,201,0,117,117,0,0,151,151,0,0,0
Estremoz,397,397,0,210,205,0,0,358,344,0,0,0
Évora,1936,1933,0,1036,1012,0,0,1713,1623,0,0,43
Montemor-o-Novo,485,485,0,269,269,0,0,413,384,0,0,17
Mora,99,99,0,55,55,0,0,101,101,0,0,0
Mourão,100,100,0,61,50,0,0,66,53,0,0,0
Portel,174,174,0,96,96,0,0,129,118,0,0,11
Redondo,229,229,0,113,113,0,0,159,136,0,0,23
Reguengos de Monsaraz,365,365,0,225,207,0,0,404,335,0,0,37
Vendas Novas,349,349,0,194,194,0,0,340,340,0,0,0
Viana do Alentejo,179,179,0,101,101,0,0,165,165,0,0,0
Vila Viçosa,250,250,0,136,136,0,0,228,192,0,0,36
Algarve,17429,17423,0,10046,9892,75,0,15638,14479,46,0,852
Albufeira,1948,1948,0,1037,1036,0,0,1706,1610,0,0,80
Alcoutim,53,53,0,25,25,0,0,50,50,0,0,0
