,"Casamentos, Total (N.º)","Casamentos, Entre pessoas de sexo oposto, Total (N.º)","Casamentos, Entre pessoas de sexo oposto, dos quais, Só civis (N.º)","Casamentos, Entre pessoas de sexo oposto, dos quais, Católicos (N.º)","Casamentos, Entre pessoas do mesmo sexo, Masculino, Católicos (N.º)","Casamentos, Entre pessoas do mesmo sexo, Feminino, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, Total, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, por divórcio, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, por morte, Católicos (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, HM (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, H (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, M (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, HM (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, H (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, M (N.º)"
Vila da Praia da Vitória,39,38,26,12,1,0,132,50,82,35,11,24,226,102,124
Graciosa,13,13,9,4,0,0,30,12,18,10,6,4,52,26,26
Santa Cruz da Graciosa,13,13,9,4,0,0,30,12,18,10,6,4,52,26,26
São Jorge,18,18,13,5,0,0,60,16,44,27,14,13,134,62,72
Calheta (R.A.A.),6,6,4,2,0,0,23,6,17,7,3,4,39,22,17
Velas,12,12,9,3,0,0,37,10,27,20,11,9,95,40,55
Pico,50,50,41,9,0,0,87,30,57,43,27,16,538,273,265
Lajes do Pico,19,19,16,3,0,0,25,9,16,8,5,3,180,78,102
Madalena,20,20,14,6,0,0,37,12,25,21,11,10,221,114,107
São Roque do Pico,11,11,11,0,0,0,25,9,16,14,11,3,137,81,56
Faial,51,50,32,17,1,0,129,45,84,76,46,30,714,355,359
Horta,51,50,32,17,1,0,129,45,84,76,46,30,714,355,359
Flores,6,6,6,0,0,0,39,15,24,13,8,5,172,84,88
Lajes das Flores,4,4,4,0,0,0,20,6,14,10,7,3,117,57,60
Santa Cruz das Flores,2,2,2,0,0,0,19,9,10,3,1,2,55,27,28
Corvo,3,2,2,0,0,1,3,1,2,2,2,0,11,5,6
Corvo,3,2,2,0,0,1,3,1,2,2,2,0,11,5,6
R. A. Madeira,866,836,642,194,13,17,1555,451,1104,1665,899,766,10405,5098,5307
Calheta (R.A.M.),80,77,69,8,1,2,88,20,68,150,85,65,982,499,483
Câmara de Lobos,64,64,35,29,0,0,176,59,117,55,29,26,458,227,231
Funchal,331,317,232,85,7,7,685,189,496,869,489,380,5280,2653,2627
Machico,86,81,65,16,4,1,117,36,81,79,42,37,400,184,216
Ponta do Sol,45,41,39,2,0,4,50,14,36,80,41,39,516,234,282
Porto Moniz,19,19,18,1,0,0,14,3,11,9,3,6,105,43,62
Ribeira Brava,48,47,33,14,0,1,74,20,54,62,32,30,503,232,271
Santa Cruz,140,137,106,31,1,2,215,83,132,221,109,112,1429,676,753
Santana,19,19,15,4,0,0,48,8,40,14,7,7,117,55,62
São Vicente,7,7,6,1,0,0,52,9,43,37,19,18,195,92,103
Porto Santo,27,27,24,3,0,0,36,10,26,89,43,46,420,203,217
