,"Proporção de casamentos entre portugueses/as e estrangeiros/as, %, 2021","População estrangeira a quem foi concedido título de residência por 100 habitantes, N.º, 2021","Índice de envelhecimento, N.º, 2021","Índice de renovação da população em idade ativa, N.º, 2021","Índice de dependência de idosas/os, N.º, 2021","Índice de longevidade, N.º, 2021","Relação de masculinidade, N.º, 2021","Relação de masculinidade dos estrangeiros a quem foi concedido título de residência , N.º, 2021","Idade média das mulheres ao nascimento do primeiro filho, anos, 2021","Idade média da mulher ao primeiro casamento, anos, 2021","Idade média do homem ao primeiro casamento, anos, 2021","Esperança de vida à nascença
, anos, 2019-2021","Esperança de vida aos 65 anos, anos, 2019-2021"
Alandroal,29.4,0.22,323.4,47.7,54.5,59.7,93.8,175,x,x,x,x,x
Arraiolos,0,0.2,255.3,58.7,47.3,53.4,96.3,116.7,x,x,x,x,x
Borba,0,0.11,248.5,51.2,48.9,56.3,95.9,75,x,x,x,x,x
Estremoz,0,0.13,251.8,56.4,48.5,59.8,90.6,77.8,x,x,x,x,x
Évora,19,0.8,180.4,72.6,37.5,48.3,90.4,103.3,x,x,x,x,x
Montemor-o-Novo,14,0.47,264.9,62.4,51.9,56.4,92.3,120.6,x,x,x,x,x
Mora,20,0.12,446.3,47.5,73.8,55.7,91.2,150,x,x,x,x,x
Mourão,0,0.38,195.8,64.7,47.5,54,102.8,80,x,x,x,x,x
Portel,8.3,0.23,246.2,66.5,47.4,53.4,96.4,550,x,x,x,x,x
Redondo,36.8,0.16,241.6,64.4,45.9,54.5,95.4,100,x,x,x,x,x
Reguengos de Monsaraz,8.7,0.3,218.1,63.9,44,53.6,94,130.8,x,x,x,x,x
Vendas Novas,0,0.97,249.6,79.7,50.8,55.7,92.6,142.2,x,x,x,x,x
Viana do Alentejo,7.7,0.22,205.8,60.8,42.3,58.1,91.1,200,x,x,x,x,x
Vila Viçosa,12.9,0.19,243.1,55.6,43.3,52.1,93.2,133.3,x,x,x,x,x
Algarve,22.3,2.57,178.8,69.4,38.4,46.9,93.4,123.2,29.3,34.3,35.9,79.78,19.21
Albufeira,28.3,4.32,133.9,78,27.4,42.7,95.1,125.1,x,x,x,x,x
Alcoutim,5,1.52,791.3,44.9,103.5,58.9,94.4,137.5,x,x,x,x,x
Aljezur,15.4,5.39,212,56.7,44.9,52.8,99.3,101.2,x,x,x,x,x
Castro Marim,44.2,1.4,298.7,58.3,58.3,49.3,95.5,172.7,x,x,x,x,x
Faro,3,1.99,163.1,80.4,34.6,47.6,89.9,142.7,x,x,x,x,x
Lagoa,14.8,2.33,174.7,65.1,37.8,44,94.7,140.4,x,x,x,x,x
Lagos,14.3,3.4,199.2,61.2,40.6,43.8,93.5,108.2,x,x,x,x,x
Loulé,25.5,2.55,173.5,68.7,37.7,48.3,92.7,110.7,x,x,x,x,x
Monchique,29.4,1.56,337.4,43.4,61.6,54.2,99.7,136.1,x,x,x,x,x
Olhão,4,1.52,163.5,73,37,46.2,94.7,112.6,x,x,x,x,x
Portimão,7.5,2.69,158.4,77,35.9,46.2,91.5,126.4,x,x,x,x,x
São Brás de Alportel,31.1,1.1,194.2,67,43.5,50.5,92.5,106.7,x,x,x,x,x
Silves,22.7,2.14,185.2,63.3,40.8,48.9,96,140.6,x,x,x,x,x
Tavira,5,3.06,257.2,55.8,51.2,46.3,96.5,130.1,x,x,x,x,x
Vila do Bispo,13.2,5.57,214.6,51.4,46.4,48.9,94.6,97.5,x,x,x,x,x
Vila Real de Santo António,36.6,1.54,199.7,66.2,43.8,44.3,91.9,138.8,x,x,x,x,x
R. A. Açores,4.5,0.29,116.2,87,24.5,43.2,94.7,107.6,29.1,30.7,32.8,78.18,17.58
Santa Maria,22.2,0.5,125.7,82,26.1,42.4,90.9,107.7,x,x,x,x,x
Vila do Porto,22.2,0.5,125.7,82,26.1,42.4,90.9,107.7,x,x,x,x,x
São Miguel,2.9,0.28,92.9,97.9,20.4,42,94.9,101.1,x,x,x,x,x
Lagoa (R.A.A.),1.7,0.14,79,105.1,18.2,41.4,95.7,150,x,x,x,x,x
Nordeste,0,0.25,165.7,78.8,31.8,48.2,96.7,83.3,x,x,x,x,x
