,"Densidade populacional 
┴, N.º/km2","Taxa de crescimento efetivo, %","Taxa de crescimento natural, %","Taxa de crescimento migratório, %","Taxa bruta de natalidade, ‰","Taxa bruta de mortalidade, ‰","Taxa bruta de nupcialidade, ‰","Taxa bruta de divórcio, ‰","Taxa de fecundidade geral, ‰","Taxa de fecundidade na adolescência, ‰","Índice sintético de fecundidade, N.º","Mulheres em idade fértil na população residente feminina, %","Nados-vivos fora do casamento, %","Proporção de casamentos católicos, %"
Manteigas,23.8,-1.23,-1.61,0.38,6.5,22.6,1.7,2.4,41.9,x,x,29.2,57.9,20
Mêda,16.2,-0.84,-1.63,0.79,3,19.3,2.6,1.1,19.8,x,x,28.9,78.6,54.5
Pinhel,16.6,-1.37,-1.87,0.49,3.2,21.9,1.9,1.6,21.5,x,x,28.7,53.8,33.3
Sabugal,13.7,-0.92,-1.94,1.03,4.2,23.7,0.9,0.6,32.8,x,x,24.8,66.7,60
Seia,49.8,-0.72,-1.28,0.56,5.7,18.5,2,1,34.4,x,x,31.6,63.2,25
Trancoso,23.3,-0.43,-1.22,0.79,5.7,17.9,1.3,0.5,35.3,x,x,30.8,47.9,36.4
A. M. Lisboa,951.7,-0.28,-0.23,-0.05,9.3,11.6,2.4,1.6,40.7,6.8,1.49,42.9,62.8,14.4
Alcochete,150.4,0.71,-0.07,0.78,7.9,8.6,4.2,2.3,33.5,x,x,45.3,62.5,19.5
Almada,2521.1,-0.72,-0.37,-0.35,8.8,12.5,1.2,1.6,40.3,x,x,40.9,64.4,10.1
Amadora,7253.9,0.38,-0.11,0.49,10,11.1,0.6,1.6,43.2,x,x,43,66.6,24.5
Barreiro,2138.5,-1.02,-0.55,-0.48,8.3,13.7,2.6,1.7,38.2,x,x,40.5,68.9,11.4
Cascais,2195.2,-0.41,-0.33,-0.08,8,11.2,2.6,1.8,36.6,x,x,40.5,59.8,18.8
Lisboa,5438,-0.63,-0.42,-0.21,9.9,14.1,4.1,1.4,43.6,x,x,42.3,53.4,17.2
Loures,1211.6,0.26,-0.13,0.4,10.2,11.5,1.7,1.4,44.8,x,x,42.8,65.1,22
Mafra,297.6,0.19,-0.05,0.24,8.6,9.1,3.2,1.8,36.1,x,x,45.9,61.7,27.3
Moita,1193.5,-0.78,-0.27,-0.51,10.2,12.9,2,1.9,45.9,x,x,42,75.7,11.5
Montijo,160.8,0.48,-0.13,0.61,10.2,11.5,2.4,1.6,43.2,x,x,45.7,63.8,12.3
Odivelas,5619.1,0.52,0.04,0.48,11.1,10.6,0,1.5,47.2,x,x,44.1,57.4,x
Oeiras,3750.7,-0.05,-0.26,0.21,8.3,10.9,2.4,1.4,37.8,x,x,40.8,58.2,6.2
Palmela,147.5,-0.7,-0.46,-0.24,8.4,13,2.6,1.9,37.9,x,x,42.6,66.7,16.1
Seixal,1744,-0.26,-0.17,-0.09,8.8,10.5,1.6,1.9,38.3,x,x,43.1,66.9,10.7
Sesimbra,267.9,-0.16,-0.26,0.1,8.2,10.7,5.9,1.7,36.1,x,x,43.7,66.7,6
Setúbal,531,-1.38,-0.57,-0.82,8,13.6,3.7,2,36.6,x,x,41.2,68.8,3.8
Sintra,1208.5,-0.09,0.06,-0.15,9.6,9.1,1.9,1.7,40,x,x,45.2,69.8,10.2
Vila Franca de Xira,431.5,-0.36,-0.09,-0.27,8.9,9.8,1.4,1.7,37.3,x,x,45.4,65.6,18
Alentejo,22.3,-0.36,-0.92,0.56,7.4,16.6,2.7,1.4,38.7,11.7,1.53,37.1,71.1,25.3
Alentejo Litoral,18.3,0.01,-0.76,0.77,7.8,15.3,2.3,1,41.7,10.1,1.57,37.9,65.6,11.1
Alcácer do Sal,7.4,-1.22,-1.63,0.41,5.7,22,2.1,0.5,32.5,x,x,34.4,64.1,22.7
Grândola,16.8,0.22,-1.01,1.24,7.8,17.9,3.2,1.3,42.1,x,x,37.6,70.4,15.9
Odemira,17.3,0.3,-0.37,0.67,9.1,12.8,1,0.7,50,x,x,40.5,55.4,10
Santiago do Cacém,26.3,-0.16,-0.89,0.72,6.6,15.4,2.2,1.2,35.7,x,x,35.7,70.5,9.8
Sines,70.4,0.5,-0.36,0.86,9,12.6,4.3,1.4,42.7,x,x,40.5,76.6,5
Baixo Alentejo,13.5,-0.46,-1.05,0.59,8.4,18.9,2.4,1.3,46.2,28.4,1.81,35.9,76.1,17.6
Aljustrel,19.3,-0.78,-0.97,0.19,8.1,17.8,1,0.9,46.9,x,x,34.1,72.2,11.1
Almodôvar,8.6,-0.18,-0.94,0.76,8.5,17.8,1.6,0.9,50,x,x,33.7,80.7,36.4
Alvito,8.6,-0.26,-1.75,1.49,8.7,26.2,5.2,2.1,45.5,x,x,37.5,65,33.3
Barrancos,8.5,-1.18,-1.6,0.42,8.3,24.3,2.8,1.3,48.3,x,x,33.6,83.3,25
Beja,29.2,-0.19,-0.72,0.53,9.3,16.5,2.8,1.4,46.3,x,x,39.1,71,17.4
Castro Verde,12.1,0,-0.9,0.9,6.8,15.8,2,1,36.2,x,x,36.5,76.6,0
Cuba,25.4,-0.8,-1.71,0.91,8.2,25.3,1.1,1.8,43.4,x,x,37.7,91.7,20
Ferreira do Alentejo,11.9,0.04,-0.89,0.93,9.1,18,4.1,2.3,52.1,x,x,35.5,85.7,3.2
Mértola,4.8,-1.4,-1.75,0.35,6.7,24.2,3.4,0.5,47.7,x,x,28.2,78.6,9.5
Moura,13.9,-0.38,-0.74,0.36,9.8,17.2,2.3,1.2,53.2,x,x,36.1,77.9,23.3
Ourique,7.3,-1.26,-1.94,0.68,5.8,25.2,3.7,1.5,34.9,x,x,32.7,75,16.7
Serpa,12.4,-0.8,-1.31,0.51,7.3,20.4,1.7,1.1,42.7,x,x,34.2,77.2,17.4
Vidigueira,16.4,-0.42,-1.23,0.81,8.3,20.6,1.7,1.3,44.9,x,x,35.9,76.7,55.6
