,Total (€),"Employees size class , 1 - 9 (€)","Employees size class , 10 - 19 (€)","Employees size class , 20 - 49 (€)","Employees size class , 50 - 99 (€)","Employees size class , 100 - 249 (€)","Employees size class , 250 - 499 (€)","Employees size class , 500 and over (€)"
Marinha Grande,1387.85,1098.1,1272.5,1362.78,1548.89,1404.58,1685.19,1403.42
Pedrógão Grande,999.4,863.95,891.61,1317.11,1723.59,972.57,//,1722.88
Pombal,1095.63,964.99,1065.31,1116.56,1159.36,1107.74,1220.71,1414.81
Porto de Mós,1177.43,998.61,1122.14,1176.4,1181.23,1441.62,1336.77,1310.92
Viseu Dão Lafões,1099.74,896.26,987.18,1039.21,1123.26,1082.8,1234.94,1381.94
Aguiar da Beira,894.11,831.13,858.79,1065.86,900.02,//,//,1870.87
Carregal do Sal,1080.71,962.83,926.78,999.38,1257.01,1149.14,2853.24,957.02
Castro Daire,929.99,821.63,945.43,1010.78,1614.1,900.36,1701.73,1497.47
Mangualde,1209.26,911.05,1118.83,1046.86,1123.88,964.89,1070.2,1480.72
Nelas,1161.71,928.09,1017.58,976.37,1057.48,1324.25,1585.55,1234.42
Oliveira de Frades,1141.32,985.47,973.95,1070.6,1090.72,1112.6,…,1433.52
Penalva do Castelo,992.62,948.56,854.88,914.98,729.2,1113.94,//,1809.76
Santa Comba Dão,1024.22,922.41,945.52,987.85,1129.19,1027.42,1168.05,1233.52
São Pedro do Sul,900.14,839.4,884.97,879.65,1101.02,885.83,1408.03,1256.46
Sátão,886.34,823.78,880.41,939.09,870.42,//,926.15,1665.47
Tondela,1154.9,896.21,982.82,1059.97,1364.43,1112.35,1506.64,1283.83
Vila Nova de Paiva,931.49,844.06,1014.18,914.24,922.14,868.85,//,1922.88
Viseu,1128.83,910.51,1006.2,1077.83,1118.82,1104.12,1153.32,1448.39
Vouzela,952.48,868.42,981.91,1103.29,1077.89,819.6,…,914.72
Beira Baixa,1082.01,905.53,1023.09,1044.61,1023.03,1312.58,1271.85,1208.71
Castelo Branco,1075.37,907.82,1046.05,1077.2,1000.36,1254.34,1127.65,1163.15
Idanha-a-Nova,986.03,918.68,1183.97,983.5,1082.51,…,921.01,1281.27
Oleiros,1019.9,883.4,836.31,953.77,833.42,1382.57,1646.02,1287.49
Penamacor,998.73,876.31,823.59,1114.91,//,//,//,1724.43
Proença-a-Nova,1056.3,859.11,919.26,931.86,1046.66,904.37,//,2349.07
Vila Velha de Ródão,1373.2,1035.06,1102.01,905.86,1324.2,1543.88,4373.87,1879.85
Médio Tejo,1115.82,922.24,1003.78,1066.27,1156.6,1238.06,1256.71,1446.9
Abrantes,1167.8,946.02,975.27,1098.38,1050.05,1412.44,1428.72,1301.48
Alcanena,1161.28,970.88,1101.12,1220.7,1139.83,1285.38,1429.02,1130.51
Constância,1242.42,858.4,895.75,1004.77,951.33,1597.13,763.5,2078.13
Entroncamento,1212.14,951.95,1129,1061.15,1114.28,1086.09,1085.93,1688.58
Ferreira do Zêzere,1018.28,888.67,1025.76,1021.61,1186.81,965.84,1090.71,1376.87
Mação,939.48,854.38,869.98,842.07,1327.55,883.92,1138.19,1674.37
Ourém,1115.05,935.71,1025.7,1078.51,1253.98,1419.82,1250.64,1248.15
Sardoal,873.95,853.31,873.12,//,881.4,1045.03,//,…
Sertã,976.11,877.07,931.34,983.96,1284.19,901.19,810.26,1348.19
Tomar,1093.28,880.94,940.79,987.98,1075.77,1112.34,1020.26,1684.82
Torres Novas,1145.26,949.25,999.82,1126.3,1166.24,1048.51,1079.19,1428.53
Vila de Rei,905.72,856.15,929.24,791.6,…,984.31,//,1389.21
Vila Nova da Barquinha,968.59,886,1123.63,1024.56,925.66,880.89,…,…
Beiras e Serra da Estrela,1051.24,870.65,946.26,997.86,1041.3,1129.21,1091.06,1430.34
Almeida,968.18,901.02,862.5,959.11,1112.62,…,1146.24,1398.08
Belmonte,919.45,859.04,911.6,1000.78,931.98,895.15,//,1650.58
Celorico da Beira,1099.55,849.23,841.64,1339.58,884.9,1230.69,1128.54,1425.24
Covilhã,1054.27,884.49,973.2,1005.7,1021.63,1071.22,950.22,1432.94
Figueira de Castelo Rodrigo,894.32,817.9,1017.45,860.22,881.16,830.75,//,1455.43
Fornos de Algodres,873.61,835.23,832.3,861.77,1008.14,1046.11,//,1078.42
Fundão,1055.15,889.19,964.63,1041.27,1093.84,1130.99,1024.89,1380.92
Gouveia,951.61,893.4,894.35,910.22,945,1075.81,…,1323.66
Guarda,1176.34,874.72,998.24,989.11,1083.79,1331.56,1284.52,1530.28
Manteigas,966.46,865.11,883.1,1194.94,1009.84,1017.36,947.74,976.33
Mêda,919.15,842.93,869.71,1142.74,1017.04,848.44,//,1924.43
Pinhel,920.81,873.66,893.72,847.99,1077.35,945.17,…,1753.92
Sabugal,968.38,821.78,1049.49,902.33,985.93,1488.62,1121.27,1833.51
Seia,968.04,868.36,927.15,933.52,990.27,1070.23,909.16,1110.46
Trancoso,1015.66,848.79,949.78,1063.91,1046.17,881.1,1330.73,1834.68
A. M. Lisboa,1562.69,1129.9,1293.48,1491.09,1662.89,1793.94,1901.71,1664.61
Alcochete,2006.62,1038.51,1120.08,1184.49,1327.46,1529.92,5262.25,1210.65
Almada,1219.61,936.53,1058.89,1152.89,1104.73,1356.73,1352.3,1571.73
Amadora,1567.29,1027.6,1139.7,1375.46,1645.61,2045.07,1804.49,1665.35
Barreiro,1192.2,957.84,977.32,1049.97,1320.98,1208.13,1854.29,1266.51
Cascais,1293.65,1075.86,1149.28,1265.58,1380.61,1581.72,1548.16,1350.83
Lisboa,1752.02,1344.53,1524.01,1783.47,1925.01,1929.3,1879.08,1791.31
Loures,1285.41,990.12,1146.98,1259.23,1298.95,1502.19,1418.12,1357.94
Mafra,1111.66,949.58,1101.91,1222.03,1218.58,1042.65,1164.15,1148.43
Moita,1051.74,939.97,1063.62,1110.78,1126.3,1084.98,982.81,1240.23
Montijo,1121.33,941.74,1037.89,1094.53,1139.75,1214.07,1290.25,1220.5
Odivelas,1045.49,952.52,997.63,1101.71,1192.41,972.33,1308.16,1129.76
Oeiras,1901.28,1309.77,1642.55,1905.74,2182.52,2435.56,2063.21,1785.4
Palmela,1369.2,950.53,1117.28,1187.1,1300.13,1433.38,1413.7,1547.42
Seixal,1408.71,937.03,1041.83,1127.71,1128.81,1340.97,4347.92,1183.36
Sesimbra,1061.53,884.77,977.21,1229.85,1196.94,1166.52,1684.55,1231.18
Setúbal,1290.68,1002.36,1098.42,1160.92,1270.65,1534.83,1931.02,1303.3
Sintra,1294.01,985.31,1145.07,1219.99,1347.4,1567.39,1641.83,1504.24
Vila Franca de Xira,1315.59,1013.74,1163.45,1313.19,1296.85,1300.62,1716.3,1433
Alentejo,1154.01,939.86,1044.76,1104.21,1161.44,1190.69,1215.21,1494.35
Alentejo Litoral,1232.34,919.97,1016.49,1131.22,1184.81,1353.53,992.91,1890.38
Alcácer do Sal,1082.86,944.41,976.33,1208.67,1485.53,1068.5,991.67,1543.13
Grândola,1143.82,922.56,1013.33,1050.02,1820.17,1010.47,1066.4,1277.19
Odemira,974.75,893.42,975.59,932.89,991.89,981.8,992.08,1080.44
Santiago do Cacém,1104.17,898.34,1006.51,1017.63,1177.8,1238.05,1041.62,1433.08
Sines,1849.64,994.04,1186.26,1468.99,1206.39,2107.33,888.99,2487.82
Baixo Alentejo,1237.79,945.62,1051.63,1043.32,1166.04,1118.14,1547.51,2051.34
