,"Ensino básico público, 1º Ciclo, Total (N.º)","Ensino básico público, 1º Ciclo, das quais, Ensino regular (N.º)","Ensino básico público, 1º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico público, 2º Ciclo, Total, Ensino artístico (N.º)","Ensino básico público, 2º Ciclo, das quais, Ensino regular (N.º)","Ensino básico público, 2º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico público, 2º Ciclo, das quais, Cursos de educação e formação (N.º)","Ensino básico público, 3º Ciclo, Total, Cursos de educação e formação (N.º)","Ensino básico público, 3º Ciclo, das quais, Ensino regular (N.º)","Ensino básico público, 3º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico público, 3º Ciclo, das quais, Cursos profissionais (N.º)","Ensino básico público, 3º Ciclo, das quais, Cursos de educação e formação (N.º)"
Cuba,151,151,0,86,86,0,0,112,112,0,0,0
Ferreira do Alentejo,249,249,0,138,138,0,0,181,181,0,0,0
Mértola,161,161,0,65,65,0,0,138,123,0,0,15
Moura,599,599,0,312,293,0,0,435,399,0,0,0
Ourique,132,132,0,100,100,0,0,111,97,0,0,14
Serpa,432,432,0,241,229,0,0,355,345,0,0,0
Vidigueira,215,213,0,102,96,0,0,114,98,0,0,13
Lezíria do Tejo,8150,8148,0,4662,4625,0,0,7566,7297,0,0,146
Almeirim,843,843,0,509,485,0,0,777,752,0,0,0
Alpiarça,196,196,0,95,95,0,0,189,189,0,0,0
Azambuja,795,795,0,419,419,0,0,693,680,0,0,13
Benavente,1222,1222,0,637,634,0,0,1086,1025,0,0,37
Cartaxo,788,788,0,457,454,0,0,730,688,0,0,23
Chamusca,241,241,0,132,132,0,0,222,211,0,0,0
Coruche,521,519,0,267,260,0,0,459,445,0,0,0
Golegã,165,165,0,76,76,0,0,147,147,0,0,0
Rio Maior,645,645,0,445,445,0,0,729,699,0,0,0
Salvaterra de Magos,731,731,0,425,425,0,0,653,616,0,0,37
Santarém,2003,2003,0,1200,1200,0,0,1881,1845,0,0,36
Alto Alentejo,3447,3445,0,1889,1827,37,0,2984,2842,0,0,82
Alter do Chão,101,101,0,49,49,0,0,94,72,0,0,22
Arronches,80,80,0,56,54,0,0,71,65,0,0,0
Avis,123,123,0,50,50,0,0,101,101,0,0,0
Campo Maior,384,384,0,196,183,0,0,301,291,0,0,0
Castelo de Vide,81,81,0,50,50,0,0,63,63,0,0,0
Crato,85,85,0,40,40,0,0,63,63,0,0,0
Elvas,805,805,0,413,373,37,0,644,591,0,0,42
Fronteira,76,76,0,47,47,0,0,91,91,0,0,0
Gavião,76,76,0,61,61,0,0,87,87,0,0,0
Marvão,69,69,0,26,26,0,0,61,61,0,0,0
Monforte,113,111,0,60,57,0,0,84,78,0,0,0
Nisa,123,123,0,67,67,0,0,112,99,0,0,0
Ponte de Sor,444,444,0,273,269,0,0,399,380,0,0,18
Portalegre,770,770,0,412,412,0,0,691,678,0,0,0
Sousel,117,117,0,89,89,0,0,122,122,0,0,0
Alentejo Central,4980,4976,0,2658,2591,0,0,4347,4121,0,0,110
Alandroal,123,123,0,76,76,0,0,108,108,0,0,0
Arraiolos,169,169,0,89,89,0,0,179,179,0,0,0
Borba,205,205,0,117,111,0,0,154,146,0,0,0
Estremoz,414,413,0,208,190,0,0,331,309,0,0,0
Évora,1906,1903,0,960,938,0,0,1697,1606,0,0,40
Montemor-o-Novo,489,489,0,256,256,0,0,413,392,0,0,16
Mora,94,94,0,50,50,0,0,105,105,0,0,0
Mourão,99,99,0,54,49,0,0,71,58,0,0,0
Portel,151,151,0,101,101,0,0,133,133,0,0,0
Redondo,207,207,0,104,104,0,0,148,137,0,0,11
Reguengos de Monsaraz,368,368,0,224,208,0,0,347,301,0,0,29
Vendas Novas,347,347,0,182,182,0,0,308,308,0,0,0
Viana do Alentejo,185,185,0,102,102,0,0,154,154,0,0,0
Vila Viçosa,223,223,0,135,135,0,0,199,185,0,0,14
Algarve,17140,17137,0,9760,9647,53,0,15228,14261,104,0,598
Albufeira,1959,1959,0,1063,1063,0,0,1610,1521,0,0,70
Alcoutim,53,53,0,24,24,0,0,49,49,0,0,0
Aljezur,232,232,0,106,106,0,0,162,162,0,0,0
Castro Marim,256,256,0,135,135,0,0,170,157,0,0,0
Faro,2337,2335,0,1403,1381,0,0,2243,2112,0,0,82
Lagoa,894,894,0,491,486,0,0,715,649,25,0,37
Lagos,1056,1056,0,617,607,0,0,1134,1073,0,0,9
Loulé,2992,2992,0,1606,1597,0,0,2410,2228,0,0,151
Monchique,147,147,0,76,76,0,0,127,127,0,0,0
Olhão,1635,1635,0,964,960,0,0,1454,1345,0,0,86
Portimão,2123,2123,0,1353,1300,53,0,2129,1970,79,0,50
São Brás de Alportel,417,417,0,238,238,0,0,381,366,0,0,15
Silves,1366,1365,0,690,686,0,0,1060,1016,0,0,31
Tavira,820,820,0,507,506,0,0,774,724,0,0,37
Vila do Bispo,187,187,0,65,65,0,0,112,112,0,0,0
Vila Real de Santo António,666,666,0,422,417,0,0,698,650,0,0,30
R. A. Açores,9244,9034,0,5103,4855,0,0,8353,7511,0,0,409
Santa Maria,203,203,0,102,102,0,0,196,186,0,0,10
Vila do Porto,203,203,0,102,102,0,0,196,186,0,0,10
São Miguel,5441,5284,0,3177,3006,0,0,5163,4600,0,0,274
Lagoa (R.A.A.),587,575,0,350,327,0,0,603,512,0,0,0
Nordeste,153,148,0,102,102,0,0,152,152,0,0,0
Ponta Delgada,2366,2294,0,1118,1046,0,0,2666,2354,0,0,193
Povoação,234,234,0,124,124,0,0,212,187,0,0,25
Ribeira Grande,1678,1615,0,1252,1196,0,0,1170,1043,0,0,56
Vila Franca do Campo,423,418,0,231,211,0,0,360,352,0,0,0
Terceira,1953,1917,0,980,921,0,0,1620,1457,0,0,57
Angra do Heroísmo,1186,1156,0,623,575,0,0,1009,903,0,0,31
Vila da Praia da Vitória,767,761,0,357,346,0,0,611,554,0,0,26
Graciosa,173,173,0,83,83,0,0,112,100,0,0,12
