,"Densidade populacional , N.º/km2","Taxa de crescimento efetivo, %","Taxa de crescimento natural, %","Taxa de crescimento migratório, %","Taxa bruta de natalidade, ‰","Taxa bruta de mortalidade, ‰","Taxa bruta de nupcialidade, ‰","Taxa bruta de divórcio, ‰","Taxa de fecundidade geral, ‰","Taxa de fecundidade na adolescência, ‰","Índice sintético de fecundidade, N.º","Mulheres em idade fértil na população residente feminina, %","Nados-vivos fora do casamento, %","Proporção de casamentos católicos, %"
Vinhais,11,-1.78,-1.91,0.13,4.2,23.3,0.7,0.9,28.1,x,x,28.6,59.4,0
Centro,79.1,0.54,-0.65,1.19,7.1,13.6,1.7,1.6,33.5,6,1.25,40.2,57.3,12.2
Oeste,163.2,1.03,-0.46,1.48,7.8,12.4,1.9,1.7,35,6.6,1.32,43,62.4,8.8
Alcobaça,131.7,0.35,-0.47,0.82,7.4,12,1.4,1.9,34.4,x,x,40.8,59.7,16.2
Alenquer,147,1.49,-0.27,1.76,8.5,11.2,2,1.4,36.9,x,x,44.8,58.7,1.1
Arruda dos Vinhos,202.3,2.32,-0.15,2.47,7.5,9,2.4,1.9,30.9,x,x,47.2,51.3,8.6
Bombarral,138.9,1,-0.65,1.65,8.3,14.8,4,1.4,38.7,x,x,41.5,65.7,2
Cadaval,78.5,0.45,-1.23,1.67,5.3,17.6,1.4,1.2,25,x,x,41,71.2,5.3
Caldas da Rainha,205.2,1.08,-0.64,1.72,6.8,13.2,1.6,1.8,30.3,x,x,42.8,66.3,7.3
Lourinhã,177.9,1.26,-0.46,1.72,7.9,12.5,2.2,1.1,33.5,x,x,45.6,68.4,5.4
Nazaré,173,0.68,-0.44,1.12,7.7,12.1,4.2,2.2,37.1,x,x,38.7,57.8,6.8
Óbidos,84.9,1.44,-0.58,2.02,7,12.7,2.3,1.9,32,x,x,42,71.1,14.8
Peniche,344.4,0.77,-0.44,1.21,8.8,13.2,1.7,1.5,41.5,x,x,40.5,68.4,13.3
Sobral de Monte Agraço,207.9,1.7,-0.39,2.09,7.9,11.8,2.7,1.2,32.7,x,x,47.6,63.5,10.3
Torres Vedras,194.7,0.95,-0.32,1.27,8.7,12,1.7,2,38.2,x,x,43.8,60.1,13.1
Região de Aveiro,216.9,0.91,-0.37,1.28,7.8,11.5,2,1.7,35,8,1.31,42.2,56,13.7
Águeda,138.2,0.59,-0.35,0.94,7.5,11,1.2,2,35.8,x,x,40.1,56.5,16.7
Albergaria-a-Velha,153,0.62,-0.31,0.93,8.1,11.1,1.5,1.7,36.7,x,x,42,54.1,5.6
Anadia,126.3,0.4,-0.86,1.26,5.7,14.3,1.7,1.5,29.3,x,x,37.2,60.9,6.5
