,"Médicos, Total (N.º)","Médicos, Especialistas (N.º)","Médicos, Não especialistas (N.º)","Médicos por algumas especialidades médicas, Cirurgia geral (N.º)","Médicos por algumas especialidades médicas, Estomatologia (N.º)","Médicos por algumas especialidades médicas, Ginecologia e obstetrícia (N.º)","Médicos por algumas especialidades médicas, Medicina geral e familiar (N.º)","Médicos por algumas especialidades médicas, Oftalmologia (N.º)","Médicos por algumas especialidades médicas, Ortopedia (N.º)","Médicos por algumas especialidades médicas, Pediatria (N.º)","Médicos por algumas especialidades médicas, Psiquiatria (N.º)"
Sabrosa,7,1,6,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,8,2,6,0,0,0,1,0,0,1,0
São João da Pesqueira,11,5,6,0,0,0,4,0,0,0,0
Sernancelhe,8,3,5,0,0,0,3,0,0,0,0
Tabuaço,5,1,4,0,0,0,1,0,0,0,0
Tarouca,16,6,10,0,0,0,4,0,0,1,0
Torre de Moncorvo,13,2,11,0,0,0,2,0,0,0,0
Vila Nova de Foz Côa,14,2,12,0,0,1,0,0,0,0,0
Vila Real,362,219,143,18,2,11,48,8,9,15,5
Terras de Trás-os-Montes,395,193,202,12,2,3,75,5,10,9,5
Alfândega da Fé,9,5,4,0,0,0,1,0,0,0,0
Bragança,191,93,98,6,2,2,29,2,3,3,3
Macedo de Cavaleiros,41,21,20,2,0,0,8,0,6,0,0
Miranda do Douro,14,6,8,0,0,0,5,0,0,0,0
Mirandela,94,49,45,4,0,1,18,2,0,4,2
Mogadouro,19,10,9,0,0,0,8,0,1,1,0
Vila Flor,9,4,5,0,0,0,3,1,0,0,0
Vimioso,7,1,6,0,0,0,1,0,0,0,0
Vinhais,11,4,7,0,0,0,2,0,0,1,0
Centro,11704,6943,4761,354,114,367,1895,195,265,370,248
Oeste,819,480,339,23,8,15,193,7,14,28,6
Alcobaça,83,37,46,1,1,1,19,0,0,3,1
Alenquer,75,40,35,0,1,0,23,0,2,1,0
Arruda dos Vinhos,40,17,23,0,0,1,9,0,1,1,1
Bombarral,22,12,10,0,0,0,6,0,0,2,0
Cadaval,10,4,6,0,0,0,2,0,0,0,1
Caldas da Rainha,211,140,71,9,1,5,43,5,4,11,3
Lourinhã,47,29,18,0,0,0,15,0,0,2,0
Nazaré,24,15,9,1,0,1,9,0,0,0,0
Óbidos,15,8,7,1,0,0,4,0,0,0,0
Peniche,48,32,16,1,1,1,18,0,0,1,0
Sobral de Monte Agraço,20,12,8,0,1,0,4,0,0,0,0
Torres Vedras,224,134,90,10,3,6,41,2,7,7,0
Região de Aveiro,1372,784,588,36,13,38,273,22,27,54,23
Águeda,131,65,66,4,3,2,25,2,2,5,2
Albergaria-a-Velha,70,33,37,0,0,1,15,0,2,4,1
Anadia,92,45,47,5,0,0,13,2,4,4,1
Aveiro,510,344,166,18,4,26,106,11,7,19,12
Estarreja,60,31,29,0,0,0,19,0,1,2,0
Ílhavo,134,70,64,4,1,2,19,2,2,4,3
Murtosa,20,11,9,0,0,0,7,0,0,0,0
Oliveira do Bairro,60,30,30,2,0,2,12,1,0,1,0
Ovar,212,116,96,2,4,4,42,3,7,13,2
Sever do Vouga,22,12,10,1,0,0,4,1,0,0,2
Vagos,61,27,34,0,1,1,11,0,2,2,0
Região de Coimbra,5787,3633,2154,177,73,220,684,123,152,176,161
Arganil,12,9,3,0,0,0,6,0,0,0,0
Cantanhede,121,66,55,4,1,6,18,0,1,4,7
Coimbra,4755,3069,1686,146,64,195,505,111,128,152,136
Condeixa-a-Nova,103,68,35,5,1,3,17,1,1,3,4
Figueira da Foz,390,229,161,14,3,10,57,6,14,12,5
Góis,2,0,2,0,0,0,0,0,0,0,0
Lousã,33,7,26,0,0,1,2,1,0,0,0
Mealhada,67,37,30,3,2,1,16,1,0,2,1
Mira,47,17,30,1,0,0,10,0,0,1,0
Miranda do Corvo,33,16,17,0,1,0,4,0,2,1,1
Montemor-o-Velho,63,37,26,1,1,0,8,0,3,1,4
Mortágua,29,16,13,0,0,0,10,2,3,0,0
Oliveira do Hospital,38,21,17,2,0,0,15,0,0,0,1
