Distrito,Municipio,Freguesia (Simpli),DTMN21,DTMNFR21,DTMNFRSEC21,SECNUM21,SSNUM21,SECSSNUM21,SUBSECCAO,Edifícios Clássicos Total,Edifícios Clássicos com 1 ou 2 Alojamentos,Edifícios Clássicos com 3 ou Mais Alojamentos,Edifícios Exclusivamente Residenciais,Edifícios com 1 ou 2 Pisos,Edifícios com 3 ou Mais Pisos,Edifícios Construídos Antes de 1945,Edifícios Construídos Entre 1946 e 1980,Edifícios Construídos Entre 1981 e 2000,Edifícios Construídos Entre 2001 e 2010,Edifícios Construídos Entre 2011 e 2021,Edifícios com Necessidade de Reparação,Alojamentos Total,Alojamentos Familiares,Alojamentos Familiares Habituais,Alojamentos Familiares Vagos ou Secundários,Alojamentos Habituais Acessíveis a Cadeiras de Rodas,Alojamentos Habituais com Estacionamento,Alojamentos Habituais Propriedade dos Ocupantes,Alojamentos Habituais Arrendados,Agregados Domésticos Privados Total,Agregados Domésticos de 1 ou 2 Pessoas,Agregados Domésticos de 3 ou Mais Pessoas,Núcleos Familiares Total,Núcleos Familiares com Filhos,Indivíduos Total,Indivíduos Masculinos,Indivíduos Femininos,Indivíduos de 0 a 14 Anos,Indivíduos de 15 a 24 Anos,Indivíduos de 25 a 64 Anos,Indivíduos com 65 ou Mais Anos,geom_Length,geom_Area
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61118,61118002,2,2,202,6111800202,8,8,0,8,8,0,1,3,2,2,0,1,8,8,2,6,2,1,2,0,2,1,1,1,0,5,3,2,0,0,5,0,1014.084230657634,52965.02354536563
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61118,61118002,2,3,203,6111800203,17,16,1,17,14,3,4,4,7,2,0,2,20,20,11,9,7,8,6,5,11,8,3,10,4,26,10,16,2,3,9,12,1232.410068941942,53112.75375506304
Coimbra,Oliveira do Hospital,Avô,611,61126,61126001,1,19,119,6112600119,12,12,0,12,5,7,2,0,8,1,1,9,12,12,4,8,3,4,4,0,4,1,3,3,1,10,6,4,1,1,8,0,3951.735218676453,560657.8860561914
Coimbra,Oliveira do Hospital,Avô,611,61126,61126001,1,20,120,6112600120,33,33,0,33,14,19,5,7,11,9,1,25,35,35,19,16,8,9,16,0,19,12,7,14,6,45,24,21,3,6,24,12,3323.42005144136,292354.7722033142
Coimbra,Oliveira do Hospital,Santa Ovaia e Vila Pouca da Beira,611,61126,61126001,1,22,122,6112600122,26,26,0,26,13,13,11,9,5,1,0,24,26,26,7,19,1,1,6,1,7,4,3,7,2,19,7,12,2,0,5,12,340.3606165618875,5375.944340506841
Coimbra,Oliveira do Hospital,Aldeia das Dez,611,61101,61101001,1,12,112,6110100112,20,20,0,20,11,9,0,12,6,2,0,5,20,20,9,11,1,7,9,0,9,3,6,9,4,29,13,16,2,5,16,6,947.0199458245052,34220.87000012447
Coimbra,Oliveira do Hospital,Aldeia das Dez,611,61101,61101001,1,13,113,6110100113,14,14,0,14,9,5,1,6,7,0,0,1,14,14,4,10,0,0,4,0,4,4,0,1,0,5,2,3,0,0,0,5,308.7319190547026,3060.570481029192
Coimbra,Oliveira do Hospital,Aldeia das Dez,611,61101,61101001,1,15,115,6110100115,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11330.24374120894,1616108.085718357
Coimbra,Oliveira do Hospital,Aldeia das Dez,611,61101,61101001,1,16,116,6110100116,12,12,0,12,10,2,0,4,8,0,0,1,12,12,9,3,0,4,8,0,9,6,3,8,1,23,10,13,0,3,14,6,1261.935161166992,33913.75557173741
Coimbra,Oliveira do Hospital,Alvoco das Várzeas,611,61115,61115001,1,1,101,6111500101,10,10,0,10,10,0,9,1,0,0,0,7,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4413.514917902402,484599.1878721632
Coimbra,Oliveira do Hospital,Lourosa,611,61109,61109001,1,9,109,6110900109,5,5,0,5,5,0,0,2,1,2,0,0,5,5,4,1,2,4,4,0,4,2,2,3,2,10,5,5,2,1,4,3,1489.04718608503,111651.2253246826
