,"Educação pré-escolar, Total (N.º)","Educação pré-escolar, Público (N.º)","Educação pré-escolar, Privado  (N.º)","Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, Público (N.º)","Ensino básico, 1º Ciclo, Privado  (N.º)","Ensino básico, 2º Ciclo, Total (N.º)","Ensino básico, 2º Ciclo, Público (N.º)","Ensino básico, 2º Ciclo, Privado  (N.º)","Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, Público (N.º)","Ensino básico, 3º Ciclo, Privado  (N.º)"
Salvaterra de Magos,470,291,179,732,730,2,472,471,1,743,678,65
Santarém,1408,927,481,2254,2128,126,1303,1208,95,2206,1983,223
Alto Alentejo,2399,1469,930,3735,3600,135,2134,2030,104,3441,3305,136
Alter do Chão,69,69,0,94,94,0,44,44,0,135,135,0
Arronches,55,30,25,85,85,0,44,44,0,76,76,0
Avis,77,77,0,108,108,0,78,78,0,84,84,0
Campo Maior,260,150,110,376,374,2,258,212,46,352,291,61
Castelo de Vide,64,40,24,92,92,0,35,35,0,77,77,0
Crato,67,39,28,87,87,0,44,44,0,75,75,0
Elvas,549,270,279,1011,905,106,557,499,58,781,706,75
Fronteira,60,40,20,83,83,0,59,59,0,86,86,0
Gavião,48,36,12,84,84,0,59,59,0,106,106,0
Marvão,33,33,0,67,67,0,33,33,0,70,70,0
Monforte,66,66,0,131,131,0,51,51,0,105,105,0
Nisa,88,88,0,122,122,0,75,75,0,118,118,0
Ponte de Sor,306,194,112,505,478,27,273,273,0,439,439,0
Portalegre,569,279,290,751,751,0,449,449,0,790,790,0
Sousel,88,58,30,139,139,0,75,75,0,147,147,0
Alentejo Central,3485,1897,1588,5501,5217,284,3030,2878,152,5041,4786,255
Alandroal,75,75,0,149,149,0,70,70,0,103,103,0
Arraiolos,109,52,57,170,170,0,112,112,0,163,163,0
Borba,158,121,37,209,209,0,120,120,0,154,154,0
Estremoz,253,179,74,427,427,0,182,182,0,383,383,0
Évora,1364,409,955,2215,1998,217,1204,1095,109,2058,1868,190
Montemor-o-Novo,319,222,97,497,497,0,265,265,0,503,503,0
Mora,77,58,19,104,104,0,68,68,0,103,103,0
Mourão,55,55,0,95,95,0,60,60,0,60,60,0
Portel,114,61,53,182,182,0,105,105,0,123,123,0
Redondo,143,122,21,218,218,0,106,106,0,158,158,0
Reguengos de Monsaraz,250,194,56,380,380,0,252,248,4,430,411,19
Vendas Novas,274,161,113,417,350,67,242,203,39,409,369,40
Viana do Alentejo,117,87,30,188,188,0,105,105,0,182,176,6
Vila Viçosa,177,101,76,250,250,0,139,139,0,212,212,0
Algarve,11708,6615,5093,19355,17710,1645,10453,10094,359,16552,15894,658
Albufeira,1304,970,334,1993,1993,0,1004,1004,0,1813,1813,0
Alcoutim,28,0,28,59,59,0,24,24,0,52,52,0
Aljezur,144,144,0,219,219,0,118,118,0,147,147,0
Castro Marim,186,113,73,272,272,0,120,120,0,145,145,0
Faro,1591,441,1150,2892,2472,420,1624,1564,60,2441,2352,89
Lagoa,687,353,334,1019,893,126,581,503,78,868,743,125
Lagos,843,262,581,1288,1041,247,780,743,37,1186,1128,58
Loulé,1896,1367,529,3247,3054,193,1700,1601,99,2662,2445,217
Monchique,107,107,0,138,138,0,88,88,0,126,126,0
Olhão,1083,610,473,1903,1803,100,1045,989,56,1644,1564,80
Portimão,1532,941,591,2553,2232,321,1360,1359,1,2333,2276,57
São Brás de Alportel,303,229,74,436,436,0,256,256,0,346,346,0
Silves,895,473,422,1399,1291,108,692,682,10,1134,1102,32
Tavira,568,231,337,948,872,76,520,520,0,752,752,0
Vila do Bispo,125,125,0,230,176,54,93,75,18,114,114,0
Vila Real de Santo António,416,249,167,759,759,0,448,448,0,789,789,0
R. A. Açores,6706,4194,2512,10949,10051,898,5720,5568,152,9543,9389,154
Santa Maria,149,139,10,222,222,0,126,126,0,170,170,0
Vila do Porto,149,139,10,222,222,0,126,126,0,170,170,0
São Miguel,3910,2648,1262,6838,6150,688,3489,3380,109,5986,5832,154
Lagoa (R.A.A.),391,335,56,666,666,0,384,384,0,679,679,0
Nordeste,95,95,0,185,185,0,102,102,0,172,172,0
Ponta Delgada,2055,1170,885,3343,2655,688,1754,1645,109,3030,2952,78
Povoação,164,138,26,240,240,0,153,153,0,271,251,20
Ribeira Grande,929,711,218,1922,1922,0,838,838,0,1396,1354,42
Vila Franca do Campo,276,199,77,482,482,0,258,258,0,438,424,14
Terceira,1403,665,738,2169,2027,142,1215,1172,43,1877,1877,0
Angra do Heroísmo,909,301,608,1401,1259,142,770,727,43,1143,1143,0
Vila da Praia da Vitória,494,364,130,768,768,0,445,445,0,734,734,0
Graciosa,141,72,69,185,185,0,77,77,0,126,126,0
Santa Cruz da Graciosa,141,72,69,185,185,0,77,77,0,126,126,0
São Jorge,237,67,170,299,299,0,179,179,0,252,252,0
Calheta (R.A.A.),102,21,81,121,121,0,84,84,0,109,109,0
Velas,135,46,89,178,178,0,95,95,0,143,143,0
Pico,372,312,60,523,523,0,267,267,0,430,430,0
Lajes do Pico,85,80,5,159,159,0,91,91,0,129,129,0
Madalena,189,161,28,243,243,0,128,128,0,207,207,0
São Roque do Pico,98,71,27,121,121,0,48,48,0,94,94,0
Faial,402,231,171,571,503,68,292,292,0,575,575,0
Horta,402,231,171,571,503,68,292,292,0,575,575,0
Flores,82,60,22,123,123,0,73,73,0,119,119,0
Lajes das Flores,17,17,0,44,44,0,30,30,0,1,1,0
Santa Cruz das Flores,65,43,22,79,79,0,43,43,0,118,118,0
Corvo,10,0,10,19,19,0,2,2,0,8,8,0
Corvo,10,0,10,19,19,0,2,2,0,8,8,0
R. A. Madeira,5686,3038,2648,10277,7856,2421,5853,5059,794,9810,8654,1156
Calheta (R.A.M.),223,159,64,553,509,44,261,261,0,393,393,0
Câmara de Lobos,610,384,226,1240,1240,0,686,686,0,1068,1068,0
Funchal,2938,1095,1843,4959,3021,1938,2844,2050,794,4872,3716,1156
Machico,368,283,85,732,635,97,438,438,0,792,792,0
Ponta do Sol,160,150,10,480,480,0,172,172,0,348,348,0
Porto Moniz,43,43,0,66,66,0,45,45,0,79,79,0
Ribeira Brava,275,275,0,493,493,0,304,304,0,561,561,0
Santa Cruz,760,388,372,1172,955,217,807,807,0,1197,1197,0
Santana,119,98,21,234,204,30,89,89,0,172,172,0
São Vicente,83,80,3,153,153,0,97,97,0,149,149,0
Porto Santo,107,83,24,195,100,95,110,110,0,179,179,0
