,"Densidade populacional , N.º/km2","Taxa de crescimento efetivo, %","Taxa de crescimento natural, %","Taxa de crescimento migratório, %","Taxa bruta de natalidade, ‰","Taxa bruta de mortalidade, ‰","Taxa bruta de nupcialidade, ‰","Taxa bruta de divórcio, ‰","Taxa de fecundidade geral, ‰","Taxa de fecundidade na adolescência, ‰","Índice sintético de fecundidade, N.º","Mulheres em idade fértil na população residente feminina, %","Nados-vivos fora do casamento, %","Proporção de casamentos católicos, %"
Alcácer do Sal,7.4,-0.72,-0.93,0.21,7.5,16.8,4.6,2.3,43,x,x,33.7,72.3,22.4
Grândola,16.9,-0.17,-0.94,0.77,7.9,17.3,2.5,1.7,43.4,x,x,37.1,76.6,12.1
Odemira,18.3,2.57,-0.46,3.03,7.6,12.2,1.4,0.9,43.4,x,x,40.3,49.4,19.5
Santiago do Cacém,26.5,0.08,-0.69,0.77,8,14.9,3.3,1.8,43.3,x,x,35.5,74.4,16.3
Sines,71.6,0.63,-0.14,0.77,9.3,10.7,3.3,1.4,44.8,x,x,40.1,71.9,12.5
Baixo Alentejo,13.5,-0.37,-1,0.63,8.1,18,2.9,1.4,44,26.3,1.72,35.9,72.3,18.1
Aljustrel,19.4,-0.1,-0.81,0.71,8.9,17,1.1,1.7,50.6,x,x,34.5,78.5,20
Almodôvar,8.6,-1.26,-1.4,0.13,6.8,20.8,2.7,1.5,39.9,x,x,34,71.7,17.6
Alvito,8.5,-1.67,-2.11,0.44,7,28.1,3.5,1.3,34,x,x,38.7,62.5,25
Barrancos,8.7,-2.77,-2.03,-0.74,7.4,27.7,2.7,1.4,41.6,x,x,35.1,81.8,0
Beja,29.2,-0.42,-0.78,0.37,9.2,17,3.6,1.5,46.2,x,x,38.9,75,23.1
Castro Verde,12.2,0.19,-0.81,0.99,7.3,15.4,2.3,1.6,39.1,x,x,36.2,66.7,13.3
Cuba,25.7,0.43,-0.86,1.29,8.8,17.4,2.9,1.1,44.6,x,x,38.9,74.4,15.4
Ferreira do Alentejo,12.1,-0.31,-1.61,1.3,5.8,21.9,4.1,1.9,33,x,x,35.8,84.4,6.3
Mértola,4.8,-1.19,-1.77,0.58,3.9,21.6,2.7,1.1,26.1,x,x,29.2,62.5,14.3
Moura,13.9,-0.07,-0.55,0.48,8.9,14.4,3.4,1.2,48.5,x,x,35.5,63,17.8
Ourique,7.3,-0.12,-1.29,1.16,7.1,19.9,2.3,1,41.1,x,x,33.4,79.4,27.3
Serpa,12.4,-0.31,-0.8,0.49,8.2,16.2,1.7,1.2,48.6,x,x,33.5,67.3,17.4
Vidigueira,16.5,0.19,-1.32,1.51,8.6,21.8,2.9,1.3,46.9,x,x,36.1,73.3,7.1
Lezíria do Tejo,56.9,0.97,-0.65,1.62,7.7,14.2,3.6,1.8,38.4,8,1.53,38.5,65.9,31.2
Almeirim,101.5,0.97,-0.55,1.52,8,13.5,2.9,1.9,38.9,x,x,39.3,66.1,14.8
Alpiarça,75.4,1.32,-0.77,2.09,7.6,15.3,2.4,2.2,40.4,x,x,36,72.2,18.8
Azambuja,84.7,1.18,-0.62,1.8,7.6,13.8,5,2.2,37.6,x,x,40.5,69.6,23.6
Benavente,60.4,2.34,-0.05,2.39,9.4,9.9,3.3,2.2,41.4,x,x,43.6,58.2,20
Cartaxo,151.4,0.99,-0.61,1.6,7.8,14,3.6,1.7,38.3,x,x,39.2,71.1,11.8
Chamusca,11.4,-0.12,-1.25,1.14,5.5,18,1.2,1.3,31.2,x,x,34.2,66,10
Coruche,15.5,-0.59,-1.49,0.9,5.6,20.6,2,1.5,33.9,x,x,31.5,66.3,45.5
Golegã,63.8,-0.45,-1.22,0.78,6.9,19.1,16.7,2,35.3,x,x,36.9,73,68.5
Rio Maior,79.7,0.87,-0.53,1.4,7.8,13.1,2.7,1.8,39.1,x,x,39,60.9,39.3
Salvaterra de Magos,93.4,2.19,-0.76,2.95,7.1,14.7,3.2,1.5,36.1,x,x,37.9,73.1,22.2
Santarém,108.7,0.46,-0.63,1.09,7.8,14.1,3.9,1.7,39.3,x,x,37.7,65.2,37.6
Alto Alentejo,17.1,-0.87,-1.2,0.33,6.7,18.7,2.8,1.5,36.6,13.8,1.46,34.9,74.3,39.2
Alter do Chão,8.7,1.05,-1.56,2.61,7.3,22.9,1.9,1,41.6,x,x,33.2,60.9,60
Arronches,8.8,-0.4,-1.4,1.01,8.3,22.3,1.8,2.9,49.4,x,x,32.6,60.9,40
Avis,6.2,-1.1,-1.31,0.21,7.6,20.8,3.7,1.6,42.6,x,x,34.2,93.1,42.9
Campo Maior,32.2,-0.96,-0.76,-0.2,7.6,15.3,1.9,1.6,36.8,x,x,39.9,85.2,33.3
Castelo de Vide,12.1,-0.25,-1.81,1.56,4.7,22.8,2.5,2.5,27.8,x,x,32.5,73.3,0
Crato,8.2,0.34,-1.6,1.94,6.5,22.5,4.9,0.6,44.4,x,x,27.7,61.9,37.5
Elvas,32.3,-1.15,-1.05,-0.09,6.9,17.4,3.5,1.5,34.7,x,x,37.8,77.3,47.1
Fronteira,11.8,-0.41,-1.36,0.95,6.4,20,5.1,0.7,34.6,x,x,35.4,89.5,20
Gavião,11.4,-0.59,-2.17,1.57,3.9,25.5,6.2,1.2,26.4,x,x,28.1,53.8,19
Marvão,19.6,-1.05,-2.03,0.98,4.9,25.2,1.3,2,27.4,x,x,34.2,93.3,25
Monforte,7.1,-1.04,-1.81,0.77,7,25.1,1,1,35.7,x,x,37.3,81,33.3
Nisa,9.9,-1.85,-2.3,0.45,5.7,28.7,1.7,1.6,40.5,x,x,26.8,69.7,80
Ponte de Sor,18.1,-0.57,-0.83,0.27,7.8,16.1,2.2,1.6,44,x,x,33.9,74.6,38.2
Portalegre,49.2,-1.13,-0.77,-0.36,6.5,14.2,2.9,1.6,34.2,x,x,35.8,63.9,42.9
Sousel,15.7,-0.95,-1.59,0.64,5.5,21.3,1.8,1.8,29.1,x,x,35,91.7,25
Alentejo Central,20.7,-0.43,-0.9,0.47,7.2,16.2,3.6,1.4,37.2,11.9,1.46,37.1,69.4,29
Alandroal,9.2,-0.54,-1.67,1.14,4.4,21.1,3.4,0.8,25.8,x,x,33.4,72.7,17.6
Arraiolos,9.9,0.34,-1.43,1.77,5.6,19.9,4.2,0.7,30.4,x,x,36.2,73.7,28.6
Borba,44.1,-0.93,-1.06,0.12,7,17.6,1.1,2.3,39.8,x,x,34.4,66.7,42.9
Estremoz,24.5,-1.03,-1.11,0.08,7,18.2,3.6,0.9,38.4,x,x,34.7,65.2,40.9
Évora,41,-0.48,-0.59,0.11,7.9,13.7,4,1.6,37.6,x,x,39.7,65.2,30.4
Montemor-o-Novo,12.9,-0.81,-1.17,0.36,6.6,18.3,3,1.6,35.1,x,x,36,75.2,6.4
Mora,9.4,-0.26,-1.79,1.53,4.1,22,1.7,1.7,25.3,x,x,30.6,88.2,14.3
Mourão,8.6,0.46,-0.92,1.38,10,19.2,5,1.3,56.1,x,x,36.4,87.5,25
Portel,9.5,-0.54,-0.85,0.31,8,16.5,1.9,1,42.5,x,x,36.8,80.4,20
Redondo,17,-0.38,-0.99,0.61,8,17.8,2.2,1.3,42.3,x,x,36.6,82,21.4
Reguengos de Monsaraz,21.1,-0.7,-1.08,0.38,7.3,18.1,3.8,1.6,38.1,x,x,37.3,75,19.4
Vendas Novas,51.4,0.54,-0.59,1.13,8.4,14.3,4.5,1.3,43.9,x,x,36.9,61.5,32
Viana do Alentejo,14,0.99,-0.95,1.94,6.6,16.1,3.3,1.3,34.2,x,x,37,66.7,44.4
Vila Viçosa,37.5,-0.9,-0.78,-0.12,5.3,13.1,5.6,0.8,28.6,x,x,35.7,69.2,45
Algarve,94.5,0.43,-0.38,0.8,8.6,12.4,4.1,1.8,41.8,10.1,1.61,40,68.2,13.8
Albufeira,321.1,1.03,0.04,0.99,9.7,9.3,5.8,1.9,43.2,x,x,43.7,60.6,10.7
Alcoutim,4.3,-2.21,-3.14,0.93,3.6,35,12.5,1.6,27.9,x,x,25.2,66.7,3.2
Aljezur,19.1,0.08,-0.67,0.75,9.9,16.5,7.8,0.6,51.8,x,x,38.1,70.5,0
Castro Marim,22.2,1.42,-0.82,2.23,7.2,15.4,10.4,2,41.8,x,x,34.2,87.5,29
Faro,336.6,0.49,-0.23,0.72,8.7,11,1.9,2.1,39.8,x,x,41.6,67.6,21
Lagoa,274.8,0.76,-0.46,1.21,7.9,12.5,2.5,1.4,38.9,x,x,39.6,75.4,20
Lagos,157.3,-0.21,-0.4,0.19,8.4,12.4,6.7,1.3,42.8,x,x,38.2,70.3,9.6
Loulé,94.9,0.15,-0.39,0.55,8.6,12.6,4.4,1.5,41.6,x,x,39.9,66.7,17.8
Monchique,13.6,-1.22,-1.45,0.22,6.3,20.8,7.6,1.1,40,x,x,31.7,82.4,34.2
Olhão,340.7,-0.08,-0.45,0.36,8.5,13,1.6,2,40.4,x,x,41,75,13.2
Portimão,334.4,0.99,-0.06,1.06,10.5,11.1,2.3,2.3,48.4,x,x,41.5,65.5,11.9
São Brás de Alportel,74.5,0.59,-0.54,1.13,6.6,12,24.1,1.8,32.5,x,x,39.2,69.3,7.8
Silves,56.7,0.89,-0.54,1.43,8.3,13.6,2,1.4,41.1,x,x,39.6,70,7.9
Tavira,45.3,-0.07,-0.71,0.64,6.8,13.9,2.7,1.7,38.6,x,x,35,64.4,33.3
Vila do Bispo,32.4,-0.1,-0.62,0.52,9,15.2,10.5,1.6,46.7,x,x,37.2,76.9,0
Vila Real de Santo António,310.1,0.39,-0.59,0.98,7.5,13.4,2.9,1.8,37.7,x,x,38.3,66.2,15.1
R. A. Açores,103.3,0.48,-0.27,0.75,8.6,11.3,3.8,2.4,36.5,10.9,1.34,46.2,57.7,27.3
Santa Maria,56.7,0.13,-0.57,0.69,6.9,12.6,1.8,1.6,29.8,x,x,44.9,86.8,30
Vila do Porto,56.7,0.13,-0.57,0.69,6.9,12.6,1.8,1.6,29.8,x,x,44.9,86.8,30
São Miguel,182.3,0.75,-0.06,0.81,9.3,9.9,4,2.7,37.5,x,x,48.4,57.7,23.6
Lagoa (R.A.A.),322.7,1.72,0.05,1.67,9.4,8.8,9.1,2.3,36.8,x,x,50.1,62,10.2
Nordeste,43.7,-0.09,-0.97,0.88,7.4,17.1,4.7,2,35.1,x,x,41.9,60.6,20
Ponta Delgada,293.2,0.69,-0.08,0.77,9.1,9.9,3.2,3.3,36.8,x,x,47.7,60.2,28.4
Povoação,55.2,0.02,-0.9,0.92,6.1,15.1,3.4,2.2,26.9,x,x,44.7,44.4,26.3
Ribeira Grande,177.8,0.87,0.26,0.61,10.9,8.3,3.3,2.1,42.5,x,x,51,53.7,30.5
Vila Franca do Campo,133.1,0.14,-0.21,0.35,8,10.1,4.9,1.5,33.4,x,x,48.1,53,23.5
Terceira,133.8,0.04,-0.48,0.52,7.8,12.6,4,2.2,34.6,x,x,43.7,51.4,33.7
Angra do Heroísmo,141.8,-0.07,-0.52,0.45,7.8,13,4.8,1.9,34.5,x,x,43.6,52.7,35
Vila da Praia da Vitória,122,0.24,-0.4,0.64,7.8,11.8,2.6,2.6,34.8,x,x,43.9,49.4,29.4
Graciosa,67.8,0.07,-0.63,0.71,10,16.3,1.7,2.4,46.9,x,x,42.1,75.6,57.1
Santa Cruz da Graciosa,67.8,0.07,-0.63,0.71,10,16.3,1.7,2.4,46.9,x,x,42.1,75.6,57.1
São Jorge,34.7,-0.04,-0.8,0.77,7.7,15.7,2.2,1.8,36.3,x,x,42,63.1,21.1
Calheta (R.A.A.),27.8,-0.09,-0.94,0.85,8,17.4,0.9,2,38.9,x,x,40.6,67.9,33.3
Velas,42.2,0,-0.71,0.71,7.5,14.5,3.2,1.6,34.6,x,x,43,59.5,18.8
Pico,32,0.6,-0.68,1.28,7.9,14.7,4.4,2.4,36.4,x,x,42.4,57.1,29
Lajes do Pico,28.2,-0.46,-0.93,0.48,6.8,16.2,3.4,2.7,32.7,x,x,40.7,56.7,13.3
Madalena,44.1,0.62,-0.73,1.35,8.4,15.6,5,2.3,37,x,x,44.3,51.9,40.6
São Roque do Pico,23.6,1.96,-0.27,2.23,8.4,11.1,4.5,2.1,40.1,x,x,40.9,67.9,20
Faial,83.3,-0.04,-0.41,0.37,7.8,11.9,3.7,1.5,34.7,x,x,43.4,58.9,35.8
Horta,83.3,-0.04,-0.41,0.37,7.8,11.9,3.7,1.5,34.7,x,x,43.4,58.9,35.8
Flores,24.9,0.34,-0.77,1.12,5.7,13.4,2.6,2,26,x,x,44.5,65,20
Lajes das Flores,20.5,1.26,-0.63,1.89,7,13.3,2.1,0.7,33.1,x,x,43.9,50,0
Santa Cruz das Flores,29.2,-0.29,-0.87,0.58,4.8,13.5,3.4,2.9,21.4,x,x,44.9,80,28.6
Corvo,25.2,4.5,0.47,4.02,9.5,4.7,2.4,2.4,44.9,x,x,43.8,100,100
Corvo,25.2,4.5,0.47,4.02,9.5,4.7,2.4,2.4,44.9,x,x,43.8,100,100
R. A. Madeira,316.1,0.22,-0.53,0.76,6.9,12.3,4.5,2.2,31.9,3.6,1.25,40.9,62.3,28.1
Calheta (R.A.M.),98.3,-0.05,-1.15,1.09,7,18.5,6.9,2.1,36.2,x,x,36,50.6,21.1
Câmara de Lobos,621.4,0.21,-0.14,0.35,8.3,9.7,2.8,2,35.3,x,x,45,71.5,37.8
Funchal,1396.3,0.03,-0.58,0.61,6.8,12.6,4.6,2,32.3,x,x,39.1,61.9,35.8
Machico,285.8,-0.56,-0.72,0.16,5.4,12.6,4.4,1.9,26.6,x,x,39.1,59.4,29.1
Ponta do Sol,184.1,0.52,-0.77,1.28,6,13.7,6.5,2.5,27.5,x,x,40.8,58.8,23.1
Porto Moniz,30.1,0.24,-1.32,1.56,5.2,18.4,18,1.2,27.9,x,x,33.5,46.2,2.4
Ribeira Brava,196.4,0.2,-0.83,1.04,5.5,13.9,4.4,2.1,24.8,x,x,40.9,50.7,30.9
Santa Cruz,534,1.05,-0.12,1.17,7.9,9.2,3.8,2.8,32.6,x,x,46.5,65,15.8
Santana,67.6,-1.16,-1.22,0.06,6.3,18.5,4.2,2,35.3,x,x,32.8,46.3,15.4
São Vicente,61.6,-0.08,-1.09,1.01,4.7,15.6,3.5,2.3,25.9,x,x,34.1,43.5,6.3
Porto Santo,125.3,2.6,-0.44,3.03,7.4,11.7,6.8,2.8,34.6,x,x,41.5,71.8,19.4
