,Total (€),"Profissão principal, Representantes do poder legislativo e de órgãos executivos, dirigentes, diretores/as e gestores/as executivos/as (€)","Profissão principal, Especialistas das atividades intelectuais e científicas (€)","Profissão principal, Técnicos/as e profissionais de nível intermédio (€)","Profissão principal, Pessoal administrativo  (€)","Profissão principal, Trabalhadores/as dos serviços pessoais, de proteção e segurança e vendedores/as (€)","Profissão principal, Agricultores/as e trabalhadores/as qualificados/as da agricultura, da pesca e da floresta (€)","Profissão principal, Trabalhadores/as qualificados/as da indústria, construção e artífices (€)","Profissão principal, Operadores/as de instalações e máquinas e trabalhadores/as da montagem (€)","Profissão principal, Trabalhadores/as não qualificados  (€)"
Calheta (R.A.A.),945.81,1910.28,1469.51,1061.68,1115.56,852.75,962.69,802.5,909.91,804.23
Velas,1045.58,1165.37,1464.17,1489.32,1234.47,906.13,739.69,914.28,990.52,890.03
Pico,976.76,1312.78,1271.33,1338,1095.19,830,813.59,889.43,1006.06,868.35
Lajes do Pico,924.77,1121.19,1057.54,1267.26,980.21,834.43,777.07,898.92,812.9,849.53
Madalena,957.06,1316.25,1307.42,1086.86,1137.44,826.91,840.51,846.74,974.84,860.46
São Roque do Pico,1051.21,1593.44,1387.01,1678.4,1056.34,832.33,752.02,939.19,1055.79,903.45
Faial,1153.64,1925.64,1698.87,1709.81,1076.16,887.2,1503.13,951.14,1147.1,976.37
Horta,1153.64,1925.64,1698.87,1709.81,1076.16,887.2,1503.13,951.14,1147.1,976.37
Flores,1090.75,1249.4,1828.95,2005.75,1075.85,839.26,681.42,974.04,938.54,915.31
Lajes das Flores,984.11,1014.58,1384.53,1736.26,932.34,835.85,//,801.7,1108.73,928.87
Santa Cruz das Flores,1138.99,1398.83,2146.39,2065.64,1171.52,840.22,681.42,1051.6,836.43,907.12
Corvo,1238.9,…,1379.91,1888.71,1429.32,891.85,…,822.65,…,1010.07
Corvo,1238.9,…,1379.91,1888.71,1429.32,891.85,…,822.65,…,1010.07
R. A. Madeira,1171.42,2536.88,1879.37,1495.11,1089.2,862.4,849.1,1065.55,1066.08,899.15
Calheta (R.A.M.),1217.43,3156.75,2704.52,1681.19,1172.98,845.42,1024.31,1065.14,1284.41,959.83
Câmara de Lobos,1015.88,2124.7,1526.54,1396.9,1082.61,801.88,768.3,942.18,1007.02,857.81
Funchal,1238.74,2647.62,1927.76,1484.15,1097.61,879.69,867.63,1156.92,1072.17,907.65
Machico,1111.9,2976.69,1715.14,1310.54,1137.39,808.26,786.89,966.96,1028.31,975.67
Ponta do Sol,873.45,1376.04,1075.39,1095.7,899.96,745.98,747.16,847.92,1103.92,777.78
Porto Moniz,880.67,1477.34,1405.9,1837.23,1123.58,738.42,…,1032.78,796.19,818.42
Ribeira Brava,956.57,1936.74,1366.11,1193.24,1005.45,823.17,858.03,882.22,866.68,867.54
Santa Cruz,1066.1,2171.85,1516.91,1682.23,1056.98,899.07,834.64,956.99,998.41,830.84
Santana,906.12,1781.87,1485.15,979.45,1054.4,807.17,770.99,888.32,792.47,809.88
São Vicente,862.97,1685.69,1315.62,1066.88,982.95,760.34,678.79,845.52,877.57,777.48
Porto Santo,1205.99,2031.21,1798.83,2190.58,1315.31,857.98,814.95,1453.46,1135.05,1046.66
