,Total (€),"Escalão de pessoal, 1 - 9 (€)","Escalão de pessoal, 10 - 19 (€)","Escalão de pessoal, 20 - 49 (€)","Escalão de pessoal, 50 - 99 (€)","Escalão de pessoal, 100 - 249 (€)","Escalão de pessoal, 250 - 499 (€)","Escalão de pessoal, 500 e mais (€)"
Sabugal,922.55,790.4,936.39,882.84,956.11,1398.44,1198.54,1710.04
Seia,919.18,834.8,933,892.15,968.08,944.56,876.43,1000.07
Trancoso,975.36,819.99,947.1,936.17,1039.17,847.52,1319.39,1752.74
A. M. Lisboa,1516.42,1076.14,1266.14,1449.23,1562.31,1759.72,1906.97,1614.93
Alcochete,2019.47,946.98,1094.64,1203.05,1366.52,1461.34,4917.31,1155.87
Almada,1184.02,897.46,1032.87,1046.78,1135.19,1359.59,1287.54,1521.55
Amadora,1476.8,978.78,1126.33,1343.91,1462.34,2177.77,1537.94,1549.25
Barreiro,1164.49,902.93,1022.06,1008.18,1254.43,1190.29,1826.14,1249.83
Cascais,1264.15,1046.11,1109.22,1205.98,1336.75,1536.56,1565.64,1344.4
Lisboa,1702.78,1269.03,1506.36,1759.15,1819.84,1879.2,1876.37,1751.34
Loures,1256.21,941.59,1106.21,1242.56,1243.7,1493.55,1355.52,1357.06
Mafra,1067.73,914.2,1067.03,1151.02,1208.03,959.07,1099.83,1121.86
Moita,1009.45,891.51,987.65,1128.5,1042.44,1027.92,857.74,1208.07
Montijo,1086.89,902.9,1010.6,1021.2,1062.19,1323.75,1239.3,1149.2
Odivelas,1003.55,898.28,980.1,1053.35,1152.47,959.73,1172.65,1080.58
Oeiras,1839.81,1259.41,1619.96,1825.74,2094.91,2402.43,2217.12,1638.84
Palmela,1443.47,908.49,1081.32,1147.22,1255.34,1343.67,1655.76,1711.2
Seixal,1356.96,908.05,966.69,1044.95,1125.03,1297.5,4573.37,1128.56
Sesimbra,1022.52,859.97,966.98,1178.26,1119.99,1088.31,2124.36,1207.29
Setúbal,1257.47,948.15,1101.99,1123.93,1252.89,1493.26,1617.03,1441.71
Sintra,1255.4,951.06,1108.66,1183.4,1294.13,1548.39,1794.39,1365.02
Vila Franca de Xira,1273.26,965.59,1151.93,1237.97,1301.36,1295.66,1572.83,1366
Alentejo,1107.85,904.85,1001.17,1073.37,1103.32,1152.05,1123.44,1450.68
Alentejo Litoral,1206.63,903.98,963.18,1143.76,1063.37,1293.01,945.98,1976.03
Alcácer do Sal,1023.01,957.42,903.44,1183.46,925.51,1054.5,1011.58,1159.43
Grândola,1045.19,894.82,963.43,1135.76,1192.67,1138.27,1547.2,1181.71
Odemira,922.82,868.15,914.95,922.31,958.42,931.32,921.25,1070.75
Santiago do Cacém,1072.57,884.67,967.64,1005.92,1138.55,1173.75,980.73,1340.28
Sines,1861.82,964.68,1125.38,1488.3,1186.51,2006.81,1197.01,2466.6
Baixo Alentejo,1166.3,896.33,993.37,1015.66,1119.1,1074.79,1365.9,1937.26
Aljustrel,1193.78,934.63,1022.77,1067.85,1199.62,1190.03,1502.42,1100.44
Almodôvar,945.37,818.88,938.34,966.28,944.12,845.7,1566.08,1210.36
Alvito,1045.39,977.63,1096.02,1015.09,1084.84,//,//,1507.67
Barrancos,885.39,765.57,796.46,976.18,…,1510.43,//,1833.05
Beja,1128.72,946.94,1075.84,1071.03,1018.62,1180.29,1236.71,1465.36
Castro Verde,1941.06,824.83,1120.59,1064,1502.05,884.56,1217.09,2793.93
Cuba,1024.12,997.99,1004.8,980.95,1123.62,1014.92,//,1120.65
Ferreira do Alentejo,1043.88,941.92,995.05,1227.43,1103.33,1005.56,//,1236.79
Mértola,889.05,838.94,831.76,924.8,//,938.19,//,1403.08
Moura,974.5,845.15,844.97,987.91,1140.43,1271.21,//,1335.87
Ourique,925.61,855.97,837.49,901.42,1078.77,981.72,//,1212.03
Serpa,913.35,850.72,897.76,927.47,1087.91,871.35,1006.45,1724.4
Vidigueira,984.71,913.4,1110.48,896.58,1031.85,//,//,1289.18
Lezíria do Tejo,1075.15,921.15,1025.82,1112.46,1154.44,1090.15,1129.39,1169.54
Almeirim,993.66,887.22,997.6,1019.08,967.49,840.18,747.07,1270.72
Alpiarça,1001.29,934.14,912.41,864.23,1508.69,837.07,1072.05,959.95
Azambuja,1087.87,978.31,1236.05,1435.95,1114.76,1275.28,1097.32,967.1
Benavente,1127.19,966.69,1021.82,1094.93,1281.71,1013.74,1323.79,1271.89
Cartaxo,1048.77,909.11,994.82,1105.39,1182.03,1016.84,…,1353.38
Chamusca,1007.99,919.04,1063.75,1048.31,1050.15,979.98,1070.09,1179.26
Coruche,1041.04,915.14,983.02,1109.2,1218.18,1080.68,1013.49,1292.85
Golegã,1030.81,928.05,1048.37,949.52,1016.62,//,1114.36,1499.34
Rio Maior,1070.79,881.51,1055.37,1118.56,1222.25,1101.94,1172.86,1151.1
Salvaterra de Magos,1034.19,886.71,987.82,1059.75,1273.1,1041.8,1804.79,1349.64
Santarém,1099.48,927.26,1013.72,1074.41,1089.08,1080.23,954.58,1396.52
Alto Alentejo,1029.47,887.31,970.11,964.54,1063.3,1121.83,1148.14,1250.89
Alter do Chão,932.56,901.89,970.12,940.21,863.88,1090.84,//,1225.82
Arronches,906.09,914.87,719.76,862.02,939.01,//,//,2292.52
Avis,974.38,927.99,925.84,951.31,778.14,1110.48,1023.59,2242.85
Campo Maior,1324.28,881.42,1058.48,1114.91,1429.76,1222.95,1563.18,1459.33
Castelo de Vide,906.64,830.82,920.85,942.73,854.86,1450.49,//,1035.8
Crato,867.91,783.98,819.73,911.81,1018.25,907.65,818.39,//
Elvas,941.56,882.25,989.66,1029.47,948.39,1179.88,1019.16,899.29
Fronteira,956.73,931.74,1043.23,962.63,812.5,//,//,1443.28
Gavião,864.77,854.5,1096.43,888.92,//,720.4,//,2339.69
Marvão,858.92,807.93,976.37,839.04,856.33,//,775.42,1328.47
Monforte,1034.52,970.87,991.28,945.55,1537.76,//,//,1005.1
Nisa,854.34,785.44,822.96,823.55,759.05,934.91,//,1646.99
Ponte de Sor,1073.04,891.58,989.63,1004.47,1547.77,1046.53,1254.19,1233.38
Portalegre,1041.27,906.74,929.4,931.53,1075.58,1213.59,904.19,1426.11
Sousel,963.02,880.86,970.43,1019.12,1027.89,//,//,1925.72
Alentejo Central,1086.77,901.17,1009.51,1065.44,1069.1,1166.05,1279.51,1362.31
Alandroal,994.8,829.04,907.7,851.6,2413.5,2128.33,1123.53,…
Arraiolos,1024.82,866.43,1043.03,1090.99,1203.08,1176.84,681.01,2004.9
Borba,992.77,904.58,944.54,1226.24,1442.58,897.81,//,979.54
Estremoz,1001.64,902.51,1112.06,965.33,921.01,913.22,1185.52,1323.11
Évora,1166.56,934.19,1010.61,1084.44,1065.43,1224.18,1374.24,1373.71
Montemor-o-Novo,1007.41,883.61,968.12,1104.33,978.18,1136.32,1081.11,1306.35
Mora,1010.62,876.37,1119.72,975.37,//,1143.75,//,1774.65
Mourão,937.73,939.35,928.34,913.65,861.95,1558.11,//,1104.95
Portel,965.51,845.95,1087.51,1013.87,1058.74,…,//,//
Redondo,985.61,839.6,978.98,1134.54,1110.08,//,//,1441.39
Reguengos de Monsaraz,985.79,845.64,859.84,1046.65,1078.95,1157.03,1241.89,1213.66
Vendas Novas,1095.44,892.31,987.49,1107.83,996.91,1154.88,1209,1454.91
Viana do Alentejo,951.15,920.4,945.5,1107.9,912.49,//,//,1866.3
Vila Viçosa,1112.94,970.25,1093.17,1055.35,1320.58,1109.58,879.4,1330.49
Algarve,1070.96,889.85,999.95,1079.96,1148.99,1189.27,1163.84,1266.68
Albufeira,1062.14,878.29,1020.72,1106.66,1165.61,1165.17,1211.22,1106.74
Alcoutim,897.43,905.47,857.57,769.19,926.89,//,848.38,1764.45
Aljezur,915.74,851.6,950.47,836.73,1057.25,1016.86,…,1233.52
Castro Marim,894.54,839.69,853.04,858.28,956.75,1508.83,1113.3,861.24
Faro,1214.97,928.42,980.19,1142.01,1365.4,1276.64,1180.63,1518.91
