,"Agregados fiscais, N.º","Sujeitos passivos, N.º","Rendimento bruto declarado, milhares de euros","Rendimento coletável, milhares de euros","IRS liquidado, milhares de euros","Rendimento bruto declarado deduzido do IRS liquidado, milhares de euros"
Monchique,2400,3372,33523,21546,2598,30926
Olhão,21881,29644,351264,243323,34783,316482
Portimão,32693,43275,547448,384324,61173,486275
São Brás de Alportel,5514,7616,97246,69965,11172,86074
Silves,19644,26483,300182,203558,27335,272847
Tavira,13966,19088,221703,153143,23684,198019
Vila do Bispo,2954,3923,43970,30241,4416,39554
Vila Real de Santo António,9899,13589,152938,103167,14439,138498
R. A. Açores,114114,162128,2085796,1498309,178289,1907506
Santa Maria,2682,3789,59368,44683,7187,52181
Vila do Porto,2682,3789,59368,44683,7187,52181
São Miguel,62051,88647,1144253,826346,101925,1042329
Lagoa (R.A.A.),6382,9296,107219,74857,9386,97834
Nordeste,1994,2903,26260,16955,1315,24945
Ponta Delgada,33866,47375,712298,532560,72022,640276
Povoação,2620,3776,34632,22291,1815,32817
Ribeira Grande,12812,18894,202225,138147,13171,189054
Vila Franca do Campo,4377,6403,61619,41537,4215,57404
Terceira,26899,37981,498569,358826,40940,457629
Angra do Heroísmo,17406,24180,331649,240485,29053,302597
Vila da Praia da Vitória,9493,13801,166920,118342,11888,155032
Graciosa,1968,2842,32269,22041,2283,29986
Santa Cruz da Graciosa,1968,2842,32269,22041,2283,29986
São Jorge,4241,5987,64095,43435,3845,60249
Calheta (R.A.A.),1785,2530,24892,16438,1365,23527
Velas,2456,3457,39203,26996,2480,36723
Pico,6817,9699,110931,76225,7332,103598
Lajes do Pico,2042,2976,32538,22155,1950,30588
Madalena,3137,4446,51504,35252,3367,48137
São Roque do Pico,1638,2277,26889,18818,2015,24873
Faial,7374,10331,142137,102781,12175,129962
Horta,7374,10331,142137,102781,12175,129962
Flores,1852,2542,29870,20863,2206,27664
Lajes das Flores,719,995,11478,8021,897,10581
Santa Cruz das Flores,1133,1547,18392,12842,1309,17082
Corvo,230,310,4304,3109,395,3909
Corvo,230,310,4304,3109,395,3909
R. A. Madeira,116044,160111,2094933,1500504,217293,1877640
Calheta (R.A.M.),4060,5735,59647,41001,4847,54800
Câmara de Lobos,13128,18317,176151,111541,9902,166250
Funchal,54031,72880,1104631,823638,138671,965959
Machico,8832,12677,136917,90969,9570,127346
Ponta do Sol,3128,4388,44178,29878,3123,41055
Porto Moniz,1045,1446,15329,10077,1132,14197
Ribeira Brava,4917,6924,72333,47945,4883,67450
Santa Cruz,19261,27010,360300,259116,33900,326400
Santana,2829,4002,38342,24309,2274,36068
São Vicente,1856,2602,26711,17682,1997,24714
Porto Santo,2957,4130,60395,44349,6993,53401
