,Total (N.º),"Level of education, Below basic education  (N.º)","Level of education, Basic education - 1st cycle (N.º)","Level of education, Basic education - 2nd cycle (N.º)","Level of education, Basic education - 3rd cycle (N.º)","Level of education, Secondary (N.º)","Level of education, Short cycle professional course (N.º)","Level of education, Bachelor degree (N.º)","Level of education, Graduate degree (N.º)","Level of education, Masters  degree (N.º)","Level of education, PhD (N.º)"
Arouca,3927,7,345,939,1192,927,…,39,410,61,…
Espinho,3903,7,386,472,995,1269,…,69,607,71,…
Gondomar,16269,37,1363,2226,4353,5329,12,203,2381,343,13
Maia,44310,88,3852,4953,10390,13290,38,883,8819,1797,149
Matosinhos,44735,89,3000,3977,8895,13997,23,1206,10909,2261,280
Oliveira de Azeméis,18154,44,1644,3768,5248,4969,11,268,1843,323,12
Paredes,16193,66,2018,3357,4400,4247,8,154,1559,268,102
Porto,94078,123,3709,5336,16211,27594,65,2270,30316,6629,1704
Póvoa de Varzim,12094,27,1219,2049,3340,3471,6,126,1585,242,11
Santa Maria da Feira,27879,102,2596,5182,7677,7923,21,407,3273,624,26
Santo Tirso,14073,41,1673,3028,3663,3826,10,109,1502,204,12
São João da Madeira,8742,34,640,1524,2153,2796,6,159,1162,239,14
Trofa,11995,39,1079,1819,3617,3513,7,114,1344,400,59
Vale de Cambra,5994,11,530,1131,1463,1792,4,98,773,187,4
Valongo,13080,31,1129,1866,3654,4355,…,192,1642,189,…
Vila do Conde,19299,58,1738,2906,5223,5782,9,279,2696,460,127
Vila Nova de Gaia,51443,196,3818,5894,12578,15914,48,926,10162,1776,82
Alto Tâmega,10749,27,1119,1449,2863,3607,7,146,1380,128,11
Boticas,760,…,125,171,186,200,0,…,65,6,0
Chaves,5341,9,453,571,1333,2075,…,82,720,78,…
Montalegre,882,…,79,142,270,252,0,6,120,8,…
Ribeira de Pena,1021,6,138,169,262,267,0,22,149,6,0
Valpaços,1432,…,149,230,417,417,…,…,183,10,…
Vila Pouca de Aguiar,1313,4,175,166,395,396,0,14,143,20,0
