,"Total, MF (N.º)","Total, M (N.º)","Total, F (N.º)","0 - 14 years, MF (N.º)","0 - 14 years, M (N.º)","0 - 14 years, F (N.º)","15 - 24 years, MF (N.º)","15 - 24 years, M (N.º)","15 - 24 years, F (N.º)"
Montalegre,9134,4446,4688,678,344,334,654,326,328
Ribeira de Pena,5824,2890,2934,581,325,256,522,261,261
Valpaços,14550,6887,7663,1190,610,580,1087,557,530
Vila Pouca de Aguiar,11750,5647,6103,997,491,506,981,483,498
Tâmega e Sousa,408127,197799,210328,50922,26161,24761,47781,24546,23235
Amarante,52035,24858,27177,6050,3027,3023,5748,2905,2843
Baião,17257,8269,8988,1840,995,845,1874,947,927
Castelo de Paiva,15390,7489,7901,1731,864,867,1846,933,913
Celorico de Basto,17570,8476,9094,2013,1018,995,1911,999,912
Cinfães,17557,8586,8971,1959,1056,903,1880,970,910
Felgueiras,55394,26833,28561,6903,3546,3357,6367,3301,3066
Lousada,47890,23222,24668,6583,3378,3205,5876,3029,2847
Marco de Canaveses,49392,23838,25554,6137,3122,3015,6164,3181,2983
Paços de Ferreira,55857,27641,28216,7387,3855,3532,6770,3451,3319
Penafiel,69925,33755,36170,9242,4714,4528,8304,4283,4021
Resende,9860,4832,5028,1077,586,491,1041,547,494
Douro,183418,87627,95791,18943,9545,9398,17590,9026,8564
Alijó,10339,5057,5282,922,457,465,907,483,424
Armamar,5693,2684,3009,535,257,278,558,287,271
Carrazeda de Ansiães,5393,2607,2786,475,224,251,413,206,207
Freixo de Espada à Cinta,3171,1515,1656,323,169,154,275,140,135
Lamego,24133,11497,12636,2463,1242,1221,2406,1245,1161
Mesão Frio,3514,1666,1848,327,167,160,383,202,181
Moimenta da Beira,9587,4584,5003,1094,559,535,938,489,449
Murça,5216,2519,2697,420,207,213,463,252,211
Penedono,2786,1335,1451,226,121,105,284,145,139
Peso da Régua,14401,6787,7614,1511,755,756,1413,705,708
Sabrosa,5585,2686,2899,515,236,279,509,259,250
Santa Marta de Penaguião,5990,2877,3113,549,277,272,554,295,259
São João da Pesqueira,6775,3341,3434,695,353,342,691,372,319
Sernancelhe,5735,2790,2945,500,244,256,531,256,275
Tabuaço,5008,2378,2630,447,224,223,470,222,248
Tarouca,7463,3625,3838,877,448,429,822,428,394
Torre de Moncorvo,6737,3225,3512,560,289,271,459,227,232
Vila Nova de Foz Côa,6282,3014,3268,540,264,276,473,233,240
Vila Real,49610,23440,26170,5964,3052,2912,5041,2580,2461
Terras de Trás-os-Montes,106917,51534,55383,10157,5209,4948,9279,4731,4548
Alfândega da Fé,4227,2067,2160,359,188,171,327,142,185
Bragança,34977,16800,18177,3806,1940,1866,3511,1798,1713
Macedo de Cavaleiros,14150,6753,7397,1286,652,634,1240,620,620
Miranda do Douro,6335,3067,3268,533,275,258,474,252,222
Mirandela,21296,10099,11197,2154,1100,1054,1894,935,959
Mogadouro,8247,4000,4247,665,319,346,588,303,285
Vila Flor,6027,2945,3082,545,299,246,512,277,235
Vimioso,4145,2073,2072,313,169,144,277,149,128
Vinhais,7513,3730,3783,496,267,229,456,255,201
Centro,2256441,1080486,1175955,267005,137165,129840,221269,113353,107916
Oeste,376961,182461,194500,49508,25307,24201,39379,20244,19135
Alcobaça,56031,27173,28858,6570,3310,3260,5779,3030,2749
Alenquer,46738,22805,23933,6991,3579,3412,5180,2715,2465
Arruda dos Vinhos,14855,7281,7574,2358,1219,1139,1768,926,842
Bombarral,13492,6508,6984,1689,889,800,1285,635,650
Cadaval,14024,6755,7269,1648,852,796,1393,703,690
Caldas da Rainha,52399,24876,27523,6301,3190,3111,5449,2790,2659
Lourinhã,27422,13316,14106,3682,1925,1757,2784,1408,1376
Nazaré,15119,7240,7879,1924,962,962,1425,732,693
Óbidos,12776,6270,6506,1601,809,792,1230,654,576
Peniche,26849,12930,13919,3615,1871,1744,2698,1391,1307
Sobral de Monte Agraço,11450,5570,5880,1705,864,841,1291,638,653
Torres Vedras,85806,41737,44069,11424,5837,5587,9097,4622,4475
Região de Aveiro,375698,180836,194862,47582,24519,23063,37779,19167,18612
Águeda,46495,22414,24081,5626,2931,2695,4446,2181,2265
Albergaria-a-Velha,25241,12336,12905,3179,1620,1559,2632,1351,1281
Anadia,27819,13348,14471,3001,1571,1430,2567,1328,1239
Aveiro,83508,39945,43563,10907,5621,5286,8407,4225,4182
Estarreja,26634,12972,13662,3361,1740,1621,2671,1382,1289
Ílhavo,40813,19511,21302,5510,2791,2719,4159,2114,2045
Murtosa,10705,5198,5507,1425,742,683,1106,567,539
Oliveira do Bairro,24147,11538,12609,3304,1707,1597,2523,1258,1265
Ovar,55744,26818,28926,7001,3584,3417,5831,2995,2836
Sever do Vouga,10906,5311,5595,1119,579,540,1070,582,488
Vagos,23686,11445,12241,3149,1633,1516,2367,1184,1183
Região de Coimbra,439940,208608,231332,50080,25780,24300,41214,21077,20137
Arganil,11130,5325,5805,1161,579,582,872,439,433
Cantanhede,34370,16302,18068,3912,2018,1894,3151,1608,1543
Coimbra,142252,66541,75711,16863,8665,8198,13518,6778,6740
Condeixa-a-Nova,17164,8077,9087,2302,1190,1112,1765,908,857
Figueira da Foz,59348,28214,31134,6606,3431,3175,5615,2885,2730
Góis,3762,1764,1998,293,129,164,328,174,154
Lousã,17186,8332,8854,2172,1168,1004,1871,982,889
Mealhada,19568,9375,10193,2198,1117,1081,1963,1032,931
Mira,12253,5877,6376,1443,759,684,1055,574,481
Miranda do Corvo,12021,5815,6206,1257,625,632,1223,662,561
Montemor-o-Velho,24697,11924,12773,3080,1616,1464,2178,1140,1038
Mortágua,8922,4290,4632,863,430,433,688,366,322
Oliveira do Hospital,19301,9275,10026,2120,1110,1010,1849,959,890
Pampilhosa da Serra,4048,1921,2127,266,136,130,232,114,118
Penacova,12857,6085,6772,1153,590,563,1162,569,593
Penela,5524,2659,2865,591,286,305,472,240,232
Soure,17121,8120,9001,1716,899,817,1516,793,723
Tábua,11387,5407,5980,1296,654,642,1083,506,577
Vila Nova de Poiares,7029,3305,3724,788,378,410,673,348,325
Região de Leiria,290473,140173,150300,35954,18474,17480,29732,15301,14431
Alvaiázere,6281,2952,3329,559,290,269,512,263,249
Ansião,11685,5583,6102,1136,596,540,1155,574,581
Batalha,15991,7805,8186,2220,1133,1087,1656,852,804
Castanheira de Pêra,2679,1273,1406,188,90,98,238,135,103
Figueiró dos Vinhos,5210,2502,2708,471,258,213,424,226,198
Leiria,130605,63057,67548,17194,8833,8361,13752,7133,6619
Marinha Grande,39836,19328,20508,5115,2591,2524,4128,2090,2038
Pedrógão Grande,3517,1695,1822,281,147,134,313,162,151
Pombal,51133,24498,26635,5884,3041,2843,5065,2569,2496
Porto de Mós,23536,11480,12056,2906,1495,1411,2489,1297,1192
Viseu Dão Lafões,253154,120246,132908,28933,14842,14091,25252,12909,12343
Aguiar da Beira,5279,2471,2808,428,215,213,441,233,208
Carregal do Sal,9073,4270,4803,1001,502,499,877,445,432
Castro Daire,13595,6505,7090,1267,649,618,1314,669,645
Mangualde,18302,8806,9496,2050,1036,1014,1786,947,839
Nelas,13143,6204,6939,1477,769,708,1355,711,644
Oliveira de Frades,9615,4634,4981,1193,605,588,985,522,463
Penalva do Castelo,7258,3499,3759,702,388,314,676,340,336
Santa Comba Dão,10785,5139,5646,1162,603,559,1002,510,492
São Pedro do Sul,15025,7141,7884,1474,762,712,1467,730,737
Sátão,11021,5255,5766,1180,607,573,1077,544,533
Tondela,25628,12180,13448,2576,1321,1255,2385,1273,1112
Vila Nova de Paiva,4685,2258,2427,446,249,197,451,235,216
Viseu,100105,47310,52795,13001,6633,6368,10533,5300,5233
Vouzela,9640,4574,5066,976,503,473,903,450,453
Beira Baixa,80845,38718,42127,8325,4268,4057,6770,3521,3249
Castelo Branco,52366,24927,27439,6053,3080,2973,4836,2501,2335
Idanha-a-Nova,8332,4014,4318,757,393,364,589,310,279
Oleiros,4871,2320,2551,301,163,138,285,135,150
Penamacor,4745,2363,2382,311,174,137,308,175,133
Proença-a-Nova,7075,3448,3627,586,291,295,553,289,264
Vila Velha de Ródão,3456,1646,1810,317,167,150,199,111,88
Médio Tejo,230997,110062,120935,26301,13588,12713,22855,11794,11061
Abrantes,33795,16254,17541,3407,1769,1638,3221,1699,1522
Alcanena,12538,6035,6503,1493,767,726,1226,653,573
Constância,3872,1833,2039,476,241,235,429,217,212
Entroncamento,21294,10088,11206,3081,1575,1506,2340,1172,1168
Ferreira do Zêzere,7860,3729,4131,834,418,416,735,376,359
