,"25 - 64 years, MF (N.º)","25 - 64 years, M (N.º)","25 - 64 years, F (N.º)","65 years and over, Total, MF (N.º)","65 years and over, Total, M (N.º)","65 years and over, Total, F (N.º)","65 years and over, 75 years and over, MF (N.º)","65 years and over, 75 years and over, M (N.º)","65 years and over, 75 years and over, F (N.º)"
Carregal do Sal,4263,2061,2202,2932,1262,1670,1508,615,893
Castro Daire,6502,3242,3260,4512,1945,2567,2328,924,1404
Mangualde,8962,4368,4594,5504,2455,3049,2804,1136,1668
Nelas,6212,2983,3229,4099,1741,2358,2107,828,1279
Oliveira de Frades,5009,2454,2555,2428,1053,1375,1238,483,755
Penalva do Castelo,3302,1643,1659,2578,1128,1450,1415,589,826
Santa Comba Dão,5085,2448,2637,3536,1578,1958,1852,776,1076
São Pedro do Sul,7047,3487,3560,5037,2162,2875,2582,1032,1550
Sátão,5309,2581,2728,3455,1523,1932,1824,727,1097
Tondela,12351,5960,6391,8316,3626,4690,4407,1793,2614
Vila Nova de Paiva,2242,1087,1155,1546,687,859,803,305,498
Viseu,52256,24695,27561,24315,10682,13633,11870,4854,7016
Vouzela,4724,2330,2394,3037,1291,1746,1654,671,983
Beira Baixa,38574,19028,19546,27176,11901,15275,14908,5970,8938
Castelo Branco,26381,12705,13676,15096,6641,8455,7761,3138,4623
Idanha-a-Nova,3479,1802,1677,3507,1509,1998,2132,841,1291
Oleiros,2041,1050,991,2244,972,1272,1300,511,789
Penamacor,2032,1079,953,2094,935,1159,1285,527,758
Proença-a-Nova,3217,1682,1535,2719,1186,1533,1492,572,920
Vila Velha de Ródão,1424,710,714,1516,658,858,938,381,557
Médio Tejo,114326,56044,58282,67515,28636,38879,35920,13807,22113
Abrantes,16472,8212,8260,10695,4574,6121,5615,2214,3401
Alcanena,6176,3046,3130,3643,1569,2074,1850,737,1113
Constância,1999,972,1027,968,403,565,501,184,317
Entroncamento,11397,5433,5964,4476,1908,2568,2369,926,1443
Ferreira do Zêzere,3762,1861,1901,2529,1074,1455,1370,527,843
Mação,2776,1448,1328,2638,1114,1524,1642,629,1013
Ourém,22930,11217,11713,12248,5084,7164,6544,2405,4139
Sardoal,1796,913,883,1119,461,658,592,211,381
Sertã,7133,3529,3604,4720,2079,2641,2554,991,1563
Tomar,17698,8584,9114,11325,4743,6582,5847,2245,3602
Torres Novas,16953,8274,8679,9833,4211,5622,5136,2020,3116
Vila de Rei,1466,717,749,1311,553,758,809,292,517
Vila Nova da Barquinha,3768,1838,1930,2010,863,1147,1091,426,665
Beiras e Serra da Estrela,99918,49443,50475,69845,30212,39633,37044,14513,22531
Almeida,2432,1245,1187,2516,1062,1454,1481,563,918
Belmonte,3023,1515,1508,2007,881,1126,1111,441,670
Celorico da Beira,2973,1456,1517,2346,1042,1304,1292,514,778
Covilhã,22831,11265,11566,14129,6085,8044,6987,2683,4304
Figueira de Castelo Rodrigo,2207,1091,1116,1921,834,1087,1091,425,666
Fornos de Algodres,2017,998,1019,1568,647,921,920,333,587
Fundão,12731,6368,6363,8729,3797,4932,4624,1818,2806
Gouveia,5330,2592,2738,4704,2057,2647,2557,1015,1542
Guarda,21035,10277,10758,10346,4466,5880,5166,2023,3143
Manteigas,1293,637,656,1120,478,642,561,221,340
Mêda,2042,1035,1007,1770,759,1011,1002,397,605
Pinhel,3512,1785,1727,3092,1341,1751,1743,703,1040
Sabugal,4599,2348,2251,5019,2179,2840,2955,1145,1810
Seia,10071,4896,5175,7528,3300,4228,3838,1555,2283
Trancoso,3822,1935,1887,3050,1284,1766,1716,677,1039
A. M. Lisboa,1529316,727571,801745,640961,267791,373170,317188,125295,191893
Alcochete,10643,5138,5505,3575,1579,1996,1751,739,1012
Almada,91600,43273,48327,43384,18348,25036,21980,8804,13176
Amadora,91733,42930,48803,39563,16202,23361,19865,7737,12128
Barreiro,39760,18855,20905,20346,8574,11772,10393,4295,6098
Cascais,109706,51227,58479,50001,20791,29210,24551,9710,14841
Lisboa,292574,142011,150563,129140,50362,78778,69709,24766,44943
Loures,105577,49959,55618,45893,19450,26443,22672,9253,13419
Mafra,47976,23268,24708,16108,7161,8947,7776,3262,4514
Moita,34970,16594,18376,15060,6434,8626,6856,2752,4104
Montijo,31435,15596,15839,10869,4603,6266,5295,2049,3246
Odivelas,79537,37773,41764,32221,13608,18613,15361,6236,9125
Oeiras,87810,41046,46764,42355,17317,25038,21564,8665,12899
Palmela,37743,18495,19248,15218,6597,8621,7722,3132,4590
Seixal,88700,41631,47069,37716,16480,21236,17261,7489,9772
Sesimbra,28939,13953,14986,11264,5178,6086,5320,2343,2977
Setúbal,62536,29768,32768,29281,12672,16609,13973,5752,8221
Sintra,212996,100332,112664,72286,30788,41498,33554,13508,20046
Vila Franca de Xira,75081,35722,39359,26681,11647,15034,11585,4803,6782
Alentejo,363101,182737,180364,192030,83016,109014,100442,39852,60590
Alentejo Litoral,52433,28374,24059,26153,11892,14261,13257,5485,7772
Alcácer do Sal,5286,2678,2608,3504,1522,1982,1759,686,1073
Grândola,7083,3770,3313,3837,1741,2096,2031,852,1179
Odemira,18492,11282,7210,7160,3422,3738,3788,1655,2133
Santiago do Cacém,13869,6828,7041,8299,3728,4571,4088,1661,2427
Sines,7703,3816,3887,3353,1479,1874,1591,631,960
Baixo Alentejo,57679,29626,28053,31410,13516,17894,16168,6238,9930
Aljustrel,4466,2337,2129,2551,1123,1428,1210,463,747
Almodôvar,3199,1664,1535,2140,953,1187,1131,483,648
Alvito,1092,523,569,630,258,372,340,116,224
Barrancos,764,379,385,342,136,206,185,55,130
Beja,17348,8813,8535,7809,3263,4546,3949,1467,2482
Castro Verde,3552,1800,1752,1879,810,1069,954,358,596
Cuba,2278,1154,1124,1116,477,639,629,242,387
Ferreira do Alentejo,3948,2157,1791,2221,979,1242,1095,453,642
Mértola,2938,1553,1385,2255,982,1273,1251,492,759
Moura,6234,3152,3082,3538,1489,2049,1777,658,1119
Ourique,2287,1141,1146,1637,741,896,910,392,518
Serpa,6924,3611,3313,3894,1700,2194,2004,775,1229
Vidigueira,2649,1342,1307,1398,605,793,733,284,449
Lezíria do Tejo,124219,61349,62870,62248,26636,35612,32161,12710,19451
Almeirim,11419,5536,5883,5749,2432,3317,3030,1234,1796
Alpiarça,3465,1691,1774,2046,849,1197,1042,384,658
Azambuja,11849,6276,5573,5202,2253,2949,2630,1066,1564
Benavente,16870,8207,8663,6251,2735,3516,3040,1253,1787
Cartaxo,12403,6065,6338,6030,2636,3394,3113,1278,1835
Chamusca,4185,2105,2080,2689,1162,1527,1423,565,858
Coruche,8131,4005,4126,5748,2456,3292,3089,1202,1887
Golegã,2676,1314,1362,1535,658,877,802,318,484
Rio Maior,11378,5725,5653,5198,2237,2961,2629,1057,1572
Salvaterra de Magos,11536,5738,5798,6042,2594,3448,3133,1210,1923
Santarém,30307,14687,15620,15758,6624,9134,8230,3143,5087
Alto Alentejo,50943,25015,25928,30865,13190,17675,16931,6653,10278
Alter do Chão,1474,713,761,1025,421,604,621,224,397
Arronches,1385,716,669,842,356,486,524,209,315
Avis,1807,903,904,1230,536,694,652,267,385
Campo Maior,3982,1946,2036,1897,812,1085,939,372,567
Castelo de Vide,1545,746,799,1103,473,630,630,246,384
Crato,1474,747,727,1237,507,730,749,273,476
Elvas,10344,5022,5322,5011,2125,2886,2591,997,1594
Fronteira,1399,673,726,953,409,544,518,203,315
Gavião,1484,736,748,1396,592,804,894,352,542
Marvão,1468,711,757,1019,459,560,577,244,333
Monforte,1403,668,735,836,354,482,509,208,301
Nisa,2517,1286,1231,2292,960,1332,1371,509,862
Ponte de Sor,7563,3799,3764,4509,1929,2580,2418,949,1469
Portalegre,10993,5329,5664,6146,2709,3437,3104,1285,1819
Sousel,2105,1020,1085,1369,548,821,834,315,519
Alentejo Central,77827,38373,39454,41354,17782,23572,21925,8766,13159
Alandroal,2521,1293,1228,1551,673,878,926,385,541
Arraiolos,3464,1782,1682,1879,796,1083,999,399,600
Borba,3217,1617,1600,1827,830,997,1032,431,601
Estremoz,6390,3115,3275,3597,1526,2071,2121,828,1293
Évora,28088,13484,14604,12847,5452,7395,6198,2433,3765
Montemor-o-Novo,7794,3875,3919,4777,2078,2699,2651,1084,1567
Mora,1890,929,961,1592,700,892,881,358,523
Mourão,1156,607,549,646,302,344,336,143,193
Portel,2899,1477,1422,1590,688,902,846,327,519
Redondo,3214,1654,1560,1722,741,981,947,371,576
Reguengos de Monsaraz,4998,2479,2519,2594,1110,1484,1330,526,804
Vendas Novas,5534,2746,2788,3346,1443,1903,1869,793,1076
Viana do Alentejo,2828,1399,1429,1396,585,811,779,284,495
Vila Viçosa,3834,1916,1918,1990,858,1132,1010,404,606
Algarve,247100,120566,126534,114016,52374,61642,53810,23196,30614
Albufeira,25635,12517,13118,8549,4026,4523,3689,1622,2067
Alcoutim,976,517,459,1135,485,650,670,274,396
Aljezur,3223,1643,1580,1634,776,858,855,376,479
Castro Marim,3157,1570,1587,2134,1052,1082,1067,488,579
Faro,36539,17628,18911,15288,6605,8683,7347,2989,4358
Lagoa,12596,6155,6441,5787,2709,3078,2570,1111,1459
Lagos,17292,8404,8888,8646,4044,4602,3749,1634,2115
Loulé,38129,18475,19654,17270,7962,9308,8363,3673,4690
Monchique,2591,1327,1264,1822,896,926,983,439,544
Olhão,23072,11302,11770,10438,4731,5707,4875,2111,2764
Portimão,31939,15404,16535,13843,6213,7630,6473,2763,3710
São Brás de Alportel,5841,2811,3030,2969,1352,1617,1530,649,881
Silves,20056,9972,10084,9614,4455,5159,4695,1969,2726
Tavira,13600,6791,6809,8273,3972,4301,3898,1779,2119
Vila do Bispo,3008,1502,1506,1574,733,841,781,338,443
Vila Real de Santo António,9446,4548,4898,5040,2363,2677,2265,981,1284
R. A. Açores,135998,67300,68698,40866,17591,23275,17293,6410,10883
Santa Maria,3068,1521,1547,972,391,581,395,132,263
Vila do Porto,3068,1521,1547,972,391,581,395,132,263
São Miguel,77829,38375,39454,19814,8525,11289,8123,2939,5184
Lagoa (R.A.A.),8408,4190,4218,1928,833,1095,785,297,488
Nordeste,2417,1211,1206,911,403,508,423,154,269
Ponta Delgada,39706,19316,20390,10706,4509,6197,4443,1591,2852
Povoação,3329,1665,1664,1043,478,565,442,177,265
Ribeira Grande,18013,9010,9003,3601,1552,2049,1390,466,924
Vila Franca do Campo,5956,2983,2973,1625,750,875,640,254,386
Terceira,30129,14931,15198,10453,4491,5962,4392,1649,2743
Angra do Heroísmo,18972,9421,9551,6697,2863,3834,2916,1087,1829
Vila da Praia da Vitória,11157,5510,5647,3756,1628,2128,1476,562,914
Graciosa,2190,1085,1105,882,392,490,423,163,260
Santa Cruz da Graciosa,2190,1085,1105,882,392,490,423,163,260
São Jorge,4641,2355,2286,1888,810,1078,902,364,538
Calheta (R.A.A.),1842,928,914,849,357,492,437,175,262
Velas,2799,1427,1372,1039,453,586,465,189,276
Pico,7861,3937,3924,3091,1319,1772,1423,508,915
Lajes do Pico,2325,1157,1168,1084,471,613,521,201,320
Madalena,3613,1821,1792,1284,546,738,588,206,382
São Roque do Pico,1923,959,964,723,302,421,314,101,213
Faial,8024,3923,4101,2982,1300,1682,1295,504,791
Horta,8024,3923,4101,2982,1300,1682,1295,504,791
Flores,1999,1039,960,705,324,381,307,135,172
Lajes das Flores,805,423,382,313,146,167,136,66,70
Santa Cruz das Flores,1194,616,578,392,178,214,171,69,102
Corvo,257,134,123,79,39,40,33,16,17
Corvo,257,134,123,79,39,40,33,16,17
R. A. Madeira,140860,67980,72880,52152,20444,31708,23311,7889,15422
Calheta (R.A.M.),5740,2796,2944,2822,1032,1790,1416,454,962
Câmara de Lobos,18205,8888,9317,5091,1956,3135,2093,663,1430
Funchal,58755,27954,30801,23896,9435,14461,10714,3795,6919
Machico,10920,5487,5433,4200,1683,2517,1779,587,1192
Ponta do Sol,4591,2185,2406,1860,724,1136,917,297,620
Porto Moniz,1279,610,669,738,230,508,382,97,285
Ribeira Brava,6948,3292,3656,2723,983,1740,1280,382,898
Santa Cruz,25473,12332,13141,6586,2761,3825,2761,991,1770
Santana,3285,1622,1663,1879,685,1194,944,276,668
São Vicente,2527,1251,1276,1357,506,851,637,202,435
Porto Santo,3137,1563,1574,1000,449,551,388,145,243
