,"Marriages, Total (N.º)","Marriages, Opposite sex couples, Total (N.º)","Marriages, Opposite sex couples, of which, Only civil (N.º)","Marriages, Opposite sex couples, of which, Catholic (N.º)","Marriages, Same-sex couples, Male, Catholic (N.º)","Marriages, Same-sex couples, Female, Catholic (N.º)","Dissolved marriages, Same-sex couples, Total, Catholic (N.º)","Dissolved marriages, Same-sex couples, by divorce, Catholic (N.º)","Dissolved marriages, Same-sex couples, by death, Catholic (N.º)","Foreign population who has been granted a resident title, Same-sex couples, by death, MF (N.º)","Foreign population who has been granted a resident title, Same-sex couples, by death, M (N.º)","Foreign population who has been granted a resident title, Same-sex couples, by death, F (N.º)","Foreign population with resident status, Same-sex couples, by death, MF (N.º)","Foreign population with resident status, Same-sex couples, by death, M (N.º)","Foreign population with resident status, Same-sex couples, by death, F (N.º)"
Constância,24,24,20,4,0,0,26,7,19,12,8,4,55,24,31
Entroncamento,30,30,27,3,0,0,133,40,93,334,165,169,1352,624,728
Ferreira do Zêzere,26,26,16,10,0,0,82,20,62,61,35,26,450,238,212
Mação,13,13,5,8,0,0,66,5,61,51,28,23,197,94,103
Ourém,207,206,123,83,0,1,299,72,227,485,266,219,2865,1472,1393
Sardoal,17,17,9,8,0,0,27,4,23,20,12,8,83,47,36
Sertã,55,55,35,20,0,0,114,21,93,102,54,48,651,357,294
Tomar,78,78,63,15,0,0,297,52,245,244,132,112,1351,663,688
Torres Novas,89,89,50,39,0,0,261,61,200,106,59,47,768,396,372
Vila de Rei,8,8,3,5,0,0,30,2,28,13,6,7,91,46,45
Vila Nova da Barquinha,75,74,48,26,1,0,50,11,39,17,6,11,120,51,69
Beiras e Serra da Estrela,539,534,315,217,2,3,1736,298,1438,1250,675,575,6123,3232,2891
Almeida,3,3,2,1,0,0,62,2,60,8,1,7,107,41,66
Belmonte,11,11,6,5,0,0,39,8,31,34,21,13,111,65,46
Celorico da Beira,13,13,10,3,0,0,50,8,42,25,9,16,169,78,91
Covilhã,122,121,90,31,1,0,362,76,286,422,231,191,1880,993,887
Figueira de Castelo Rodrigo,11,11,8,3,0,0,43,2,41,6,4,2,44,21,23
Fornos de Algodres,12,12,7,5,0,0,41,4,37,6,4,2,79,44,35
Fundão,86,85,49,35,0,1,229,33,196,324,193,131,1472,816,656
Gouveia,33,32,24,8,0,1,112,18,94,56,29,27,246,132,114
Guarda,116,116,55,61,0,0,259,61,198,203,103,100,1046,555,491
Manteigas,10,10,5,5,0,0,30,5,25,13,5,8,56,26,30
Mêda,15,15,7,8,0,0,31,3,28,9,6,3,41,24,17
Pinhel,17,17,8,9,0,0,86,10,76,12,5,7,91,47,44
Sabugal,15,15,8,7,0,0,109,14,95,17,9,8,145,70,75
Seia,53,51,27,23,1,1,206,41,165,95,43,52,518,256,262
Trancoso,22,22,9,13,0,0,77,13,64,20,12,8,118,64,54
A. M. Lisboa,9990,9587,8114,1428,210,193,16969,5116,11853,71817,39941,31876,382616,199951,182665
Alcochete,145,142,126,16,0,3,125,49,76,177,99,78,1440,753,687
Almada,473,462,416,44,5,6,1162,345,817,3810,2037,1773,19198,9730,9468
Amadora,181,174,135,37,4,3,966,271,695,4629,2690,1939,26980,14166,12814
Barreiro,359,350,311,38,3,6,581,187,394,1308,673,635,6890,3376,3514
Cascais,661,632,586,45,14,15,1272,418,854,5774,2963,2811,36381,17932,18449
Lisboa,2883,2714,2197,509,98,71,3197,820,2377,25169,14725,10444,118104,65631,52473
Loures,582,573,443,123,5,4,1171,340,831,4544,2567,1977,23910,12451,11459
Mafra,443,436,330,104,3,4,471,161,310,1284,671,613,6979,3480,3499
Moita,206,202,181,20,1,3,387,112,275,1063,533,530,5432,2617,2815
Montijo,128,125,111,14,2,1,358,105,253,1164,683,481,6663,3706,2957
Odivelas,x,x,x,x,x,x,883,241,642,4738,2886,1852,23766,13236,10530
Oeiras,659,637,581,53,13,9,948,259,689,2762,1359,1403,15751,7565,8186
Palmela,266,258,229,29,4,4,422,139,283,609,324,285,3789,1928,1861
Seixal,351,340,283,52,5,6,1050,338,712,2881,1457,1424,15066,7428,7638
Sesimbra,325,317,295,22,5,3,345,110,235,543,271,272,3620,1800,1820
Setúbal,903,857,751,101,26,20,796,223,573,2001,1051,950,10975,5586,5389
Sintra,1163,1113,923,185,19,31,2068,735,1333,7733,4107,3626,47607,23577,24030
Vila Franca de Xira,262,255,216,36,3,4,767,263,504,1628,845,783,10065,4989,5076
Alentejo,2326,2285,1636,644,24,17,5385,1128,4257,8011,5349,2662,44357,26708,17649
Alentejo Litoral,269,263,219,44,2,4,622,149,473,3043,2287,756,16394,10933,5461
Alcácer do Sal,51,49,38,11,0,2,90,26,64,61,38,23,489,280,209
