,"Art facilities, Total, No., 2021","Art facilities, Rooms, No., 2021","Art facilities, Capacity, No., 2021","Art facilities, Seats, No., 2021","Live shows, Performances, No., 2022","Live shows, Spectators, No., 2022","Live shows, Tickets sold, No., 2022","Live shows, Revenues, Euros, 2022"
Vimioso,1,1,169,169,9,…,…,…
Vinhais,0,0,0,0,28,…,…,…
Centro,102,140,45243,36227,9232,3294318,993177,17321083
Oeste,9,11,5909,3202,1110,243422,76520,666424
Alcobaça,0,0,0,0,218,47316,9492,81964
Alenquer,0,0,0,0,88,38805,21996,208379
Arruda dos Vinhos,2,2,3111,611,76,…,…,…
Bombarral,0,0,0,0,15,…,…,…
Cadaval,1,1,170,168,19,…,…,…
Caldas da Rainha,1,2,810,810,130,25642,17484,208187
Lourinhã,1,1,121,119,59,15414,612,9180
Nazaré,1,1,366,366,19,810,263,2684
Óbidos,1,2,700,500,16,1556,871,8550
Peniche,0,0,0,0,64,…,…,…
Sobral de Monte Agraço,1,1,219,216,57,5733,1941,15795
Torres Vedras,1,1,412,412,349,52914,9400,56350
Região de Aveiro,16,19,6732,6388,1360,375852,153407,1727387
Águeda,1,2,674,649,87,25741,13940,143037
Albergaria-a-Velha,2,2,683,677,52,9634,5400,50975
Anadia,1,1,268,264,6,1942,1786,63264
Aveiro,2,4,1233,977,473,147811,70348,1008267
Estarreja,2,2,1408,1369,207,37024,11688,101149
Ílhavo,4,4,1235,1221,276,48239,19423,120361
Murtosa,0,0,0,0,1,…,…,…
Oliveira do Bairro,1,1,415,415,55,22429,20392,144048
Ovar,1,1,340,340,100,15744,9185,90470
Sever do Vouga,1,1,300,300,103,…,…,…
Vagos,1,1,176,176,0,0,0,0
Região de Coimbra,20,28,11429,8241,2806,945112,234817,2314041
Arganil,1,1,252,246,64,14535,210,1350
Cantanhede,1,1,500,500,74,29445,1083,6738
Coimbra,7,12,3971,3407,1616,353739,108553,1318167
Condeixa-a-Nova,0,0,0,0,38,92292,720,5120
Figueira da Foz,3,6,1888,1888,131,65014,53796,574652
Góis,1,1,280,276,63,14027,0,0
Lousã,0,0,0,0,75,23315,336,1425
Mealhada,1,1,368,368,56,13314,11705,138043
Mira,0,0,0,0,14,3068,990,4995
Miranda do Corvo,1,1,266,266,29,2895,1405,16783
Montemor-o-Velho,0,0,0,0,288,…,…,…
Mortágua,1,1,240,236,11,…,…,…
Oliveira do Hospital,1,1,3000,400,65,…,…,…
Pampilhosa da Serra,1,1,179,173,31,6583,2916,6328
Penacova,1,1,199,199,59,…,…,…
Penela,0,0,0,0,4,600,0,0
Soure,0,0,0,0,56,…,…,…
Tábua,1,1,286,282,47,11685,8400,100459
Vila Nova de Poiares,0,0,0,0,85,…,…,…
Região de Leiria,13,20,5251,5182,1300,580875,81852,854897
Alvaiázere,1,1,148,148,4,…,…,…
Ansião,1,2,270,270,12,3323,233,3500
Batalha,1,1,155,155,66,37202,228,800
Castanheira de Pêra,0,0,0,0,1,…,…,…
Figueiró dos Vinhos,0,0,0,0,42,…,…,…
Leiria,4,5,1928,1928,751,131592,68720,749177
Marinha Grande,1,1,262,262,204,138381,2020,13796
Pedrógão Grande,1,1,165,161,18,…,…,…
Pombal,2,4,805,746,162,238711,8637,68004
Porto de Mós,2,5,1518,1512,40,5740,716,6375
Viseu Dão Lafões,15,24,5805,5343,790,472319,294123,1597146
Aguiar da Beira,1,3,787,787,3,…,…,…
Carregal do Sal,1,2,398,398,11,13185,12706,52814
Castro Daire,2,2,293,291,26,2341,955,3229
Mangualde,0,0,0,0,40,23691,72,864
Nelas,1,3,1194,794,4,…,…,…
Oliveira de Frades,2,4,488,488,44,21961,697,2228
Penalva do Castelo,0,0,0,0,5,…,…,…
Santa Comba Dão,1,1,276,276,29,5637,2787,22913
São Pedro do Sul,1,1,198,198,23,11556,180,11640
Sátão,0,0,0,0,2,…,…,…
