,"Average number of students enrolled by computer, Total (N.º)","Average number of students enrolled by computer, Primary education, 1st cycle (N.º)","Average number of students enrolled by computer, Primary education, 2nd cycle (N.º)","Average number of students enrolled by computer, Secondary education, Lower (N.º)","Average number of students enrolled by computer, Secondary education, Upper (N.º)","Average number of students enrolled by computer connected to the internet, Total, Upper (N.º)","Average number of students enrolled by computer connected to the internet, Primary education, 1st cycle (N.º)","Average number of students enrolled by computer connected to the internet, Primary education, 2nd cycle (N.º)","Average number of students enrolled by computer connected to the internet, Secondary education, Lower (N.º)","Average number of students enrolled by computer connected to the internet, Secondary education, Upper (N.º)"
Portugal,x,x,x,x,x,x,x,x,x,x
Óbidos,6.1,5.3,5.2,8.1,7.9,7.8,6.1,5.9,12.9,13.1
Peniche,3.9,7.6,4,3.7,2.1,4.3,9.4,4.6,4.3,2.1
Sobral de Monte Agraço,5.8,10.8,4.8,4.8,4.8,5.8,11.1,4.8,4.8,4.8
Torres Vedras,5.3,5.5,5.1,5.2,5.3,5.4,5.9,5.1,5.2,5.4
Região de Aveiro,4.3,4.7,4.6,4.1,3.9,4.5,4.9,4.9,4.4,4.1
Águeda,3.9,4.2,4.2,3.6,3.7,3.9,4.3,4.2,3.6,3.7
Albergaria-a-Velha,5.1,4,6.9,5.5,5.4,5.1,4,7.1,5.6,5.4
Anadia,5.6,5.3,5.9,5.8,5.6,5.9,5.5,6.1,5.9,6.3
Aveiro,4.9,5.5,5.1,4.3,4.9,5.4,6,6.9,4.7,4.9
Estarreja,4.4,4.9,4.2,3.9,4.4,4.4,4.9,4.2,3.9,4.4
Ílhavo,3.7,3.2,4,3.8,4.3,3.7,3.4,4,3.8,4.3
Murtosa,12.5,16.1,11.1,10.9,12.5,12.5,16.1,11.1,10.9,12.5
Oliveira do Bairro,4.3,7.9,3.3,3.4,3.7,4.3,8.1,3.3,3.4,3.7
Ovar,3.5,4.3,3.2,3.1,3.4,4.3,4.7,3.3,4.2,4.7
Sever do Vouga,1.9,1.8,5.8,5.9,1.2,1.9,1.8,5.8,5.9,1.2
Vagos,5.6,9,5.9,5.1,4.3,5.9,9.4,5.9,5.2,4.8
Região de Coimbra,3.9,5.6,4,3.5,3,4,5.9,4.1,3.6,3.2
Arganil,2,2.7,2.3,2.4,1.4,2.2,3.6,2.5,2.5,1.4
Cantanhede,4,7.3,3.2,3.1,3.5,4,7.5,3.2,3.1,3.6
Coimbra,4.5,7.6,4.5,4.3,3.4,4.8,8,4.8,4.4,3.7
Condeixa-a-Nova,4.4,3.5,6.9,5.2,3.9,4.4,3.5,6.9,5.2,3.9
Figueira da Foz,4.7,6.7,4.4,4,4.3,4.8,7.3,4.4,4,4.3
Góis,1.8,1.9,1.8,1.8,//,1.8,1.9,1.8,1.8,//
Lousã,3.4,7.3,6.5,4.8,1.5,3.4,7.3,6.5,4.8,1.5
Mealhada,3.8,7.4,5,3.1,2.7,3.9,7.5,5,3.1,2.8
Mira,4.4,9.4,5.6,3,2.9,4.6,9.4,5.6,3.2,3.2
Miranda do Corvo,4,5.7,3.5,3.3,4.1,4,5.9,3.5,3.3,4.1
Montemor-o-Velho,3.5,6.2,3.6,3.2,2.1,3.7,6.2,3.6,3.3,2.4
Mortágua,3.9,4.7,3.9,3.7,3.4,3.9,4.7,3.9,3.7,3.4
Oliveira do Hospital,3.2,4.2,3.1,2.8,3,3.3,4.4,3.1,2.9,3.1
Pampilhosa da Serra,1.8,2.2,1.7,1.7,1.6,1.8,2.2,1.7,1.7,1.6
Penacova,2.5,2,2.2,2.3,3.4,2.5,2,2.2,2.3,3.4
Penela,2.6,2.9,3.5,3.5,1,2.6,3.2,3.5,3.5,1
Soure,3.4,5.1,5.5,2.6,2.4,3.4,5.3,5.5,2.6,2.4
Tábua,2.6,2.8,2.2,2.7,2.5,2.8,3.6,2.3,2.8,2.6
Vila Nova de Poiares,2.7,3.1,2.6,2.5,2.6,2.8,3.1,2.7,2.7,2.7
Região de Leiria,4.2,4.9,4.6,4.4,3.3,4.3,5.2,4.7,4.5,3.3
Alvaiázere,2.1,4.8,2.6,2.6,1.1,2.1,5.1,2.6,2.6,1.1
Ansião,2.9,7,5.3,5.3,1.5,2.9,7,5.3,5.3,1.5
Batalha,4.6,5.2,4.3,4.3,4.4,4.6,5.2,4.3,4.3,4.4
Castanheira de Pêra,1.1,2.2,0.8,0.8,//,1.1,2.2,0.8,0.8,//
Figueiró dos Vinhos,1.4,2,1.8,1.2,1.2,1.5,2.1,1.8,1.2,1.2
Leiria,5.4,5.8,5.4,5.9,4.5,5.6,6.3,5.7,6.2,4.6
Marinha Grande,3.8,3.6,3.5,3.8,4.2,4,3.8,3.6,4,4.4
Pedrógão Grande,1.1,3.8,1.1,1.1,0.8,1.1,3.8,1.1,1.1,0.8
Pombal,4.1,4.1,5.9,5,3.1,4.3,4.4,6.2,5.2,3.2
Porto de Mós,4.9,6.8,6.2,3.6,4.6,5.1,7.6,6.6,3.6,4.6
Viseu Dão Lafões,3.6,4,3.3,3.3,3.7,3.7,4.2,3.4,3.4,3.8
Aguiar da Beira,6,18.7,4.9,4.7,4.7,6,18.7,4.9,4.7,4.7
Carregal do Sal,2.4,2,2.1,2.5,3.8,2.4,2,2.1,2.5,3.8
Castro Daire,3.4,5.4,4.5,2.7,2.6,3.4,5.7,4.5,2.7,2.6
Mangualde,4.3,5,4.6,4.3,3.7,4.3,5,4.6,4.3,3.7
Nelas,2.6,5.8,2.4,2.2,2,2.6,6,2.4,2.2,2
Oliveira de Frades,4,3.7,4.1,4.2,4.1,4.1,3.9,4.1,4.2,4.1
Penalva do Castelo,2.6,4,3.5,2.1,2.1,2.6,4.3,3.5,2.1,2.1
Santa Comba Dão,4.5,3.7,3.8,5.6,5.6,5,3.7,3.8,7.1,7.3
São Pedro do Sul,3.6,4.3,2.8,3.7,3.5,3.8,4.3,2.9,4,3.7
