,"Child benefit, Recipients, No.","Child benefit, Descendants or equal status, No.","Child benefit, Value paid, thousand euros","Allowance for assistance by a third party, Recipients, No.","Allowance for assistance by a third party, Descendants or equal status, No.","Allowance for assistance by a third party, Value paid, thousand euros"," Funeral grant, Recipients, No."," Funeral grant, Value paid, thousand euros"
Alentejo Central,11920,17378,11075,222,234,303,121,27
Alandroal,401,541,326,3,3,4,6,1
Arraiolos,485,680,402,9,11,14,3,1
Borba,531,762,514,7,7,9,4,1
Estremoz,942,1374,902,16,18,23,13,3
Évora,4144,6118,3915,79,82,104,45,10
Montemor-o-Novo,1119,1642,973,20,21,28,17,4
Mora,275,387,246,10,10,13,4,1
Mourão,217,386,280,6,7,9,...,...
Portel,461,652,443,10,10,13,4,1
Redondo,556,769,492,12,12,16,...,...
Reguengos de Monsaraz,889,1298,833,17,19,25,6,1
Vendas Novas,852,1250,793,13,14,18,9,2
Viana do Alentejo,457,690,450,3,3,4,3,1
Vila Viçosa,591,829,507,17,17,22,4,1
Algarve,42575,61593,44205,545,563,717,323,71
Albufeira,4479,6329,4627,34,35,43,20,4
Alcoutim,127,174,116,...,...,...,...,...
Aljezur,487,712,492,10,10,13,6,1
Castro Marim,499,744,538,...,...,...,6,1
Faro,5548,7894,5714,78,79,103,39,9
Lagoa,2251,3288,2380,31,35,42,8,2
Lagos,2827,4125,2920,40,41,54,19,4
Loulé,6704,9626,6801,54,55,69,71,16
Monchique,383,539,353,7,8,11,...,...
Olhão,4453,6482,4780,66,66,85,52,11
Portimão,5952,8644,6268,91,96,121,27,6
São Brás de Alportel,890,1308,937,13,14,19,11,2
Silves,3488,5090,3631,49,50,60,22,5
Tavira,2120,3112,2148,27,28,37,28,6
Vila do Bispo,449,645,459,6,7,9,3,1
Vila Real de Santo António,1918,2881,2041,31,31,42,7,2
R. A. Açores,23160,35670,23620,442,455,589,393,88
Santa Maria,480,722,487,19,19,25,13,3
Vila do Porto,480,722,487,19,19,25,13,3
São Miguel,14641,22928,15231,254,264,343,247,55
Lagoa (R.A.A.),1700,2686,1767,26,27,35,42,9
Nordeste,473,735,499,7,7,10,10,2
Ponta Delgada,6318,9614,6390,131,138,177,117,26
Povoação,653,962,606,6,6,8,15,3
Ribeira Grande,4269,7071,4792,68,70,91,37,8
Vila Franca do Campo,1228,1860,1177,16,16,21,26,7
Terceira,4471,6637,4469,95,96,124,84,19
Angra do Heroísmo,2838,4242,2861,66,67,86,49,11
Vila da Praia da Vitória,1633,2395,1608,29,29,38,35,8
Graciosa,355,576,396,4,4,5,9,2
Santa Cruz da Graciosa,355,576,396,4,4,5,9,2
São Jorge,658,990,633,16,16,19,16,4
Calheta (R.A.A.),271,429,270,9,9,11,5,1
Velas,387,561,363,7,7,8,11,3
Pico,1156,1691,1081,24,25,33,11,2
Lajes do Pico,338,504,310,...,...,...,6,1
Madalena,550,796,517,14,15,20,...,...
São Roque do Pico,268,391,254,7,7,9,...,...
Faial,1117,1675,1017,26,27,34,8,2
Horta,1117,1675,1017,26,27,34,8,2
Flores,249,399,272,4,4,5,5,1
Lajes das Flores,97,160,102,...,...,...,...,...
Santa Cruz das Flores,152,239,171,...,...,...,...,...
Corvo,33,52,33,0,0,0,0,0
Corvo,33,52,33,0,0,0,0,0
R. A. Madeira,20338,30441,19565,416,425,543,211,48
Calheta (R.A.M.),860,1350,851,13,13,17,10,3
Câmara de Lobos,3617,5679,3735,74,79,96,19,4
Funchal,7370,10849,7094,170,173,220,94,22
Machico,1607,2326,1405,45,46,61,13,3
Ponta do Sol,756,1178,739,7,7,9,9,2
Porto Moniz,160,253,149,3,3,4,...,...
Ribeira Brava,1177,1815,1158,29,29,39,8,2
Santa Cruz,3641,5313,3389,56,56,72,38,8
Santana,455,682,458,9,9,11,7,2
São Vicente,334,499,310,7,7,9,...,...
Porto Santo,361,497,277,3,3,4,6,1
