,"Total, Total (N.º)","Total, Pensionistas em  31 dez. (N.º)","Invalidez, Total (N.º)","Invalidez, Pensionistas em  31 dez. (N.º)","Velhice, Total (N.º)","Velhice, Pensionistas em  31 dez. (N.º)","Sobrevivência, Total (N.º)","Sobrevivência, Pensionistas em  31 dez. (N.º)"
Alijó,4174,3947,265,252,2737,2598,1172,1097
Armamar,2113,1996,97,92,1393,1321,623,583
Carrazeda de Ansiães,2292,2164,85,82,1534,1448,673,634
Freixo de Espada à Cinta,1343,1257,53,51,921,865,369,341
Lamego,7264,6859,340,324,4873,4619,2051,1916
Mesão Frio,1265,1217,93,91,810,782,362,344
Moimenta da Beira,3079,2924,122,118,2117,2021,840,785
Murça,2186,2071,125,120,1475,1404,586,547
Penedono,844,798,44,42,556,527,244,229
Peso da Régua,5127,4855,388,375,3327,3157,1412,1323
Sabrosa,2295,2201,159,154,1541,1481,595,566
Santa Marta de Penaguião,2645,2494,206,198,1709,1619,730,677
São João da Pesqueira,2185,2061,109,100,1416,1341,660,620
Sernancelhe,1826,1714,64,61,1231,1160,531,493
Tabuaço,1747,1668,95,94,1142,1090,510,484
Tarouca,2227,2112,94,93,1456,1387,677,632
Torre de Moncorvo,2911,2732,93,88,2029,1918,789,726
Vila Nova de Foz Côa,2097,1976,105,102,1379,1304,613,570
Vila Real,12770,12181,781,754,8741,8367,3248,3060
Terras de Trás-os-Montes,36132,34141,1579,1530,25032,23754,9521,8857
Alfândega da Fé,1837,1716,70,69,1278,1198,489,449
Bragança,9352,8863,565,546,6462,6147,2325,2170
Macedo de Cavaleiros,4962,4695,186,178,3416,3240,1360,1277
Miranda do Douro,2402,2239,84,81,1668,1562,650,596
Mirandela,6952,6602,240,231,4806,4583,1906,1788
Mogadouro,3216,2996,118,115,2189,2053,909,828
Vila Flor,2049,1953,75,73,1449,1389,525,491
Vimioso,1658,1572,69,67,1134,1084,455,421
Vinhais,3704,3505,172,170,2630,2498,902,837
Centro,726125,688608,41235,39817,501830,478255,183060,170536
Oeste,110776,104737,7567,7293,75147,71393,28062,26051
Alcobaça,19241,18256,1624,1596,12947,12309,4670,4351
Alenquer,12129,11418,801,760,8075,7630,3253,3028
Arruda dos Vinhos,3631,3380,181,170,2448,2289,1002,921
Bombarral,4083,3843,239,232,2740,2585,1104,1026
Cadaval,4655,4383,298,288,3135,2968,1222,1127
Caldas da Rainha,15591,14744,965,938,10831,10295,3795,3511
Lourinhã,7974,7519,608,582,5391,5113,1975,1824
Nazaré,5072,4825,354,341,3461,3313,1257,1171
Óbidos,3774,3552,201,195,2582,2448,991,909
Peniche,8875,8421,498,472,6136,5858,2241,2091
Sobral de Monte Agraço,2891,2715,219,205,1890,1793,782,717
Torres Vedras,22860,21681,1579,1514,15511,14792,5770,5375
Região de Aveiro,106680,101645,4241,4035,75794,72655,26645,24955
Águeda,15543,14907,586,560,11386,10984,3571,3363
Albergaria-a-Velha,7143,6776,342,326,4985,4751,1816,1699
Anadia,9684,9187,317,308,6925,6611,2442,2268
Aveiro,20372,19371,718,672,14668,14037,4986,4662
Estarreja,7886,7465,335,321,5408,5150,2143,1994
Ílhavo,10427,9962,424,396,7319,7039,2684,2527
Murtosa,2519,2369,97,91,1671,1579,751,699
Oliveira do Bairro,6513,6178,251,237,4632,4426,1630,1515
Ovar,16226,15573,757,719,11474,11083,3995,3771
Sever do Vouga,4169,3950,167,161,2972,2828,1030,961
Vagos,6198,5907,247,244,4354,4167,1597,1496
Região de Coimbra,142283,135103,7489,7281,99427,94865,35367,32957
Arganil,4633,4353,269,258,3158,2986,1206,1109
Cantanhede,11659,11069,568,555,8168,7788,2923,2726
Coimbra,39678,37829,1857,1802,28710,27528,9111,8499
Condeixa-a-Nova,4530,4302,269,265,3183,3033,1078,1004
Figueira da Foz,19670,18679,1024,999,13680,13061,4966,4619
Góis,1838,1706,116,112,1211,1127,511,467
Lousã,4982,4786,375,365,3356,3238,1251,1183
Mealhada,6405,6086,247,235,4556,4351,1602,1500
Mira,3855,3650,164,155,2753,2619,938,876
Miranda do Corvo,4079,3873,276,272,2746,2622,1057,979
Montemor-o-Velho,8083,7647,518,503,5463,5192,2102,1952
Mortágua,3496,3337,116,114,2479,2369,901,854
Oliveira do Hospital,7252,6897,465,457,4931,4699,1856,1741
Pampilhosa da Serra,1871,1722,81,75,1228,1140,562,507
Penacova,4954,4695,292,285,3402,3234,1260,1176
Penela,2091,1962,117,116,1423,1340,551,506
Soure,6901,6572,359,348,4701,4487,1841,1737
Tábua,4219,3961,239,234,2892,2732,1088,995
Vila Nova de Poiares,2087,1977,137,131,1387,1319,563,527
Região de Leiria,90836,86390,7278,7093,61583,58798,21975,20499
Alvaiázere,2927,2722,188,182,1931,1800,808,740
Ansião,4679,4428,357,350,3095,2936,1227,1142
Batalha,4733,4541,348,340,3281,3155,1104,1046
Castanheira de Pêra,1489,1414,101,99,993,946,395,369
Figueiró dos Vinhos,2446,2318,178,166,1612,1532,656,620
Leiria,35179,33599,2834,2773,24292,23287,8053,7539
Marinha Grande,13098,12507,1306,1278,8845,8473,2947,2756
Pedrógão Grande,1574,1479,121,116,989,932,464,431
Pombal,16741,15835,1263,1223,11107,10557,4371,4055
Porto de Mós,7970,7547,582,566,5438,5180,1950,1801
Viseu Dão Lafões,81460,77157,2961,2800,57502,54781,20997,19576
Aguiar da Beira,2100,1912,107,99,1431,1315,562,498
