,"Total, Total (milhares de euros)","Total, Pensões em 31 dez. (milhares de euros)","Invalidez, Total (milhares de euros)","Invalidez, Pensões em 31 dez. (milhares de euros)","Velhice, Total (milhares de euros)","Velhice, Pensões em 31 dez. (milhares de euros)","Sobrevivência, Total (milhares de euros)","Sobrevivência, Pensões em 31 dez. (milhares de euros)"
Covilhã,92615,91169,4256,4217,74259,73134,14101,13817
Figueira de Castelo Rodrigo,7857,7654,361,350,6032,5903,1464,1402
Fornos de Algodres,6640,6473,366,355,5033,4909,1241,1210
Fundão,44297,43352,2019,1985,34673,33967,7605,7400
Gouveia,23590,23147,1005,991,18939,18605,3646,3551
Guarda,52932,51939,2942,2870,41854,41110,8136,7960
Manteigas,6428,6301,342,341,5101,5008,986,952
Mêda,7058,6905,357,356,5338,5216,1363,1332
Pinhel,14401,14054,804,793,11162,10893,2435,2368
Sabugal,15730,15337,754,747,12106,11814,2870,2776
Seia,46699,45742,2410,2373,37222,36486,7067,6882
Trancoso,12475,12227,786,771,9500,9313,2189,2143
A. M. Lisboa,5633319,5546935,195186,191442,4630386,4565270,807747,790223
Alcochete,29534,29026,1460,1437,23716,23312,4359,4277
Almada,342163,336841,10997,10851,279248,275271,51918,50720
Amadora,332978,328152,11838,11674,273097,269386,48043,47093
