,"Beneficiárias/os, HM, Nº","Beneficiárias/os, H, Nº","Beneficiárias/os, M, Nº","Idade, Menos de 25 anos, Nº","Idade, 25-29 anos, Nº","Idade, 30-39
 anos, Nº","Idade, 40-49 anos, Nº","Idade, 50-54 anos, Nº","Idade, 55 e mais anos, Nº","Valores processados, HM, milhares de euros","Valores processados, H, milhares de euros","Valores processados, M, milhares de euros"
R. A. Açores,3572,1830,1742,305,305,860,709,471,922,13247,6826,6421
Santa Maria,95,48,47,...,...,25,19,14,23,339,166,173
Vila do Porto,95,48,47,...,...,25,19,14,23,339,166,173
São Miguel,2120,1108,1012,179,190,497,440,269,545,8141,4293,3848
Lagoa (R.A.A.),205,97,108,17,19,45,35,18,71,739,357,381
Nordeste,71,38,33,...,...,18,14,7,23,277,151,126
Ponta Delgada,1082,556,526,72,94,274,221,149,272,3970,2019,1950
Povoação,100,52,48,...,...,25,18,14,27,344,182,162
Ribeira Grande,469,257,212,50,54,88,103,58,116,1905,1101,804
Vila Franca do Campo,193,108,85,21,17,47,49,23,36,906,483,423
Terceira,845,440,405,60,74,219,162,122,208,3038,1573,1466
Angra do Heroísmo,612,324,288,41,53,163,115,85,155,2182,1147,1035
Vila da Praia da Vitória,233,116,117,19,21,56,47,37,53,856,425,431
Graciosa,56,25,31,...,...,14,6,10,19,196,84,112
Santa Cruz da Graciosa,56,25,31,...,...,14,6,10,19,196,84,112
São Jorge,127,53,74,11,9,28,27,16,36,448,205,243
Calheta (R.A.A.),48,22,26,...,...,9,10,6,15,172,88,84
Velas,79,31,48,...,...,19,17,10,21,276,117,159
Pico,135,60,75,19,10,25,27,12,42,446,196,250
Lajes do Pico,41,18,23,...,...,8,5,4,15,129,58,71
Madalena,60,26,34,7,7,11,10,4,21,190,84,105
São Roque do Pico,34,16,18,...,...,6,12,4,6,128,53,75
Faial,159,77,82,18,12,40,26,23,40,522,244,278
Horta,159,77,82,18,12,40,26,23,40,522,244,278
Flores,...,...,16,...,...,12,...,5,...,...,...,51
Lajes das Flores,17,10,7,...,...,6,...,...,3,43,27,15
Santa Cruz das Flores,...,...,9,...,...,6,...,...,...,...,...,36
Corvo,...,...,0,...,...,0,...,...,...,...,...,0
Corvo,...,...,0,...,...,0,...,...,...,...,...,0
R. A. Madeira,3791,2006,1785,303,273,940,721,632,922,13321,7049,6272
Calheta (R.A.M.),179,102,77,11,13,49,37,28,41,655,386,269
Câmara de Lobos,504,276,228,49,42,95,103,86,129,1777,954,823
Funchal,1673,847,826,121,111,447,323,271,400,5672,2884,2788
Machico,330,184,146,32,35,71,54,53,85,1233,675,558
Ponta do Sol,131,73,58,11,10,36,24,22,28,473,263,210
Porto Moniz,52,27,25,0,...,14,15,...,11,205,108,96
Ribeira Brava,232,118,114,19,19,57,36,47,54,889,451,438
Santa Cruz,423,224,199,35,31,104,76,73,104,1467,782,685
Santana,132,87,45,9,4,35,22,22,40,475,301,174
São Vicente,80,45,35,9,...,17,24,...,18,299,182,117
Porto Santo,55,23,32,7,3,15,7,11,12,177,64,113
