,"Total, N.º","Sexo, H, N.º","Sexo, M, N.º","Idade, Menos de 25 anos, N.º","Idade, 25-39 anos, N.º","Idade, 40-54 anos, N.º","Idade, 55 e mais anos, N.º","Valores processados, 55 e mais anos, milhares de euros"
Tavira,362,189,173,137,58,90,77,456
Vila do Bispo,50,22,28,18,8,15,9,63
Vila Real de Santo António,526,272,254,230,100,108,88,483
R. A. Açores,17283,8696,8587,8142,3721,3483,1937,17463
Santa Maria,159,75,84,64,42,32,21,154
Vila do Porto,159,75,84,64,42,32,21,154
São Miguel,13488,6875,6613,6456,2918,2715,1399,13740
Lagoa (R.A.A.),1324,681,643,642,271,275,136,1236
Nordeste,392,202,190,172,89,89,42,320
Ponta Delgada,5767,2964,2803,2595,1255,1208,709,6672
Povoação,553,271,282,236,110,135,72,470
Ribeira Grande,4768,2422,2346,2497,1063,855,353,4414
Vila Franca do Campo,684,335,349,314,130,153,87,628
Terceira,2524,1191,1333,1146,514,508,356,2517
Angra do Heroísmo,1471,702,769,680,290,296,205,1417
Vila da Praia da Vitória,1053,489,564,466,224,212,151,1100
Graciosa,285,148,137,144,72,44,25,234
Santa Cruz da Graciosa,285,148,137,144,72,44,25,234
São Jorge,157,72,85,54,32,29,42,167
Calheta (R.A.A.),62,27,35,25,10,11,16,63
Velas,95,45,50,29,22,18,26,104
Pico,278,139,139,115,65,64,34,244
Lajes do Pico,69,33,36,32,18,12,7,59
Madalena,145,78,67,60,34,37,14,122
São Roque do Pico,64,28,36,23,13,15,13,64
Faial,323,162,161,133,68,70,52,338
Horta,323,162,161,133,68,70,52,338
Flores,58,30,28,23,…,…,8,60
Lajes das Flores,22,11,11,11,...,...,...,26
Santa Cruz das Flores,36,19,17,12,...,13,...,35
Corvo,11,4,7,7,…,…,0,9
Corvo,11,4,7,7,...,...,0,9
R. A. Madeira,7505,3584,3921,2736,1140,1777,1852,9124
Calheta (R.A.M.),383,185,198,126,61,80,116,499
Câmara de Lobos,885,434,451,345,127,223,190,1038
Funchal,3801,1796,2005,1403,637,918,843,4732
Machico,533,249,284,198,66,137,132,593
Ponta do Sol,221,90,131,77,24,45,75,294
Porto Moniz,59,34,25,12,7,11,29,93
Ribeira Brava,290,141,149,98,30,72,90,337
Santa Cruz,911,440,471,353,143,191,224,979
Santana,256,133,123,82,33,61,80,323
São Vicente,112,58,54,26,9,23,54,148
Porto Santo,54,24,30,16,3,16,19,88
