,Total expenditures on cultural and creative activities (Euros),"Current expenditures, Total (Euros)","Current expenditures, of which, Cultural heritage, Total (Euros)","Current expenditures, of which, Cultural heritage, Museums  (Euros)","Current expenditures, of which, Libraries and archives, Total (Euros)","Current expenditures, of which, Libraries and archives, Libraries (Euros)","Current expenditures, of which, Performing arts, Total (Euros)","Current expenditures, of which, Performing arts, Music (Euros)","Current expenditures, of which, Performing arts, Multidisciplinary (Euros)","Current expenditures, of which, Performing arts, Construction and maintenance of art facilities (Euros)","Current expenditures, of which, Interdisciplinary activities , Total (Euros)","Current expenditures, of which, Interdisciplinary activities , Support to cultural and creative organisations (Euros)"
Vale de Cambra,1190287,577000,25319,25319,385098,269130,111704,14800,0,91374,54879,54879
Valongo,1235005,913893,82878,79166,410260,307764,198,154,0,0,420557,123690
Vila do Conde,2458482,2379882,921162,593268,824215,496254,162600,0,138000,0,194500,194500
Vila Nova de Gaia,3534253,2322027,753668,250277,897509,528984,218093,5000,6902,0,171978,8300
Alto Tâmega,5738932,3787370,1242974,998922,878722,779758,458177,134671,20656,46394,666138,289381
Boticas,382300,340300,82100,53700,77300,77300,56800,27000,0,24500,41500,23000
Chaves,2312913,1481914,692241,582751,232774,161441,102077,38637,11931,10274,379057,153500
Montalegre,1172829,527793,102018,102018,149964,149964,185300,53000,0,0,22500,22500
Ribeira de Pena,545260,543662,172837,138054,195581,179824,50800,0,0,11620,25779,1772
Valpaços,582284,566019,96094,96094,137863,137863,5422,0,0,0,128652,64350
Vila Pouca de Aguiar,743346,327682,97684,26305,85240,73366,57778,16034,8725,0,68650,24259
Tâmega e Sousa,11510841,6785721,1052460,763189,1828093,1230848,803277,203926,8041,84993,2386257,2092565
Amarante,2576073,582173,180599,180599,77895,77895,323679,95502,3311,0,0,0
Baião,1374555,337969,106285,27828,58330,37050,24675,3275,2230,1350,57500,57500
Castelo de Paiva,158767,158767,0,0,67894,67894,0,0,0,0,90873,90873
Celorico de Basto,1196160,655116,64663,6968,196718,196248,97630,15587,0,0,231120,12101
Cinfães,326455,312252,34319,34319,76414,76414,11428,5837,0,0,172773,148100
Felgueiras,610789,610789,76112,36502,313328,200310,19482,5063,0,0,112050,62050
Lousada,964110,778316,109009,0,174419,119203,129079,28459,0,0,258376,258376
Marco de Canaveses,873933,123364,27084,27084,32299,32299,0,0,0,0,28420,28420
Paços de Ferreira,225778,225778,44929,44929,122946,122946,5940,302,0,0,51646,51646
Penafiel,2189719,2119842,336068,331568,378890,243690,39600,39050,0,0,1108750,1108750
Resende,1014502,881355,73392,73392,328960,56899,151764,10851,2500,83643,274749,274749
Douro,7833818,7198303,1146407,852497,1859599,1365932,1626605,326022,239824,53918,1349904,1009627
Alijó,354082,338536,99263,99263,105785,105785,51331,568,0,2327,33200,33200
Armamar,82477,71982,12976,12976,21014,21014,0,0,0,0,14200,14200
Carrazeda de Ansiães,570375,570375,107942,84829,162284,99085,71168,2638,0,28680,131817,64234
Freixo de Espada à Cinta,319897,319897,77059,70648,111713,39522,45746,3250,37655,0,0,0
Lamego,543428,543428,67737,0,151374,151374,203430,53491,1648,15442,101400,101400
