,"Docentes, 3º Ciclo do ensino básico e ensino secundário, Total (N.º)","Docentes, 3º Ciclo do ensino básico e ensino secundário, Público (N.º)","Docentes, 3º Ciclo do ensino básico e ensino secundário, Privado  (N.º)","Docentes, Formadores/as
(escolas profissionais), Total (N.º)","Docentes, Formadores/as
(escolas profissionais), Público (N.º)","Docentes, Formadores/as
(escolas profissionais), Privado  (N.º)","Pessoal não docente do
ensino não superior, Formadores/as
(escolas profissionais), Total (N.º)","Pessoal não docente do
ensino não superior, Formadores/as
(escolas profissionais), Público (N.º)","Pessoal não docente do
ensino não superior, Formadores/as
(escolas profissionais), Privado (N.º)"
Vila do Bispo,27,18,9,0,0,0,33,31,2
Vila Real de Santo António,195,195,0,28,28,0,260,228,32
R. A. Açores,2246,2229,17,530,38,492,3997,3107,890
Santa Maria,64,64,0,0,0,0,65,65,0
Vila do Porto,64,64,0,0,0,0,65,65,0
São Miguel,1282,1265,17,372,38,334,2264,1798,466
Lagoa (R.A.A.),155,155,0,30,0,30,234,204,30
Nordeste,40,40,0,24,0,24,69,69,0
Ponta Delgada,700,683,17,229,38,191,1143,857,286
Povoação,52,52,0,24,0,24,125,104,21
Ribeira Grande,237,237,0,45,0,45,499,401,98
Vila Franca do Campo,98,98,0,20,0,20,194,163,31
Terceira,479,479,0,85,0,85,929,658,271
Angra do Heroísmo,303,303,0,60,0,60,629,402,227
Vila da Praia da Vitória,176,176,0,25,0,25,300,256,44
Graciosa,41,41,0,0,0,0,88,70,18
Santa Cruz da Graciosa,41,41,0,0,0,0,88,70,18
São Jorge,88,88,0,18,0,18,173,138,35
Calheta (R.A.A.),41,41,0,0,0,0,89,71,18
Velas,47,47,0,18,0,18,84,67,17
Pico,122,122,0,18,0,18,240,209,31
Lajes do Pico,47,47,0,0,0,0,84,84,0
Madalena,44,44,0,18,0,18,80,66,14
São Roque do Pico,31,31,0,0,0,0,76,59,17
Faial,115,115,0,37,0,37,176,127,49
Horta,115,115,0,37,0,37,176,127,49
Flores,39,39,0,0,0,0,49,33,16
Lajes das Flores,0,0,0,0,0,0,0,0,0
Santa Cruz das Flores,39,39,0,0,0,0,49,33,16
Corvo,16,16,0,0,0,0,13,9,4
Corvo,16,16,0,0,0,0,13,9,4
R. A. Madeira,2728,2583,145,246,211,35,3947,2964,983
Calheta (R.A.M.),109,109,0,0,0,0,151,135,16
Câmara de Lobos,251,251,0,0,0,0,419,335,84
Funchal,1383,1238,145,246,211,35,1975,1225,750
Machico,207,207,0,0,0,0,304,279,25
Ponta do Sol,99,99,0,0,0,0,122,117,5
Porto Moniz,25,25,0,0,0,0,44,44,0
Ribeira Brava,178,178,0,0,0,0,207,207,0
Santa Cruz,279,279,0,0,0,0,429,341,88
Santana,65,65,0,0,0,0,113,108,5
São Vicente,55,55,0,0,0,0,96,93,3
Porto Santo,77,77,0,0,0,0,87,80,7
