,"Child benefit, Recipients, No.","Child benefit, Descendants or equal status, No.","Child benefit, Value paid, thousand euros","Allowance for assistance by a third party, Recipients, No.","Allowance for assistance by a third party, Descendants or equal status, No.","Allowance for assistance by a third party, Value paid, thousand euros"," Funeral grant, Recipients, No."," Funeral grant, Value paid, thousand euros"
Estarreja,2120,3270,2098,13,13,16,42,9
Ílhavo,3094,4656,3030,31,32,42,31,7
Murtosa,937,1462,900,15,15,19,22,5
Oliveira do Bairro,2063,3137,1905,14,15,18,29,6
Ovar,4252,6215,3832,55,55,71,50,11
Sever do Vouga,718,1096,646,8,8,12,10,2
Vagos,1998,3065,1840,14,14,18,33,7
Região de Coimbra,28516,40919,23788,395,410,524,355,78
Arganil,822,1190,686,9,9,12,9,2
Cantanhede,2285,3294,1877,33,35,42,43,9
Coimbra,7942,11324,6785,124,131,166,60,13
Condeixa-a-Nova,1097,1563,838,17,18,25,13,3
Figueira da Foz,4077,5880,3620,51,52,66,62,14
Góis,242,348,184,4,4,5,...,...
Lousã,1368,2009,1177,21,21,28,20,4
Mealhada,1317,1879,1083,17,17,21,19,4
Mira,821,1208,714,4,4,5,7,2
Miranda do Corvo,856,1209,676,16,16,20,14,3
Montemor-o-Velho,1632,2272,1279,16,18,24,19,4
Mortágua,609,891,490,11,11,15,6,1
Oliveira do Hospital,1586,2278,1308,16,16,20,17,4
Pampilhosa da Serra,190,268,144,...,...,...,...,...
Penacova,812,1175,606,10,10,13,17,4
Penela,353,505,280,...,...,...,7,2
Soure,997,1440,774,16,18,23,18,4
Tábua,942,1371,816,17,17,22,8,2
Vila Nova de Poiares,568,815,452,8,8,10,9,2
Região de Leiria,21319,32132,19105,341,350,450,202,44
Alvaiázere,410,611,359,5,5,6,...,...
Ansião,783,1187,714,18,18,24,12,3
Batalha,1235,1927,1083,19,19,24,13,3
Castanheira de Pêra,166,230,130,5,6,8,...,...
Figueiró dos Vinhos,365,542,350,...,...,...,7,2
Leiria,9467,14203,8432,147,149,191,94,21
Marinha Grande,3180,4591,2903,65,67,85,20,4
Pedrógão Grande,246,348,209,...,...,...,0,0
Pombal,3643,5660,3254,52,55,72,43,9
Porto de Mós,1824,2833,1670,24,25,32,8,2
Viseu Dão Lafões,19459,28922,17239,194,197,248,253,56
Aguiar da Beira,282,441,277,4,4,5,4,1
Carregal do Sal,723,1083,640,3,3,4,7,2
Castro Daire,1077,1606,942,12,12,15,12,3
Mangualde,1430,2129,1251,7,7,9,17,4
Nelas,960,1453,833,5,5,7,21,5
Oliveira de Frades,819,1236,722,6,6,8,7,2
Penalva do Castelo,545,838,457,5,5,6,7,2
Santa Comba Dão,797,1207,730,13,13,16,9,2
São Pedro do Sul,1178,1762,1081,12,12,17,13,3
Sátão,841,1283,775,6,6,8,11,3
Tondela,1766,2556,1456,18,19,23,22,5
