,"Agregados fiscais, N.º","Sujeitos passivos, N.º","Rendimento bruto declarado, milhares de euros","Rendimento coletável, milhares de euros","IRS liquidado, milhares de euros","Rendimento bruto declarado deduzido do IRS liquidado, milhares de euros"
Aguiar da Beira,2226,3348,33989,22183,2627,31362
Carregal do Sal,4157,5981,68127,46201,5997,62130
Castro Daire,6057,8950,85517,54161,6090,79427
Mangualde,8697,12815,156380,109362,15655,140724
Nelas,6318,9286,111190,76544,10332,100858
Oliveira de Frades,4777,6818,77156,51721,6395,70761
Penalva do Castelo,3219,4847,49850,32766,3852,45998
Santa Comba Dão,5225,7527,87365,59337,7882,79484
São Pedro do Sul,7180,10285,113430,75911,10072,103358
Sátão,5165,7709,82972,55753,7384,75589
Tondela,12392,17826,213723,147263,20199,193524
Vila Nova de Paiva,1958,2886,30448,20612,2744,27704
Viseu,47955,69217,1013687,749298,128044,885642
Vouzela,4462,6478,73718,49956,7143,66576
Beira Baixa,41367,58616,759981,537110,82900,677081
Castelo Branco,27391,38917,541804,391582,63678,478125
Idanha-a-Nova,4234,5859,64602,43133,5851,58751
Oleiros,2396,3432,36475,23768,2928,33546
Penamacor,2196,3081,32629,21397,2687,29942
Proença-a-Nova,3469,4957,55864,37714,5039,50824
Vila Velha de Ródão,1681,2370,28609,19516,2716,25892
Médio Tejo,117827,165120,2107297,1480403,216499,1890798
Abrantes,17780,24998,320137,223592,33126,287011
Alcanena,6842,9398,109607,73536,9686,99921
Constância,1970,2824,37232,26346,3689,33544
Entroncamento,10395,14628,227179,170421,28175,199004
Ferreira do Zêzere,3875,5495,58674,38315,4334,54339
Mação,3244,4512,52230,35236,4641,47589
Ourém,22433,31453,379058,262794,35737,343321
Sardoal,1898,2632,31005,21058,2900,28105
Sertã,7105,10212,107889,71010,9080,98810
Tomar,19150,26490,344682,244807,38334,306348
Torres Novas,17882,25025,341557,243890,37236,304321
Vila de Rei,1582,2170,24441,16051,1852,22589
Vila Nova da Barquinha,3671,5283,73603,53348,7708,65896
