,"Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, das quais, Ensino regular (N.º)","Ensino básico, 1º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico, 2º Ciclo, Total, Ensino artístico (N.º)","Ensino básico, 2º Ciclo, das quais, Ensino regular (N.º)","Ensino básico, 2º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico, 2º Ciclo, das quais, Cursos de educação e formação (N.º)","Ensino básico, 3º Ciclo, Total, Cursos de educação e formação (N.º)","Ensino básico, 3º Ciclo, das quais, Ensino regular (N.º)","Ensino básico, 3º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico, 3º Ciclo, das quais, Cursos profissionais (N.º)","Ensino básico, 3º Ciclo, das quais, Cursos de educação e formação (N.º)"
Região de Coimbra,14224,14224,0,7585,7492,78,0,12257,11621,135,0,372
Arganil,336,336,0,160,160,0,0,251,237,0,0,14
Cantanhede,1175,1175,0,607,585,22,0,967,860,54,0,19
Coimbra,5140,5140,0,2675,2613,56,0,4276,4037,81,0,88
Condeixa-a-Nova,490,490,0,309,309,0,0,485,485,0,0,0
Figueira da Foz,1900,1900,0,987,978,0,0,1768,1745,0,0,21
Góis,73,73,0,52,52,0,0,74,74,0,0,0
Lousã,649,649,0,335,335,0,0,541,514,0,0,15
Mealhada,579,579,0,350,350,0,0,527,527,0,0,0
Mira,360,360,0,185,185,0,0,297,285,0,0,12
Miranda do Corvo,334,334,0,226,226,0,0,335,318,0,0,17
Montemor-o-Velho,683,683,0,334,334,0,0,558,499,0,0,59
Mortágua,231,231,0,141,141,0,0,175,175,0,0,0
Oliveira do Hospital,631,631,0,373,373,0,0,570,526,0,0,44
Pampilhosa da Serra,97,97,0,44,44,0,0,69,69,0,0,0
Penacova,317,317,0,186,186,0,0,320,279,0,0,41
Penela,157,157,0,66,66,0,0,107,107,0,0,0
Soure,519,519,0,245,245,0,0,426,426,0,0,0
Tábua,311,311,0,181,181,0,0,322,280,0,0,42
Vila Nova de Poiares,242,242,0,129,129,0,0,189,178,0,0,0
Região de Leiria,9981,9981,0,5600,5600,0,0,9158,8952,0,0,181
Alvaiázere,155,155,0,93,93,0,0,127,127,0,0,0
Ansião,349,349,0,235,235,0,0,406,406,0,0,0
Batalha,524,524,0,280,280,0,0,487,487,0,0,0
Castanheira de Pêra,70,70,0,41,41,0,0,65,65,0,0,0
Figueiró dos Vinhos,128,128,0,76,76,0,0,113,113,0,0,0
Leiria,4700,4700,0,2577,2577,0,0,4126,4007,0,0,94
Marinha Grande,1471,1471,0,785,785,0,0,1320,1301,0,0,19
Pedrógão Grande,86,86,0,47,47,0,0,96,96,0,0,0
Pombal,1654,1654,0,1013,1013,0,0,1661,1593,0,0,68
Porto de Mós,844,844,0,453,453,0,0,757,757,0,0,0
Viseu Dão Lafões,8510,8510,0,4541,4539,0,0,7892,7474,0,0,380
Aguiar da Beira,124,124,0,72,72,0,0,132,132,0,0,0
