,"Educação pré-escolar, Total (N.º)","Educação pré-escolar, Público (N.º)","Educação pré-escolar, Privado (N.º)","Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, Com menos de 21 alunas/os (N.º)","Ensino básico, 1º Ciclo, Público (N.º)","Ensino básico, 1º Ciclo, Privado (N.º)","Ensino básico, 2º Ciclo, Total (N.º)","Ensino básico, 2º Ciclo, Público (N.º)","Ensino básico, 2º Ciclo, Privado (N.º)","Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, Público (N.º)","Ensino básico, 3º Ciclo, Privado (N.º)","Ensino secundário, 3º Ciclo, Total (N.º)","Ensino secundário, 3º Ciclo, Público (N.º)","Ensino secundário, 3º Ciclo, Privado (N.º)"
Alcácer do Sal,6,4,2,7,2,7,0,2,2,0,2,2,0,1,1,0
Grândola,10,8,2,9,1,9,0,1,1,0,3,3,0,2,2,0
Odemira,21,18,3,17,1,17,0,5,4,1,6,4,2,3,1,2
Santiago do Cacém,21,13,8,17,4,17,0,4,4,0,4,4,0,2,2,0
Sines,7,5,2,4,0,4,0,1,1,0,2,2,0,2,1,1
Baixo Alentejo,89,68,21,71,9,70,1,19,18,1,28,24,4,17,11,6
Aljustrel,7,5,2,5,0,5,0,1,1,0,2,2,0,1,1,0
Almodôvar,5,4,1,5,2,5,0,1,1,0,1,1,0,1,1,0
Alvito,2,2,0,1,0,1,0,1,1,0,2,1,1,1,0,1
Barrancos,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0
Beja,24,14,10,15,0,14,1,4,3,1,6,5,1,3,2,1
Castro Verde,5,4,1,4,0,4,0,1,1,0,2,2,0,1,1,0
Cuba,4,4,0,3,1,3,0,1,1,0,2,1,1,1,0,1
Ferreira do Alentejo,7,5,2,6,1,6,0,1,1,0,1,1,0,1,1,0
Mértola,7,6,1,5,0,5,0,1,1,0,1,1,0,2,1,1
Moura,10,9,1,11,1,11,0,2,2,0,4,3,1,2,1,1
Ourique,5,4,1,3,1,3,0,1,1,0,1,1,0,1,1,0
Serpa,7,6,1,8,3,8,0,3,3,0,4,4,0,2,2,0
Vidigueira,5,4,1,4,0,4,0,1,1,0,1,1,0,1,0,1
Lezíria do Tejo,128,92,36,111,10,106,5,25,24,1,36,32,4,17,12,5
Almeirim,11,7,4,9,1,8,1,2,2,0,3,3,0,1,1,0
Alpiarça,3,2,1,3,1,3,0,1,1,0,1,1,0,1,1,0
Azambuja,11,6,5,10,0,10,0,3,3,0,4,4,0,1,1,0
Benavente,14,11,3,10,1,10,0,3,3,0,4,4,0,1,1,0
Cartaxo,8,5,3,10,2,10,0,2,2,0,3,3,0,1,1,0
Chamusca,9,8,1,5,0,5,0,1,1,0,1,1,0,1,1,0
Coruche,11,8,3,10,2,10,0,2,2,0,4,3,1,2,1,1
Golegã,3,2,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Rio Maior,9,6,3,10,0,8,2,2,2,0,3,3,0,2,1,1
Salvaterra de Magos,9,5,4,6,1,6,0,2,2,0,3,2,1,2,1,1
Santarém,40,32,8,36,2,34,2,6,5,1,9,7,2,4,2,2
Alto Alentejo,84,58,26,56,5,54,2,20,19,1,23,22,1,12,11,1
Alter do Chão,2,2,0,1,0,1,0,1,1,0,2,2,0,2,2,0
Arronches,3,2,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Avis,4,4,0,4,1,4,0,1,1,0,1,1,0,0,0,0
Campo Maior,3,1,2,1,0,1,0,1,1,0,1,1,0,1,1,0
Castelo de Vide,3,2,1,1,0,1,0,1,1,0,1,1,0,0,0,0
Crato,2,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1
Elvas,18,12,6,12,1,11,1,4,3,1,5,4,1,1,1,0
Fronteira,3,2,1,2,0,2,0,1,1,0,1,1,0,0,0,0
Gavião,4,3,1,2,0,2,0,1,1,0,1,1,0,0,0,0
Marvão,2,2,0,2,0,2,0,1,1,0,1,1,0,0,0,0
Monforte,4,4,0,4,1,4,0,1,1,0,1,1,0,0,0,0
Nisa,3,3,0,1,0,1,0,1,1,0,1,1,0,1,1,0
Ponte de Sor,11,7,4,10,0,9,1,2,2,0,2,2,0,1,1,0
Portalegre,17,9,8,10,1,10,0,2,2,0,3,3,0,3,3,0
Sousel,5,4,1,4,1,4,0,1,1,0,1,1,0,1,1,0
Alentejo Central,108,70,38,81,12,79,2,20,18,2,29,25,4,15,13,2
Alandroal,3,3,0,3,0,3,0,1,1,0,1,1,0,0,0,0
Arraiolos,6,3,3,4,1,4,0,1,1,0,1,1,0,1,1,0
Borba,4,3,1,2,0,2,0,1,1,0,1,1,0,0,0,0
Estremoz,10,8,2,9,2,9,0,1,1,0,2,2,0,1,1,0
Évora,33,14,19,23,3,22,1,5,4,1,10,7,3,5,3,2
Montemor-o-Novo,11,8,3,11,2,11,0,1,1,0,2,2,0,1,1,0
Mora,5,4,1,3,1,3,0,1,1,0,1,1,0,1,1,0
Mourão,3,3,0,3,0,3,0,1,1,0,1,1,0,0,0,0
Portel,7,5,2,4,0,4,0,1,1,0,1,1,0,1,1,0
Redondo,3,2,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Reguengos de Monsaraz,8,7,1,6,1,6,0,1,1,0,2,2,0,1,1,0
Vendas Novas,6,3,3,4,0,3,1,2,1,1,3,2,1,1,1,0
Viana do Alentejo,4,3,1,3,1,3,0,2,2,0,2,2,0,1,1,0
Vila Viçosa,5,4,1,4,1,4,0,1,1,0,1,1,0,1,1,0
Algarve,214,114,100,164,4,143,21,61,53,8,74,64,10,30,22,8
Albufeira,18,11,7,13,0,13,0,6,6,0,8,8,0,3,2,1
Alcoutim,2,0,2,2,0,2,0,1,1,0,1,1,0,0,0,0
Aljezur,3,3,0,3,0,3,0,1,1,0,1,1,0,0,0,0
Castro Marim,5,2,3,3,1,3,0,1,1,0,1,1,0,0,0,0
Faro,32,9,23,24,2,19,5,8,7,1,10,8,2,5,4,1
Lagoa,12,8,4,8,0,7,1,4,3,1,5,4,1,2,1,1
Lagos,15,4,11,14,0,9,5,4,2,2,6,4,2,3,2,1
Loulé,38,27,11,27,1,26,1,8,7,1,10,8,2,4,2,2
Monchique,2,2,0,3,0,3,0,1,1,0,1,1,0,0,0,0
Olhão,19,9,10,15,0,14,1,7,6,1,7,6,1,2,2,0
Portimão,22,13,9,13,0,9,4,7,7,0,9,8,1,5,4,1
São Brás de Alportel,4,3,1,5,0,5,0,1,1,0,2,2,0,1,1,0
Silves,17,9,8,15,0,13,2,5,4,1,6,5,1,2,1,1
Tavira,15,6,9,10,0,9,1,2,2,0,2,2,0,1,1,0
Vila do Bispo,3,3,0,4,0,3,1,2,1,1,1,1,0,0,0,0
Vila Real de Santo António,7,5,2,5,0,5,0,3,3,0,4,4,0,2,2,0
R. A. Açores,186,135,51,146,x,139,7,36,33,3,35,34,1,40,22,18
Santa Maria,6,5,1,5,x,5,0,1,1,0,1,1,0,1,1,0
Vila do Porto,6,5,1,5,x,5,0,1,1,0,1,1,0,1,1,0
São Miguel,91,69,22,74,x,69,5,17,15,2,17,16,1,21,9,12
Lagoa (R.A.A.),10,8,2,8,x,8,0,2,2,0,2,2,0,2,1,1
Nordeste,6,5,1,5,x,5,0,1,1,0,1,1,0,2,1,1
Ponta Delgada,39,30,9,35,x,30,5,7,5,2,7,6,1,11,4,7
Povoação,8,7,1,7,x,7,0,2,2,0,2,2,0,2,1,1
Ribeira Grande,22,15,7,15,x,15,0,3,3,0,3,3,0,2,1,1
Vila Franca do Campo,6,4,2,4,x,4,0,2,2,0,2,2,0,2,1,1
Terceira,48,32,16,33,x,32,1,6,5,1,7,7,0,6,3,3
Angra do Heroísmo,28,16,12,17,x,16,1,4,3,1,4,4,0,4,2,2
Vila da Praia da Vitória,20,16,4,16,x,16,0,2,2,0,3,3,0,2,1,1
Graciosa,5,4,1,4,x,4,0,1,1,0,1,1,0,1,1,0
Santa Cruz da Graciosa,5,4,1,4,x,4,0,1,1,0,1,1,0,1,1,0
São Jorge,7,3,4,6,x,6,0,3,3,0,3,3,0,3,2,1
Calheta (R.A.A.),4,2,2,2,x,2,0,2,2,0,2,2,0,1,1,0
Velas,3,1,2,4,x,4,0,1,1,0,1,1,0,2,1,1
