,"Recipients, MF, No.","Recipients, M, No.","Recipients, F, No."," Days subsidized , MF, No."," Days subsidized , M, No."," Days subsidized , F, No.","Values paid, MF, thousand euros","Values paid, M, thousand euros","Values paid, F, thousand euros"
Ponta Delgada,4795,1987,2808,327395,126862,200533,6440,2804,3636
Povoação,351,135,216,31048,12087,18961,475,204,271
Ribeira Grande,2047,921,1126,140093,60831,79262,2295,1078,1217
Vila Franca do Campo,472,244,228,30338,17022,13316,516,316,201
Terceira,3603,1531,2072,217915,81321,136594,3817,1703,2114
Angra do Heroísmo,2229,927,1302,136611,52647,83964,2456,1120,1337
Vila da Praia da Vitória,1374,604,770,81304,28674,52630,1360,583,777
Graciosa,322,146,176,29973,11224,18749,439,181,258
Santa Cruz da Graciosa,322,146,176,29973,11224,18749,439,181,258
São Jorge,754,298,456,39360,14068,25292,652,254,398
Calheta (R.A.A.),315,115,200,14743,4606,10137,227,77,150
Velas,439,183,256,24617,9462,15155,426,177,249
Pico,1080,526,554,72340,30959,41381,1117,512,605
Lajes do Pico,328,166,162,23106,9173,13933,343,133,209
Madalena,470,223,247,29130,13268,15862,448,212,235
São Roque do Pico,282,137,145,20104,8518,11586,327,167,160
Faial,971,396,575,69197,26923,42274,1158,520,638
Horta,971,396,575,69197,26923,42274,1158,520,638
Flores,291,123,168,21308,6834,14474,379,115,265
Lajes das Flores,100,41,59,6584,2266,4318,116,35,81
Santa Cruz das Flores,191,82,109,14724,4568,10156,263,80,183
Corvo,49,21,28,3359,1238,2121,75,35,40
Corvo,49,21,28,3359,1238,2121,75,35,40
R. A. Madeira,12404,5617,6787,924308,422799,501509,17795,10076,7718
Calheta (R.A.M.),392,165,227,37020,13688,23332,606,311,295
Câmara de Lobos,1543,715,828,99465,48426,51039,1574,921,653
Funchal,4890,2060,2830,305116,124961,180155,6034,2821,3213
Machico,1638,964,674,185158,114481,70677,4604,3648,956
Ponta do Sol,322,153,169,28693,13817,14876,484,259,225
Porto Moniz,87,39,48,8993,3284,5709,133,50,83
Ribeira Brava,550,253,297,47191,20139,27052,678,330,348
Santa Cruz,2260,977,1283,144464,59452,85012,2611,1264,1347
Santana,273,110,163,28467,9150,19317,388,148,239
São Vicente,196,66,130,22481,7607,14874,292,109,183
Porto Santo,253,115,138,17260,7794,9466,392,214,177
