,"Annual mean value of pensions , Total, €","Annual mean value of pensions , Disability, €","Annual mean value of pensions , Old age, €","Annual mean value of pensions , Survival , €","Mean value of unemployment benefits, MF, €","Mean value of unemployment benefits, M, €","Mean value of unemployment benefits, F, €","Mean value of sickness benefits, F, €","Mean number of days of unemployment benefits, MF, days","Mean number of days of unemployment benefits, M, days","Mean number of days of unemployment benefits, F, days","Mean number of days of sickness benefits , F, days"
Terras de Trás-os-Montes,3824,4468,4287,2482,2804,2958,2684,807,174,174,175,56
Alfândega da Fé,3767,3972,4238,2439,2968,2949,2994,597,176,158,200,51
Bragança,3889,4765,4326,2443,2632,2802,2519,815,165,169,162,52
Macedo de Cavaleiros,3770,4224,4241,2510,3003,2918,3073,868,179,162,193,65
Miranda do Douro,4177,4505,4713,2730,2608,3464,2203,708,168,211,148,49
Mirandela,3864,4264,4354,2572,2826,2947,2735,816,174,168,179,56
Mogadouro,3782,4454,4281,2431,2743,2720,2764,766,170,159,180,61
Vila Flor,3669,4170,4135,2377,3036,3584,2582,924,196,216,179,65
Vimioso,3502,4313,3931,2310,2940,3482,2545,702,201,237,174,59
Vinhais,3732,4451,4127,2399,2893,3102,2655,840,195,201,187,64
Centro,5004,5588,5666,3020,2799,3068,2611,931,160,159,161,54
Oeste,5376,5761,6155,3159,2657,2911,2506,1116,152,147,155,63
Alcobaça,5392,6067,6094,3133,2659,3122,2419,1136,156,161,154,64
Alenquer,5686,6278,6586,3295,2813,2993,2684,1330,158,151,163,68
Arruda dos Vinhos,5947,6555,6880,3483,3443,3875,3131,1050,170,163,176,51
Bombarral,4861,5210,5622,2836,2338,3006,2060,830,142,158,136,51
Cadaval,4907,5410,5643,2909,2009,2428,1861,1107,125,137,120,70
Caldas da Rainha,5292,5496,6029,3124,2608,2754,2522,857,153,146,156,50
Lourinhã,5119,5293,5925,2901,2571,2693,2497,1049,149,128,162,61
Nazaré,5283,5603,5951,3339,2532,2971,2266,1199,147,152,143,64
Óbidos,5023,5376,5816,2845,2613,3185,2311,974,151,159,147,57
Peniche,5111,4944,5823,3192,2216,2298,2151,971,131,119,141,62
Sobral de Monte Agraço,5713,6115,6669,3216,3071,3280,2931,1485,179,177,180,75
Torres Vedras,5576,5860,6398,3266,2990,3228,2863,1194,166,159,170,68
Região de Aveiro,5460,5267,6247,3238,2856,3131,2659,845,158,154,162,48
Águeda,5564,5137,6331,3211,2465,2658,2335,785,144,140,146,47
Albergaria-a-Velha,5319,5008,6137,3138,2857,3178,2655,1085,160,153,164,59
Anadia,4960,4835,5630,3063,2905,3156,2754,757,160,162,158,47
Aveiro,6009,5583,6866,3525,2953,3248,2705,805,157,153,161,42
Estarreja,5684,5157,6606,3444,3043,3594,2656,898,161,163,160,49
Ílhavo,5942,5944,6814,3601,2812,2953,2698,886,154,146,161,48
Murtosa,4533,5168,5194,2950,2656,3088,2245,719,143,142,145,42
Oliveira do Bairro,4542,4725,5192,2669,2640,2817,2539,778,151,147,154,47
Ovar,5779,5489,6635,3330,3073,3435,2841,876,175,171,178,49
Sever do Vouga,4548,4947,5124,2788,2462,2526,2408,883,147,143,150,54
Vagos,4356,4614,4942,2648,2716,2819,2651,776,156,149,161,48
Região de Coimbra,5050,5541,5700,3074,2919,3202,2697,639,163,163,163,38
Arganil,4522,5256,5105,2832,3334,3742,3081,563,197,200,195,39
Cantanhede,4344,4808,4896,2661,2716,3263,2310,615,155,167,146,39
Coimbra,5442,5766,6077,3318,3038,3236,2883,603,165,162,168,33
Condeixa-a-Nova,4826,5555,5430,2860,2903,3348,2636,609,155,160,152,35
Figueira da Foz,5838,6386,6680,3379,2918,3249,2605,860,152,150,154,47
Góis,4609,5174,5213,2983,2743,3239,2303,562,168,171,166,40
Lousã,5273,5537,5974,3322,2626,2815,2495,537,162,163,161,34
Mealhada,5054,5420,5683,3163,2838,2966,2740,779,159,148,167,44
Mira,4308,4459,4794,2743,2786,2910,2687,820,163,163,163,45
Miranda do Corvo,4773,5264,5419,2869,2665,2939,2477,535,161,161,162,38
Montemor-o-Velho,5131,5870,5803,3139,2750,3163,2441,598,153,156,151,38
Mortágua,4110,4189,4636,2643,2718,3147,2400,593,171,188,159,41
Oliveira do Hospital,4524,5185,5127,2742,2852,3170,2576,590,170,176,165,42
Pampilhosa da Serra,4857,5173,5634,3016,2958,2776,3188,470,180,174,186,36
Penacova,4278,5311,4762,2682,3009,3033,2993,553,183,171,192,41
Penela,4264,4940,4796,2723,3279,3359,3190,452,172,164,180,33
Soure,5068,6013,5715,3152,3250,3505,3064,738,187,185,188,41
Tábua,4461,4533,5065,2826,3020,3306,2804,499,185,193,180,35
Vila Nova de Poiares,4547,4732,5251,2759,2652,3092,2337,493,163,177,153,34
Região de Leiria,5232,6275,5855,3052,2712,3009,2539,1407,153,151,154,71
Alvaiázere,4046,5100,4543,2543,2324,2305,2339,750,145,141,147,57
Ansião,4356,4841,4941,2643,2849,2894,2820,881,168,168,169,56
Batalha,4941,6020,5505,2811,2605,2739,2533,1135,149,139,154,65
Castanheira de Pêra,4693,5514,5297,2874,3492,2805,4089,898,207,169,240,64
Figueiró dos Vinhos,4253,5109,4739,2759,2884,2828,2944,694,174,163,185,46
Leiria,5591,6542,6244,3204,2690,3003,2514,1314,149,145,152,67
Marinha Grande,6703,8003,7426,3806,2636,2917,2474,2437,144,142,146,102
Pedrógão Grande,4199,5193,4745,2756,2784,3252,2407,1020,176,209,149,67
Pombal,4358,5192,4881,2725,2936,3472,2616,1090,167,176,162,62
Porto de Mós,4871,5470,5504,2862,2645,2903,2498,1067,158,155,159,61
Viseu Dão Lafões,4373,4619,4956,2716,2796,3078,2589,782,164,166,162,50
Aguiar da Beira,3754,4207,4257,2383,3226,3639,2818,860,186,197,176,66
Carregal do Sal,4280,5129,4833,2714,2743,3144,2523,637,159,166,156,42
Castro Daire,4009,4281,4514,2573,2887,3058,2744,805,166,160,172,64
Mangualde,4720,5203,5355,2879,3020,3328,2769,832,173,178,170,51
Nelas,4557,5200,5168,2822,2790,3368,2381,800,160,167,156,49
Oliveira de Frades,4478,4835,5185,2602,3005,3004,3006,830,182,168,192,55
Penalva do Castelo,3911,3942,4401,2591,2798,3132,2503,881,153,157,148,59
Santa Comba Dão,4621,4341,5315,2792,2865,3494,2382,818,160,168,154,49
São Pedro do Sul,4202,4632,4731,2650,2506,2903,2276,756,157,161,154,51
Sátão,3802,4048,4283,2478,2693,2816,2616,840,174,175,174,57
Tondela,4312,4545,4885,2703,2432,2656,2289,776,142,141,142,51
Vila Nova de Paiva,3522,4632,3944,2368,2321,2464,2161,776,141,143,139,53
Viseu,4598,4647,5198,2832,2864,3111,2676,757,165,169,162,46
Vouzela,4320,4610,4912,2597,2922,3129,2767,801,178,181,175,56
Beira Baixa,4484,5057,5072,2778,2992,3333,2739,659,181,187,176,42
