,"Rendimento bruto declarado por habitante, €","IRS liquidado por habitante, €","Rendimento bruto declarado deduzido do IRS liquidado por habitante, €","Rendimento bruto declarado por agregado fiscal, €","Valor mediano do rendimento bruto declarado por agregado fiscal, €","IRS liquidado por agregado fiscal, €","Rendimento bruto declarado deduzido do IRS liquidado por agregado fiscal, €"
Arronches,8411,724,7687,15841,11477,1364,14476
Avis,7197,577,6620,14810,11344,1188,13623
Campo Maior,9274,941,8333,18294,13279,1856,16438
Castelo de Vide,10131,1054,9077,17660,12275,1837,15823
Crato,8473,682,7791,15639,11832,1259,14380
Elvas,8836,917,7919,17065,12022,1770,15295
Fronteira,8645,760,7885,16410,11305,1443,14967
Gavião,8427,607,7820,15174,11639,1093,14081
Marvão,7937,600,7337,14532,10896,1098,13434
Monforte,7130,587,6543,15191,//,1250,13941
Nisa,8632,732,7900,15816,11708,1341,14476
Ponte de Sor,8065,678,7387,14595,10722,1228,13368
Portalegre,10567,1187,9380,19348,13407,2173,17175
Sousel,7594,572,7021,14497,10829,1092,13405
Alentejo Central,9461,1010,8452,18229,12922,1945,16284
Alandroal,7761,530,7231,14119,11197,964,13155
Arraiolos,8341,722,7620,16718,12441,1446,15271
Borba,7833,636,7197,16213,12609,1317,14897
Estremoz,8907,844,8063,17245,12548,1633,15611
Évora,11515,1514,10001,21352,14789,2807,18545
Montemor-o-Novo,8771,870,7901,17434,12567,1730,15704
Mora,8854,750,8104,15857,11762,1344,14513
Mourão,7201,567,6634,15222,//,1198,14024
Portel,6783,448,6335,14089,10918,931,13158
Redondo,7640,617,7023,14996,11068,1211,13785
Reguengos de Monsaraz,8319,760,7559,16465,12093,1504,14961
Vendas Novas,9191,893,8299,17920,13179,1740,16180
Viana do Alentejo,8075,663,7412,15926,11937,1308,14619
Vila Viçosa,8672,774,7898,16940,12705,1512,15429
Algarve,9242,1015,8227,16222,11150,1781,14441
Albufeira,8835,892,7943,14223,9935,1435,12788
Alcoutim,9367,739,8627,14984,//,1182,13801
Aljezur,7621,767,6855,14702,10127,1479,13223
Castro Marim,8473,804,7669,15449,10760,1466,13983
Faro,11828,1607,10221,19332,12640,2626,16705
Lagoa,8454,841,7613,15568,10917,1549,14019
Lagos,8854,976,7878,15817,10893,1743,14074
Loulé,9467,1068,8399,16216,11036,1830,14386
Monchique,6734,531,6203,13963,10367,1101,12861
Olhão,8008,804,7204,16124,11455,1619,14505
Portimão,9623,1060,8563,16353,11270,1801,14552
São Brás de Alportel,9295,1046,8249,17137,11843,1929,15208
Silves,8169,734,7434,14958,11033,1345,13613
Tavira,9112,972,8140,15934,10836,1700,14234
Vila do Bispo,8060,715,7345,14429,10346,1280,13150
Vila Real de Santo António,8209,772,7437,15412,11134,1450,13962
R. A. Açores,8848,756,8091,18569,12167,1587,16982
Santa Maria,10688,1227,9461,21922,12567,2516,19406
Vila do Porto,10688,1227,9461,21922,12567,2516,19406
São Miguel,8538,754,7784,18642,11886,1646,16996
Lagoa (R.A.A.),7427,614,6813,16968,10826,1403,15565
Nordeste,5695,283,5412,13474,10133,670,12804
Ponta Delgada,10662,1080,9582,21217,13740,2149,19067
Povoação,6025,320,5706,13621,9844,722,12899
Ribeira Grande,6414,418,5995,16033,10986,1046,14987
Vila Franca do Campo,5855,369,5486,14389,9999,906,13483
Terceira,9414,790,8625,18996,12897,1593,17403
Angra do Heroísmo,10195,910,9285,19461,12837,1737,17724
Vila da Praia da Vitória,8176,599,7578,18141,13005,1328,16813
Graciosa,7953,574,7379,16751,11435,1208,15542
Santa Cruz da Graciosa,7953,574,7379,16751,11435,1208,15542
São Jorge,8048,501,7547,15705,11197,977,14728
Calheta (R.A.A.),8182,460,7722,14620,10836,822,13798
Velas,7965,526,7438,16491,11576,1089,15401
Pico,8408,565,7843,16570,11771,1113,15457
Lajes do Pico,7521,486,7036,16355,11766,1056,15299
Madalena,9008,579,8429,16513,11946,1061,15452
São Roque do Pico,8543,648,7895,16949,11321,1285,15663
Faial,10161,892,9269,19699,13188,1729,17970
Horta,10161,892,9269,19699,13188,1729,17970
Flores,8381,586,7796,16311,11337,1140,15171
Lajes das Flores,7894,550,7344,15879,//,1106,14773
Santa Cruz das Flores,8711,610,8101,16587,//,1162,15425
Corvo,8918,734,8184,18347,//,1510,16837
Corvo,8918,734,8184,18347,//,1510,16837
R. A. Madeira,8323,860,7463,18194,12011,1880,16314
Calheta (R.A.M.),5521,428,5093,14656,10210,1135,13521
Câmara de Lobos,5295,297,4999,13508,10299,757,12751
Funchal,10689,1328,9361,20682,13231,2569,18113
Machico,6928,497,6431,15448,11279,1109,14339
Ponta do Sol,5377,389,4988,14276,10158,1033,13243
Porto Moniz,6683,522,6161,14700,//,1149,13550
Ribeira Brava,6000,412,5588,14772,10763,1014,13757
Santa Cruz,7993,759,7234,18784,13115,1785,16999
Santana,5951,385,5567,14167,10511,916,13251
São Vicente,5404,398,5006,14654,10409,1079,13575
Porto Santo,11804,1388,10416,20666,13959,2431,18235
