,"Quintis do rendimento bruto declarado deduzido do IRS Liquidado por sujeito passivo, 1º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por sujeito passivo, 2º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por sujeito passivo, 3º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por sujeito passivo, 4º quintil, €","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, Menos de
 5 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 5 000  a menos de 10 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 10 000 a menos de 13 500 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 13 500 a menos de 19 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 19 000 a menos de 32 500 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, 32 500 € ou mais, N.º"
Alcácer do Sal,5859,8255,10218,14008,1087,3645,1632,1069,584,120
Grândola,5619,8441,10665,14881,1412,3705,1819,1204,872,198
Odemira,4658,7013,9217,11859,5572,10927,3988,2012,1234,216
Santiago do Cacém,6374,9247,12477,18534,2525,6838,3765,3298,3079,748
Sines,6512,9350,12887,18617,1313,3278,2001,1862,1623,398
Baixo Alentejo,5824,8556,10741,15204,11405,31923,15367,10945,7944,1370
Aljustrel,6406,8943,11352,15909,661,2550,1294,1069,720,61
Almodôvar,5325,7904,10353,15362,879,2047,846,668,562,75
Alvito,//,//,//,//,//,//,//,//,//,//
Barrancos,//,//,//,//,//,//,//,//,//,//
Beja,6816,9315,12199,17644,2564,7965,4903,3927,3230,670
Castro Verde,6792,9323,12670,18264,463,1662,881,813,705,158
Cuba,5566,7934,10106,14084,516,1349,576,394,256,42
Ferreira do Alentejo,5406,7772,9756,13191,869,2394,1026,625,312,51
Mértola,5325,7535,9330,12542,736,2157,764,450,247,32
Moura,5104,7620,9722,13224,1584,3525,1562,875,605,93
Ourique,5391,8041,10051,14024,571,1431,647,405,278,32
Serpa,5181,7596,9505,13007,1703,4100,1665,971,606,86
Vidigueira,5596,8096,10006,13747,543,1605,690,443,263,40
Lezíria do Tejo,5912,8635,10942,15188,23360,67158,34579,24755,16330,3216
Almeirim,5325,7844,10263,14337,2750,6480,2951,2118,1345,188
Alpiarça,5527,7938,10151,13945,787,2211,981,662,394,57
Azambuja,6177,8914,11237,15126,1925,5695,3481,2419,1390,193
Benavente,6328,9015,11377,15669,2739,7700,4615,3374,2075,454
Cartaxo,6267,9031,11481,15633,2184,6185,3796,2816,1739,313
Chamusca,5601,7693,9501,12536,874,3050,1205,566,382,51
Coruche,5725,7874,9962,13655,1715,5858,2380,1535,924,149
Golegã,6317,8667,10712,14704,453,1689,869,567,347,58
Rio Maior,5565,8319,10468,14396,2393,6244,3054,2149,1179,234
Salvaterra de Magos,5811,8182,10449,14493,2223,6686,2985,2171,1276,235
Santarém,6220,8993,11655,16880,5317,15360,8262,6378,5279,1284
Alto Alentejo,5859,8436,10523,14460,10508,32780,15855,10098,6693,1182
Alter do Chão,6133,8357,10000,13672,262,1104,441,290,157,23
Arronches,5746,8430,10382,13723,//,//,//,//,//,//
Avis,5804,8096,9839,13028,379,1344,595,339,152,13
Campo Maior,6645,9315,11675,15167,636,1996,1422,957,495,92
Castelo de Vide,6108,8729,10779,14620,279,971,526,290,212,44
Crato,6002,8255,10077,13494,305,1099,500,298,162,14
Elvas,5891,8685,10833,14844,2010,5829,3154,1949,1350,263
Fronteira,5640,7876,9712,13839,300,1088,380,242,189,30
Gavião,5786,7934,9760,12938,335,1241,533,267,145,26
Marvão,5468,8131,9739,12731,388,1024,445,250,123,18
Monforte,//,//,//,//,//,//,//,//,//,//
Nisa,5640,8234,10250,13716,658,2030,959,574,348,43
Ponte de Sor,5235,7342,9329,12747,2090,5374,2030,1185,692,126
Portalegre,6510,9118,11797,16802,1794,6342,3449,2647,2207,425
Sousel,5527,7604,9411,12639,480,1585,579,317,185,28
Alentejo Central,6470,8904,11117,15371,11851,45065,23854,16088,11109,2347
Alandroal,5786,7787,9386,12014,476,2013,814,336,152,17
Arraiolos,6265,8740,10590,14070,510,2212,1087,660,366,55
Borba,6274,8168,9940,13283,514,2347,963,580,277,44
Estremoz,6418,8716,10752,14490,965,4026,2048,1219,850,122
Évora,7422,9879,12838,18425,3383,12524,8742,6927,5765,1513
Montemor-o-Novo,6274,8706,10694,14447,1213,4868,2362,1510,926,174
Mora,6410,8280,9872,13426,//,//,//,//,//,//
Mourão,//,//,//,//,//,//,//,//,//,//
Portel,5378,7556,9315,12003,655,1998,741,411,153,18
Redondo,5651,7836,9443,12844,688,2208,819,465,290,36
Reguengos de Monsaraz,5879,8332,10391,14192,971,3109,1441,966,540,97
Vendas Novas,6496,8895,11147,15405,943,3234,1775,1267,825,120
Viana do Alentejo,6024,8548,10374,14016,435,1640,787,461,275,32
Vila Viçosa,6585,8726,10483,13924,542,2506,1301,697,403,81
Algarve,5093,8180,10484,14871,65082,124664,62499,43909,31043,6824
Albufeira,4118,7265,9666,13728,8647,12386,5757,3858,2575,544
Alcoutim,//,//,//,//,//,//,//,//,//,//
Aljezur,4600,7392,9539,13281,883,1586,658,424,266,68
Castro Marim,5064,7815,9890,13604,932,1939,888,565,332,61
Faro,5862,9086,12098,17926,7749,15774,9347,7815,6936,1880
Lagoa,5066,7908,10159,14372,3282,6580,3059,2166,1387,251
Lagos,5043,8126,10301,14302,4455,8609,4315,2825,1886,438
Loulé,4927,8075,10300,14533,10991,20110,10004,6880,4535,1184
Monchique,4792,7098,9258,12344,//,//,//,//,//,//
Olhão,5397,8445,10656,14743,5243,11222,5995,4055,2734,445
Portimão,5264,8296,10640,15230,8026,16083,8153,5831,4288,922
São Brás de Alportel,5317,8474,10953,15634,1428,2744,1486,1136,804,145
Silves,5105,7998,10153,13908,5168,10543,5218,3458,2011,272
Tavira,4931,7735,10024,14266,3890,7528,3370,2279,1655,353
Vila do Bispo,4860,7693,9767,13012,800,1571,789,422,210,59
Vila Real de Santo António,5169,7983,10058,13889,2554,5566,2597,1659,1097,163
R. A. Açores,5553,8668,10968,16650,26496,60169,30024,20583,20243,5712
Santa Maria,5770,9156,11508,18770,591,1338,724,450,468,281
Vila do Porto,5770,9156,11508,18770,591,1338,724,450,468,281
São Miguel,5226,8392,10816,16747,15988,32408,15702,10541,11188,3419
Lagoa (R.A.A.),4856,7418,9813,14504,2027,3731,1505,923,885,272
Nordeste,4511,6431,9264,12123,735,1275,488,256,159,22
Ponta Delgada,6241,9331,12302,19923,6074,15801,8786,6534,7685,2636
Povoação,4280,6376,9067,12221,985,1632,523,310,237,50
Ribeira Grande,4723,7510,9920,13851,4306,7341,3544,1970,1674,359
Vila Franca do Campo,4187,6100,9207,12671,1861,2628,856,548,548,80
Terceira,6166,9157,11508,17171,5204,13737,7515,5476,5107,1215
Angra do Heroísmo,6222,9279,11812,17982,3296,8483,4661,3524,3478,955
Vila da Praia da Vitória,6108,8946,11107,16102,1908,5254,2854,1952,1629,260
Graciosa,5340,7935,10153,14594,507,1174,524,298,289,64
Santa Cruz da Graciosa,5340,7935,10153,14594,507,1174,524,298,289,64
São Jorge,5366,8101,10091,14162,1031,2470,1110,692,530,93
Calheta (R.A.A.),5206,7551,9810,12735,449,1096,501,238,177,31
Velas,5513,8375,10382,14994,582,1374,609,454,353,62
Pico,5667,8315,10268,14666,1506,4199,1806,1158,961,187
Lajes do Pico,5532,7878,9880,14099,487,1352,500,356,256,52
Madalena,5859,8581,10450,14666,650,1921,903,541,443,75
São Roque do Pico,5549,8348,10499,15760,369,926,403,261,262,60
Faial,6479,9315,11878,17589,1219,3720,2111,1605,1387,395
Horta,6479,9315,11878,17589,1219,3720,2111,1605,1387,395
Flores,5549,8213,10435,15450,//,//,//,//,//,//
Lajes das Flores,//,//,//,//,//,//,//,//,//,//
Santa Cruz das Flores,//,//,//,//,//,//,//,//,//,//
Corvo,//,//,//,//,//,//,//,//,//,//
Corvo,//,//,//,//,//,//,//,//,//,//
R. A. Madeira,5428,8640,11114,16820,27564,57126,29272,20793,20560,4963
Calheta (R.A.M.),4321,6915,9467,13734,1586,2131,878,605,522,55
