,"Total, MF (€)","Total, M (€)","Total, F (€)","Primary CAE: A, MF (€)","Primary CAE: A, M (€)","Primary CAE: A, F (€)","Secondary CAE: B - F, MF (€)","Secondary CAE: B - F, M (€)","Secondary CAE: B - F, F (€)","Tertiary CAE: G - U, MF (€)","Tertiary CAE: G - U, M (€)","Tertiary CAE: G - U, F (€)"
Castro Marim,894.54,942.17,850.07,782.35,762.9,812.04,884.13,882.33,896.42,904.2,989.34,849.61
Faro,1214.97,1299.99,1125.73,785.43,769.32,827.27,1117.49,1134.26,1056.33,1252.55,1390.1,1137.8
Lagoa,1072.03,1124.26,1006.22,1037.24,1033.42,1061.82,970.67,987.03,892.45,1091.69,1170.37,1013.11
Lagos,1019.29,1062.61,973.21,1071.37,1100.06,965,1073.53,1091.54,995.21,1005.92,1049.19,971.59
Loulé,1082.9,1139.67,1010.98,1169.4,1216.8,934.49,1096.49,1100.18,1078.73,1078.66,1150.55,1006.75
Monchique,935.26,964.47,903.96,741.86,743.34,727.76,961.51,963.32,953.18,944.7,1013.56,901.91
Olhão,993.19,1037.82,938.88,1045.1,1099.99,929.84,981.52,994.11,946.84,990.48,1052.04,938.11
Portimão,1081.93,1149.64,1014.02,972.83,980.96,944.59,997.91,1004.98,965.47,1097.17,1197.84,1016.91
São Brás de Alportel,997.35,1032.43,955.85,881.24,933.73,…,964.25,982.03,883.7,1014.18,1082.81,967.19
Silves,1010.95,1051.71,957.55,929.22,936.73,912.6,1018.64,1009.1,1059.86,1017.68,1086.69,950.86
Tavira,967.23,998.96,933.61,929.87,917.8,974.63,1000.85,994.96,1029.72,963.91,1029.25,923.86
Vila do Bispo,960.18,997.07,921.63,1273.59,1273.84,…,929,955.92,791.03,944.88,970.41,922.4
Vila Real de Santo António,965.98,1038.66,885.97,996.27,983.78,1058.11,907.81,919.96,850.54,974.27,1078.43,885.47
R. A. Açores,1131.35,1202.34,1038.04,968.24,961.99,1019.77,1085.58,1094.41,1048.74,1153.09,1280.54,1036.91
