,"Total, HM (N.º)","Total, H (N.º)","Total, M (N.º)","0 a 14 anos, HM (N.º)","0 a 14 anos, H (N.º)","0 a 14 anos, M (N.º)","15 a 24 anos, HM (N.º)","15 a 24 anos, H (N.º)","15 a 24 anos, M (N.º)"
Santa Maria,5424,2583,2841,766,377,389,638,314,324
Vila do Porto,5424,2583,2841,766,377,389,638,314,324
São Miguel,133371,64923,68448,20581,10547,10034,17039,8643,8396
Lagoa (R.A.A.),14216,6953,7263,2320,1220,1100,1925,938,987
Nordeste,4380,2153,2227,557,291,266,531,265,266
Ponta Delgada,67256,32273,34983,9583,4879,4704,8118,4091,4027
Povoação,5789,2832,2957,772,389,383,729,369,360
Ribeira Grande,31428,15553,15875,5849,2963,2886,4433,2292,2141
Vila Franca do Campo,10302,5159,5143,1500,805,695,1303,688,615
Terceira,53191,25719,27472,7118,3580,3538,5776,2930,2846
Angra do Heroísmo,33707,16254,17453,4461,2224,2237,3706,1865,1841
Vila da Praia da Vitória,19484,9465,10019,2657,1356,1301,2070,1065,1005
Graciosa,4090,2006,2084,594,320,274,419,217,202
Santa Cruz da Graciosa,4090,2006,2084,594,320,274,419,217,202
São Jorge,8351,4119,4232,1022,555,467,854,442,412
Calheta (R.A.A.),3433,1694,1739,417,219,198,361,198,163
Velas,4918,2425,2493,605,336,269,493,244,249
Pico,13931,6763,7168,1822,930,892,1336,666,670
Lajes do Pico,4351,2117,2234,530,285,245,424,202,222
Madalena,6338,3071,3267,874,438,436,639,321,318
São Roque do Pico,3242,1575,1667,418,207,211,273,143,130
Faial,14287,6932,7355,1897,991,906,1527,811,716
Horta,14287,6932,7355,1897,991,906,1527,811,716
Flores,3444,1738,1706,427,226,201,358,179,179
Lajes das Flores,1405,725,680,156,87,69,155,81,74
Santa Cruz das Flores,2039,1013,1026,271,139,132,203,98,105
Corvo,399,212,187,54,27,27,46,29,17
Corvo,399,212,187,54,27,27,46,29,17
R. A. Madeira,251182,117829,133353,31473,16103,15370,28498,14497,14001
Calheta (R.A.M.),10901,5004,5897,1259,656,603,1150,606,544
Câmara de Lobos,32128,15354,16774,4750,2399,2351,4373,2259,2114
Funchal,105828,49137,56691,12485,6397,6088,11182,5703,5479
Machico,19544,9433,10111,2167,1127,1040,2286,1173,1113
Ponta do Sol,8398,3879,4519,1010,516,494,1069,535,534
Porto Moniz,2516,1112,1404,230,128,102,261,117,144
Ribeira Brava,12686,5773,6913,1576,806,770,1602,794,808
Santa Cruz,42626,20386,22240,6296,3196,3100,4867,2433,2434
Santana,6522,2964,3558,631,338,293,647,317,330
São Vicente,4854,2238,2616,500,258,242,493,259,234
Porto Santo,5179,2549,2630,569,282,287,568,301,267
