,"Educação pré-escolar, Total (N.º)","Educação pré-escolar, Público (N.º)","Educação pré-escolar, Privado  (N.º)","Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, Público (N.º)","Ensino básico, 1º Ciclo, Privado  (N.º)","Ensino básico, 2º Ciclo, Total (N.º)","Ensino básico, 2º Ciclo, Público (N.º)","Ensino básico, 2º Ciclo, Privado  (N.º)","Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, Público (N.º)","Ensino básico, 3º Ciclo, Privado  (N.º)"
Aljustrel,198,110,88,324,324,0,172,172,0,220,220,0
Almodôvar,124,88,36,201,201,0,117,117,0,189,189,0
Alvito,58,58,0,83,83,0,27,27,0,92,59,33
Barrancos,37,37,0,42,42,0,23,23,0,54,54,0
Beja,1024,436,588,1474,1395,79,836,758,78,1269,1116,153
Castro Verde,172,127,45,231,231,0,140,140,0,262,262,0
Cuba,112,112,0,154,154,0,101,101,0,132,97,35
Ferreira do Alentejo,174,119,55,274,274,0,125,125,0,167,167,0
Mértola,119,119,0,158,158,0,76,76,0,146,146,0
Moura,382,294,88,616,616,0,330,330,0,463,436,27
Ourique,94,57,37,144,144,0,85,85,0,130,130,0
Serpa,346,292,54,451,451,0,239,239,0,378,378,0
Vidigueira,142,97,45,215,215,0,101,101,0,107,107,0
Lezíria do Tejo,5679,3487,2192,8612,8370,242,4820,4820,0,7613,7510,103
Almeirim,583,317,266,911,890,21,515,515,0,755,755,0
Alpiarça,103,61,42,212,212,0,110,110,0,194,194,0
Azambuja,603,259,344,829,829,0,439,439,0,691,691,0
Benavente,775,497,278,1217,1217,0,723,723,0,1021,1021,0
Cartaxo,486,234,252,782,782,0,469,469,0,769,769,0
Chamusca,190,190,0,260,260,0,144,144,0,218,218,0
Coruche,317,186,131,529,529,0,289,289,0,502,472,30
Golegã,120,79,41,158,158,0,74,74,0,168,168,0
Rio Maior,607,414,193,768,666,102,472,472,0,666,666,0
Salvaterra de Magos,491,282,209,742,742,0,405,405,0,687,665,22
Santarém,1404,968,436,2204,2085,119,1180,1180,0,1942,1891,51
Alto Alentejo,2439,1535,904,3668,3540,128,1986,1936,50,3164,3079,85
Alter do Chão,64,64,0,96,96,0,43,43,0,110,110,0
Arronches,66,45,21,86,86,0,47,47,0,79,79,0
Avis,82,82,0,109,109,0,65,65,0,85,85,0
Campo Maior,229,132,97,396,396,0,219,219,0,288,288,0
Castelo de Vide,75,50,25,80,80,0,38,38,0,82,82,0
Crato,60,40,20,84,84,0,40,40,0,66,66,0
Elvas,531,253,278,952,848,104,485,435,50,717,632,85
Fronteira,58,41,17,72,72,0,58,58,0,81,81,0
Gavião,58,38,20,85,85,0,52,52,0,90,90,0
Marvão,43,43,0,67,67,0,26,26,0,68,68,0
Monforte,64,64,0,127,127,0,54,54,0,97,97,0
Nisa,92,92,0,122,122,0,70,70,0,116,116,0
Ponte de Sor,333,232,101,487,463,24,283,283,0,410,410,0
Portalegre,588,297,291,778,778,0,409,409,0,758,758,0
Sousel,96,62,34,127,127,0,97,97,0,117,117,0
Alentejo Central,3563,1947,1616,5356,5069,287,2950,2802,148,4647,4495,152
Alandroal,84,84,0,133,133,0,82,82,0,102,102,0
Arraiolos,119,57,62,172,172,0,107,107,0,166,166,0
Borba,143,105,38,201,201,0,117,117,0,151,151,0
Estremoz,269,193,76,397,397,0,210,210,0,358,358,0
Évora,1396,452,944,2159,1936,223,1150,1036,114,1825,1713,112
Montemor-o-Novo,340,218,122,485,485,0,269,269,0,413,413,0
Mora,76,63,13,99,99,0,55,55,0,101,101,0
Mourão,67,67,0,100,100,0,61,61,0,66,66,0
Portel,103,49,54,174,174,0,96,96,0,129,129,0
Redondo,136,115,21,229,229,0,113,113,0,159,159,0
Reguengos de Monsaraz,262,204,58,365,365,0,225,225,0,404,404,0
Vendas Novas,272,160,112,413,349,64,228,194,34,380,340,40
Viana do Alentejo,125,90,35,179,179,0,101,101,0,165,165,0
Vila Viçosa,171,90,81,250,250,0,136,136,0,228,228,0
Algarve,12384,7191,5193,19010,17429,1581,10423,10046,377,16291,15638,653
Albufeira,1348,990,358,1948,1948,0,1037,1037,0,1706,1706,0
Alcoutim,29,0,29,53,53,0,25,25,0,50,50,0
Aljezur,159,159,0,228,228,0,107,107,0,204,162,42
Castro Marim,189,120,69,266,266,0,120,120,0,161,161,0
Faro,1706,498,1208,2770,2372,398,1504,1452,52,2428,2336,92
Lagoa,751,384,367,1037,911,126,576,477,99,895,770,125
Lagos,826,270,556,1302,1063,239,702,669,33,1181,1134,47
Loulé,2170,1675,495,3252,3064,188,1795,1697,98,2659,2459,200
Monchique,121,121,0,133,133,0,81,81,0,128,128,0
Olhão,1109,648,461,1817,1717,100,1043,984,59,1558,1479,79
Portimão,1580,956,624,2498,2177,321,1378,1378,0,2192,2157,35
São Brás de Alportel,310,241,69,419,419,0,250,250,0,380,380,0
Silves,942,496,446,1407,1328,79,744,725,19,1095,1069,26
Tavira,576,234,342,929,861,68,531,531,0,769,769,0
Vila do Bispo,137,137,0,249,187,62,86,69,17,131,124,7
Vila Real de Santo António,431,262,169,702,702,0,444,444,0,754,754,0
R. A. Açores,6670,4133,2537,10473,9562,911,5466,5287,179,8669,8587,82
Santa Maria,144,144,0,207,207,0,120,120,0,179,179,0
Vila do Porto,144,144,0,207,207,0,120,120,0,179,179,0
São Miguel,3911,2641,1270,6448,5747,701,3413,3287,126,5495,5413,82
Lagoa (R.A.A.),392,340,52,607,607,0,371,371,0,616,616,0
Nordeste,88,88,0,165,165,0,103,103,0,154,154,0
Ponta Delgada,2008,1173,835,3211,2510,701,1748,1622,126,2907,2825,82
Povoação,152,127,25,226,226,0,148,148,0,230,230,0
Ribeira Grande,997,719,278,1812,1812,0,813,813,0,1187,1187,0
Vila Franca do Campo,274,194,80,427,427,0,230,230,0,401,401,0
Terceira,1422,658,764,2102,1964,138,1097,1044,53,1621,1621,0
Angra do Heroísmo,904,282,622,1358,1220,138,732,679,53,1026,1026,0
Vila da Praia da Vitória,518,376,142,744,744,0,365,365,0,595,595,0
Graciosa,135,68,67,163,163,0,84,84,0,114,114,0
Santa Cruz da Graciosa,135,68,67,163,163,0,84,84,0,114,114,0
São Jorge,225,54,171,293,293,0,156,156,0,261,261,0
Calheta (R.A.A.),93,14,79,120,120,0,67,67,0,120,120,0
Velas,132,40,92,173,173,0,89,89,0,141,141,0
Pico,366,303,63,523,523,0,245,245,0,398,398,0
Lajes do Pico,90,90,0,143,143,0,91,91,0,125,125,0
Madalena,197,159,38,252,252,0,103,103,0,180,180,0
São Roque do Pico,79,54,25,128,128,0,51,51,0,93,93,0
Faial,388,211,177,586,514,72,275,275,0,482,482,0
Horta,388,211,177,586,514,72,275,275,0,482,482,0
Flores,75,54,21,132,132,0,67,67,0,107,107,0
Lajes das Flores,17,17,0,41,41,0,25,25,0,0,0,0
Santa Cruz das Flores,58,37,21,91,91,0,42,42,0,107,107,0
Corvo,4,0,4,19,19,0,9,9,0,12,12,0
Corvo,4,0,4,19,19,0,9,9,0,12,12,0
R. A. Madeira,5820,3134,2686,9240,6835,2405,5292,4581,711,9017,7855,1162
Calheta (R.A.M.),225,162,63,376,331,45,209,209,0,369,369,0
Câmara de Lobos,652,415,237,1038,1038,0,612,612,0,993,993,0
Funchal,3001,1120,1881,4710,2782,1928,2561,1850,711,4380,3218,1162
Machico,383,293,90,665,566,99,417,417,0,665,665,0
Ponta do Sol,155,147,8,334,334,0,163,163,0,345,345,0
Porto Moniz,49,49,0,69,69,0,43,43,0,67,67,0
Ribeira Brava,275,275,0,449,449,0,267,267,0,532,532,0
Santa Cruz,771,413,358,1111,902,209,739,739,0,1174,1174,0
Santana,114,93,21,164,136,28,83,83,0,161,161,0
São Vicente,97,92,5,144,144,0,87,87,0,160,160,0
Porto Santo,98,75,23,180,84,96,111,111,0,171,171,0
