,Total (N.º),"Profissão principal, Representantes do poder legislativo e de órgãos executivos, dirigentes, diretores/as e gestores/as executivos/as (N.º)","Profissão principal, Especialistas das atividades intelectuais e científicas (N.º)","Profissão principal, Técnicos/as e profissionais de nível intermédio (N.º)","Profissão principal, Pessoal administrativo  (N.º)","Profissão principal, Trabalhadores/as dos serviços pessoais, de proteção e segurança e vendedores/as (N.º)","Profissão principal, Agricultores/as e trabalhadores/as qualificados/as da agricultura, da pesca e da floresta (N.º)","Profissão principal, Trabalhadores/as qualificados/as da indústria, construção e artífices (N.º)","Profissão principal, Operadores/as de instalações e máquinas e trabalhadores/as da montagem (N.º)","Profissão principal, Trabalhadores/as não qualificados  (N.º)"
Sernancelhe,782,59,39,63,95,157,10,143,78,138
Tabuaço,455,15,38,37,54,133,28,43,46,61
Tarouca,1079,41,57,52,113,165,18,367,53,213
Torre de Moncorvo,783,28,80,51,95,219,33,86,53,138
Vila Nova de Foz Côa,805,28,90,72,75,201,70,72,61,136
Vila Real,8907,318,1332,895,1118,2436,51,998,819,927
Terras de Trás-os-Montes,14445,538,1697,1337,1423,4047,200,1842,1042,2294
Alfândega da Fé,373,9,31,31,55,85,10,30,26,96
Bragança,5800,175,836,584,524,1557,22,751,586,742
Macedo de Cavaleiros,1705,59,202,140,201,534,38,168,108,253
Miranda do Douro,862,66,65,42,83,268,20,144,23,151
Mirandela,3159,101,364,351,302,928,50,379,167,517
Mogadouro,907,75,68,67,95,272,33,158,34,105
Vila Flor,698,…,59,36,75,126,…,54,48,278
Vimioso,407,…,42,33,37,128,…,51,16,71
Vinhais,534,15,30,53,51,149,14,107,34,81
Centro,456336,16738,44672,46753,54022,87009,6859,79004,63672,57406
Oeste,70504,2620,4900,6508,9377,13331,2503,12824,8464,9957
Alcobaça,12422,489,808,1014,1727,2018,246,3268,1248,1602
Alenquer,8852,310,403,1140,1295,1178,91,1822,1501,1111
Arruda dos Vinhos,2803,102,350,240,401,409,16,366,667,251
Bombarral,1808,80,96,146,244,365,195,224,177,280
Cadaval,1918,70,140,137,288,323,86,252,291,331
Caldas da Rainha,11230,375,919,1041,1328,2430,173,1667,978,2318
Lourinhã,3877,107,180,249,511,811,365,814,361,479
Nazaré,2456,130,141,213,327,728,48,270,205,391
Óbidos,2549,159,289,223,347,605,111,281,92,437
Peniche,4253,178,202,306,474,1065,334,817,307,567
Sobral de Monte Agraço,1369,71,58,100,176,233,16,366,200,149
Torres Vedras,16967,549,1314,1699,2259,3166,822,2677,2437,2041
Região de Aveiro,91882,3282,9354,10577,10991,13286,422,15786,15489,12628
Águeda,12701,495,938,1295,1689,1561,37,2549,1638,2491
Albergaria-a-Velha,6468,216,466,742,766,815,44,1569,1197,652
Anadia,5729,197,490,577,754,927,69,886,1029,799
Aveiro,25396,901,4071,3386,2756,4451,56,3177,2856,3706
Estarreja,6449,209,421,754,673,704,15,893,1989,789
Ílhavo,7028,248,823,905,814,1107,29,1435,995,668
Murtosa,1392,63,90,69,92,233,50,510,126,159
Oliveira do Bairro,5731,202,452,583,833,870,10,1088,906,786
Ovar,14188,517,1039,1613,1916,1669,66,2298,3391,1671
Sever do Vouga,2075,73,140,256,185,248,18,717,161,276
Vagos,4725,161,424,397,513,701,28,664,1201,631
Região de Coimbra,82157,3029,9903,8428,9620,17201,896,12550,10572,9908
Arganil,1738,48,104,119,181,403,28,335,216,303
Cantanhede,7374,262,635,645,913,1318,88,1742,853,912
Coimbra,29131,1194,5360,3622,3866,7339,67,2690,1765,3203
Condeixa-a-Nova,2172,70,289,214,237,516,13,242,349,242
Figueira da Foz,13017,462,1152,1369,1309,2372,132,2617,2128,1466
Góis,466,18,29,30,48,190,22,57,19,53
Lousã,2497,87,248,256,327,451,43,326,441,317
Mealhada,4224,105,323,412,525,630,35,594,1233,367
Mira,1801,95,120,169,225,331,84,286,236,254
Miranda do Corvo,1095,32,103,79,100,247,23,156,91,264
Montemor-o-Velho,2830,101,244,176,405,508,26,590,399,379
Mortágua,2406,91,328,240,267,278,69,323,315,492
Oliveira do Hospital,3832,106,307,364,416,821,44,683,669,422
Pampilhosa da Serra,530,37,35,36,30,171,15,54,14,138
Penacova,1690,75,96,102,144,304,22,461,322,164
Penela,1459,64,194,166,110,255,27,213,268,162
Soure,1794,72,134,145,163,463,109,309,170,228
Tábua,2639,82,102,156,226,369,24,703,675,302
Vila Nova de Poiares,1462,28,100,128,128,235,25,169,409,240
Região de Leiria,71472,3107,6384,7885,8736,11803,593,14126,11238,7583
Alvaiázere,1027,43,66,82,72,206,15,223,209,111
Ansião,2132,87,161,142,232,371,18,377,463,281
Batalha,4248,148,273,416,490,557,47,1026,814,477
Castanheira de Pêra,401,18,38,39,28,84,4,31,111,48
Figueiró dos Vinhos,583,19,68,43,67,152,21,84,35,94
Leiria,36029,1443,3832,4034,4872,6572,318,6781,4365,3802
Marinha Grande,9975,439,894,1555,1118,1080,11,2106,1971,798
Pedrógão Grande,448,14,70,38,50,106,11,49,28,82
Pombal,11871,679,716,1094,1278,2032,116,2469,2222,1263
Porto de Mós,4758,217,266,442,529,643,32,980,1020,627
Viseu Dão Lafões,51031,1686,4720,4957,5444,10147,759,9687,7505,6105
Aguiar da Beira,841,60,73,53,90,173,18,122,100,152
Carregal do Sal,1748,45,109,177,172,297,31,426,238,250
Castro Daire,1767,59,91,126,128,510,24,266,377,186
Mangualde,4688,97,250,315,442,590,17,925,1733,318
Nelas,2829,88,202,290,211,361,20,637,625,394
Oliveira de Frades,2960,106,195,462,285,279,95,842,377,318
Penalva do Castelo,958,27,46,50,69,250,14,118,231,153
Santa Comba Dão,1347,89,103,111,108,355,40,162,143,234
São Pedro do Sul,1914,63,119,139,184,509,78,395,187,240
Sátão,1497,44,71,65,107,357,28,504,199,122
Tondela,5797,207,450,624,620,805,144,649,987,1305
Vila Nova de Paiva,501,37,40,24,32,162,13,85,54,54
Viseu,22662,727,2884,2395,2890,5268,204,4309,1787,2191
Vouzela,1522,37,87,126,106,231,33,247,467,188
Beira Baixa,13609,389,1356,1415,1530,3419,293,2224,1405,1577
Castelo Branco,9987,259,1075,991,1192,2691,121,1721,962,974
Idanha-a-Nova,822,31,70,62,82,207,73,66,35,196
Oleiros,605,21,43,110,46,91,16,98,86,94
Penamacor,374,15,28,20,50,88,39,32,49,53
Proença-a-Nova,987,26,99,101,85,212,38,243,79,104
Vila Velha de Ródão,834,37,41,131,75,130,6,64,194,156
Médio Tejo,41467,1362,4057,4096,4888,9427,801,7157,4630,5034
Abrantes,5417,142,656,619,516,1284,76,725,721,669
Alcanena,3540,128,260,396,450,619,4,724,373,586
Constância,883,26,59,119,95,123,0,172,76,213
Entroncamento,2911,90,343,348,349,695,13,502,316,255
Ferreira do Zêzere,1566,35,83,80,138,321,278,247,213,171
Mação,961,25,37,85,81,235,28,255,89,126
