,"Quintis do rendimento bruto declarado deduzido do IRS Liquidado por sujeito passivo, 1º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por sujeito passivo, 2º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por sujeito passivo, 3º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por sujeito passivo, 4º quintil, €","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, Menos de
 5 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 5 000  a menos de 10 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 10 000 a menos de 13 500 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 13 500 a menos de 19 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 19 000 a menos de 32 500 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, 32 500 € ou mais, N.º"
Moita,6083,8600,10972,14970,6005,17015,9440,6919,3926,429
Montijo,5867,8691,11760,17215,5485,12766,6396,5838,4896,933
Odivelas,6193,9007,12163,17416,14705,35404,20702,18387,14551,2683
Oeiras,7409,11192,16307,24638,12750,29500,19411,22087,27829,12014
Palmela,5915,8785,11847,17144,6502,14958,8368,7090,5689,1335
Seixal,6386,9161,12215,17205,14736,36676,23431,20002,14772,2528
Sesimbra,6002,8868,11928,16743,5121,12040,7149,6155,4368,821
Setúbal,6241,9030,12308,17805,11343,27844,16178,14330,11843,2861
Sintra,6115,8929,11738,16638,37448,90660,53018,43471,31517,6837
Vila Franca de Xira,6723,9321,12240,16863,11279,32554,20937,18287,12218,1950
Alentejo,5513,7988,10184,14387,79913,213344,91508,62643,43735,8457
Alentejo Litoral,5222,7888,10202,14654,12545,27709,12258,8240,6481,1505
Alcácer do Sal,5287,7553,9504,13019,1412,3750,1490,885,525,90
Grândola,5151,7784,10007,14228,1674,3720,1584,1051,789,177
Odemira,4490,6761,8900,11537,5291,9745,3514,1717,1013,184
Santiago do Cacém,5978,8710,11813,17650,2787,7010,3652,2928,2721,719
Sines,6154,9008,12138,17632,1381,3484,2018,1659,1433,335
Baixo Alentejo,5372,7919,10125,14638,13284,33179,13504,9960,7327,1272
Aljustrel,5932,8355,10846,15514,834,2699,1151,995,679,88
Almodôvar,4834,7200,9754,14899,1118,2046,715,678,514,59
Alvito,//,//,//,//,196,686,296,155,99,15
Barrancos,//,//,//,//,189,508,183,112,41,4
Beja,6274,8924,11671,17082,2916,8326,4441,3605,2999,570
Castro Verde,6370,9007,12213,18330,532,1698,834,730,671,176
Cuba,5406,7718,9699,13757,465,1356,501,347,223,38
Ferreira do Alentejo,5270,7454,9185,12853,873,2458,891,540,301,57
Mértola,4921,6882,8796,11853,913,2219,634,380,226,30
Moura,4649,7030,9183,12587,1964,3657,1360,830,541,85
Ourique,5043,7458,9289,13381,665,1530,534,389,243,40
Serpa,4818,6960,8968,12150,1942,4311,1372,828,547,79
Vidigueira,5156,7504,9274,12840,677,1685,592,371,243,31
Lezíria do Tejo,5433,7890,10134,14315,27233,70200,30014,20881,13976,2649
Almeirim,5046,7237,9499,13524,3046,6756,2599,1830,1136,148
Alpiarça,5108,7106,9260,13240,950,2376,806,564,358,52
Azambuja,5578,8172,10457,14394,2272,6012,2953,2031,1192,157
Benavente,5634,8249,10622,14751,3174,7961,4014,2719,1744,397
Cartaxo,5817,8351,10666,14799,2460,6620,3311,2363,1489,261
Chamusca,5148,7105,8997,11711,1135,3206,946,561,314,34
Coruche,5122,7190,9046,12656,2327,6164,2142,1290,745,121
Golegã,5607,7825,9912,13722,620,1831,744,492,314,38
Rio Maior,5189,7604,9701,13428,2674,6359,2576,1704,993,177
Salvaterra de Magos,5168,7364,9447,13424,2672,6827,2453,1756,998,192
Santarém,5778,8356,10912,16142,5903,16088,7470,5571,4693,1072
Alto Alentejo,5401,7797,9891,13747,12791,34576,14234,9287,5938,1021
Alter do Chão,5600,7839,9466,13032,358,1114,364,251,153,28
Arronches,5297,7754,9744,13096,340,934,385,247,120,21
Avis,5356,7482,9166,12269,478,1416,525,294,125,17
Campo Maior,6206,9007,11268,14523,760,2066,1489,906,421,78
Castelo de Vide,5552,7994,9891,13425,362,1084,462,273,159,36
Crato,5616,7721,9236,12779,329,1238,394,253,133,9
Elvas,5432,7997,10207,14058,2434,6168,2888,1806,1225,212
Fronteira,5294,7111,9022,12800,378,1127,332,226,154,19
Gavião,5177,7493,9060,12022,460,1259,442,212,134,20
Marvão,5162,7475,9187,12056,437,1092,406,209,113,17
Monforte,//,//,//,//,321,916,283,203,119,24
Nisa,5229,7478,9511,12946,852,2150,822,494,320,38
Ponte de Sor,4712,6685,8788,11932,2602,5397,1757,1003,640,105
Portalegre,6136,8577,11107,15844,2071,6995,3211,2623,1952,374
Sousel,5073,7091,8820,12153,609,1620,474,287,170,23
Alentejo Central,5982,8270,10498,14654,14060,47680,21498,14275,10013,2010
Alandroal,5290,7091,8782,11217,643,2145,631,281,113,13
Arraiolos,5755,7976,9801,13179,646,2323,957,581,297,30
Borba,5750,7580,9312,12336,624,2496,906,462,261,26
Estremoz,5958,8075,9996,13715,1120,4433,1794,1049,726,122
Évora,6943,9379,12335,17662,3808,13314,8283,6531,5308,1303
Montemor-o-Novo,5809,8092,9906,13614,1463,5173,2062,1252,817,164
Mora,5570,7642,9207,12654,471,1688,601,323,180,27
Mourão,//,//,//,//,272,751,304,163,70,6
Portel,4844,6960,8540,11269,838,2052,597,324,138,15
Redondo,5196,7133,8938,12062,804,2347,684,424,225,44
Reguengos de Monsaraz,5458,7690,9740,13316,1109,3231,1293,833,450,77
Vendas Novas,6111,8402,10695,14699,1026,3286,1618,1062,785,89
Viana do Alentejo,5506,7758,9571,13002,563,1720,634,379,253,27
Vila Viçosa,6045,8047,9935,13172,673,2721,1134,611,390,67
Algarve,4997,7778,10105,14480,67083,131716,58729,41953,28930,6755
Albufeira,4820,7511,9732,13762,7249,13960,5934,3985,2550,575
Alcoutim,//,//,//,//,339,875,286,182,96,8
Aljezur,4507,6750,9013,12685,924,1506,574,352,213,58
Castro Marim,4815,7082,9280,12998,998,2011,744,508,291,51
Faro,5808,8790,11859,17509,7548,16374,8796,7616,6431,1769
Lagoa,4701,7474,9722,13905,3828,6882,2926,2079,1335,297
Lagos,4821,7616,9899,13921,4962,9278,4225,2632,1939,467
Loulé,4653,7513,9884,14144,12440,21440,9588,6684,4395,1253
Monchique,4660,6672,8666,11883,843,1568,479,312,185,21
Olhão,5039,7830,10079,14145,5802,11713,5431,3734,2395,400
Portimão,5304,7932,10318,14854,7571,17110,7469,5640,3906,842
São Brás de Alportel,5088,7986,10389,14839,1463,2860,1330,1036,704,147
Silves,5120,7761,9845,13586,4938,10821,4772,3159,1770,287
Tavira,4507,7092,9414,13616,4642,7762,3104,2066,1537,356
Vila do Bispo,4880,7517,9514,12965,835,1728,758,450,223,58
Vila Real de Santo António,4986,7499,9485,13398,2701,5828,2313,1518,960,166
R. A. Açores,4932,7744,10218,15787,33666,62099,25415,18796,18348,5066
Santa Maria,4792,7743,10600,17646,837,1378,571,425,394,297
Vila do Porto,4792,7743,10600,17646,837,1378,571,425,394,297
São Miguel,4711,7431,10110,15983,20050,32666,13101,9701,10327,3028
Lagoa (R.A.A.),4244,6399,9007,13793,2559,3681,1157,854,810,254
Nordeste,3656,5670,8153,11323,1005,1226,357,238,158,21
Ponta Delgada,5628,8655,11644,18985,7689,16358,7798,6099,7135,2330
Povoação,3350,5592,8071,11446,1360,1497,481,286,228,36
Ribeira Grande,4243,6508,9041,13096,5175,7412,2662,1750,1514,315
Vila Franca do Campo,3584,5480,8011,11630,2262,2492,646,474,482,72
Terceira,5470,8337,10702,16204,6548,14589,6528,4899,4540,1067
Angra do Heroísmo,5517,8439,10960,16998,4129,9102,4019,3160,3150,832
Vila da Praia da Vitória,5379,8145,10341,15074,2419,5487,2509,1739,1390,235
Graciosa,4599,6687,9078,13418,700,1265,423,299,255,38
Santa Cruz da Graciosa,4599,6687,9078,13418,700,1265,423,299,255,38
São Jorge,4449,6979,9067,12686,1550,2686,957,583,462,63
Calheta (R.A.A.),3891,6345,8674,11441,745,1234,359,203,159,18
Velas,4700,7418,9574,13665,805,1452,598,380,303,45
Pico,5202,7607,9587,14056,1828,4334,1536,1056,887,149
Lajes do Pico,4934,7371,9331,13553,610,1353,439,306,262,36
Madalena,5470,7923,9848,14058,741,1988,774,508,399,58
São Roque do Pico,4937,7408,9522,14626,477,993,323,242,226,55
Faial,5889,8570,11154,16735,1559,3993,1839,1482,1227,367
Horta,5889,8570,11154,16735,1559,3993,1839,1482,1227,367
Flores,4926,7452,9708,14580,549,1071,395,322,227,49
Lajes das Flores,//,//,//,//,242,439,133,103,82,17
Santa Cruz das Flores,//,//,//,//,307,632,262,219,145,32
Corvo,//,//,//,//,45,117,65,29,29,8
Corvo,//,//,//,//,45,117,65,29,29,8
R. A. Madeira,5072,8013,10555,15735,30913,59077,26923,20727,17598,3939
Calheta (R.A.M.),3841,6156,8921,12875,1760,2097,766,588,420,49
Câmara de Lobos,4385,6477,8672,11484,4674,8358,2711,1565,802,107
Funchal,5603,8656,11728,18256,11824,24718,12565,10396,10411,2965
Machico,4844,7225,9408,13221,2694,5486,2097,1447,905,83
Ponta do Sol,4104,6267,8763,12736,1203,1709,598,385,326,37
Porto Moniz,//,//,//,//,410,581,191,152,100,16
Ribeira Brava,4468,6954,9028,12812,1688,2864,1063,675,491,39
Santa Cruz,5613,8718,11538,16436,4282,8941,5247,4323,3181,508
Santana,4270,6257,8541,11678,1132,1756,538,343,220,16
São Vicente,4260,6305,8713,12560,710,1097,331,254,180,22
Porto Santo,6076,8884,11601,17299,536,1470,816,599,562,97
