," Sujeito passivo, Rendimento bruto declarado, Coeficiente de Gini, %"," Sujeito passivo, Rendimento bruto declarado, Desigualdade na distribuição do rendimento (P80/P20), N.º"," Sujeito passivo, Rendimento bruto declarado, Desigualdade na distribuição do rendimento (P90/P10), N.º"," Sujeito passivo, Rendimento bruto declarado deduzido do IRS liquidado, Coeficiente de Gini, %"," Sujeito passivo, Rendimento bruto declarado deduzido do IRS liquidado, Desigualdade na distribuição do rendimento (P80/P20), N.º"," Sujeito passivo, Rendimento bruto declarado deduzido do IRS liquidado, Desigualdade na distribuição do rendimento (P90/P10), N.º"
Castro Daire,37.1,2.7,5.6,33.9,2.5,5.1
Mangualde,36.2,2.7,5.1,32.2,2.5,4.5
Nelas,37.3,2.8,5.1,33.2,2.6,4.5
Oliveira de Frades,34.3,2.6,4.7,30.9,2.5,4.2
Penalva do Castelo,35.7,2.7,5.4,32.6,2.6,4.9
Santa Comba Dão,35.5,2.7,4.7,31.7,2.5,4.2
São Pedro do Sul,37.5,2.7,5.3,33.7,2.5,4.8
Sátão,37.9,2.9,5.8,34.3,2.7,5.2
Tondela,35.6,2.7,4.9,31.8,2.5,4.3
Vila Nova de Paiva,38.1,2.9,6.3,34.7,2.7,5.6
Viseu,40.5,3.3,6.6,35.7,3,5.5
Vouzela,34.9,2.6,4.7,31.3,2.4,4.2
Beira Baixa,37.7,2.9,5.4,33.2,2.6,4.6
Castelo Branco,38.1,2.9,5.7,33.4,2.6,4.8
Idanha-a-Nova,34.2,2.5,4.3,30.6,2.3,3.9
Oleiros,36.1,2.6,4.6,32.5,2.4,4.1
Penamacor,34.4,2.6,4.5,30.8,2.4,4
Proença-a-Nova,37.3,2.8,5.6,33.4,2.6,5
Vila Velha de Ródão,32.4,2.5,4.2,28.7,2.3,3.7
Médio Tejo,36.7,2.8,5.3,32.5,2.5,4.5
Abrantes,36.4,2.8,5.1,32.2,2.5,4.4
Alcanena,34,2.4,4.5,30.2,2.3,4
Constância,34.4,2.6,4.9,30.4,2.4,4.2
Entroncamento,35.6,2.9,5.5,31.3,2.5,4.6
Ferreira do Zêzere,33.2,2.5,4.2,30.1,2.4,3.9
Mação,34.4,2.5,4.5,30.6,2.4,3.9
Ourém,35.6,2.7,5.1,31.8,2.5,4.5
Sardoal,36.9,2.7,5,32.8,2.5,4.4
Sertã,36.5,2.7,5.1,32.9,2.5,4.6
Tomar,39,2.9,5.8,34.5,2.7,5
Torres Novas,36.7,2.8,5.2,32.3,2.5,4.4
Vila de Rei,30.9,2.4,3.9,28,2.2,3.5
Vila Nova da Barquinha,33.2,2.7,4.8,29.4,2.4,4.2
Beiras e Serra da Estrela,38.1,2.8,5.5,33.9,2.6,4.8
Almeida,36.2,2.8,5.7,32.7,2.6,5.1
Belmonte,35,2.5,4.5,31.3,2.4,4.1
Celorico da Beira,35.6,2.8,5.4,32.2,2.6,4.9
Covilhã,37.7,2.6,5.2,33.1,2.4,4.5
Figueira de Castelo Rodrigo,38.9,2.9,6.4,35.3,2.7,5.8
Fornos de Algodres,37.3,2.7,5.5,33.7,2.5,5
Fundão,36.8,2.8,5.2,32.9,2.6,4.6
Gouveia,37.6,2.7,5.3,33.7,2.6,4.7
Guarda,39.1,3.1,6.1,34.3,2.8,5.2
Manteigas,35.7,2.4,4.1,31.9,2.3,3.8
Mêda,38.5,2.8,6,34.6,2.7,5.3
Pinhel,37.7,2.8,5.9,34.2,2.7,5.4
Sabugal,37.3,2.8,6.2,34.1,2.6,5.5
Seia,36.1,2.6,4.8,32.1,2.4,4.2
Trancoso,38.6,2.8,6.1,34.8,2.6,5.6
A. M. Lisboa,43.5,3.4,7.3,37.6,3,5.9
Alcochete,44,3.5,7.2,38.1,3,5.8
Almada,41.5,3.4,7,36.2,2.9,5.7
Amadora,38.9,3.1,6.4,34.2,2.7,5.3
Barreiro,36.5,2.8,5.5,32.1,2.5,4.6
Cascais,47.5,4,8.9,40.9,3.4,7
Lisboa,48.9,4.5,10,42.4,3.7,7.7
Loures,39.4,3,6.1,34.3,2.7,5.1
Mafra,41.8,3.5,7,36.6,3.1,5.8
Moita,34.3,2.7,5.1,30.5,2.4,4.4
Montijo,39.9,3.3,6.6,35.2,2.9,5.5
Odivelas,38.3,3.1,6.3,33.7,2.8,5.2
Oeiras,43.7,3.9,8,37.7,3.2,6.2
Palmela,40,3.2,6.3,35.1,2.8,5.3
Seixal,38,3,5.9,33.2,2.6,4.9
Sesimbra,38.4,3.1,6,33.6,2.7,5.1
Setúbal,39.8,3.2,6.5,34.9,2.8,5.4
Sintra,38.6,2.9,6,33.8,2.6,5.1
Vila Franca de Xira,35.2,2.7,5.3,30.9,2.4,4.4
Alentejo,37.5,2.8,5.4,33,2.6,4.6
Alentejo Litoral,40,3.1,6.1,35.2,2.8,5.2
Alcácer do Sal,35.3,2.6,4.6,31.4,2.5,4.1
Grândola,40.4,2.9,5.6,35.2,2.7,4.8
Odemira,37.5,2.7,5.9,33.7,2.5,5.2
Santiago do Cacém,40.1,3.3,6.4,35.1,2.9,5.3
Sines,39.5,3.2,6.4,34.6,2.8,5.2
Baixo Alentejo,37.8,2.9,5.6,33.4,2.6,4.8
Aljustrel,35.8,2.9,4.9,31.3,2.6,4.2
Almodôvar,39.9,3.4,6.3,35.4,3,5.3
Alvito,//,//,//,//,//,//
Barrancos,//,//,//,//,//,//
Beja,38,3,5.7,33.2,2.6,4.8
Castro Verde,38.8,3.1,5.7,33.8,2.7,4.8
Cuba,36.7,2.8,5.7,32.8,2.5,5
Ferreira do Alentejo,34.7,2.6,4.9,31,2.4,4.3
Mértola,34.4,2.5,4.6,30.9,2.4,4.1
Moura,37.3,2.8,5.8,33.6,2.7,5.1
Ourique,37.1,2.8,5.3,33.1,2.6,4.6
Serpa,36.4,2.7,5.3,32.7,2.5,4.8
Vidigueira,35.2,2.6,4.9,31.3,2.5,4.2
Lezíria do Tejo,37.5,2.8,5.3,33.1,2.6,4.6
Almeirim,37.1,2.9,5.4,33.3,2.7,4.7
Alpiarça,35.5,2.7,4.7,31.7,2.5,4.1
Azambuja,35,2.7,5.1,31.1,2.5,4.4
Benavente,38.5,2.8,5.5,33.6,2.5,4.7
Cartaxo,36.1,2.7,5.1,31.8,2.5,4.4
Chamusca,33.4,2.4,4.2,29.9,2.2,3.7
Coruche,35.2,2.6,4.5,31.3,2.4,4
Golegã,35.4,2.6,4.8,31,2.4,4.1
Rio Maior,36.7,2.8,5.2,32.6,2.6,4.5
Salvaterra de Magos,36.4,2.7,5.1,32.3,2.5,4.5
Santarém,39.4,3,5.9,34.5,2.7,5
Alto Alentejo,36.4,2.7,4.9,32.2,2.5,4.3
Alter do Chão,34.9,2.4,4.4,30.6,2.2,3.9
Arronches,33.3,2.6,4.2,29.7,2.4,3.7
Avis,32.8,2.4,3.9,29.2,2.3,3.5
Campo Maior,37.1,2.5,4.6,31.9,2.3,4.1
Castelo de Vide,36.1,2.6,4.8,31.9,2.5,4.2
Crato,31.7,2.4,4.2,28.3,2.2,3.7
Elvas,36.9,2.8,5.2,32.6,2.5,4.5
Fronteira,35.8,2.5,4.5,31.6,2.3,3.9
Gavião,33,2.5,4,29.7,2.3,3.6
Marvão,33.4,2.4,4.2,29.8,2.3,3.7
Monforte,//,//,//,//,//,//
Nisa,34.8,2.7,4.8,31.2,2.5,4.1
Ponte de Sor,37.1,2.6,5.2,33.2,2.5,4.7
Portalegre,37.1,2.9,5.3,32.6,2.6,4.5
Sousel,33.5,2.4,4,30,2.3,3.6
Alentejo Central,36.4,2.6,5,31.8,2.4,4.3
Alandroal,31.2,2.3,3.8,27.9,2.2,3.4
Arraiolos,31.9,2.3,4,28.3,2.2,3.6
Borba,32.6,2.3,4,28.7,2.1,3.5
Estremoz,34.3,2.5,4.6,30.1,2.3,4
Évora,37.8,2.8,5.5,32.6,2.5,4.5
Montemor-o-Novo,35.7,2.5,4.6,31.1,2.3,4
Mora,33.3,2.3,3.8,29.1,2.2,3.4
Mourão,//,//,//,//,//,//
Portel,32.6,2.4,4,29.2,2.3,3.6
Redondo,34.3,2.5,4.5,30.5,2.3,4
Reguengos de Monsaraz,34.8,2.6,4.8,31,2.4,4.1
Vendas Novas,35,2.6,5.1,30.8,2.4,4.4
Viana do Alentejo,33.1,2.5,4.5,29.7,2.3,4
Vila Viçosa,32.9,2.3,4.1,29,2.1,3.7
Algarve,39.8,3,6.4,35.2,2.8,5.5
Albufeira,39.7,2.9,6.2,35.2,2.7,5.4
Alcoutim,//,//,//,//,//,//
Aljezur,40.4,2.9,6.7,36.2,2.7,6
Castro Marim,38.3,2.9,6,34.4,2.7,5.3
Faro,41.1,3.4,7,36,2.9,5.8
Lagoa,39,2.9,6,34.5,2.7,5.2
Lagos,39.6,2.9,6.5,35,2.7,5.6
Loulé,41.1,3.1,6.7,36.4,2.8,5.8
Monchique,35.9,2.6,5.1,32.5,2.5,4.6
Olhão,37.7,3,6,33.6,2.7,5.2
Portimão,39.5,3,6,34.8,2.7,5.2
São Brás de Alportel,40.6,3.2,6.8,36.1,2.9,5.7
Silves,36.2,2.8,5.4,32.3,2.6,4.7
Tavira,40,3.1,6.5,35.6,2.8,5.6
Vila do Bispo,37.2,2.8,5.8,33,2.5,5.1
Vila Real de Santo António,37.8,2.9,5.9,33.6,2.7,5.1
R. A. Açores,41.7,3.3,7.1,38.1,3.1,6.3
Santa Maria,49.2,3.6,8.6,44.3,3.3,7.4
Vila do Porto,49.2,3.6,8.6,44.3,3.3,7.4
São Miguel,43.2,3.5,7.8,39.4,3.3,6.9
Lagoa (R.A.A.),44.6,3.2,8,40.6,3.1,7.2
Nordeste,37.8,2.8,6,35.5,2.7,5.6
Ponta Delgada,42.3,3.5,6.9,38.3,3.2,6
Povoação,40.3,3.1,7.8,37.9,3,7.2
Ribeira Grande,40.7,3.1,7.2,37.7,3,6.6
Vila Franca do Campo,43.3,3.3,8.4,40.2,3.2,7.9
Terceira,39.6,3.1,6.3,36.1,2.9,5.6
Angra do Heroísmo,40.6,3.2,6.6,36.9,3,5.8
Vila da Praia da Vitória,37.3,2.9,5.8,34.3,2.7,5.3
Graciosa,39.7,3,6.5,36.5,2.9,5.9
Santa Cruz da Graciosa,39.7,3,6.5,36.5,2.9,5.9
São Jorge,37.2,2.8,6.2,34.6,2.7,5.7
Calheta (R.A.A.),37,2.7,6.3,34.5,2.6,6
Velas,37,2.9,5.9,34.3,2.7,5.4
Pico,37.2,2.8,5.9,34.2,2.6,5.3
Lajes do Pico,36.2,2.7,5.8,33.5,2.5,5.3
Madalena,36.1,2.7,5.5,33.2,2.5,4.9
São Roque do Pico,40.1,3.2,7,36.9,3,6.2
Faial,39.4,3,6,35.8,2.8,5.2
Horta,39.4,3,6,35.8,2.8,5.2
Flores,40.1,3,6.5,36.9,2.9,6
Lajes das Flores,//,//,//,//,//,//
Santa Cruz das Flores,//,//,//,//,//,//
Corvo,//,//,//,//,//,//
Corvo,//,//,//,//,//,//
R. A. Madeira,41,3.3,6.8,36.6,3,5.9
Calheta (R.A.M.),41.5,3.4,8.9,38.1,3.2,8
Câmara de Lobos,35.1,2.6,5.1,32.3,2.5,4.8
Funchal,42.4,3.6,7.3,37.5,3.2,6.1
Machico,36.2,2.9,5.8,33,2.7,5.1
Ponta do Sol,40.4,3.2,8.2,37.4,3.1,7.4
Porto Moniz,//,//,//,//,//,//
Ribeira Brava,36.7,2.9,5.9,33.6,2.7,5.3
Santa Cruz,37.7,3.2,6.2,33.8,2.9,5.4
Santana,37,2.8,6,34.2,2.7,5.5
São Vicente,39.2,3.1,7,35.9,2.9,6.4
Porto Santo,39,3.1,5.7,34.3,2.7,4.9
