,"Casamentos, Total (N.º)","Casamentos, Entre pessoas de sexo oposto, Total (N.º)","Casamentos, Entre pessoas de sexo oposto, dos quais, Só civis (N.º)","Casamentos, Entre pessoas de sexo oposto, dos quais, Católicos (N.º)","Casamentos, Entre pessoas do mesmo sexo, Masculino, Católicos (N.º)","Casamentos, Entre pessoas do mesmo sexo, Feminino, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, Total, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, por divórcio, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, por morte, Católicos (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, HM (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, H (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, M (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, HM (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, H (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, M (N.º)"
Ponte de Sor,19,19,19,0,0,0,107,15,92,95,63,32,418,239,179
Portalegre,42,41,35,6,0,1,186,44,142,115,58,57,599,290,309
Sousel,4,4,4,0,0,0,31,2,29,6,3,3,90,49,41
Alentejo Central,262,257,222,34,2,3,1142,188,954,916,484,432,4785,2475,2310
Alandroal,5,5,5,0,0,0,42,2,40,20,17,3,115,69,46
Arraiolos,12,12,10,2,0,0,47,7,40,28,15,13,158,84,74
Borba,3,3,3,0,0,0,45,6,39,9,4,5,130,53,77
Estremoz,16,15,12,3,0,1,92,13,79,49,28,21,341,170,171
Évora,124,121,102,18,1,2,331,78,253,537,267,270,2300,1161,1139
Montemor-o-Novo,33,33,28,5,0,0,149,17,132,67,35,32,424,215,209
Mora,1,1,1,0,0,0,38,3,35,2,1,1,45,24,21
Mourão,4,4,4,0,0,0,21,3,18,8,5,3,45,28,17
Portel,5,5,5,0,0,0,41,6,35,9,5,4,120,64,56
Redondo,14,14,13,1,0,0,44,5,39,12,5,7,209,113,96
Reguengos de Monsaraz,21,20,19,1,1,0,67,12,55,33,19,14,307,186,121
Vendas Novas,9,9,8,1,0,0,106,22,84,86,54,32,353,194,159
Viana do Alentejo,4,4,4,0,0,0,40,8,32,11,6,5,102,55,47
Vila Viçosa,11,11,8,3,0,0,79,6,73,45,23,22,136,59,77
Algarve,850,824,779,39,14,12,2831,698,2133,16359,9094,7265,103554,54458,49096
Albufeira,81,80,76,4,0,1,216,78,138,2658,1548,1110,16405,8685,7720
Alcoutim,10,10,10,0,0,0,29,1,28,57,28,29,189,100,89
Aljezur,18,17,15,2,1,0,43,7,36,360,173,187,1985,1006,979
Castro Marim,39,39,37,2,0,0,48,6,42,162,95,67,987,536,451
Faro,64,62,57,3,1,1,369,104,265,1590,937,653,9495,5017,4478
Lagoa,42,38,38,0,3,1,144,31,113,919,515,404,5407,2801,2606
Lagos,41,40,38,2,0,1,208,45,163,2323,1247,1076,11578,5965,5613
Loulé,125,122,110,11,1,2,442,104,338,2445,1315,1130,18892,9766,9126
Monchique,43,42,41,1,1,0,40,3,37,169,93,76,889,487,402
Olhão,46,46,44,2,0,0,275,66,209,688,364,324,5079,2706,2373
