,Total (N.º),"Main occupation, Managers (N.º)","Main occupation, Professionals (N.º)","Main occupation, Technicians and associate professionals (N.º)","Main occupation, Clerical support workers (N.º)","Main occupation, Service and sale workers (N.º)","Main occupation, Skilled agricultural, forestry, and fishery workers (N.º)","Main occupation, Craft and related trades workers (N.º)","Main occupation, Plant and machine operators, and assemblers (N.º)","Main occupation, Elementary occupations (N.º)"
Póvoa de Varzim,12117,479,1142,978,1646,2367,598,2296,1195,1411
Santa Maria da Feira,29008,1247,2020,2334,3600,4686,62,8564,4071,2420
Santo Tirso,14614,602,967,1403,1701,1755,39,3295,3389,1457
São João da Madeira,9935,…,721,1026,1101,1436,…,1675,2631,1009
Trofa,12141,458,1007,1385,2025,1082,56,2333,2705,1090
Vale de Cambra,6277,260,462,746,617,598,29,1817,750,997
Valongo,13194,520,1201,1522,2137,2405,28,2648,1361,1369
Vila do Conde,19344,770,1533,2309,2573,3209,723,3576,2797,1845
Vila Nova de Gaia,55687,2283,7265,6638,7867,12679,115,8118,5820,4884
Alto Tâmega,11382,444,941,1013,1161,2902,153,1476,1277,2014
Boticas,750,28,46,50,79,193,17,75,209,53
Chaves,5772,221,457,496,647,1662,42,703,525,1019
Montalegre,912,58,96,86,70,238,32,112,83,137
Ribeira de Pena,1057,20,136,151,73,192,17,123,156,188
Valpaços,1426,56,107,100,125,349,14,247,76,352
Vila Pouca de Aguiar,1465,61,99,130,167,268,31,216,228,265
Tâmega e Sousa,83655,3156,4455,5966,8053,10497,536,28209,13923,8849
Amarante,8382,346,710,695,849,1292,82,2684,677,1046
Baião,2251,129,120,201,155,313,32,854,131,316
Castelo de Paiva,2514,129,122,154,191,400,39,892,229,357
Celorico de Basto,2053,79,96,128,142,313,57,468,409,361
Cinfães,2846,88,99,183,194,393,10,1414,194,271
Felgueiras,17265,443,555,1048,1786,1451,68,6517,4283,1114
Lousada,9989,326,353,628,955,950,43,3533,2172,1028
Marco de Canaveses,9017,290,395,692,890,1114,79,3229,1395,931
Paços de Ferreira,14421,778,510,1028,1457,1611,16,5057,2147,1813
Penafiel,14129,496,1446,1167,1348,2397,90,3394,2236,1553
Resende,788,52,49,42,86,263,20,167,50,59
Douro,25921,1064,2624,2260,3049,6779,794,3109,2145,4080
Alijó,1375,53,85,116,212,377,47,118,129,236
Armamar,850,53,57,55,69,224,50,68,69,205
Carrazeda de Ansiães,504,17,34,25,65,156,17,50,39,100
Freixo de Espada à Cinta,208,7,18,10,22,58,15,7,43,28
Lamego,3188,139,227,238,410,755,78,489,225,626
Mesão Frio,395,25,15,17,39,128,32,60,23,56
Moimenta da Beira,1357,71,123,80,132,344,46,194,154,213
Murça,480,16,54,26,40,123,29,44,65,83
Penedono,290,17,24,16,29,77,9,51,6,61
Peso da Régua,2036,80,203,192,251,626,39,201,121,323
Sabrosa,863,35,82,63,115,204,56,75,50,182
Santa Marta de Penaguião,431,25,29,32,51,119,32,24,16,102
São João da Pesqueira,966,51,74,55,87,194,91,65,123,226
Sernancelhe,789,41,40,58,85,174,14,131,89,157
Tabuaço,465,21,37,36,46,111,52,33,49,80
Tarouca,1070,34,68,49,100,168,18,371,52,209
Torre de Moncorvo,744,23,68,53,90,209,39,84,41,137
Vila Nova de Foz Côa,797,34,86,76,65,182,97,50,65,142
Vila Real,9113,322,1300,1063,1141,2550,33,994,786,914
Terras de Trás-os-Montes,14405,542,1616,1339,1399,4124,193,1890,1117,2158
Alfândega da Fé,310,10,25,18,47,86,9,37,31,47
Bragança,5922,184,822,606,536,1661,28,773,593,696
Macedo de Cavaleiros,1607,50,168,121,154,529,38,164,117,262
Miranda do Douro,923,67,70,48,92,289,21,151,29,156
Mirandela,3143,99,351,348,310,926,57,380,186,486
Mogadouro,892,78,55,75,96,244,27,164,40,113
Vila Flor,711,10,54,38,68,138,8,52,64,279
Vimioso,333,29,35,28,35,94,0,53,18,41
Vinhais,564,15,36,57,61,157,5,116,39,78
Centro,458916,17276,44147,46630,53615,90290,7129,78347,63285,57991
Oeste,71717,2712,5056,6464,9628,13912,2702,12388,8486,10350
Alcobaça,12231,475,799,1025,1719,1885,243,3230,1248,1604
Alenquer,9223,319,484,1136,1483,1301,148,1816,1451,1085
Arruda dos Vinhos,2961,102,359,220,448,439,19,341,751,281
Bombarral,1937,72,117,146,251,366,208,255,187,335
Cadaval,1946,69,151,138,259,345,144,221,302,317
Caldas da Rainha,11425,423,753,1045,1407,2482,169,1659,1015,2470
Lourinhã,3804,102,196,275,485,842,347,748,333,476
Nazaré,2480,132,108,209,346,782,44,263,200,395
Óbidos,2914,160,400,240,378,707,115,304,88,518
Peniche,4394,199,210,331,490,1133,322,742,323,641
Sobral de Monte Agraço,1310,65,60,102,162,237,17,285,200,182
Torres Vedras,17092,594,1419,1597,2200,3393,926,2524,2388,2046
Região de Aveiro,90823,3461,9045,10555,10465,13645,448,15696,15095,12352
Águeda,12577,518,1004,1377,1637,1557,34,2575,1591,2274
Albergaria-a-Velha,6546,223,468,754,744,797,47,1641,1140,730
Anadia,5746,212,522,590,676,1020,72,843,1062,748
Aveiro,25328,913,3913,3292,2551,4617,65,3272,2929,3741
Estarreja,6303,206,399,712,670,722,19,881,1951,741
Ílhavo,6760,257,714,907,778,1084,38,1386,929,664
Murtosa,1379,73,81,99,82,240,42,503,134,125
Oliveira do Bairro,5644,223,413,611,786,863,10,1062,866,810
Ovar,13544,541,955,1535,1809,1761,74,2170,3149,1544
Sever do Vouga,2154,73,161,256,194,274,17,713,173,293
Vagos,4842,222,415,422,538,710,30,650,1171,682
Região de Coimbra,81496,3005,9773,8388,9510,17880,940,12098,10269,9584
Arganil,1739,46,107,103,174,406,30,366,208,298
Cantanhede,7247,224,588,674,883,1384,88,1678,789,937
Coimbra,29488,1153,5332,3703,3832,7826,93,2651,1875,2998
Condeixa-a-Nova,2102,80,284,201,237,525,10,256,298,210
Figueira da Foz,12782,446,1255,1300,1285,2394,183,2422,2084,1402
Góis,479,26,28,24,58,191,26,52,15,59
Lousã,2206,83,185,232,315,395,43,308,385,259
Mealhada,4426,119,343,408,594,643,38,581,1245,454
Mira,1712,105,105,153,218,338,18,254,262,259
Miranda do Corvo,1073,37,97,82,90,253,24,139,97,253
Montemor-o-Velho,2850,100,213,179,397,584,50,559,386,381
Mortágua,2428,120,327,238,282,323,72,322,265,475
Oliveira do Hospital,3638,109,266,342,396,856,46,640,584,399
