,Total (€),"Employees size class , 1 - 9 (€)","Employees size class , 10 - 19 (€)","Employees size class , 20 - 49 (€)","Employees size class , 50 - 99 (€)","Employees size class , 100 - 249 (€)","Employees size class , 250 - 499 (€)","Employees size class , 500 and over (€)"
São Roque do Pico,1036.07,828.65,868.19,998.07,956.37,877.46,1980.62,2081.36
Faial,1125.82,863.24,907.88,1007.01,986.76,1077.66,1506.67,1558.37
Horta,1125.82,863.24,907.88,1007.01,986.76,1077.66,1506.67,1558.37
Flores,1134.2,854.48,924.9,953.96,882.46,983.73,1486.49,1960.49
Lajes das Flores,1029.01,916.43,1009.96,974.79,//,985.21,2417.64,…
Santa Cruz das Flores,1178.4,807.27,876.54,945.17,882.46,982.25,1212.62,1973.48
Corvo,1089.12,731.97,661.71,1130.68,…,972.56,1672.24,1777.58
Corvo,1089.12,731.97,661.71,1130.68,…,972.56,1672.24,1777.58
R. A. Madeira,1130.18,883.35,989.4,1053.21,1130.69,1211.6,1202.91,1406.56
Calheta (R.A.M.),1154.37,747.46,899.5,876.29,964.46,937.24,//,1497.86
Câmara de Lobos,999.57,802.3,886.67,991.21,1014.44,1684.6,835.81,1192.43
Funchal,1171.47,942.35,1035.67,1109.23,1176.48,1266.49,1231.84,1354.35
Machico,1063.89,839.33,987.24,1173.41,1278.19,940.63,821.72,1109.33
Ponta do Sol,881.12,761.51,849.93,877.16,934.17,//,971.36,1691.44
Porto Moniz,826.72,717.56,724.01,789.91,//,//,//,2147.54
Ribeira Brava,920.15,782.21,844.79,864.2,1134.18,862.39,911.87,1086.28
Santa Cruz,1116.14,825.07,994.75,951.96,908.69,1059.41,1166.84,1805.2
Santana,883.15,768.18,836.63,862.85,880.92,1281.4,//,1240.42
São Vicente,866.1,788.53,827.05,872.45,//,//,//,2034.35
Porto Santo,1175.5,785.42,821.55,966.21,928.62,1252.15,1134.74,1882.92
