,Total (N.º),"Level of education, Below basic education  (N.º)","Level of education, Basic education - 1st cycle (N.º)","Level of education, Basic education - 2nd cycle (N.º)","Level of education, Basic education - 3rd cycle (N.º)","Level of education, Secondary (N.º)","Level of education, Short cycle professional course (N.º)","Level of education, Bachelor degree (N.º)","Level of education, Graduate degree (N.º)","Level of education, Masters  degree (N.º)","Level of education, PhD (N.º)"
Paredes,16642,82,2262,3529,4362,4255,8,170,1602,260,100
Porto,97470,134,4411,6288,17835,29843,57,2508,28910,5742,1562
Póvoa de Varzim,12117,31,1266,2189,3418,3357,5,134,1499,200,6
Santa Maria da Feira,29008,123,3090,5723,8033,7692,10,416,3274,574,30
Santo Tirso,14614,43,1866,3315,3749,3750,12,114,1543,203,11
São João da Madeira,9935,29,807,1726,2511,3238,6,164,1190,237,14
Trofa,12141,52,1180,1911,3333,3778,8,101,1343,368,65
Vale de Cambra,6277,…,637,1184,1557,1801,3,96,805,177,…
Valongo,13194,26,1243,1939,3642,4277,3,210,1643,196,11
Vila do Conde,19344,70,1883,2957,5323,5676,4,256,2615,396,131
Vila Nova de Gaia,55687,208,4349,6427,14328,17238,42,1046,10212,1681,82
Alto Tâmega,11382,28,1272,1617,3115,3658,4,171,1372,116,13
Boticas,750,…,128,170,181,185,0,…,71,7,0
Chaves,5772,…,541,682,1547,2110,…,98,694,67,…
Montalegre,912,5,104,169,263,231,0,8,121,7,3
Ribeira de Pena,1057,5,136,166,271,281,0,20,165,8,0
Valpaços,1426,0,158,227,429,410,…,…,165,9,…
Vila Pouca de Aguiar,1465,…,205,203,424,441,0,…,156,18,0
Tâmega e Sousa,83655,315,12003,19789,23560,19825,29,687,6555,780,59
Amarante,8382,20,1302,1483,2207,2230,5,87,932,100,3
Baião,2251,…,401,498,561,539,0,24,187,23,…
Castelo de Paiva,2514,6,211,640,765,684,…,20,163,…,3
Celorico de Basto,2053,…,234,361,708,548,…,…,147,27,…
Cinfães,2846,9,480,833,900,479,…,17,110,11,…
Felgueiras,17265,59,2774,4111,4966,4128,…,101,1014,93,…
Lousada,9989,71,1463,2839,3004,1878,…,65,586,68,…
Marco de Canaveses,9017,38,1307,2433,2444,2044,3,71,587,79,7
Paços de Ferreira,14421,41,1916,3621,4227,3351,6,134,989,126,5
Penafiel,14129,50,1835,2860,3545,3682,6,146,1750,227,21
Resende,788,…,80,110,233,262,0,…,90,…,…
Douro,25921,119,3190,3321,6643,7495,26,324,4276,473,38
Alijó,1375,…,203,201,344,402,…,21,175,18,…
Armamar,850,17,186,116,206,208,0,11,96,9,0
Carrazeda de Ansiães,504,…,85,67,153,121,0,5,65,…,…
Freixo de Espada à Cinta,208,0,34,29,45,70,0,…,…,…,0
Lamego,3188,17,371,472,745,1043,…,41,436,50,…
Mesão Frio,395,…,61,59,140,104,0,…,25,…,0
Moimenta da Beira,1357,…,143,221,358,424,…,17,180,9,…
Murça,480,0,62,81,129,121,0,10,69,6,0
Penedono,290,…,55,36,90,68,0,…,…,…,0
Peso da Régua,2036,13,279,248,523,583,0,24,336,23,5
Sabrosa,863,…,140,131,200,218,…,8,144,14,…
Santa Marta de Penaguião,431,0,100,58,91,108,…,…,64,5,…
São João da Pesqueira,966,…,242,152,184,218,…,14,127,13,0
Sernancelhe,789,…,97,110,246,246,0,6,78,…,0
