,Total (€),"Level of education, Below basic education  (€)","Level of education, Basic education - 1st cycle (€)","Level of education, Basic education - 2nd cycle (€)","Level of education, Basic education - 3rd cycle (€)","Level of education, Secondary (€)","Level of education, Short cycle professional course (€)","Level of education, Bachelor degree (€)","Level of education, Graduate degree (€)","Level of education, Masters  degree (€)","Level of education, PhD (€)"
Santarém,1065.27,781.73,874.19,952.7,890.72,981.6,887.89,1444.11,1577.89,1981.05,1519.88
Alto Alentejo,989.48,768.56,855.89,868.56,880.67,979.02,1132.18,1699.24,1474.55,1577.23,1370.79
Alter do Chão,882.12,745.13,855.54,805.66,806.68,909.47,…,1707.99,1198.21,1019.07,//
Arronches,898.84,…,862.78,833.75,788.53,848.38,…,…,1259.41,…,…
Avis,955.14,…,838.81,859.95,868.17,951.44,…,1926.29,1527.31,…,…
Campo Maior,1281.98,862.48,1145.68,1112.1,1071.64,1140.46,…,2225.95,1887.73,2496.7,…
Castelo de Vide,892.1,…,813.68,791.26,813.13,963.08,//,1428.65,1160.6,1272.75,…
Crato,833.53,732.94,780.29,766.46,768.32,856.47,//,1286.82,1122.41,…,//
Elvas,891.96,733.67,825.3,835.24,841.41,897.47,…,1695,1261.94,1354.28,…
Fronteira,944.57,…,831.33,864.61,863,1021.73,//,1711.78,1290.23,…,//
Gavião,854.48,853.43,761.76,742.04,778.61,915.23,//,1141.57,1456.77,…,//
Marvão,799.69,//,728.09,728.75,744.96,771.74,//,…,1046.43,1658.05,//
Monforte,1020.27,699.27,882.46,929.33,896.29,970.85,…,1528.63,1430.25,1364.78,…
Nisa,830.13,639.32,761.31,821.71,822.33,813.18,//,1038.91,1059.46,872.04,//
Ponte de Sor,1030.14,727.99,836.18,871.37,915.46,1036.83,972.55,1929.24,1674.43,1576.75,…
Portalegre,991.03,897.18,818.77,832.42,867.5,970.95,…,1378.57,1433.38,1373.87,…
Sousel,925.35,…,831.94,843.61,868.09,938.12,…,1084.3,1448.94,1744.99,//
Alentejo Central,1045.47,810.82,841.05,896.34,920.81,1010.67,969.04,1613.53,1544.56,1787.58,1496.68
Alandroal,904.16,724.35,786.47,857.34,806.62,913.23,…,1560.88,1551.15,1491.49,…
Arraiolos,972.03,820.81,808.96,885.78,899.45,910.49,…,1005.29,1708.77,1361.6,…
Borba,966.21,786.01,899.69,868.91,850.98,968.5,//,1850.77,1482.21,1206.59,//
Estremoz,998.18,808.6,837.86,914.58,939.91,991.29,996.96,1454.97,1317.88,1732.21,…
Évora,1122.02,756.6,827.67,891.67,944.07,1051.38,959.66,1662.52,1607.99,1904.03,1789.6
Montemor-o-Novo,973.6,844.84,861.83,891.82,916.97,928.27,887.78,1663.97,1375.42,1457.96,…
Mora,981.25,841.51,813.72,842.8,1043.9,1047.89,//,835.17,1294.31,2014.03,//
Mourão,889.02,796.08,802.55,764.13,749.6,944.24,//,1180.87,1226.97,1491.11,//
Portel,966.02,651.37,839.88,794.67,881.86,960.88,//,1063.76,1605.83,1772.62,//
Redondo,967.83,893.18,834.97,951.98,846.57,887.37,…,2142.92,1556.58,1898.48,…
Reguengos de Monsaraz,937.69,850.99,770.71,857.59,828.62,961.27,//,1653.86,1446.66,1447.92,//
Vendas Novas,1050.1,731.55,888.18,901.47,933.86,1012.31,//,1945.77,1730.8,1555.53,1298.55
Viana do Alentejo,908.95,844.77,789.56,770.21,884.51,906.09,//,1734.77,1221.89,1272.54,//
Vila Viçosa,1065.27,954.18,1045.25,1072.66,975.55,1038.4,1162.53,1254.29,1382.64,1457.68,…
Algarve,1029.01,787.15,891.86,893.48,904.59,1023,945.31,1520.67,1486.16,1674.12,2282.38
Albufeira,1004.45,710.88,883.2,911.3,924.65,1019.45,1244.8,1459.29,1374.53,1565.37,1267.57
Alcoutim,847.69,//,759.57,743.02,763.18,882.91,//,…,1180.77,…,//
Aljezur,855.95,…,743.11,791.98,801.63,885.71,//,913.13,1185.33,1227.57,//
Castro Marim,864.92,792.05,781.69,764.02,790.89,878.13,//,1214.9,1314.43,950.28,…
Faro,1170.3,832.6,892.22,906.87,946.7,1105.91,1020.09,1709.79,1618.53,1888.66,2747.74
Lagoa,1029.38,857.03,906.22,938,929.47,1029.1,//,1657.62,1434.39,1453.09,1799.01
Lagos,980.65,811.41,880.88,888.58,891.17,984.24,912.64,1411.25,1405.94,1396.15,…
Loulé,1049.61,807.93,975.99,960.04,947.5,1031.91,977.44,1551.03,1453.92,1662.49,1493.78
Monchique,887.89,745.69,762.04,791.2,768.54,943.61,//,1235.59,1333.15,1353.24,//
Olhão,959.95,857.55,891.69,844.97,857.35,937.94,…,1361.85,1398.86,1380.97,1785.35
Portimão,1049.22,793.96,877.12,886.21,888.14,1064.4,751.26,1442.52,1512.13,1867.34,2743.2
São Brás de Alportel,972.33,829.57,849.28,849.49,834.71,942.83,//,1323.34,1448.45,1140.62,…
Silves,953.07,738.98,861.3,857.86,849.77,970.48,721.52,1646.8,1440.03,1906.73,2343.65
Tavira,919.14,739.94,813.92,812.76,819.56,932.32,1004.43,1314.75,1361.59,1249.49,1928.9
Vila do Bispo,945.38,792,843.73,841.13,879.24,965.55,//,1035.01,1441.49,1215.18,…
Vila Real de Santo António,941.04,677.66,841.13,839.91,851.33,950.97,…,1609.22,1634.38,1453.54,//
R. A. Açores,1100.47,809.28,909.17,935.75,910.32,1096.39,1070.07,1960.32,1782.87,2130.64,1806.18
Santa Maria,1492.53,…,1091.3,908.73,1023.57,1879.94,…,5003.94,2722.39,1423.89,//
Vila do Porto,1492.53,…,1091.3,908.73,1023.57,1879.94,…,5003.94,2722.39,1423.89,//
São Miguel,1117.89,797.29,878.18,957.26,911.2,1112.56,1028.2,2023.62,1818.84,2210.72,1754.89
Lagoa (R.A.A.),941.9,825.3,813.64,816.31,842.02,946.42,1166.51,1331.9,1622.16,1547.66,1944.37
Nordeste,860.78,827.23,780.77,767.2,823.64,876.24,…,//,1305.69,1473.27,//
Ponta Delgada,1205.46,803.43,905.94,1043.2,932.3,1180.74,1047.01,2101,1852.14,2377.39,1766.24
Povoação,924.33,721.63,815.53,820.98,931.79,870.27,…,…,1550.26,1595.86,//
Ribeira Grande,999.26,790.16,864.72,884.9,895.48,986.55,1002.69,1850.36,1840.63,1610.6,1895.11
Vila Franca do Campo,895.25,777.27,889.26,841.89,825.34,841.7,630,1116.21,1473.2,1334.65,…
Terceira,1057.24,829.31,935.17,884.63,897.14,1003.39,988.72,1708.13,1684.13,2081.94,1410.93
Angra do Heroísmo,1052.76,845.74,914.43,876.58,867.54,950.76,1103.05,1679.81,1697.44,2203.49,1472.25
Vila da Praia da Vitória,1067.35,809.72,973.54,905.87,961.99,1100.91,905.93,1814.88,1631.76,1535,1267.84
Graciosa,1039.07,//,1032.13,838.7,931.26,1112.69,…,…,1548.26,…,//
Santa Cruz da Graciosa,1039.07,//,1032.13,838.7,931.26,1112.69,…,…,1548.26,…,//
São Jorge,976.85,789.74,957.88,886.18,887.86,1011.28,…,1613.9,1323.68,1562.49,//
Calheta (R.A.A.),902.67,744.33,752.58,829.31,826.82,936.02,…,…,1251.59,1351.66,//
Velas,1015.69,850.28,1037.91,910.73,920.62,1056.76,…,1377.52,1366.73,1773.32,//
Pico,952.63,762.64,893.78,918.72,890.96,966.68,1050.33,941.16,1296.33,1172.49,941.24
Lajes do Pico,844.16,…,812.9,812.77,790.99,841.16,1056.01,…,1188,820.84,//
Madalena,952.98,739.58,888.59,959.94,871.89,983.92,…,965.68,1290.27,1284.13,723.83
São Roque do Pico,1036.07,//,991,930.82,1017.7,1013.69,//,…,1386.84,1356.68,1303.58
Faial,1125.82,984.59,976.98,936.07,924.86,1093.69,1529.58,1576.3,1901.03,1874.23,2827.59
Horta,1125.82,984.59,976.98,936.07,924.86,1093.69,1529.58,1576.3,1901.03,1874.23,2827.59
Flores,1134.2,//,984.24,916.03,935.2,1244.21,//,…,2315.92,1361,//
Lajes das Flores,1029.01,//,980.65,873.52,928.64,1207.89,//,//,1395.43,//,//
Santa Cruz das Flores,1178.4,//,985.99,937.74,937.76,1257.76,//,…,2776.17,1361,//
Corvo,1089.12,…,1617.32,970.61,847.85,1239.85,//,//,1502.29,//,//
Corvo,1089.12,…,1617.32,970.61,847.85,1239.85,//,//,1502.29,//,//
R. A. Madeira,1130.18,912.84,965.48,984.06,962.51,1050.2,1029.38,1779.31,1811.06,1897.45,1866.49
Calheta (R.A.M.),1154.37,957.09,1177.66,1110.15,1011.98,1038.73,…,1100,2081.4,1729.4,//
Câmara de Lobos,999.57,843.68,891.29,945.95,863.88,1007.76,…,1458.78,1700.53,1592.92,//
Funchal,1171.47,929.71,978.4,1003.17,995.2,1050.35,999.25,1674.83,1817.76,1985.35,2026.21
Machico,1063.89,801.48,913.84,922,892.36,1043.63,…,2603.57,1743.31,1784.39,…
Ponta do Sol,881.12,…,895.44,891.89,843.88,860.72,//,776.87,1077.97,…,…
Porto Moniz,826.72,//,811.29,763.27,799,863.78,//,…,1398.98,//,//
Ribeira Brava,920.15,714.46,854.02,875.68,824.31,896.33,//,913.21,1294.85,1463.72,…
Santa Cruz,1116.14,927.51,885.97,959.52,950.48,1141.02,…,2267.28,2000.94,1398.56,938.25
Santana,883.15,728.69,797.44,853.22,781.51,866.07,//,2852.68,1395.38,//,//
São Vicente,866.1,780.87,789.18,821.15,781.89,911.47,//,…,1240.86,…,//
Porto Santo,1175.5,…,1169.3,1136.58,1010.11,1153.44,…,…,2391.34,1389.55,//
