,"Rate of employees in establishments with < 10 workers, %","Rate of employees in establishments with > 250 workers, %","Mean monthly earning , €","Proportion of employees with higher education, %","Proportion of employees who changed the enterprise , %","Net attraction rate of employees, %","Disparity in mean monthly earning by sex, %","Disparity in mean monthly earning by enterprise size class , %","Disparity in mean monthly earning  by sector of activity, %","Disparity in mean monthly earning  by level of education, %","Disparity in mean monthly earning  by main occupation, %"
Sousel,43.1,ә,925.4,8.9,8.8,-0.3,8.4,16,3,18.1,17.6
Alentejo Central,27.9,22,1045.5,16.3,10.1,1.1,8.1,15.4,6.6,23.2,28
Alandroal,43.1,15.1,904.2,10,10.8,1.9,6,40.9,8.3,23.9,28.4
Arraiolos,36.7,2.3,972,12.6,9.2,0.8,9.9,13.1,10.1,26.3,31.9
Borba,41.4,12.8,966.2,11,7.2,-2,6.6,16.7,6.6,20.2,20.4
Estremoz,32.2,13.4,998.2,12.6,9.4,1.5,10.4,13.7,3.8,15,23
Évora,20.1,36.7,1122,21.2,11.2,1.1,7.5,15.9,6.3,25.5,31.4
Montemor-o-Novo,37.9,13.6,973.6,13.4,9.6,2.3,7.2,12.9,5.3,18,21.9
Mora,29.6,0.7,981.3,8.7,7.3,-2.4,17.6,16.3,17.3,16,26.2
Mourão,36.4,1.3,889,15.4,10.7,13.9,5.2,11.2,4.1,19.7,20.8
Portel,36.1,ә,966,12.2,7.5,2.1,9.5,17,8.7,24.8,27.6
Redondo,41.3,4.9,967.8,12.3,9.4,3.5,6,15,9.4,26.8,30.5
Reguengos de Monsaraz,33.8,7,937.7,12.9,9.3,-1,4.7,12.1,6.9,22.7,27.3
Vendas Novas,25.2,22,1050.1,12.8,9.9,-0.2,9,18.4,8.9,25.3,31.5
Viana do Alentejo,40.8,1.4,908.9,12.4,10,2.8,4.4,17,3.9,16.3,18
Vila Viçosa,27.4,3.1,1065.3,11.8,7.5,1.5,9.6,15.1,10.4,11.4,22.6
Algarve,25.3,22.7,1029,14.6,12.5,-0.4,6.2,13.2,0.9,20.3,27
Albufeira,20.2,20.5,1004.5,10.9,15,-0.2,5.6,10.9,1.7,15.1,25.6
Alcoutim,34.3,3.9,847.7,13.3,7.6,-0.6,7,15.5,4,16.9,24.4
Aljezur,48.3,1.9,855.9,10,11.3,2.1,2.5,9.5,9.6,13.3,18.9
Castro Marim,29.2,3.2,864.9,10.2,10.2,-2.2,4.5,10.5,2.2,18.1,20.2
Faro,20.7,33,1170.3,25.1,10.7,-0.3,6.8,20,6.8,25.8,31.8
Lagoa,23.8,23.3,1029.4,12.8,13,1.3,6.9,12.5,12.1,17.3,26.4
Lagos,32.1,12.7,980.7,11.9,13.4,-0.2,3.7,10.5,2.3,16.6,22.6
Loulé,24,25.6,1049.6,13.1,13.2,-2.1,6.6,11.3,3.1,16.5,26
Monchique,44.9,1,887.9,13.8,11.6,1.9,5.9,22.1,5.4,21.2,29.4
Olhão,30.1,12.6,960,14,9.8,-0.3,4.7,9.7,3.5,18.9,23.3
Portimão,21.1,33.9,1049.2,16.1,13.1,1.8,8.2,15.8,2.7,22.3,32.3
São Brás de Alportel,44.9,13.8,972.3,17.5,11.7,-0.5,4.3,19.9,3.4,22,25.1
Silves,34.5,11.9,953.1,10.9,11.2,-1.7,4.4,12.7,3.5,21.4,24.9
Tavira,30.8,15.3,919.1,12.5,10.2,-1.1,3.1,9.9,3.3,18.8,23.7
Vila do Bispo,38.1,4.5,945.4,9.2,12.6,-5.3,3.8,13.6,2.1,16.3,24.4
Vila Real de Santo António,32.8,9.8,941,7.5,11.5,1,8.9,13.7,7.5,21.2,25
R. A. Açores,21,23.6,1100.5,15.1,6.1,-0.3,7,25.7,3.4,28.5,34.3
Santa Maria,27.9,30.9,1492.5,12.4,3.8,2.3,18.7,67.1,15.4,45.5,62.9
Vila do Porto,27.9,30.9,1492.5,12.4,3.8,2.3,18.7,67.1,15.4,45.5,62.9
São Miguel,17.9,24.4,1117.9,15.7,5.8,ә,7.1,24.8,3.3,30,37.3
Lagoa (R.A.A.),18.7,10.8,941.9,11.2,6,1.5,2.4,14.4,3.9,25.5,31.5
Nordeste,34.1,5,860.8,9.2,0.9,-1.6,2.2,25.6,6.8,17.7,21.8
Ponta Delgada,17.3,27.4,1205.5,18.9,6.2,-0.9,10,27,3.7,30.3,39.3
Povoação,22.1,7.4,924.3,6.8,5.9,0.8,12.2,17.1,19.2,18.8,31.6
Ribeira Grande,15.7,25.5,999.3,10.2,5.1,2.4,4.5,13.3,7.8,27.5,31.6
Vila Franca do Campo,26.4,19.1,895.2,8.8,5,-1.5,4.4,16.1,4.2,19.3,22.6
Terceira,22.9,23.6,1057.2,16.3,6.3,-0.7,3,20.8,4,27.4,31.3
Angra do Heroísmo,23.6,26.5,1052.8,18.5,6.4,-1.3,ә,20.5,4.3,31,34.9
Vila da Praia da Vitória,21.3,17,1067.4,11.5,6.1,0.7,8.8,27.6,3.4,19.3,25
Graciosa,28.9,18.5,1039.1,9.8,5.6,-3.5,10,32.2,6,21,28.3
Santa Cruz da Graciosa,28.9,18.5,1039.1,9.8,5.6,-3.5,10,32.2,6,21,28.3
São Jorge,29.5,11.9,976.9,10.4,5.5,ә,6,26,1.3,15,21.4
Calheta (R.A.A.),25.9,2.4,902.7,11.3,5.9,-0.2,4.5,18.4,1.4,19.5,31.8
Velas,31.4,16.9,1015.7,9.9,5.3,0.7,6.3,28.7,1.7,14.6,19.8
Pico,33,11.3,952.6,10.1,8.4,-0.6,6,25.1,3,11.6,18
Lajes do Pico,33.5,3.1,844.2,10.2,7.2,-6.2,2.5,20.7,2.8,12.5,15.7
Madalena,31.5,13.2,953,10,9.8,1.8,3.1,19.1,2.1,12.4,16.2
São Roque do Pico,36.2,13.4,1036.1,10.2,6.5,-1.4,11.5,39,12.1,11.4,26.9
Faial,25.8,29,1125.8,14.7,7.2,-0.2,10.3,24.2,1.9,29.9,31.8
Horta,25.8,29,1125.8,14.7,7.2,-0.2,10.3,24.2,1.9,29.9,31.8
Flores,27.1,23.7,1134.2,10,10.4,-6.2,17.7,36.5,2.2,34.4,34
Lajes das Flores,39.7,5.8,1029,9.9,12.2,-3.1,10.8,29,6,16.4,24.8
Santa Cruz das Flores,21.9,31.3,1178.4,10.1,9.6,-7,19.4,40.1,2.7,42.5,37.7
Corvo,27.1,23.7,1089.1,10.2,9.1,-28.3,3.8,37.7,5.7,24.3,32.9
Corvo,27.1,23.7,1089.1,10.2,9.1,-28.3,3.8,37.7,5.7,24.3,32.9
R. A. Madeira,20.1,29,1130.2,16,7.8,ә,7.5,16.5,3.5,26.7,34.7
Calheta (R.A.M.),15.1,45.3,1154.4,9.2,3.7,-0.5,12.5,27.5,20,24.9,35.4
Câmara de Lobos,28.4,7.3,999.6,10.1,5.8,-3.4,5,23.5,10.5,23.3,31.5
Funchal,17.9,33.9,1171.5,19.2,8.5,0.6,7.7,12.7,3,27.4,36.6
Machico,23.5,11.6,1063.9,13,6.8,0.7,8.9,15.9,2.1,29.4,32.9
Ponta do Sol,41.8,26.2,881.1,7.7,6.8,1.1,3,20.2,3,6.7,18
Porto Moniz,24.6,5.2,826.7,3.2,5.3,-6.9,8.2,37.5,14.9,12.6,32.4
Ribeira Brava,24.6,14,920.1,12.1,5.5,-0.3,6.1,14.8,1.3,22.2,24
Santa Cruz,21.8,22.6,1116.1,10.1,7.5,-0.4,6.1,31.8,8.1,27.4,30.9
Santana,34.1,11,883.2,8.2,4.6,0.8,9.3,16.8,3.8,26.7,32
São Vicente,37.7,3,866.1,6.9,4.9,-1.9,4.1,24,1.5,15.9,23
Porto Santo,20.2,30.4,1175.5,5.3,10.8,-0.5,15.1,34.8,13.2,37,37
